Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,397,671,544,960 ",0.60%,0,0,0,Analyze
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$1,801,597,069,442 ",1.05%,0,0,0,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,186,975,280,000 ",0.00%,0,0,0,Analyze
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,186,975,280,000 ",0.00%,0,0,0,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$967,626,898,594 ",0.00%,0,0,0,Analyze
BRK.B,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$677,026,378,495 ",0.00%,0,0,0,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$573,957,708,143 ",0.00%,0,0,0,Analyze
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$481,479,420,808 ",1.20%,0,0,0,Analyze
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$465,614,254,178 ",3.10%,0,0,0,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$457,168,603,520 ",2.48%,0,0,0,Analyze
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$401,707,214,676 ",1.50%,0,0,0,Analyze
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$398,858,570,757 ",0.74%,0,0,0,Analyze
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$390,357,300,000 ",0.10%,0,0,0,Analyze
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$388,766,975,856 ",2.99%,0,0,0,Analyze
CVX,Chevron Corp,Common stocks,Large cap,Energy,"$355,963,519,933 ",3.05%,0,0,0,Analyze
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$342,795,680,983 ",1.08%,0,0,0,Analyze
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$336,045,310,057 ",2.54%,0,0,0,Analyze
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$325,504,363,802 ",0.57%,0,0,0,Analyze
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$318,829,363,408 ",2.34%,0,0,0,Analyze
META,"Meta Platforms, Inc.",Common stocks,Large cap,Communication Services,"$299,800,500,000 ",0.00%,0,0,0,Analyze
