Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,57819000000.0,16650000000.0,41169000000.0,6517000000.0,15103000000.0,17689000000.0,2338000000.0,5660000000.0,105000000.0,14783000000.0,1365000000.0,13418000000.0,13335000000.0,7.49,0.712,0.3059,0.2557,0.2306,0.3791,29992000000.0,17689000000.0,7.5485,7.5767,7.5767,13418000000.0,13346000000.0,0.5187,0.3907,ABBV
2022-06-30 00:00:00,57349000000.0,16759000000.0,40590000000.0,6562000000.0,14763000000.0,17392000000.0,2346000000.0,5056000000.0,53000000.0,14071000000.0,1425000000.0,12646000000.0,12562000000.0,7.06,0.7078,0.3033,0.2454,0.219,0.3873,29512000000.0,17392000000.0,7.1128,7.1418,7.1418,12646000000.0,12571000000.0,0.5146,0.3997,ABBV
2022-03-31 00:00:00,56725000000.0,17120000000.0,39605000000.0,6721000000.0,12515000000.0,18538000000.0,2380000000.0,-2815000000.0,635000000.0,14051000000.0,1564000000.0,12487000000.0,12415000000.0,6.97,0.6982,0.3268,0.2477,0.2189,0.3887,28537000000.0,18538000000.0,7.0233,7.0522,7.0522,12487000000.0,12423000000.0,0.5031,0.4021,ABBV
2021-12-31 00:00:00,56197000000.0,17304000000.0,38893000000.0,6900000000.0,12230000000.0,17924000000.0,2449000000.0,-2726000000.0,1248000000.0,12989000000.0,1440000000.0,11549000000.0,11500000000.0,6.45,0.6921,0.3189,0.2311,0.2046,0.3913,27781000000.0,17924000000.0,6.4991,6.5248,6.5248,11549000000.0,11507000000.0,0.4944,0.4053,ABBV
2021-09-30 00:00:00,55169000000.0,17736000000.0,37433000000.0,6979000000.0,12201000000.0,16603000000.0,2527000000.0,-8509000000.0,1857000000.0,7211000000.0,-331000000.0,7542000000.0,7513000000.0,4.2,0.6785,0.3009,0.1307,0.1362,0.3929,26307000000.0,16603000000.0,4.1046,4.1223,4.1223,7542000000.0,7521000000.0,0.4768,0.4089,ABBV
2021-06-30 00:00:00,53729000000.0,18470000000.0,35259000000.0,7030000000.0,12083000000.0,15552000000.0,2555000000.0,-9529000000.0,2466000000.0,6023000000.0,-652000000.0,6675000000.0,6663000000.0,3.71,0.6562,0.2895,0.1121,0.124,0.3643,24324000000.0,15552000000.0,3.6189,3.6332,3.6332,6675000000.0,6675000000.0,0.4527,0.3806,ABBV
2021-03-31 00:00:00,50195000000.0,17658000000.0,32537000000.0,6845000000.0,12446000000.0,11863000000.0,2576000000.0,-7696000000.0,2474000000.0,4167000000.0,-1000000000.0,5167000000.0,5159000000.0,2.83,0.6482,0.2363,0.083,0.1028,0.3544,19990000000.0,11863000000.0,2.7372,2.7498,2.7498,5167000000.0,5167000000.0,0.3982,0.3716,ABBV
2020-12-31 00:00:00,45804000000.0,15387000000.0,30417000000.0,6557000000.0,11299000000.0,11363000000.0,2519000000.0,-7965000000.0,2280000000.0,3398000000.0,-1224000000.0,4622000000.0,4616000000.0,2.86,0.6641,0.2481,0.0742,0.1008,0.3666,17834000000.0,11363000000.0,2.7627,2.7726,2.7726,4622000000.0,4622000000.0,0.3894,0.384,ABBV
2020-09-30 00:00:00,40650000000.0,12709000000.0,27941000000.0,6209000000.0,10019000000.0,11566000000.0,2416000000.0,-3587000000.0,2117000000.0,7979000000.0,594000000.0,7385000000.0,7381000000.0,4.73,0.6874,0.2845,0.1963,0.1816,0.377,16481000000.0,11566000000.0,4.7689,4.781,4.781,7385000000.0,7385000000.0,0.4054,0.3938,ABBV
2020-06-30 00:00:00,36227000000.0,9579000000.0,26648000000.0,6788000000.0,8830000000.0,10928000000.0,,-3448000000.0,1917000000.0,7480000000.0,524000000.0,6956000000.0,6957000000.0,4.7,0.7356,0.3017,0.2065,0.192,0.3896,14054000000.0,10928000000.0,4.7355,4.7456,4.7456,6956000000.0,6956000000.0,0.3879,0.4067,ABBV
