Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,45030000000.0,21469000000.0,23561000000.0,2919000000.0,11323000000.0,9436000000.0,240000000.0,151000000.0,106000000.0,9313000000.0,1424000000.0,7889000000.0,7857000000.0,4.43,0.5232,0.2095,0.2068,0.1745,0.1897,12711000000.0,9436000000.0,4.4379,,4.4809,,4.4672,7889000000.0,,7857000000.0,0.2823,0.2292,ABT
2022-06-30 00:00:00,45548000000.0,21136000000.0,24412000000.0,2811000000.0,11358000000.0,10212000000.0,303000000.0,19000000.0,61000000.0,10048000000.0,1494000000.0,8554000000.0,8520000000.0,4.79,0.536,0.2242,0.2206,0.1871,0.1859,13662000000.0,10212000000.0,4.798,,4.8457,,4.832,8554000000.0,,8520000000.0,0.2999,0.2249,ABT
2022-03-31 00:00:00,44514000000.0,20600000000.0,23914000000.0,2781000000.0,11327000000.0,9228000000.0,354000000.0,-103000000.0,169000000.0,9044000000.0,1319000000.0,7725000000.0,7700000000.0,4.31,0.5372,0.2073,0.2032,0.173,0.1831,12773000000.0,9228000000.0,4.318,,4.3634,,4.3497,7725000000.0,,7700000000.0,0.2869,0.2238,ABT
2021-12-31 00:00:00,43075000000.0,19475000000.0,23600000000.0,2738000000.0,11323000000.0,8425000000.0,410000000.0,-156000000.0,290000000.0,8211000000.0,1140000000.0,7071000000.0,7055000000.0,3.94,0.5479,0.1956,0.1906,0.1638,0.2008,12108000000.0,8425000000.0,3.9399,,3.9837,,3.97,7071000000.0,,7055000000.0,0.2811,0.2445,ABT
2021-09-30 00:00:00,42308000000.0,18709000000.0,23599000000.0,2678000000.0,10845000000.0,8479000000.0,435000000.0,-206000000.0,415000000.0,8272000000.0,1032000000.0,7240000000.0,7236000000.0,4.03,0.5578,0.2004,0.1955,0.171,0.2201,12076000000.0,8479000000.0,4.0376,0.0022,4.08,,4.0708,7240000000.0,,7236000000.0,0.2854,0.2662,ABT
2021-06-30 00:00:00,40233000000.0,17807000000.0,22426000000.0,2586000000.0,10381000000.0,7428000000.0,442000000.0,-228000000.0,542000000.0,7200000000.0,828000000.0,6372000000.0,6376000000.0,3.55,0.5574,0.1846,0.179,0.1585,0.2148,10910000000.0,7428000000.0,3.5538,0.0022,3.5909,,3.5774,6372000000.0,,6376000000.0,0.2712,0.2642,ABT
2021-03-31 00:00:00,37338000000.0,16123000000.0,21215000000.0,2496000000.0,9931000000.0,6708000000.0,467000000.0,-330000000.0,542000000.0,6378000000.0,658000000.0,5720000000.0,5724000000.0,3.19,0.5682,0.1797,0.1708,0.1533,0.2038,10141000000.0,6708000000.0,3.1908,,3.2255,,3.2091,5720000000.0,,5724000000.0,0.2716,0.2631,ABT
2020-12-31 00:00:00,34608000000.0,15003000000.0,19605000000.0,2420000000.0,9696000000.0,5357000000.0,708000000.0,-389000000.0,546000000.0,4968000000.0,497000000.0,4471000000.0,4495000000.0,2.5,0.5665,0.1548,0.1436,0.1299,0.1654,8684000000.0,5357000000.0,2.49,0.0122,2.5352,,2.51,4471000000.0,24000000.0,4495000000.0,0.2509,0.2283,ABT
2020-09-30 00:00:00,32221000000.0,13944000000.0,18277000000.0,2317000000.0,9539000000.0,4314000000.0,732000000.0,-494000000.0,574000000.0,3820000000.0,458000000.0,3362000000.0,3382000000.0,1.89,0.5672,0.1339,0.1186,0.105,0.1424,7531000000.0,4314000000.0,1.8817,0.01,1.9097,0.01,1.88,3362000000.0,,3382000000.0,0.2337,0.2023,ABT
2020-06-30 00:00:00,31444000000.0,13336000000.0,18108000000.0,2333000000.0,9677000000.0,4017000000.0,,-515000000.0,604000000.0,3502000000.0,412000000.0,3090000000.0,3110000000.0,1.73,0.5759,0.1278,0.1114,0.0989,0.1451,7180000000.0,4017000000.0,1.7217,0.01,1.7573,0.01,1.73,3090000000.0,19000000.0,3110000000.0,0.2283,0.2036,ABT
2020-03-31 00:00:00,32095000000.0,13352000000.0,18743000000.0,2346000000.0,9835000000.0,4551000000.0,,-473000000.0,638000000.0,4078000000.0,519000000.0,3559000000.0,3579000000.0,1.99,0.584,0.1418,0.1271,0.1115,0.1395,7640000000.0,4551000000.0,1.9817,0.01,2.0231,0.01,2.0,3559000000.0,30000000.0,3579000000.0,0.238,0.1913,ABT
2019-12-31 00:00:00,31904000000.0,13231000000.0,18673000000.0,2440000000.0,9765000000.0,4532000000.0,,-455000000.0,670000000.0,4077000000.0,390000000.0,3687000000.0,3687000000.0,2.06,0.5853,0.1421,0.1278,0.1156,0.141,7546000000.0,4532000000.0,2.06,,2.0854,,2.07,3687000000.0,,3687000000.0,0.2365,0.1923,ABT
2019-09-30 00:00:00,31355000000.0,12988000000.0,18367000000.0,2407000000.0,9711000000.0,4308000000.0,,-524000000.0,692000000.0,3784000000.0,491000000.0,3293000000.0,3292000000.0,1.84,0.5858,0.1374,0.1207,0.105,0.1216,7329000000.0,4308000000.0,1.8383,0.01,1.8633,-0.01,1.86,3293000000.0,,3292000000.0,0.2337,0.1749,ABT
2019-06-30 00:00:00,30935000000.0,12796000000.0,18139000000.0,2385000000.0,9648000000.0,4105000000.0,,-706000000.0,728000000.0,3399000000.0,514000000.0,2885000000.0,2895000000.0,1.63,0.5864,0.1327,0.1099,0.0936,0.1324,7185000000.0,4105000000.0,1.6183,0.02,1.6414,0.0,1.63,2885000000.0,,2895000000.0,0.2323,0.1849,ABT
2019-03-31 00:00:00,30723000000.0,12799000000.0,17924000000.0,2383000000.0,9680000000.0,3781000000.0,,-707000000.0,770000000.0,3074000000.0,477000000.0,2597000000.0,2622000000.0,1.48,0.5834,0.1231,0.1001,0.0853,0.1448,6960000000.0,3781000000.0,1.4583,0.02,1.4897,0.01,1.47,2597000000.0,25000000.0,2622000000.0,0.2265,0.1922,ABT
2018-12-31 00:00:00,30578000000.0,12706000000.0,17872000000.0,2300000000.0,9744000000.0,3650000000.0,,-777000000.0,826000000.0,2873000000.0,539000000.0,2334000000.0,2368000000.0,1.33,0.5845,0.1194,0.094,0.0774,0.1604,6960000000.0,3650000000.0,1.31,,1.347,0.02,1.32,2334000000.0,34000000.0,2368000000.0,0.2276,0.206,ABT
2018-09-30 00:00:00,30402000000.0,12797000000.0,17605000000.0,2357000000.0,9862000000.0,3136000000.0,,-636000000.0,886000000.0,2500000000.0,1685000000.0,815000000.0,886000000.0,0.48,0.5791,0.1032,0.0822,0.0291,0.1613,6598000000.0,3136000000.0,0.4502,0.04,0.4986,0.05,0.46,815000000.0,71000000.0,886000000.0,0.217,0.2031,ABT
2018-06-30 00:00:00,29575000000.0,12507000000.0,17068000000.0,2351000000.0,9600000000.0,2910000000.0,,-502000000.0,901000000.0,2408000000.0,1584000000.0,824000000.0,926000000.0,0.5,0.5771,0.0984,0.0814,0.0313,0.1628,6333000000.0,2910000000.0,0.46,0.05,0.5244,0.06,0.47,824000000.0,102000000.0,926000000.0,0.2141,0.2028,ABT
2018-03-31 00:00:00,28445000000.0,12414000000.0,16031000000.0,2296000000.0,9284000000.0,2414000000.0,,-488000000.0,905000000.0,1926000000.0,1550000000.0,376000000.0,476000000.0,0.25,0.5636,0.0849,0.0677,0.0167,0.1746,6065000000.0,2414000000.0,0.21,0.05,0.27,0.06,0.21,376000000.0,100000000.0,476000000.0,0.2132,0.2146,ABT
2017-12-31 00:00:00,27390000000.0,12409000000.0,14981000000.0,2260000000.0,9182000000.0,1564000000.0,,667000000.0,904000000.0,2231000000.0,1878000000.0,353000000.0,477000000.0,0.26,0.547,0.0571,0.0815,0.0174,0.1619,5497000000.0,1564000000.0,0.2,0.07,0.2742,0.07,0.2,353000000.0,124000000.0,477000000.0,0.2007,0.2034,ABT
2017-09-30 00:00:00,25134000000.0,11509000000.0,13625000000.0,2009000000.0,8378000000.0,1702000000.0,,830000000.0,811000000.0,2532000000.0,550000000.0,1982000000.0,2103000000.0,1.27,0.5421,0.0677,0.1007,0.0837,0.1588,5204000000.0,1702000000.0,1.2066,0.08,1.2907,0.08,1.2,1982000000.0,121000000.0,2103000000.0,0.2071,0.2029,ABT
2017-06-30 00:00:00,23607000000.0,10918000000.0,12689000000.0,1793000000.0,7891000000.0,1830000000.0,,-103000000.0,710000000.0,1727000000.0,663000000.0,1064000000.0,1171000000.0,0.71,0.5375,0.0775,0.0732,0.0496,0.1336,4898000000.0,1830000000.0,0.6468,0.08,0.7221,0.08,0.64,1064000000.0,107000000.0,1171000000.0,0.2075,0.1827,ABT
2017-03-31 00:00:00,22303000000.0,10016000000.0,12287000000.0,1621000000.0,7478000000.0,2260000000.0,,-113000000.0,599000000.0,2147000000.0,754000000.0,1393000000.0,1503000000.0,0.96,0.5509,0.1013,0.0963,0.0674,0.122,4597000000.0,2260000000.0,0.8968,0.08,0.9766,0.08,0.89,1393000000.0,110000000.0,1503000000.0,0.2061,0.1735,ABT
2016-12-31 00:00:00,20853000000.0,9094000000.0,11759000000.0,1447000000.0,6736000000.0,3026000000.0,,-1613000000.0,431000000.0,1413000000.0,350000000.0,1063000000.0,1400000000.0,0.93,0.5639,0.1451,0.0678,0.0671,0.0998,4544000000.0,3026000000.0,0.7168,0.23,0.9479,0.23,0.71,1063000000.0,337000000.0,1400000000.0,0.2179,0.1536,ABT
2016-09-30 00:00:00,20708000000.0,8918000000.0,11790000000.0,1448000000.0,6718000000.0,3052000000.0,,-1684000000.0,319000000.0,1368000000.0,375000000.0,993000000.0,1369000000.0,0.91,0.5693,0.1474,0.0661,0.0661,0.0875,4452000000.0,3052000000.0,0.66,0.2513,0.9291,0.2513,0.66,993000000.0,376000000.0,1369000000.0,0.215,0.1382,ABT
2016-06-30 00:00:00,20556000000.0,8875000000.0,11681000000.0,1474000000.0,6756000000.0,2868000000.0,,-607000000.0,243000000.0,2261000000.0,315000000.0,1946000000.0,2278000000.0,1.51,0.5683,0.1395,0.11,0.1108,0.0822,4311000000.0,2868000000.0,1.29,0.2213,1.5397,0.2213,1.3,1946000000.0,332000000.0,2278000000.0,0.2097,0.1381,ABT
2016-03-31 00:00:00,20393000000.0,8806000000.0,11587000000.0,1471000000.0,6746000000.0,2781000000.0,,-249000000.0,184000000.0,2532000000.0,399000000.0,2133000000.0,2447000000.0,1.62,0.5682,0.1364,0.1242,0.12,0.086,4229000000.0,2781000000.0,1.41,0.21,1.6474,0.21,1.42,2133000000.0,314000000.0,2447000000.0,0.2074,0.1408,ABT
2015-12-31 00:00:00,20405000000.0,8747000000.0,11658000000.0,1405000000.0,6785000000.0,2867000000.0,,316000000.0,163000000.0,3183000000.0,577000000.0,2606000000.0,4423000000.0,2.92,0.5713,0.1405,0.156,0.2168,0.091,4339000000.0,2867000000.0,1.72,1.2,2.9564,1.21,1.73,2606000000.0,1817000000.0,4423000000.0,0.2126,0.1454,ABT
2015-09-30 00:00:00,20573000000.0,8878000000.0,11695000000.0,1397000000.0,6796000000.0,2881000000.0,,276000000.0,165000000.0,3157000000.0,612000000.0,2545000000.0,4561000000.0,3.0,0.5685,0.14,0.1535,0.2217,0.1082,4382000000.0,2881000000.0,1.67,1.3287,3.0315,1.3287,1.69,2545000000.0,2016000000.0,4561000000.0,0.213,0.1641,ABT
2015-06-30 00:00:00,20502000000.0,8955000000.0,11547000000.0,1324000000.0,6725000000.0,2896000000.0,,262000000.0,159000000.0,3158000000.0,771000000.0,2387000000.0,4519000000.0,2.98,0.5632,0.1413,0.154,0.2204,0.1155,4369000000.0,2896000000.0,1.57,1.4087,3.0003,1.4087,1.58,2387000000.0,2132000000.0,4519000000.0,0.2131,0.165,ABT
2015-03-31 00:00:00,20389000000.0,9025000000.0,11364000000.0,1289000000.0,6647000000.0,2844000000.0,,-14000000.0,151000000.0,2830000000.0,804000000.0,2026000000.0,4201000000.0,2.76,0.5574,0.1395,0.1388,0.206,0.112,4365000000.0,2844000000.0,1.33,1.43,2.7848,1.44,1.34,2026000000.0,2175000000.0,4201000000.0,0.2141,0.1639,ABT
2014-12-31 00:00:00,20247000000.0,9218000000.0,11029000000.0,1345000000.0,6530000000.0,2599000000.0,,-81000000.0,150000000.0,2518000000.0,797000000.0,1721000000.0,2284000000.0,1.49,0.5447,0.1284,0.1244,0.1128,0.1283,4147000000.0,2599000000.0,1.12,0.37,1.5065,0.37,1.13,1721000000.0,563000000.0,2284000000.0,0.2048,0.1815,ABT
