Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12328000000.0,9777000000.0,2551000000.0,185000000.0,-808000000.0,990000000.0,-1174000000.0,356000000.0,-808000000.0,-22000000.0,-786000000.0,-63000000.0,-275000000.0,-0.47,0.2069,-0.0655,-0.0655,-0.0223,-0.0909,3427000000.0,-808000000.0,-0.526,0.01,-1.2758,0.01,-0.5105,-849000000.0,,-849000000.0,0.278,0.1762,AES
2022-06-30 00:00:00,11738000000.0,9325000000.0,2413000000.0,173000000.0,-839000000.0,932000000.0,-1200000000.0,327000000.0,-839000000.0,-41000000.0,-798000000.0,-12000000.0,-353000000.0,-0.58,0.2056,-0.0715,-0.0715,-0.0301,-0.0522,3292000000.0,-839000000.0,-0.636,0.01,-1.2164,0.01,-0.6205,-810000000.0,,-810000000.0,0.2805,0.1843,AES
2022-03-31 00:00:00,11360000000.0,8783000000.0,2577000000.0,172000000.0,-809000000.0,887000000.0,-879000000.0,305000000.0,-809000000.0,-81000000.0,-728000000.0,-27000000.0,-146000000.0,-0.27,0.2268,-0.0712,-0.0712,-0.0129,-0.0303,2643000000.0,-809000000.0,-0.336,,-1.1284,,-0.3205,-755000000.0,,-751000000.0,0.2327,0.1854,AES
2021-12-31 00:00:00,11142000000.0,8433000000.0,2709000000.0,166000000.0,-1064000000.0,826000000.0,-465000000.0,298000000.0,-1064000000.0,-133000000.0,-931000000.0,-24000000.0,-409000000.0,-0.65,0.2431,-0.0955,-0.0955,-0.0367,-0.0192,2177000000.0,-1064000000.0,-0.62,,-1.4279,,-0.62,-955000000.0,,-951000000.0,0.1954,0.1707,AES
2021-09-30 00:00:00,10932000000.0,7875000000.0,3057000000.0,176000000.0,1044000000.0,933000000.0,1342000000.0,282000000.0,1044000000.0,236000000.0,808000000.0,-32000000.0,541000000.0,0.78,0.2796,0.0955,0.0955,0.0495,-0.0011,2238000000.0,1044000000.0,0.8137,0.02,1.1705,0.02,0.8516,776000000.0,,780000000.0,0.2047,0.1872,AES
2021-06-30 00:00:00,10440000000.0,7386000000.0,3054000000.0,178000000.0,-58000000.0,972000000.0,2094000000.0,275000000.0,-58000000.0,-37000000.0,-21000000.0,-169000000.0,-135000000.0,-0.2,0.2925,-0.0056,-0.0056,-0.0129,0.0577,1009000000.0,-58000000.0,-0.1663,0.02,-0.2799,0.02,-0.1684,-190000000.0,34000000.0,-186000000.0,0.0966,0.2432,AES
2021-03-31 00:00:00,9957000000.0,7107000000.0,2850000000.0,173000000.0,335000000.0,863000000.0,1173000000.0,266000000.0,177000000.0,135000000.0,42000000.0,-151000000.0,-246000000.0,-0.36,0.2862,0.0336,0.0178,-0.0247,0.0868,1410000000.0,335000000.0,-0.3263,,-0.1598,,-0.3284,-109000000.0,,-106000000.0,0.1416,0.2646,AES
2020-12-31 00:00:00,9660000000.0,6967000000.0,2693000000.0,165000000.0,690000000.0,906000000.0,757000000.0,268000000.0,488000000.0,216000000.0,272000000.0,-123000000.0,46000000.0,0.08,0.2788,0.0714,0.0505,0.0048,0.0885,1758000000.0,690000000.0,0.06,,0.2286,,0.06,149000000.0,,152000000.0,0.182,0.2852,AES
2020-09-30 00:00:00,9531000000.0,7184000000.0,2347000000.0,179000000.0,308000000.0,839000000.0,570000000.0,274000000.0,14000000.0,105000000.0,-91000000.0,-281000000.0,-350000000.0,-0.52,0.2462,0.0323,0.0015,-0.0367,0.0633,1382000000.0,308000000.0,-0.5265,0.01,-0.5552,0.01,-0.5165,-372000000.0,,-369000000.0,0.145,0.2915,AES
2020-06-30 00:00:00,9611000000.0,7319000000.0,2292000000.0,179000000.0,1248000000.0,,-280000000.0,,954000000.0,382000000.0,572000000.0,-165000000.0,193000000.0,0.3,0.2385,0.1299,0.0993,0.0201,-0.0044,2320000000.0,1248000000.0,0.2935,0.0515,0.6169,0.0515,0.3035,407000000.0,29000000.0,410000000.0,0.2414,0.2364,AES
2020-03-31 00:00:00,9877000000.0,7607000000.0,2270000000.0,188000000.0,1103000000.0,,-138000000.0,,967000000.0,326000000.0,641000000.0,-168000000.0,293000000.0,0.44,0.2298,0.1117,0.0979,0.0297,-0.0317,2170000000.0,1103000000.0,0.4435,,0.7133,,0.4535,473000000.0,,474000000.0,0.2197,0.2176,AES
2019-12-31 00:00:00,10189000000.0,7840000000.0,2349000000.0,196000000.0,1093000000.0,,-138000000.0,,1001000000.0,352000000.0,649000000.0,-172000000.0,303000000.0,0.45,0.2305,0.1073,0.0982,0.0297,0.006,2138000000.0,1093000000.0,0.45,,0.7198,,0.46,477000000.0,,478000000.0,0.2098,0.242,AES
2019-09-30 00:00:00,10380000000.0,7945000000.0,2435000000.0,194000000.0,1389000000.0,,,,1242000000.0,501000000.0,741000000.0,11000000.0,509000000.0,0.76,0.2346,0.1338,0.1197,0.049,0.0277,2396000000.0,1389000000.0,0.6958,0.0415,1.1718,0.0415,0.7044,752000000.0,,779000000.0,0.2308,0.2348,AES
2019-06-30 00:00:00,10592000000.0,8187000000.0,2405000000.0,196000000.0,1297000000.0,,,,1150000000.0,517000000.0,633000000.0,13000000.0,400000000.0,0.59,0.2271,0.1225,0.1086,0.0378,0.0234,2300000000.0,1297000000.0,0.5258,0.3315,1.0115,0.3315,0.5344,646000000.0,218000000.0,672000000.0,0.2171,0.2306,AES
2019-03-31 00:00:00,10646000000.0,8143000000.0,2503000000.0,182000000.0,1521000000.0,,,,1374000000.0,592000000.0,782000000.0,22000000.0,673000000.0,1.01,0.2351,0.1429,0.1291,0.0632,0.0364,2516000000.0,1521000000.0,0.6558,,1.5399,,0.6644,804000000.0,,1021000000.0,0.2363,0.2365,AES
2018-12-31 00:00:00,10736000000.0,8163000000.0,2573000000.0,192000000.0,2165000000.0,,,,2018000000.0,708000000.0,1310000000.0,39000000.0,1203000000.0,1.82,0.2397,0.2017,0.188,0.1121,0.0207,3168000000.0,2165000000.0,1.48,0.33,2.364,0.33,1.49,1349000000.0,216000000.0,1565000000.0,0.2951,0.2182,AES
2018-09-30 00:00:00,10757000000.0,8185000000.0,2572000000.0,194000000.0,1756000000.0,,,,1756000000.0,1253000000.0,503000000.0,69000000.0,-267000000.0,-0.4,0.2391,0.1632,0.1632,-0.0248,0.0295,2811000000.0,1756000000.0,0.2563,-0.713,0.1446,-0.713,0.2598,572000000.0,-474000000.0,98000000.0,0.2613,0.2309,AES
2018-06-30 00:00:00,10613000000.0,8072000000.0,2541000000.0,203000000.0,1728000000.0,,,,1728000000.0,1200000000.0,528000000.0,87000000.0,-216000000.0,-0.32,0.2394,0.1628,0.1628,-0.0204,0.0399,2828000000.0,1728000000.0,0.3263,-0.703,0.2516,-0.703,0.3298,615000000.0,-447000000.0,168000000.0,0.2665,0.2314,AES
2018-03-31 00:00:00,10689000000.0,8125000000.0,2564000000.0,217000000.0,1612000000.0,,,,1612000000.0,1154000000.0,458000000.0,75000000.0,-453000000.0,-0.68,0.2399,0.1508,0.1508,-0.0424,0.0106,2744000000.0,1612000000.0,0.2563,-0.993,-0.1504,-0.993,0.2598,533000000.0,-631000000.0,-98000000.0,0.2567,0.2162,AES
2017-12-31 00:00:00,10530000000.0,8065000000.0,2465000000.0,215000000.0,771000000.0,,,,771000000.0,990000000.0,-219000000.0,71000000.0,-1161000000.0,-1.76,0.2341,0.0732,0.0732,-0.1103,0.0311,1940000000.0,771000000.0,-0.77,-0.99,-1.1772,-0.99,-0.77,-148000000.0,-629000000.0,-777000000.0,0.1842,0.2378,AES
2017-09-30 00:00:00,8126000000.0,5694000000.0,2432000000.0,214000000.0,431000000.0,,,,429000000.0,114000000.0,315000000.0,45000000.0,-768000000.0,-1.17,0.2993,0.053,0.0528,-0.0945,0.0313,1614000000.0,431000000.0,0.1072,-1.0885,-0.278,-1.0885,0.1072,360000000.0,-544000000.0,-184000000.0,0.1986,0.2973,AES
2017-06-30 00:00:00,8975000000.0,6495000000.0,2480000000.0,202000000.0,421000000.0,,,,419000000.0,96000000.0,323000000.0,32000000.0,-745000000.0,-1.14,0.2763,0.0469,0.0467,-0.083,0.0315,1592000000.0,421000000.0,0.1472,-1.0985,-0.326,-1.0985,0.1472,355000000.0,-571000000.0,-216000000.0,0.1774,0.2781,AES
2017-03-31 00:00:00,9591000000.0,7160000000.0,2431000000.0,200000000.0,173000000.0,,,,171000000.0,3000000.0,168000000.0,37000000.0,-1280000000.0,-1.95,0.2535,0.018,0.0178,-0.1335,0.082,1350000000.0,173000000.0,-0.0928,-1.6685,-1.1406,-1.6685,-0.0928,205000000.0,-958000000.0,-753000000.0,0.1408,0.3091,AES
2016-12-31 00:00:00,10281000000.0,7898000000.0,2383000000.0,194000000.0,189000000.0,,,,187000000.0,32000000.0,155000000.0,36000000.0,-1130000000.0,-1.72,0.2318,0.0184,0.0182,-0.1099,0.0537,1365000000.0,189000000.0,-0.04,-1.68,-1.1773,-1.68,-0.04,191000000.0,-968000000.0,-777000000.0,0.1328,0.2818,AES
2016-09-30 00:00:00,10140000000.0,7847000000.0,2293000000.0,181000000.0,543000000.0,,,,543000000.0,314000000.0,229000000.0,32000000.0,-266000000.0,-0.41,0.2261,0.0536,0.0536,-0.0262,0.0414,1684000000.0,543000000.0,0.0302,-0.59,-0.0593,-0.59,0.0292,261000000.0,-304000000.0,-43000000.0,0.1661,0.2772,AES
2016-06-30 00:00:00,10120000000.0,7850000000.0,2270000000.0,186000000.0,409000000.0,,,,409000000.0,282000000.0,127000000.0,102000000.0,-261000000.0,-0.4,0.2243,0.0404,0.0404,-0.0258,0.0506,1542000000.0,409000000.0,0.0302,-0.59,-0.1078,-0.58,0.0292,229000000.0,-298000000.0,-69000000.0,0.1524,0.2873,AES
2016-03-31 00:00:00,10547000000.0,8096000000.0,2451000000.0,189000000.0,827000000.0,,,,827000000.0,412000000.0,415000000.0,96000000.0,290000000.0,0.43,0.2324,0.0784,0.0784,0.0275,0.0008,1963000000.0,827000000.0,0.3002,-0.03,0.8605,-0.02,0.2992,511000000.0,71000000.0,582000000.0,0.1861,0.2216,AES
2015-12-31 00:00:00,11260000000.0,8597000000.0,2663000000.0,196000000.0,989000000.0,,,,989000000.0,412000000.0,577000000.0,105000000.0,306000000.0,0.44,0.2365,0.0878,0.0878,0.0272,-0.0155,2133000000.0,989000000.0,0.46,0.1,1.1093,0.11,0.46,682000000.0,165000000.0,762000000.0,0.1894,0.1895,AES
2015-09-30 00:00:00,14272000000.0,11531000000.0,2741000000.0,189000000.0,1260000000.0,,,,1192000000.0,330000000.0,862000000.0,77000000.0,597000000.0,0.86,0.1921,0.0883,0.0835,0.0418,-0.0184,2448000000.0,1260000000.0,0.8998,0.11,1.4588,0.12,0.9008,939000000.0,74000000.0,1019000000.0,0.1715,0.1457,AES
2015-06-30 00:00:00,15191000000.0,12348000000.0,2843000000.0,189000000.0,1722000000.0,,,,1638000000.0,379000000.0,1259000000.0,-10000000.0,905000000.0,1.26,0.1872,0.1134,0.1078,0.0596,-0.024,2939000000.0,1722000000.0,1.3098,0.09,1.8644,0.09,1.3208,1249000000.0,46000000.0,1324000000.0,0.1935,0.1269,AES
2015-03-31 00:00:00,15846000000.0,12939000000.0,2907000000.0,191000000.0,1788000000.0,,,,1660000000.0,413000000.0,1247000000.0,9000000.0,969000000.0,1.34,0.1835,0.1128,0.1048,0.0612,-0.0145,3025000000.0,1788000000.0,1.3998,,1.8627,,1.4108,1256000000.0,,1335000000.0,0.1909,0.1267,AES
2014-12-31 00:00:00,16124000000.0,13144000000.0,2980000000.0,187000000.0,1571000000.0,,-135000000.0,,1443000000.0,371000000.0,1072000000.0,19000000.0,769000000.0,1.06,0.1848,0.0974,0.0895,0.0477,-0.014,2816000000.0,1571000000.0,0.97,0.09,1.5931,0.09,0.98,1091000000.0,25000000.0,1147000000.0,0.1746,0.1111,AES
2014-09-30 00:00:00,16814000000.0,13764000000.0,3050000000.0,208000000.0,1090000000.0,,-189000000.0,,1023000000.0,361000000.0,662000000.0,43000000.0,357000000.0,0.49,0.1814,0.0648,0.0608,0.0212,-0.0106,2339000000.0,1090000000.0,0.58,-0.08,0.9033,-0.08,0.59,705000000.0,,645000000.0,0.1391,0.1125,AES
2014-06-30 00:00:00,16369000000.0,13159000000.0,3210000000.0,216000000.0,1040000000.0,,-174000000.0,,867000000.0,395000000.0,472000000.0,64000000.0,-60000000.0,-0.09,0.1961,0.0635,0.053,-0.0037,-0.0045,2298000000.0,1040000000.0,0.14,-0.22,0.4992,-0.22,0.14,536000000.0,-176000000.0,360000000.0,0.1404,0.1211,AES
2014-03-31 00:00:00,16003000000.0,12711000000.0,3292000000.0,217000000.0,985000000.0,,,,856000000.0,314000000.0,542000000.0,46000000.0,-26000000.0,-0.05,0.2057,0.0616,0.0535,-0.0016,0.0204,2256000000.0,985000000.0,0.16,-0.2,0.5657,-0.2,0.16,588000000.0,-170000000.0,418000000.0,0.141,0.1448,AES
2013-12-31 00:00:00,15891000000.0,12644000000.0,3247000000.0,220000000.0,1177000000.0,,-179000000.0,,1048000000.0,343000000.0,705000000.0,25000000.0,114000000.0,0.14,0.2043,0.0741,0.0659,0.0072,0.0457,2471000000.0,1177000000.0,0.38,-0.23,0.7416,-0.23,0.38,730000000.0,-179000000.0,551000000.0,0.1555,0.1709,AES
2013-09-30 00:00:00,16225000000.0,12797000000.0,3428000000.0,209000000.0,1832000000.0,,-254000000.0,,1710000000.0,455000000.0,1255000000.0,7000000.0,495000000.0,0.65,0.2113,0.1129,0.1054,0.0305,0.0647,3170000000.0,1832000000.0,0.92,-0.2313,1.4741,-0.2313,0.91,1262000000.0,-184000000.0,1078000000.0,0.1954,0.1733,AES
