Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,20928000000.0,10854000000.0,10074000000.0,4534000000.0,5313000000.0,227000000.0,5313000000.0,258000000.0,5055000000.0,5055000000.0,7.88,0.4814,0.2647,0.2539,0.2415,0.1776,6699000000.0,5540000000.0,7.8421,7.877,7.877,5055000000.0,5055000000.0,0.3201,0.1776,AFL
2022-06-30 00:00:00,21345000000.0,11167000000.0,10178000000.0,4630000000.0,5323000000.0,225000000.0,5323000000.0,976000000.0,4347000000.0,4347000000.0,6.67,0.4768,0.2599,0.2494,0.2037,0.2105,6716000000.0,5548000000.0,6.6382,6.6688,6.6688,4347000000.0,4347000000.0,0.3146,0.2105,AFL
2022-03-31 00:00:00,21509000000.0,11558000000.0,9951000000.0,4724000000.0,4995000000.0,232000000.0,4995000000.0,931000000.0,4064000000.0,4064000000.0,6.13,0.4626,0.243,0.2322,0.1889,0.2299,6408000000.0,5227000000.0,6.1032,6.1321,6.1321,4064000000.0,4064000000.0,0.2979,0.2299,AFL
2021-12-31 00:00:00,22106000000.0,11832000000.0,10274000000.0,4714000000.0,5322000000.0,238000000.0,5322000000.0,997000000.0,4325000000.0,4325000000.0,6.42,0.4648,0.2515,0.2407,0.1956,0.2285,6730000000.0,5560000000.0,6.3911,6.4206,6.4206,4325000000.0,4325000000.0,0.3044,0.2285,AFL
2021-09-30 00:00:00,22583000000.0,12247000000.0,10336000000.0,4789000000.0,5305000000.0,242000000.0,5305000000.0,1068000000.0,4237000000.0,4237000000.0,6.2,0.4577,0.2456,0.2349,0.1876,0.2452,6716000000.0,5547000000.0,6.1473,6.1754,6.1754,4237000000.0,4237000000.0,0.2974,0.2452,AFL
2021-06-30 00:00:00,23011000000.0,12637000000.0,10374000000.0,4781000000.0,5345000000.0,248000000.0,5345000000.0,-460000000.0,5805000000.0,5805000000.0,8.32,0.4508,0.2431,0.2323,0.2523,0.2471,6777000000.0,5593000000.0,8.2665,8.2985,8.2985,5805000000.0,5805000000.0,0.2945,0.2471,AFL
2021-03-31 00:00:00,22854000000.0,12898000000.0,9956000000.0,4665000000.0,5042000000.0,249000000.0,5042000000.0,-463000000.0,5505000000.0,5505000000.0,7.81,0.4356,0.2315,0.2206,0.2409,0.2586,6483000000.0,5291000000.0,7.7621,7.7901,7.7901,5505000000.0,5505000000.0,0.2837,0.2586,AFL
2020-12-31 00:00:00,22147000000.0,13112000000.0,9035000000.0,4634000000.0,4159000000.0,242000000.0,4159000000.0,-619000000.0,4778000000.0,4778000000.0,6.71,0.408,0.1987,0.1878,0.2157,0.269,5615000000.0,4401000000.0,6.6714,6.6947,6.6947,4778000000.0,4778000000.0,0.2535,0.269,AFL
2020-09-30 00:00:00,21837000000.0,13129000000.0,8708000000.0,4470000000.0,4001000000.0,237000000.0,4001000000.0,-608000000.0,4609000000.0,4609000000.0,6.42,0.3988,0.1941,0.1832,0.2111,0.2653,5467000000.0,4238000000.0,6.4002,6.4225,6.4225,4609000000.0,4609000000.0,0.2504,0.2653,AFL
2020-06-30 00:00:00,21708000000.0,13176000000.0,8532000000.0,4417000000.0,3884000000.0,231000000.0,3884000000.0,954000000.0,2930000000.0,2930000000.0,4.02,0.393,0.1896,0.1789,0.135,0.2625,5370000000.0,4115000000.0,4.004,4.0217,4.0217,2930000000.0,2930000000.0,0.2474,0.2625,AFL
