Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,5594000000.0,3275000000.0,2318000000.0,63000000.0,499291000.0,1605765900.0,94000000.0,54000000.0,104240000.0,1562000000.0,382000000.0,1180783000.0,483031000.0,1553000000.0,13.19,0.4144,0.2871,0.2792,0.2776,-0.055,2078000000.0,1605765900.0,14.1147,,14.1787,,14.1787,1663814100.0,,1664000000.0,0.3715,0.1447,ALB
2022-06-30 00:00:00,4333000000.0,2808000000.0,1523000000.0,58000000.0,465812000.0,846311900.0,70000000.0,-612000000.0,79685000.0,176000000.0,70000000.0,106322000.0,251853000.0,263000000.0,2.22,0.3515,0.1953,0.0406,0.0607,-0.2402,1304000000.0,846311900.0,3.0132,,3.0277,,3.0277,358175000.0,,359000000.0,0.3009,0.0043,ALB
2022-03-31 00:00:00,3626896000.0,2434479000.0,1190417000.0,54976000.0,458386000.0,954548800.0,48000000.0,-707138000.0,45428000.0,310195000.0,87985000.0,222096000.0,141695000.0,280600000.0,2.39,0.3282,0.2632,0.0855,0.0774,-0.1691,1395756000.0,954548800.0,3.0702,,3.0857,,3.0857,363791000.0,,364208000.0,0.3848,0.1082,ALB
2021-12-31 00:00:00,3328187000.0,2319083000.0,1008104000.0,53612000.0,439005000.0,798433800.0,35000000.0,-752708000.0,61476000.0,133489000.0,29092000.0,104172000.0,95770000.0,123277000.0,1.09,0.3029,0.2399,0.0401,0.037,-0.1831,1217880000.0,798433800.0,1.7157,,1.726,,1.726,199942000.0,,199906000.0,0.3659,0.1034,ALB
2021-09-30 00:00:00,3313334000.0,2285809900.0,1026524000.0,56987000.0,440612000.0,954856000.0,48152000.0,-754417000.0,75322000.0,189916000.0,3991000.0,185786000.0,105864000.0,211912000.0,1.91,0.3098,0.2882,0.0573,0.064,-0.0163,1205786100.0,954856000.0,2.5885,,2.6216,,2.6216,291650000.0,,292083000.0,0.3639,0.2498,ALB
2021-06-30 00:00:00,3229202000.0,2197621900.0,1031580000.0,57519000.0,435704000.0,967765000.0,61379000.0,-139305000.0,89413000.0,828460000.0,149644000.0,678816000.0,104312000.0,703213000.0,6.19,0.3195,0.2997,0.2566,0.2178,0.046,1211897000.0,967765000.0,6.8849,,6.923,,6.923,783128000.0,,783128000.0,0.3753,0.3025,ALB
2021-03-31 00:00:00,3219355000.0,2202832900.0,1016522000.0,57753000.0,421137000.0,537632000.0,72231000.0,-156292000.0,100113000.0,381340000.0,58090000.0,323250000.0,117428000.0,364237000.0,3.37,0.3158,0.167,0.1185,0.1131,-0.0043,778182000.0,537632000.0,4.0592,,4.0788,,4.0788,440678000.0,,440678000.0,0.2417,0.2491,ALB
2020-12-31 00:00:00,3128909000.0,2134055900.0,994853000.0,59214000.0,429827000.0,505811900.0,73116000.0,-132293000.0,73116000.0,373519000.0,54425000.0,319094000.0,127521000.0,375764000.0,3.53,0.318,0.1617,0.1194,0.1201,-0.0165,737795900.0,505811900.0,4.1815,,4.1974,,4.1974,446615000.0,,446615000.0,0.2358,0.2553,ALB
2020-09-30 00:00:00,3242325900.0,2174381900.0,1067944000.0,58102000.0,490081000.0,519760800.0,76364000.0,-116372000.0,76364000.0,403389000.0,59421000.0,343968000.0,106713000.0,381520000.0,3.59,0.3294,0.1603,0.1244,0.1177,-0.009,746740800.0,519760800.0,4.2292,,4.2416,,4.2416,450681000.0,,450681000.0,0.2303,0.2577,ALB
2020-06-30 00:00:00,3375204900.0,2251449900.0,1123755000.0,60155000.0,502124000.0,561475900.0,,-115908000.0,68245000.0,445568000.0,54109000.0,391459000.0,113795000.0,438289000.0,4.13,0.3329,0.1664,0.132,0.1299,-0.0377,784263900.0,561475900.0,4.7485,,4.7605,,4.7605,505254000.0,,505254000.0,0.2324,0.2157,ALB
2020-03-31 00:00:00,3496207900.0,2279897900.0,1216310000.0,59407000.0,521890000.0,635013000.0,,-110449000.0,61994000.0,524564000.0,69089000.0,455475000.0,120991000.0,506863000.0,4.78,0.3479,0.1816,0.15,0.145,-0.0088,852908000.0,635013000.0,5.4204,,5.436,,5.436,576466000.0,,576466000.0,0.244,0.2344,ALB
2019-12-31 00:00:00,3589426900.0,2331648900.0,1257778000.0,58287000.0,533368000.0,666123200.0,,-103173000.0,57695000.0,562950000.0,88161000.0,474789000.0,129568000.0,533228000.0,5.03,0.3504,0.1856,0.1568,0.1486,-0.034,879607200.0,666123200.0,5.6843,,5.7043,,5.7043,604357000.0,,604357000.0,0.2451,0.2004,ALB
