Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14836000000.0,11998000000.0,2838000000.0,96000000.0,1273000000.0,1285000000.0,-144000000.0,178000000.0,1141000000.0,295000000.0,846000000.0,,835000000.0,0.56,0.1913,0.0866,0.0769,0.0563,0.0584,1886000000.0,1285000000.0,0.5542,,0.5662,,0.5582,846000000.0,,846000000.0,0.1271,0.0929,AMCR
2022-06-30 00:00:00,14544000000.0,11724000000.0,2820000000.0,96000000.0,1284000000.0,1239000000.0,-124000000.0,159000000.0,1115000000.0,300000000.0,815000000.0,,805000000.0,0.53,0.1939,0.0852,0.0767,0.0553,0.0699,1866000000.0,1239000000.0,0.529,,0.5401,,0.5321,815000000.0,,815000000.0,0.1283,0.1049,AMCR
2022-03-31 00:00:00,14089000000.0,11318000000.0,2771000000.0,98000000.0,1272000000.0,1352000000.0,-120000000.0,155000000.0,1232000000.0,270000000.0,962000000.0,,951000000.0,0.63,0.1967,0.096,0.0874,0.0675,0.0677,1984000000.0,1352000000.0,0.6211,,0.6321,,0.623,962000000.0,,962000000.0,0.1408,0.1017,AMCR
2021-12-31 00:00:00,13588000000.0,10866000000.0,2722000000.0,99000000.0,1271000000.0,1356000000.0,-126000000.0,155000000.0,1230000000.0,269000000.0,961000000.0,,949000000.0,0.62,0.2003,0.0998,0.0905,0.0698,0.0637,1981000000.0,1356000000.0,0.6155,,0.6261,,0.617,961000000.0,,961000000.0,0.1458,0.0988,AMCR
2021-09-30 00:00:00,13184000000.0,10456000000.0,2728000000.0,99000000.0,1276000000.0,1341000000.0,-124000000.0,153000000.0,1217000000.0,263000000.0,954000000.0,,943000000.0,0.61,0.2069,0.1017,0.0923,0.0715,0.0746,1956000000.0,1341000000.0,0.6066,,0.6177,,0.6086,954000000.0,,954000000.0,0.1484,0.1107,AMCR
2021-06-30 00:00:00,12861000000.0,10129000000.0,2732000000.0,100000000.0,1292000000.0,1321000000.0,-128000000.0,153000000.0,1193000000.0,261000000.0,932000000.0,,939000000.0,0.61,0.2124,0.1027,0.0928,0.073,0.0792,1905000000.0,1321000000.0,0.602,,0.6131,,0.604,951000000.0,,951000000.0,0.1481,0.1136,AMCR
2021-03-31 00:00:00,12550000000.0,9843000000.0,2707000000.0,97000000.0,1313000000.0,1266000000.0,-143000000.0,162000000.0,1123000000.0,251000000.0,872000000.0,,863000000.0,0.55,0.2157,0.1009,0.0895,0.0688,0.0895,1856000000.0,1266000000.0,0.5563,,0.5565,,0.5577,869000000.0,300000.0,869000000.0,0.1479,0.122,AMCR
2020-12-31 00:00:00,12484000000.0,9807000000.0,2677000000.0,97000000.0,1342000000.0,1164000000.0,-146000000.0,172000000.0,1018000000.0,236000000.0,782000000.0,,777000000.0,0.5,0.2144,0.0932,0.0815,0.0622,0.0871,1781000000.0,1164000000.0,0.4961,0.005,0.497,-0.0003,0.4974,782000000.0,300000.0,782000000.0,0.1427,0.1189,AMCR
2020-09-30 00:00:00,12424000000.0,9781000000.0,2643000000.0,97000000.0,1343000000.0,1129000000.0,-158000000.0,187000000.0,971000000.0,226000000.0,745000000.0,3000000.0,744000000.0,0.4,0.2127,0.0909,0.0782,0.0599,0.0787,1751000000.0,1129000000.0,0.4697,,0.4712,,0.4701,748000000.0,,748000000.0,0.1409,0.1097,AMCR
2020-06-30 00:00:00,12468000000.0,9932000000.0,2536000000.0,97000000.0,1385000000.0,994000000.0,-169000000.0,207000000.0,825000000.0,187000000.0,638000000.0,-14000000.0,612000000.0,,0.2034,0.0797,0.0662,0.0491,0.08,1654000000.0,994000000.0,0.387,0.0,0.385,-0.0053,0.387,624000000.0,-7700000.0,616000000.0,0.1327,0.111,AMCR
2020-03-31 00:00:00,11925300000.0,9576900000.0,2348400400.0,90700000.0,1408800000.0,895700200.0,-166300000.0,206500000.0,729400000.0,214200000.0,515200000.0,13300000.0,513400000.0,0.3994,0.1969,0.0751,0.0612,0.0431,0.063,1582100200.0,895700200.0,0.339,-0.005,0.336,-0.005,0.33,528500000.0,-8000000.0,521500000.0,0.1327,0.0943,AMCR
2019-12-31 00:00:00,11094200000.0,8978000000.0,2116200300.0,81500000.0,1275400000.0,806000000.0,-177800000.0,211600000.0,628200000.0,186200000.0,442000000.0,15900000.0,445000000.0,0.4129,0.1907,0.0727,0.0566,0.0401,0.0601,1406500000.0,806000000.0,0.322,-0.005,0.3183,-0.0109,0.313,457900000.0,-8000000.0,450900000.0,0.1268,0.1008,AMCR
2019-09-30 00:00:00,10313600000.0,8420600000.0,1893000200.0,72700000.0,1164700000.0,711500000.0,-191800000.0,215900000.0,519700000.0,162900000.0,356800000.0,14600000.0,357400000.0,0.3929,0.1835,0.069,0.0504,0.0347,-0.0081,1247600000.0,711500000.0,0.287,-0.0109,0.2898,-0.0991,0.288,371400000.0,-8000000.0,364400000.0,0.121,0.037,AMCR
2019-06-30 00:00:00,8205900000.0,6658200000.0,1547700300.0,56100000.0,890600000.0,1603800000.0,-164800000.0,174600000.0,484400000.0,154900000.0,330400000.0,,338100000.0,,0.1886,0.0793,0.059,0.0412,0.0231,1997400000.0,650999900.0,0.3443,,0.3505,,0.3456,343000000.0,,343100000.0,0.2434,0.0703,AMCR
2019-03-31 00:00:00,6633000000.0,5419700000.0,1213299900.0,49400000.0,611700000.0,1472599700.0,-135500000.0,145000000.0,379500000.0,78600000.0,309800000.0,,305300000.0,0.4549,0.1829,0.0809,0.0572,0.046,-0.0591,1682799700.0,536299600.0,0.3988,-0.0922,0.4076,-0.0843,0.4095,317100000.0,-2600000.0,308200000.0,0.2537,-0.0036,AMCR
2018-09-30 00:00:00,5358200000.0,4356700000.0,1001500000.0,43600000.0,487100000.0,1388299800.0,-103100000.0,110600000.0,326700000.0,77000000.0,254100000.0,,248300000.0,0.4451,0.1869,0.0828,0.061,0.0463,-0.0314,1643899800.0,443399800.0,0.4098,-0.0824,0.4189,,0.4209,255800000.0,,251400000.0,0.3068,0.0288,AMCR
2018-06-30 00:00:00,4107900000.0,3314100000.0,793800100.0,40500000.0,,2222899800.0,,70300000.0,246300000.0,68400000.0,,,177900000.0,0.3824,0.1932,0.0,0.06,0.0433,0.0714,2436099800.0,,,,,,,,,177900000.0,0.593,0.1379,AMCR
2018-03-31 00:00:00,4070000000.0,3279600000.0,790400000.0,43600000.0,384600000.0,1277999800.0,-61600000.0,67600000.0,259900000.0,77600000.0,222900000.0,,182300000.0,0.3902,0.1942,0.0939,0.0639,0.0448,0.0676,1448699800.0,382099800.0,0.4714,,0.4735,,0.4735,222900000.0,,182300000.0,0.3559,0.1362,AMCR
2017-09-30 00:00:00,4069800000.0,3252600000.0,817199900.0,45200000.0,387100000.0,1313699900.0,-59100000.0,63800000.0,299100000.0,95800000.0,231500000.0,,203300000.0,0.4313,0.2008,0.0985,0.0735,0.05,0.1213,1605799800.0,400999900.0,0.484,,0.487,,0.487,231500000.0,,203300000.0,0.3946,0.2085,AMCR
2017-06-30 00:00:00,4056000000.0,3229800000.0,826199900.0,46800000.0,,2238000000.0,,61100000.0,292700000.0,94100000.0,,,198600000.0,0.4176,0.2037,0.0,0.0722,0.049,0.0946,2443099900.0,,,,,,,,,198600000.0,0.6023,0.1601,AMCR
2017-03-31 00:00:00,4011800000.0,3162900000.0,848899900.0,47200000.0,393000000.0,1325300000.0,-55900000.0,60500000.0,335500000.0,108700000.0,238400000.0,,226800000.0,0.4725,0.2116,0.1021,0.0836,0.0565,0.0885,1487199900.0,409800000.0,0.49,,0.4942,,0.4946,238400000.0,,226800000.0,0.3707,0.1485,AMCR
2016-09-30 00:00:00,4034700000.0,3162300000.0,872399900.0,45700000.0,403400000.0,1342700000.0,-53100000.0,57100000.0,355200000.0,117000000.0,244300000.0,,238200000.0,0.4922,0.2162,0.1038,0.088,0.059,0.1426,1622700000.0,418800000.0,0.5134,,0.495,,0.5195,252900000.0,,238200000.0,0.4022,0.2264,AMCR
2016-06-30 00:00:00,4037800000.0,3169000000.0,868800100.0,45600000.0,,2256800000.0,,54800000.0,352100000.0,116900000.0,,,235200000.0,0.4824,0.2152,0.0,0.0872,0.0582,0.1062,2455800100.0,,,,,,,,,235200000.0,0.6082,0.1729,AMCR
2016-03-31 00:00:00,4056600000.0,3187300000.0,869300100.0,45300000.0,412200000.0,1332900000.0,-51400000.0,53900000.0,362600000.0,121300000.0,237200000.0,,238700000.0,0.4843,0.2143,0.101,0.0894,0.0588,0.1048,1491400100.0,409900000.0,0.4855,,0.3858,,0.4906,241300000.0,,238700000.0,0.3676,0.1684,AMCR
2015-09-30 00:00:00,4186900000.0,3305700000.0,881200100.0,45000000.0,419400000.0,1340800000.0,-40100000.0,52500000.0,373200000.0,126600000.0,240700000.0,,199500000.0,0.4019,0.2105,0.0969,0.0891,0.0476,0.117,1638300100.0,405800100.0,0.4902,,0.3647,,0.4961,246600000.0,-47100000.0,199500000.0,0.3913,0.1963,AMCR
