Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6030000000.0,3924000000.0,2104000000.0,640857000.0,1463753400.0,81000000.0,7000000.0,80681000.0,1389000000.0,256000000.0,1134142000.0,1134000000.0,4.89,0.3489,0.2427,0.2303,0.1881,0.1529,1772000000.0,1463753400.0,4.889,4.9191,4.9191,1134142000.0,1134000000.0,0.2939,0.1735,AME
2022-06-30 00:00:00,5919000000.0,3868000000.0,2048000000.0,632187000.0,1416796500.0,81000000.0,7000000.0,80912000.0,1341000000.0,248000000.0,1093961000.0,1093000000.0,4.71,0.346,0.2394,0.2266,0.1847,0.1527,1724000000.0,1416796500.0,4.7039,4.7359,4.7359,1093961000.0,1093000000.0,0.2913,0.1734,AME
2022-03-31 00:00:00,5790346000.0,3792712000.0,1995634000.0,627675000.0,1368565500.0,81000000.0,-19856000.0,81004000.0,1286755000.0,244076000.0,1043267000.0,1042679000.0,4.49,0.3446,0.2364,0.2222,0.1801,0.1654,1673808000.0,1368565500.0,4.4778,4.5124,4.5124,1043267000.0,1042679000.0,0.2891,0.1861,AME
2021-12-31 00:00:00,5547088000.0,3633104000.0,1911983900.0,604228000.0,1308670400.0,80000000.0,-43745000.0,80381000.0,1223211000.0,233299000.0,990053000.0,989912000.0,4.27,0.3447,0.2359,0.2205,0.1785,0.1892,1600769900.0,1308670400.0,4.2526,4.2868,4.2868,990053000.0,989912000.0,0.2886,0.2092,AME
2021-09-30 00:00:00,5242035000.0,3421071800.0,1819963100.0,574894000.0,1245632200.0,78000000.0,-64151000.0,79330000.0,1160918000.0,230981000.0,929397000.0,928937100.0,4.02,0.3472,0.2376,0.2215,0.1772,0.2213,1524760100.0,1245631800.0,3.9973,4.0295,4.0295,929397000.0,928937000.0,0.2909,0.2412,AME
2021-06-30 00:00:00,4927977000.0,3204776800.0,1723200100.0,544390000.0,1178810100.0,79000000.0,-89817000.0,80041000.0,1088993000.0,212475000.0,876518000.0,876518100.0,3.8,0.3497,0.2392,0.221,0.1779,0.2392,1446495100.0,1178809700.0,3.7762,3.8069,3.8069,876518000.0,876518000.0,0.2935,0.2571,AME
2021-03-31 00:00:00,4553553000.0,2961259800.0,1592293100.0,503104000.0,1089189100.0,82000000.0,-85499000.0,82268000.0,1003690000.0,192634000.0,811056000.0,811056100.0,3.53,0.3497,0.2392,0.2204,0.1781,0.2679,1343014100.0,1089188700.0,3.5027,3.5283,3.5283,811056000.0,811056000.0,0.2949,0.2843,AME
2020-12-31 00:00:00,4540029000.0,2996514800.0,1543514200.0,515630000.0,1027884200.0,86000000.0,54425000.0,86062000.0,1082309000.0,209870000.0,872439000.0,872439100.0,3.81,0.34,0.2264,0.2384,0.1922,0.2658,1283159300.0,1027883800.0,3.7744,3.8025,3.8025,872439000.0,872439000.0,0.2826,0.2822,AME
2020-09-30 00:00:00,4645903000.0,3084721900.0,1561181200.0,533755000.0,1027426000.0,90000000.0,46156000.0,89642000.0,1073582100.0,201391000.0,872191100.0,872191000.0,3.82,0.336,0.2211,0.2311,0.1877,0.2495,1281931100.0,1027426100.0,3.781,3.808,3.808,872191100.0,872191100.0,0.2759,0.2663,AME
2020-06-30 00:00:00,4795594000.0,3175278900.0,1620315200.0,562574000.0,1057741000.0,,41997000.0,89763000.0,1099738100.0,211379000.0,888359100.0,888359000.0,3.9,0.3379,0.2206,0.2293,0.1852,0.2442,1304514100.0,1057741100.0,3.8587,3.8849,3.8849,888359100.0,888359100.0,0.272,0.2622,AME
2020-03-31 00:00:00,5073084000.0,3344236900.0,1728847200.0,602686000.0,1126161000.0,,37724000.0,88569000.0,1163885100.0,226240000.0,937645100.0,937645000.0,4.12,0.3408,0.222,0.2294,0.1848,0.2151,1368770100.0,1126161100.0,4.0769,4.1067,4.1067,937645100.0,937645100.0,0.2698,0.2344,AME
2019-12-31 00:00:00,5158557000.0,3370896900.0,1787660200.0,610280000.0,1177380000.0,,-107632000.0,88481000.0,1069748100.0,208451000.0,861297100.0,861297000.0,3.79,0.3465,0.2282,0.2074,0.167,0.1962,1411422000.0,1177380100.0,3.7546,3.7815,3.7815,861297100.0,861297100.0,0.2736,0.216,AME
2019-09-30 00:00:00,5125064000.0,3347989900.0,1777074200.0,615329000.0,1161745100.0,,-101207000.0,85755000.0,1060538000.0,208498000.0,852040000.0,852040000.0,3.74,0.3467,0.2267,0.2069,0.1662,0.1897,1385263100.0,1161745000.0,3.7083,3.736,3.736,852040000.0,852040000.0,0.2703,0.2085,AME
2019-06-30 00:00:00,5041393000.0,3307721900.0,1733671200.0,607716000.0,1125955100.0,,-94718000.0,83838000.0,1031237000.0,208733000.0,822504000.0,822504000.0,3.6,0.3439,0.2233,0.2046,0.1632,0.1767,1342341100.0,1125955000.0,3.5665,3.594,3.594,822504000.0,822504000.0,0.2663,0.1959,AME
2019-03-31 00:00:00,4960916000.0,3260816900.0,1700099300.0,599468000.0,1100631200.0,,-91772000.0,83147000.0,1008859000.0,207998000.0,800861000.0,800861000.0,3.49,0.3427,0.2219,0.2034,0.1614,0.172,1308787200.0,1100631100.0,3.4578,3.4854,3.4854,800861000.0,800861000.0,0.2638,0.1904,AME
2018-12-31 00:00:00,4845872000.0,3186309900.0,1659562300.0,584022000.0,1075540200.0,,-87795000.0,82180000.0,987745000.0,209812000.0,777933000.0,777933000.0,3.38,0.3425,0.2219,0.2038,0.1605,0.1741,1275030200.0,1075540100.0,3.343,3.3703,3.3703,777933000.0,777933000.0,0.2631,0.191,AME
