Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,26330000000.0,6377000000.0,19953000000.0,4458000000.0,5267000000.0,9640000000.0,1412000000.0,-1911000000.0,1326000000.0,7729000000.0,894000000.0,6835000000.0,6835000000.0,12.54,0.7578,0.3661,0.2935,0.2596,0.3417,12998000000.0,9640000000.0,12.4552,12.5141,12.5141,6835000000.0,6835000000.0,0.4937,0.3752,AMGN
2022-06-30 00:00:00,26384000000.0,6398000000.0,19986000000.0,4768000000.0,5285000000.0,9358000000.0,1343000000.0,-1866000000.0,1254000000.0,7492000000.0,916000000.0,6576000000.0,6576000000.0,11.85,0.7575,0.3547,0.284,0.2492,0.3167,12729000000.0,9358000000.0,11.7772,11.8313,11.8313,6576000000.0,6576000000.0,0.4825,0.3532,AMGN
2022-03-31 00:00:00,26316000000.0,6525000000.0,19791000000.0,4811000000.0,5342000000.0,8010000000.0,1295000000.0,-1491000000.0,1207000000.0,6519000000.0,796000000.0,5723000000.0,5723000000.0,10.2,0.7521,0.3044,0.2477,0.2175,0.3198,11408000000.0,8010000000.0,10.1303,10.1794,10.1794,5723000000.0,5723000000.0,0.4335,0.3542,AMGN
2021-12-31 00:00:00,25979000000.0,6454000000.0,19525000000.0,4819000000.0,5368000000.0,7639000000.0,1286000000.0,-938000000.0,1197000000.0,6701000000.0,808000000.0,5893000000.0,5893000000.0,10.36,0.7516,0.294,0.2579,0.2268,0.3226,11037000000.0,7639000000.0,10.2845,10.3387,10.3387,5893000000.0,5893000000.0,0.4248,0.3565,AMGN
2021-09-30 00:00:00,25767000000.0,6333000000.0,19434000000.0,4700000000.0,5716000000.0,7343000000.0,1316000000.0,-896000000.0,1180000000.0,6447000000.0,838000000.0,5609000000.0,5609000000.0,9.76,0.7542,0.285,0.2502,0.2177,0.3043,10762000000.0,7343000000.0,9.7065,9.767,9.767,5609000000.0,5609000000.0,0.4177,0.334,AMGN
2021-06-30 00:00:00,25484000000.0,6285000000.0,19199000000.0,4340000000.0,5757000000.0,7418000000.0,1321000000.0,-920000000.0,1186000000.0,6498000000.0,752000000.0,5746000000.0,5746000000.0,9.89,0.7534,0.2911,0.255,0.2255,0.3491,10888000000.0,7418000000.0,9.8324,9.8989,9.8989,5746000000.0,5746000000.0,0.4272,0.375,AMGN
2021-03-31 00:00:00,25164000000.0,6136000000.0,19028000000.0,4222000000.0,5668000000.0,8913000000.0,1338000000.0,-943000000.0,1201000000.0,7970000000.0,885000000.0,7085000000.0,7085000000.0,12.15,0.7562,0.3542,0.3167,0.2816,0.3908,12458000000.0,8913000000.0,12.0724,12.1554,12.1554,7085000000.0,7085000000.0,0.4951,0.416,AMGN
2020-12-31 00:00:00,25424000000.0,6159000000.0,19265000000.0,4207000000.0,5730000000.0,9139000000.0,1413000000.0,-1006000000.0,1262000000.0,8133000000.0,869000000.0,7264000000.0,7264000000.0,12.39,0.7577,0.3595,0.3199,0.2857,0.389,12740000000.0,9139000000.0,12.3118,12.3959,12.3959,7264000000.0,7264000000.0,0.5011,0.4129,AMGN
2020-09-30 00:00:00,24987000000.0,5815000000.0,19172000000.0,4290000000.0,5470000000.0,9179000000.0,1327000000.0,-940000000.0,1245000000.0,8239000000.0,887000000.0,7352000000.0,7352000000.0,12.48,0.7673,0.3674,0.3297,0.2942,0.4096,12609000000.0,9179000000.0,12.4027,12.4984,12.4984,7352000000.0,7352000000.0,0.5046,0.4345,AMGN
2020-06-30 00:00:00,24301000000.0,5290000000.0,19011000000.0,4229000000.0,5347000000.0,9202000000.0,,-892000000.0,1256000000.0,8310000000.0,1011000000.0,7299000000.0,7299000000.0,12.32,0.7823,0.3787,0.342,0.3004,0.4201,12239000000.0,9202000000.0,12.2406,12.3292,12.3292,7299000000.0,7299000000.0,0.5036,0.4472,AMGN
2020-03-31 00:00:00,23966000000.0,4814000000.0,19152000000.0,4189000000.0,5312000000.0,9557000000.0,,-713000000.0,1292000000.0,8844000000.0,1169000000.0,7675000000.0,7675000000.0,12.84,0.7991,0.3988,0.369,0.3202,0.367,12165000000.0,9557000000.0,12.7671,12.8527,12.8527,7675000000.0,7675000000.0,0.5076,0.3938,AMGN
2019-12-31 00:00:00,23362000000.0,4356000000.0,19006000000.0,4116000000.0,5150000000.0,9674000000.0,,-536000000.0,1289000000.0,9138000000.0,1296000000.0,7842000000.0,7842000000.0,12.95,0.8135,0.4141,0.3911,0.3357,0.3652,11880000000.0,9674000000.0,12.8768,12.9621,12.9621,7842000000.0,7842000000.0,0.5085,0.3917,AMGN
2019-09-30 00:00:00,23395000000.0,4199000000.0,19196000000.0,3986000000.0,5196000000.0,10008000000.0,,-668000000.0,1340000000.0,9340000000.0,1273000000.0,8067000000.0,8067000000.0,13.12,0.8205,0.4278,0.3992,0.3448,0.3922,12002000000.0,10008000000.0,13.0523,13.1259,13.1259,8067000000.0,8067000000.0,0.513,0.4202,AMGN
2019-06-30 00:00:00,23562000000.0,4200000000.0,19362000000.0,3911000000.0,5266000000.0,9855000000.0,,-698000000.0,1382000000.0,9157000000.0,1199000000.0,7958000000.0,7958000000.0,12.71,0.8217,0.4183,0.3886,0.3377,0.3849,11842000000.0,9855000000.0,12.6476,12.7226,12.7226,7958000000.0,7958000000.0,0.5026,0.4128,AMGN
2019-03-31 00:00:00,23750000000.0,4212000000.0,19538000000.0,3856000000.0,5359000000.0,10009000000.0,,-769000000.0,1397000000.0,9240000000.0,1165000000.0,8075000000.0,8075000000.0,12.62,0.8227,0.4214,0.3891,0.34,0.4091,11979000000.0,10009000000.0,12.5543,12.6328,12.6328,8075000000.0,8075000000.0,0.5044,0.4385,AMGN
2018-12-31 00:00:00,23747000000.0,4101000000.0,19646000000.0,3737000000.0,5332000000.0,10263000000.0,,-718000000.0,1392000000.0,9545000000.0,1151000000.0,8394000000.0,8394000000.0,12.69,0.8273,0.4322,0.4019,0.3535,0.4446,12209000000.0,10263000000.0,12.6226,12.6989,12.6989,8394000000.0,8394000000.0,0.5141,0.4757,AMGN
2018-09-30 00:00:00,23319000000.0,4064000000.0,19255000000.0,3598000000.0,5200000000.0,10126000000.0,,-552000000.0,1372000000.0,9574000000.0,7372000000.0,2202000000.0,2202000000.0,3.76,0.8257,0.4342,0.4106,0.0944,0.448,12031000000.0,10126000000.0,3.8194,3.8415,3.8415,2202000000.0,2202000000.0,0.5159,0.4766,AMGN
2018-06-30 00:00:00,23188000000.0,4017000000.0,19171000000.0,3549000000.0,5077000000.0,10242000000.0,,-381000000.0,1342000000.0,9861000000.0,7497000000.0,2364000000.0,2364000000.0,3.66,0.8268,0.4417,0.4253,0.1019,0.4589,12110000000.0,10242000000.0,3.7122,3.7354,3.7354,2364000000.0,2364000000.0,0.5223,0.4871,AMGN
2018-03-31 00:00:00,22939000000.0,4017000000.0,18922000000.0,3553000000.0,4933000000.0,10108000000.0,,-352000000.0,1316000000.0,9756000000.0,7537000000.0,2219000000.0,2219000000.0,3.09,0.8249,0.4406,0.4253,0.0967,0.4738,12010000000.0,10108000000.0,3.148,3.1659,3.1659,2219000000.0,2219000000.0,0.5236,0.5022,AMGN
2017-12-31 00:00:00,22849000000.0,4069000000.0,18780000000.0,3562000000.0,4870000000.0,9973000000.0,,-376000000.0,1304000000.0,9597000000.0,7618000000.0,1979000000.0,1979000000.0,2.63,0.8219,0.4365,0.42,0.0866,0.4601,11928000000.0,9973000000.0,2.6925,2.7072,2.7072,1979000000.0,1979000000.0,0.522,0.4892,AMGN
2017-09-30 00:00:00,23012000000.0,4077000000.0,18935000000.0,3597000000.0,4766000000.0,10213000000.0,,-547000000.0,1300000000.0,9666000000.0,1488000000.0,8178000000.0,8178000000.0,11.13,0.8228,0.4438,0.42,0.3554,0.4575,12278000000.0,10213000000.0,11.0559,11.1267,11.1267,8178000000.0,8178000000.0,0.5335,0.4895,AMGN
2017-06-30 00:00:00,23050000000.0,4114000000.0,18936000000.0,3710000000.0,4840000000.0,10301000000.0,,-598000000.0,1300000000.0,9703000000.0,1529000000.0,8174000000.0,8174000000.0,11.05,0.8215,0.4469,0.421,0.3546,0.422,12405000000.0,10301000000.0,10.9773,11.0507,11.0507,8174000000.0,8174000000.0,0.5382,0.4544,AMGN
2017-03-31 00:00:00,22928000000.0,4140000000.0,18788000000.0,3737000000.0,4923000000.0,9983000000.0,,-618000000.0,1292000000.0,9365000000.0,1472000000.0,7893000000.0,7893000000.0,10.61,0.8194,0.4354,0.4085,0.3443,0.4394,12091000000.0,9983000000.0,10.5362,10.6102,10.6102,7893000000.0,7893000000.0,0.5273,0.4721,AMGN
2016-12-31 00:00:00,22991000000.0,4162000000.0,18829000000.0,3840000000.0,5062000000.0,9794000000.0,,-631000000.0,1260000000.0,9163000000.0,1441000000.0,7722000000.0,7722000000.0,10.32,0.819,0.426,0.3985,0.3359,0.4183,11899000000.0,9794000000.0,10.2413,10.3234,10.3234,7722000000.0,7722000000.0,0.5176,0.4504,AMGN
2016-09-30 00:00:00,22562000000.0,4166000000.0,18396000000.0,3855000000.0,5155000000.0,9342000000.0,,-549000000.0,1216000000.0,8793000000.0,1206000000.0,7587000000.0,7587000000.0,10.1,0.8154,0.4141,0.3897,0.3363,0.3818,11430000000.0,9342000000.0,10.0122,10.0989,10.0989,7587000000.0,7587000000.0,0.5066,0.4134,AMGN
2016-06-30 00:00:00,22474000000.0,4173000000.0,18301000000.0,3984000000.0,5155000000.0,9154000000.0,,-587000000.0,1173000000.0,8567000000.0,1134000000.0,7433000000.0,7433000000.0,9.86,0.8143,0.4073,0.3812,0.3307,0.3775,11262000000.0,9154000000.0,9.7721,9.8598,9.8598,7433000000.0,7433000000.0,0.5011,0.4252,AMGN
2016-03-31 00:00:00,22156000000.0,4212000000.0,17944000000.0,4048000000.0,5023000000.0,8850000000.0,,-490000000.0,1137000000.0,8360000000.0,1144000000.0,7216000000.0,7216000000.0,9.55,0.8099,0.3994,0.3773,0.3257,0.4426,10955000000.0,8850000000.0,9.4509,9.5448,9.5448,7216000000.0,7216000000.0,0.4944,0.4587,AMGN
2015-12-31 00:00:00,21662000000.0,4227000000.0,17435000000.0,4070000000.0,4846000000.0,8470000000.0,,-492000000.0,1095000000.0,7978000000.0,1039000000.0,6939000000.0,6939000000.0,9.16,0.8049,0.391,0.3683,0.3203,0.4344,10578000000.0,8470000000.0,9.0587,9.1543,9.1543,6939000000.0,6939000000.0,0.4883,0.4492,AMGN
2015-09-30 00:00:00,21457000000.0,4339000000.0,17118000000.0,4211000000.0,4757000000.0,7896000000.0,,-545000000.0,1072000000.0,7351000000.0,918000000.0,6433000000.0,6433000000.0,8.47,0.7978,0.368,0.3426,0.2998,0.4745,9987000000.0,7896000000.0,8.3724,8.4741,8.4741,6433000000.0,6433000000.0,0.4654,0.4894,AMGN
2015-06-30 00:00:00,20765000000.0,4373000000.0,16392000000.0,4110000000.0,4726000000.0,7023000000.0,,-527000000.0,1059000000.0,6496000000.0,682000000.0,5814000000.0,5814000000.0,7.64,0.7894,0.3382,0.3128,0.28,0.4632,9134000000.0,7023000000.0,7.5474,7.6478,7.6478,5814000000.0,5814000000.0,0.4399,0.4984,AMGN
2015-03-31 00:00:00,20575000000.0,4365000000.0,16210000000.0,4164000000.0,4702000000.0,6849000000.0,,-592000000.0,1064000000.0,6257000000.0,549000000.0,5708000000.0,5708000000.0,7.5,0.7878,0.3329,0.3041,0.2774,0.4195,8947000000.0,6849000000.0,7.4094,7.511,7.511,5708000000.0,5708000000.0,0.4348,0.4516,AMGN
2014-12-31 00:00:00,20063000000.0,4422000000.0,15641000000.0,4297000000.0,4699000000.0,6191000000.0,,-606000000.0,1071000000.0,5585000000.0,427000000.0,5158000000.0,5158000000.0,6.79,0.7796,0.3086,0.2784,0.2571,0.3951,8283000000.0,6191000000.0,6.6987,6.7957,6.7957,5158000000.0,5158000000.0,0.4128,0.4462,AMGN
2014-09-30 00:00:00,19743000000.0,4268000000.0,15475000000.0,4312000000.0,4893000000.0,5919000000.0,,-606000000.0,1071000000.0,5313000000.0,428000000.0,4885000000.0,4885000000.0,6.44,0.7838,0.2998,0.2691,0.2474,0.3672,7930000000.0,5919000000.0,6.3573,6.4413,6.4413,4885000000.0,4885000000.0,0.4017,0.4024,AMGN
