Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,16983000000.0,14738000000.0,2245000000.0,1126000000.0,1083000000.0,193000000.0,266000000.0,36000000.0,715000000.0,121000000.0,774000000.0,-256000000.0,313000000.0,1.16,0.1322,0.0638,0.0421,0.0184,0.0045,1883000000.0,1083000000.0,1.3379,,1.3397,,1.3397,363000000.0,,363000000.0,0.1109,0.0588,APTV
2022-06-30 00:00:00,16023000000.0,14079000000.0,1944000000.0,1114000000.0,828000000.0,171000000.0,262000000.0,13000000.0,463000000.0,90000000.0,,-240000000.0,113000000.0,0.42,0.1213,0.0517,0.0289,0.0071,-0.017,1597000000.0,828000000.0,0.5927,,0.5948,,0.5948,161000000.0,,161000000.0,0.0997,0.0353,APTV
2022-03-31 00:00:00,15773000000.0,13623000000.0,2150000000.0,1094000000.0,1016000000.0,153000000.0,173000000.0,44000000.0,694000000.0,122000000.0,620000000.0,-221000000.0,321000000.0,1.19,0.1363,0.0644,0.044,0.0204,0.0032,1779000000.0,1016000000.0,1.4709,,1.4743,,1.4743,399000000.0,,399000000.0,0.1128,0.0487,APTV
2021-12-31 00:00:00,15618000000.0,13282000000.0,2336000000.0,1075000000.0,1189000000.0,150000000.0,72000000.0,82000000.0,910000000.0,,809000000.0,-200000000.0,527000000.0,1.95,0.1496,0.0761,0.0583,0.0337,0.0394,1946000000.0,1189000000.0,2.2454,,2.2517,,2.2517,609000000.0,,609000000.0,0.1246,0.0782,APTV
2021-09-30 00:00:00,15696000000.0,13127000000.0,2569000000.0,1062000000.0,1375000000.0,153000000.0,-91000000.0,120000000.0,1230000000.0,156000000.0,1074000000.0,-189000000.0,795000000.0,2.94,0.1637,0.0876,0.0784,0.0506,0.0529,2157000000.0,1375000000.0,2.9934,,3.1767,,3.1767,885000000.0,,885000000.0,0.1374,0.0861,APTV
2021-06-30 00:00:00,15710000000.0,12955000000.0,2755000000.0,1028000000.0,1524000000.0,155000000.0,-147000000.0,155000000.0,1377000000.0,129000000.0,1248000000.0,-162000000.0,992000000.0,3.67,0.1754,0.097,0.0877,0.0631,0.0912,2325000000.0,1524000000.0,3.7379,,3.9217,,3.9217,1086000000.0,,1086000000.0,0.148,0.1214,APTV
2021-03-31 00:00:00,13863000000.0,11697000000.0,2166000000.0,979000000.0,928000000.0,161000000.0,-159000000.0,161000000.0,769000000.0,87000000.0,682000000.0,-127000000.0,476000000.0,1.7,0.1562,0.0669,0.0555,0.0343,0.0721,1716000000.0,928000000.0,1.7119,,1.8934,,1.8934,555000000.0,,555000000.0,0.1238,0.1085,APTV
2020-12-31 00:00:00,13066000000.0,11126000000.0,1940000000.0,976000000.0,2118000000.0,164000000.0,-164000000.0,164000000.0,1954000000.0,49000000.0,1905000000.0,-83000000.0,1769000000.0,6.81,0.1485,0.1621,0.1495,0.1354,0.0635,2891000000.0,2118000000.0,6.7307,,6.9164,,6.9164,1822000000.0,,1822000000.0,0.2213,0.1081,APTV
2020-09-30 00:00:00,12450000000.0,10602000000.0,1848000000.0,996000000.0,1996000000.0,166000000.0,-187000000.0,166000000.0,1809000000.0,24000000.0,1785000000.0,-37000000.0,1716000000.0,6.66,0.1484,0.1603,0.1453,0.1378,0.0534,2739000000.0,1996000000.0,6.7797,,6.7918,,6.7918,1748000000.0,,1748000000.0,0.22,0.1058,APTV
2020-06-30 00:00:00,12341000000.0,10463000000.0,1878000000.0,1029000000.0,1952000000.0,,-185000000.0,170000000.0,1767000000.0,64000000.0,1703000000.0,-8000000.0,1679000000.0,6.57,0.1522,0.1582,0.1432,0.1361,0.0316,2679000000.0,1952000000.0,6.6344,,6.6471,,6.6471,1695000000.0,,1695000000.0,0.2171,0.0878,APTV
2020-03-31 00:00:00,14008000000.0,11474000000.0,2534000000.0,1072000000.0,2598000000.0,,-172000000.0,169000000.0,2426000000.0,109000000.0,2317000000.0,14000000.0,2322000000.0,9.07,0.1809,0.1855,0.1732,0.1658,0.0687,3327000000.0,2598000000.0,9.1014,,9.1161,,9.1161,2331000000.0,,2331000000.0,0.2375,0.1214,APTV
2019-12-31 00:00:00,14357000000.0,11711000000.0,2646000000.0,1076000000.0,1276000000.0,,-150000000.0,164000000.0,1126000000.0,132000000.0,994000000.0,15000000.0,990000000.0,3.85,0.1843,0.0889,0.0784,0.069,0.059,1999000000.0,1276000000.0,3.9201,,3.929,,3.929,1009000000.0,,1009000000.0,0.1392,0.1131,APTV
2019-09-30 00:00:00,14397000000.0,11769000000.0,2628000000.0,1020000000.0,1307000000.0,,-156000000.0,160000000.0,1151000000.0,144000000.0,1007000000.0,18000000.0,1007000000.0,3.89,0.1825,0.0908,0.0799,0.0699,0.0604,2054000000.0,1307000000.0,3.992,,3.9649,,3.9942,1025000000.0,,1025000000.0,0.1427,0.1166,APTV
2019-06-30 00:00:00,14323000000.0,11721000000.0,2602000000.0,990000000.0,1310000000.0,,-151000000.0,152000000.0,1159000000.0,172000000.0,987000000.0,17000000.0,983000000.0,3.77,0.1817,0.0915,0.0809,0.0686,0.047,2042000000.0,1310000000.0,3.8799,,3.8532,,3.8825,1004000000.0,,1004000000.0,0.1426,0.1064,APTV
2019-03-31 00:00:00,14380000000.0,11721000000.0,2659000000.0,990000000.0,1396000000.0,,-157000000.0,145000000.0,1239000000.0,224000000.0,1015000000.0,21000000.0,1000000000.0,3.8,0.1849,0.0971,0.0862,0.0695,0.0478,2097000000.0,1396000000.0,3.9678,,3.943,,3.9723,1036000000.0,,1036000000.0,0.1458,0.1083,APTV
2018-12-31 00:00:00,14435000000.0,11706000000.0,2729000000.0,993000000.0,1473000000.0,,-139000000.0,141000000.0,1334000000.0,250000000.0,1084000000.0,23000000.0,1067000000.0,4.03,0.1891,0.102,0.0924,0.0739,0.0515,2156000000.0,1473000000.0,4.1739,,4.1867,,4.1866,1107000000.0,,1107000000.0,0.1494,0.1128,APTV
2018-09-30 00:00:00,14239000000.0,11469000000.0,2770000000.0,1017000000.0,1504000000.0,,-113000000.0,141000000.0,1391000000.0,343000000.0,1048000000.0,24000000.0,1076000000.0,4.04,0.1945,0.1056,0.0977,0.0756,0.0303,2139000000.0,1504000000.0,3.9319,,4.2487,,3.9573,1072000000.0,,1127000000.0,0.1502,0.0912,APTV
2018-06-30 00:00:00,13902000000.0,11133000000.0,2769000000.0,1015000000.0,1554000000.0,,-125000000.0,142000000.0,1429000000.0,308000000.0,1121000000.0,26000000.0,1249000000.0,4.68,0.1992,0.1118,0.1028,0.0898,0.0327,2163000000.0,1554000000.0,4.1713,,4.9268,,4.1942,1147000000.0,,1309000000.0,0.1556,0.092,APTV
2018-03-31 00:00:00,13371000000.0,10673000000.0,2698000000.0,986000000.0,1497000000.0,,-109000000.0,141000000.0,1388000000.0,263000000.0,1125000000.0,25000000.0,1327000000.0,4.96,0.2018,0.112,0.1038,0.0992,0.0423,2079000000.0,1497000000.0,4.14,,5.2261,,4.16,1150000000.0,,1392000000.0,0.1555,0.0997,APTV
2017-12-31 00:00:00,12884000000.0,10270000000.0,2614000000.0,952000000.0,1416000000.0,,-161000000.0,140000000.0,1255000000.0,223000000.0,1032000000.0,31000000.0,1355000000.0,5.05,0.2029,0.1099,0.0974,0.1052,0.0564,1969000000.0,1416000000.0,3.81,1.24,5.3443,1.24,3.82,1063000000.0,365000000.0,1428000000.0,0.1528,0.1139,APTV
2017-09-30 00:00:00,12637000000.0,9865000000.0,2772000000.0,938000000.0,1555000000.0,,-469000000.0,136000000.0,1086000000.0,84000000.0,1002000000.0,36000000.0,1380000000.0,5.14,0.2194,0.1231,0.0859,0.1092,0.0919,1917000000.0,1555000000.0,3.71,1.42,5.434,1.43,3.71,1038000000.0,419000000.0,1457000000.0,0.1517,0.1363,APTV
2017-06-30 00:00:00,13580000000.0,10620000000.0,2960000000.0,986000000.0,1645000000.0,,-537000000.0,142000000.0,1108000000.0,110000000.0,998000000.0,40000000.0,1278000000.0,4.74,0.218,0.1211,0.0816,0.0941,0.1045,2045000000.0,1645000000.0,3.67,1.05,5.007,1.06,3.68,1038000000.0,312000000.0,1350000000.0,0.1506,0.1463,APTV
2017-03-31 00:00:00,14633000000.0,11468000000.0,3165000000.0,1033000000.0,1675000000.0,,-556000000.0,148000000.0,1119000000.0,156000000.0,963000000.0,40000000.0,1167000000.0,4.3,0.2163,0.1145,0.0765,0.0798,0.0946,2136000000.0,1675000000.0,3.5,1.16,4.5565,1.17,3.52,1003000000.0,232000000.0,1235000000.0,0.146,0.1341,APTV
