Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,9196000000.0,6708000000.0,2489000000.0,1350800000.0,1151100700.0,82000000.0,54000000.0,81600000.0,,1075000000.0,257000000.0,817300000.0,818000000.0,9.89,0.2707,0.1252,0.1169,0.089,0.0623,1427000000.0,1151100100.0,9.886,,9.9712,,9.9712,816900000.0,,818000000.0,0.1552,0.0978,AVY
2022-06-30 00:00:00,8951000000.0,6527000000.0,2424000000.0,1317000000.0,1100300500.0,79000000.0,68000000.0,78400000.0,,1026000000.0,265000000.0,761000000.0,760000000.0,9.15,0.2708,0.1229,0.1146,0.0849,0.0746,1386000000.0,1100299900.0,9.1421,,9.2229,,9.2229,759500000.0,,760000000.0,0.1548,0.1077,AVY
2022-03-31 00:00:00,8706000000.0,6348700000.0,2356300000.0,1291300000.0,1062800500.0,74000000.0,47400000.0,73600000.0,,993300000.0,262400000.0,731400000.0,728800000.0,8.73,0.2707,0.1221,0.1141,0.0837,0.0763,1327100000.0,1062799900.0,8.7227,,8.8119,,8.8119,728800000.0,,728800000.0,0.1524,0.1107,AVY
2021-12-31 00:00:00,8408300000.0,6095000000.0,2312300000.0,1248600000.0,1058700300.0,70000000.0,25500000.0,70200000.0,-3900000.0,992200000.0,248500000.0,744000000.0,740300000.0,8.84,0.275,0.1259,0.118,0.088,0.0923,1307299900.0,1058699700.0,8.8317,,8.9277,,8.9277,740100000.0,,740300000.0,0.1555,0.1245,AVY
2021-09-30 00:00:00,8216200000.0,5916800000.0,2298399700.0,1218100000.0,1068199700.0,66000000.0,-18200000.0,65800000.0,-4400000.0,1003500000.0,250400000.0,753300000.0,748800000.0,8.93,0.2797,0.13,0.1221,0.0911,0.1009,1310799700.0,1068199700.0,8.9224,,9.0115,,9.0115,748900000.0,,748800000.0,0.1595,0.1305,AVY
2021-06-30 00:00:00,7873300000.0,5644700000.0,2228599700.0,1179400000.0,1040199700.0,64000000.0,-62900000.0,63400000.0,-4300000.0,977300000.0,237700000.0,739600000.0,735300000.0,8.76,0.2831,0.1321,0.1241,0.0934,0.1042,1257299700.0,1040199700.0,8.7535,,8.8344,,8.8344,735300000.0,,735300000.0,0.1597,0.1326,AVY
2021-03-31 00:00:00,7299800000.0,5264600000.0,2035199700.0,1091800000.0,893799700.0,68000000.0,-68500000.0,67400000.0,-4600000.0,825300000.0,189500000.0,635800000.0,631200000.0,7.52,0.2788,0.1224,0.1131,0.0865,0.104,1105999700.0,893799700.0,7.5113,,7.5755,,7.5755,631200000.0,,631200000.0,0.1515,0.131,AVY
2020-12-31 00:00:00,6971500000.0,5048200000.0,1923299700.0,1060500000.0,809199800.0,71000000.0,-71900000.0,70000000.0,-3700000.0,737300000.0,177700000.0,559600000.0,555900000.0,6.62,0.2759,0.1161,0.1058,0.0797,0.0777,1014499800.0,809199800.0,6.61,,6.6654,,6.6654,555900000.0,,555900000.0,0.1455,0.1078,AVY
2020-09-30 00:00:00,6753500000.0,4916600000.0,1836900300.0,1031800000.0,716300000.0,73000000.0,-69000000.0,72200000.0,-3400000.0,647300000.0,117000000.0,530300000.0,526900000.0,6.26,0.272,0.1061,0.0958,0.078,0.0769,911700000.0,716300100.0,6.2626,,6.3034,,6.3034,526900000.0,,526900000.0,0.135,0.1068,AVY
2020-06-30 00:00:00,6785800000.0,4961400000.0,1824400400.0,1038800000.0,702500100.0,,-73100000.0,75600000.0,-3100000.0,629400000.0,105300000.0,524100000.0,521000000.0,6.18,0.2689,0.1035,0.0928,0.0768,0.0667,889900100.0,702500200.0,6.1761,,6.2224,,6.2224,521000000.0,,521000000.0,0.1311,0.1019,AVY
