Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,47988000000.0,37704000000.0,10284000000.0,8410000000.0,2306000000.0,25000000.0,-22000000.0,26000000.0,2069000000.0,450000000.0,1776000000.0,0.0,1614000000.0,7.0,0.2143,0.0481,0.0431,0.0336,-0.0158,3001000000.0,2306000000.0,7.4686,,7.5199,,7.5199,1772000000.0,,1614000000.0,0.0625,0.002,BBY
2022-04-30 00:00:00,49569000000.0,38770000000.0,10799000000.0,8537000000.0,2732000000.0,25000000.0,-24000000.0,25000000.0,2366000000.0,558000000.0,2197000000.0,,1807000000.0,7.66,0.2179,0.0551,0.0477,0.0365,-0.0236,3285000000.0,2732000000.0,9.0187,,9.096,,9.096,2200000000.0,,1807000000.0,0.0663,-0.0077,BBY
2022-03-31 00:00:00,50771000000.0,39515000000.0,11256000000.0,,,25000000.0,-16000000.0,,2709000000.0,512000000.0,,,2200000000.0,9.09,0.2217,0.0,0.0534,0.0433,0.0347,3610000000.0,,,,,,,,,2200000000.0,0.0711,0.0347,BBY
2022-01-31 00:00:00,51761000000.0,40121000000.0,11640000000.0,8635000000.0,3039000000.0,25000000.0,-15000000.0,25000000.0,3024000000.0,574000000.0,2450000000.0,4000000.0,2454000000.0,9.95,0.2249,0.0587,0.0584,0.0474,0.0486,3908000000.0,3039000000.0,9.8436,,9.9433,,9.9433,2454000000.0,,2454000000.0,0.0755,0.0628,BBY
2021-10-31 00:00:00,52333000000.0,40463000000.0,11870000000.0,8498000000.0,3269000000.0,28000000.0,-2000000.0,28000000.0,3267000000.0,629000000.0,2638000000.0,6000000.0,2644000000.0,10.45,0.2268,0.0625,0.0624,0.0505,0.0259,4124000000.0,3269000000.0,10.3195,,10.4504,,10.4504,2644000000.0,,2644000000.0,0.0788,0.0398,BBY
2021-07-31 00:00:00,52276000000.0,40413000000.0,11863000000.0,8488000000.0,3160000000.0,32000000.0,-2000000.0,32000000.0,3158000000.0,627000000.0,2531000000.0,4000000.0,2536000000.0,9.93,0.2269,0.0604,0.0604,0.0485,0.025,4015000000.0,3160000000.0,9.799,,9.9302,,9.9302,2536000000.0,,2536000000.0,0.0768,0.0383,BBY
2021-04-30 00:00:00,50337000000.0,39014000000.0,11323000000.0,8181000000.0,2931000000.0,41000000.0,-6000000.0,41000000.0,2925000000.0,692000000.0,2233000000.0,-1000000.0,2234000000.0,8.66,0.2249,0.0582,0.0581,0.0444,0.0697,3779000000.0,2931000000.0,8.5437,,8.6612,,8.6612,2234000000.0,,2234000000.0,0.0751,0.0835,BBY
2021-01-31 00:00:00,47262000000.0,36689000000.0,10573000000.0,7928000000.0,2391000000.0,52000000.0,-14000000.0,52000000.0,2377000000.0,579000000.0,1798000000.0,,1798000000.0,6.92,0.2237,0.0506,0.0503,0.038,0.0892,3230000000.0,2391000000.0,6.8364,,6.926,,6.926,1798000000.0,,1798000000.0,0.0683,0.1042,BBY
2020-10-31 00:00:00,45521000000.0,35256000000.0,10265000000.0,7828000000.0,2325000000.0,57000000.0,-20000000.0,57000000.0,2301000000.0,574000000.0,1727000000.0,,1727000000.0,6.64,0.2255,0.0511,0.0505,0.0379,0.1064,3158000000.0,2325000000.0,6.525,,6.608,,6.608,1727000000.0,,1727000000.0,0.0694,0.1216,BBY
2020-07-31 00:00:00,43432000000.0,33601000000.0,9831000000.0,7678000000.0,2159000000.0,,-20000000.0,62000000.0,2135000000.0,506000000.0,1629000000.0,,1629000000.0,6.25,0.2264,0.0497,0.0492,0.0375,0.1158,2984000000.0,2159000000.0,6.1471,,6.2162,,6.2162,1629000000.0,,1629000000.0,0.0687,0.1319,BBY
