Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,16022000000.0,380174000.0,15877000000.0,10948000000.0,4605000000.0,321000000.0,1583000000.0,157000000.0,3287000000.0,846000000.0,2441000000.0,2441000000.0,60.9,0.9909,0.2874,0.2052,0.1524,0.2663,5371000000.0,4605000000.0,60.9391,61.2278,61.2278,2441000000.0,2441000000.0,0.3352,0.2909,BKNG
2022-06-30 00:00:00,14646000000.0,,14646000000.0,10101000000.0,4037000000.0,299000000.0,2204000000.0,100000000.0,2079000000.0,535000000.0,1544000000.0,1544000000.0,37.5,1.0,0.2756,0.142,0.1054,0.4014,4806000000.0,4037000000.0,37.5446,37.8438,37.8438,1544000000.0,1544000000.0,0.3281,0.427,BKNG
2022-03-31 00:00:00,12512000000.0,,12512000000.0,9027000000.0,2981000000.0,304000000.0,2163000000.0,157000000.0,894000000.0,374000000.0,520000000.0,520000000.0,12.35,1.0,0.2383,0.0715,0.0416,0.3496,3567000000.0,2981000000.0,12.4022,12.6218,12.6218,520000000.0,520000000.0,0.2851,0.3774,BKNG
2021-12-31 00:00:00,10958000000.0,302599000.0,10958000000.0,7984000000.0,2496000000.0,334000000.0,1109000000.0,187000000.0,1465000000.0,300000000.0,1165000000.0,1165000000.0,28.12,1.0,0.2278,0.1337,0.1063,0.2296,3009000000.0,2496000000.0,28.166,28.3856,28.3856,1165000000.0,1165000000.0,0.2746,0.2573,BKNG
2021-09-30 00:00:00,9215000000.0,,9215000000.0,7156000000.0,1495000000.0,357000000.0,1487000000.0,281000000.0,894000000.0,512000000.0,382000000.0,382000000.0,9.16,1.0,0.1622,0.097,0.0415,0.1842,1992000000.0,1495000000.0,9.1604,9.2161,9.2161,382000000.0,382000000.0,0.2162,0.2131,BKNG
2021-06-30 00:00:00,7179000000.0,,7179000000.0,6237000000.0,-205000000.0,375000000.0,966000000.0,375000000.0,761000000.0,347000000.0,414000000.0,414000000.0,10.12,1.0,-0.0286,0.106,0.0577,0.1432,849000000.0,-205000000.0,10.0576,10.0587,10.0587,414000000.0,414000000.0,0.1183,0.1794,BKNG
2021-03-31 00:00:00,5649000000.0,,5649000000.0,5098000000.0,-633000000.0,390000000.0,1644000000.0,390000000.0,1011000000.0,308000000.0,703000000.0,703000000.0,17.18,1.0,-0.1121,0.179,0.1244,-0.0023,444000000.0,-633000000.0,17.1014,17.1078,17.1078,703000000.0,703000000.0,0.0786,0.0457,BKNG
2020-12-31 00:00:00,6796000000.0,,6796000000.0,5758000000.0,-631000000.0,356000000.0,1198000000.0,356000000.0,567000000.0,508000000.0,59000000.0,59000000.0,1.51,1.0,-0.0928,0.0834,0.0087,-0.0296,953000000.0,-631000000.0,1.4335,1.4399,1.4399,59000000.0,59000000.0,0.1402,0.0125,BKNG
2020-09-30 00:00:00,8897000000.0,,8897000000.0,6605000000.0,694000000.0,320000000.0,1048000000.0,320000000.0,1742000000.0,347000000.0,1395000000.0,1395000000.0,33.6,1.0,0.078,0.1958,0.1568,0.1607,2280000000.0,694000000.0,32.4616,32.8277,32.8277,1395000000.0,1395000000.0,0.2563,0.1955,BKNG
2020-06-30 00:00:00,11297000000.0,,11297000000.0,7562000000.0,2749000000.0,,521000000.0,292000000.0,3270000000.0,726000000.0,2544000000.0,2544000000.0,60.05,1.0,0.2433,0.2895,0.2252,0.2081,3764000000.0,2749000000.0,58.4913,59.2626,59.2626,2544000000.0,2544000000.0,0.3332,0.2363,BKNG
2020-03-31 00:00:00,14517000000.0,,14517000000.0,9078000000.0,4480000000.0,,-212000000.0,264000000.0,4268000000.0,867000000.0,3401000000.0,3401000000.0,79.69,1.0,0.3086,0.294,0.2343,0.2754,5497000000.0,4480000000.0,77.9689,78.9166,78.9166,3401000000.0,3401000000.0,0.3787,0.2986,BKNG
2019-12-31 00:00:00,15066000000.0,,15066000000.0,9252000000.0,5345000000.0,,613000000.0,266000000.0,5958000000.0,1093000000.0,4865000000.0,4865000000.0,113.71,1.0,0.3548,0.3955,0.3229,0.2985,5872000000.0,5345000000.0,111.816,112.9242,112.9242,4865000000.0,4865000000.0,0.3898,0.3229,BKNG
2019-09-30 00:00:00,14940000000.0,,14940000000.0,9163000000.0,5316000000.0,,-146000000.0,270000000.0,5170000000.0,830000000.0,4340000000.0,4340000000.0,99.64,1.0,0.3558,0.3461,0.2905,0.3015,5834000000.0,5316000000.0,98.5957,99.6106,99.6106,4340000000.0,4340000000.0,0.3905,0.3261,BKNG
2019-06-30 00:00:00,14749000000.0,,14749000000.0,9105000000.0,5193000000.0,,-146000000.0,268000000.0,5047000000.0,890000000.0,4157000000.0,4157000000.0,91.02,1.0,0.3521,0.3422,0.2818,0.3105,5701000000.0,5193000000.0,90.0724,90.9907,90.9907,4157000000.0,4157000000.0,0.3865,0.338,BKNG
2019-03-31 00:00:00,14436000000.0,,14436000000.0,8830000000.0,5167000000.0,,-117000000.0,265000000.0,5050000000.0,894000000.0,4156000000.0,4156000000.0,88.74,1.0,0.3579,0.3498,0.2879,0.3066,5662000000.0,5167000000.0,87.763,88.7071,88.7071,4156000000.0,4156000000.0,0.3922,0.3358,BKNG
2018-12-31 00:00:00,14527000000.0,,14527000000.0,8760000000.0,5341000000.0,,-506000000.0,269000000.0,4835000000.0,837000000.0,3998000000.0,3998000000.0,84.29,1.0,0.3677,0.3328,0.2752,0.337,5826000000.0,5341000000.0,83.2622,84.2643,84.2643,3998000000.0,3998000000.0,0.401,0.3675,BKNG
2018-09-30 00:00:00,14117011000.0,,14077018000.0,8477752000.0,5184478000.0,,-40050000.0,274003000.0,5144428100.0,2347651000.0,2796777000.0,2796777000.0,58.88,0.9972,0.3673,0.3644,0.1981,0.1796,5663530000.0,5184478300.0,58.4248,59.0255,59.0255,2796777000.0,2796777000.0,0.4012,0.3845,BKNG
2018-06-30 00:00:00,13702040000.0,,13607866000.0,8164889000.0,5039279000.0,,-68006000.0,272341000.0,4971273100.0,2221105000.0,2750168000.0,2750168000.0,56.61,0.9931,0.3678,0.3628,0.2007,0.255,5512082000.0,5039279300.0,55.8474,56.7665,56.7665,2750168000.0,2750168000.0,0.4023,0.3905,BKNG
2018-03-31 00:00:00,13189596000.0,,13027997000.0,7933889000.0,4711537800.0,,-87148000.0,268283000.0,4624390100.0,2132013000.0,2492377000.0,2492377000.0,50.93,0.9877,0.3572,0.3506,0.189,0.2954,5170415800.0,4711538100.0,50.0913,51.0738,51.0738,2492377000.0,2492377000.0,0.392,0.3731,BKNG
2017-12-31 00:00:00,12681000000.0,242000000.0,12439000000.0,7538000000.0,4538000000.0,,-139000000.0,254000000.0,4399000100.0,2058000000.0,2341000000.0,2341000000.0,47.63,0.9809,0.3579,0.3469,0.1846,0.3449,4980000000.0,4538000300.0,46.8631,47.7813,47.7813,2341000000.0,2341000000.0,0.3927,0.3676,BKNG
2017-09-30 00:00:00,12226416000.0,260765000.0,11965651000.0,7278897000.0,4341570300.0,,-121573000.0,238333000.0,4219997000.0,649853000.0,3570144100.0,3570144000.0,72.7,0.9787,0.3551,0.3452,0.292,0.5547,4766231400.0,4341570000.0,71.3757,72.695,72.695,3570144100.0,3570144100.0,0.3898,0.375,BKNG
2017-06-30 00:00:00,11482939000.0,308073000.0,11174866000.0,6833151000.0,3072996400.0,,-122310000.0,227475000.0,2950686000.0,594916000.0,2355770100.0,2355770000.0,47.82,0.9732,0.2676,0.257,0.2052,0.4742,4420686400.0,3072996100.0,47.074,47.8105,47.8105,2355770100.0,2355770100.0,0.385,0.3674,BKNG
2017-03-31 00:00:00,11014285000.0,366732000.0,10647553000.0,6474850000.0,2912144700.0,,-132027000.0,216823000.0,2780117000.0,563918000.0,2216199000.0,2216199000.0,44.87,0.9667,0.2644,0.2524,0.2012,0.4048,4250549700.0,2912144400.0,44.285,44.857,44.857,2216199000.0,2216199000.0,0.3859,0.365,BKNG
2016-12-31 00:00:00,10743000000.0,415000000.0,10328000000.0,6172000000.0,2906000400.0,,-193000000.0,208000000.0,2713000000.0,578000000.0,2135000000.0,2135000000.0,43.15,0.9614,0.2705,0.2525,0.1987,0.3504,4233000400.0,2906000100.0,42.6463,43.1392,43.1392,2135000000.0,2135000000.0,0.394,0.3708,BKNG
2016-09-30 00:00:00,10394568000.0,476854000.0,9917715000.0,5903070000.0,2773852100.0,,-206747000.0,196431000.0,2567105000.0,601757000.0,1965347900.0,1965348100.0,39.63,0.9541,0.2669,0.247,0.1891,0.3515,4090387000.0,2773852400.0,38.9436,39.4568,39.4568,1965347900.0,1965347900.0,0.3935,0.3723,BKNG
2016-06-30 00:00:00,9806917000.0,530984000.0,9275934000.0,5556200000.0,3429332000.0,,-203591000.0,182387000.0,3225741000.0,569678000.0,2656062900.0,2656063100.0,53.06,0.9459,0.3497,0.3289,0.2708,0.3524,3794493000.0,3429332300.0,52.2239,52.8919,52.8919,2656062900.0,2656062900.0,0.3869,0.3731,BKNG
2016-03-31 00:00:00,9531412000.0,592391000.0,8939022000.0,5283402000.0,3375255800.0,,-193686000.0,173644000.0,3181570000.0,589113000.0,2592457000.0,2592457100.0,51.37,0.9378,0.3541,0.3338,0.272,0.3298,3730495900.0,3375256100.0,50.5605,51.2085,51.2085,2592457000.0,2592457000.0,0.3914,0.3503,BKNG
2015-12-31 00:00:00,9223987000.0,632180000.0,8591808000.0,5060406000.0,3258907000.0,,-130587000.0,160229000.0,3128320000.0,576960000.0,2551360000.0,2551360100.0,50.25,0.9315,0.3533,0.3392,0.2766,0.3284,3605666100.0,3258907300.0,49.4518,50.0856,50.0856,2551360000.0,2551360000.0,0.3909,0.3473,BKNG
2015-09-30 00:00:00,9064089000.0,676980000.0,8387109000.0,4933947000.0,3179874100.0,,-116043000.0,147011000.0,3063831000.0,564909000.0,2498921900.0,2498921900.0,48.76,0.9253,0.3508,0.338,0.2757,0.3099,3526006100.0,3179874100.0,48.2091,48.7993,48.7993,2498921900.0,2498922000.0,0.389,0.3284,BKNG
2015-06-30 00:00:00,8797685000.0,737880000.0,8059805000.0,4784100000.0,3013872100.0,,-100622000.0,128528000.0,2913250000.0,548807000.0,2364442900.0,2364442900.0,45.36,0.9161,0.3426,0.3311,0.2688,0.3188,3346250100.0,3013872100.0,44.8368,45.3952,45.3952,2364442900.0,2364443000.0,0.3804,0.3363,BKNG
2015-03-31 00:00:00,8640863000.0,790968000.0,7849895000.0,4546894000.0,3068555100.0,,-87917000.0,104087000.0,2980638000.0,556776000.0,2423861900.0,2423861900.0,46.34,0.9085,0.3551,0.3449,0.2805,0.3256,3367437000.0,3068555100.0,45.7868,46.3747,46.3747,2423861900.0,2423862000.0,0.3897,0.341,BKNG
2014-12-31 00:00:00,8441971000.0,857841000.0,7584130000.0,4302998000.0,3073312000.0,,-83864000.0,88353000.0,2989448000.0,567695000.0,2421752900.0,2421752900.0,46.27,0.8984,0.3641,0.3541,0.2869,0.3296,3341091900.0,3073312000.0,45.6736,46.3042,46.3042,2421752900.0,2421753000.0,0.3958,0.3452,BKNG
