Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,15347000000.0,12452000000.0,2895000000.0,771000000.0,1555000000.0,1191000000.0,105000000.0,150000000.0,19000000.0,1154000000.0,253000000.0,901000000.0,818000000.0,3.45,0.1886,0.0776,0.0752,0.0533,0.0369,2059000000.0,1191000000.0,3.7895,3.8086,3.8086,901000000.0,901000000.0,0.1342,0.0796,BWA
2022-06-30 00:00:00,14703000000.0,11963000000.0,2740000000.0,756000000.0,1323000000.0,1055000000.0,107000000.0,274000000.0,16000000.0,954000000.0,228000000.0,726000000.0,641000000.0,2.69,0.1864,0.0718,0.0649,0.0436,0.0267,1985000000.0,1055000000.0,3.038,3.0535,3.0535,726000000.0,726000000.0,0.135,0.0691,BWA
2022-03-31 00:00:00,14702000000.0,11912000000.0,2790000000.0,715000000.0,1293000000.0,1100000000.0,126000000.0,237000000.0,49000000.0,968000000.0,199000000.0,769000000.0,672000000.0,2.81,0.1898,0.0748,0.0658,0.0457,0.031,1989000000.0,1100000000.0,3.211,3.2287,3.2287,769000000.0,769000000.0,0.1353,0.0735,BWA
2021-12-31 00:00:00,14837000000.0,11980000000.0,2857000000.0,707000000.0,1282000000.0,1151000000.0,127000000.0,-138000000.0,63000000.0,789000000.0,150000000.0,639000000.0,537000000.0,2.24,0.1926,0.0776,0.0532,0.0362,0.0439,2043000000.0,1151000000.0,2.6681,2.6838,2.6838,639000000.0,639000000.0,0.1377,0.088,BWA
2021-09-30 00:00:00,15109000000.0,12106000000.0,3003000000.0,712000000.0,1256000000.0,1187000000.0,128000000.0,220000000.0,71000000.0,1230000000.0,360000000.0,870000000.0,766000000.0,3.22,0.1988,0.0786,0.0814,0.0507,0.0321,2050000000.0,1187000000.0,3.7964,3.8145,3.8145,870000000.0,870000000.0,0.1357,0.0755,BWA
2021-06-30 00:00:00,14227000000.0,11358000000.0,2869000000.0,628000000.0,1295000000.0,1218000000.0,127000000.0,88000000.0,88000000.0,1306000000.0,424000000.0,882000000.0,781000000.0,3.35,0.2017,0.0856,0.0918,0.0549,0.0605,1952000000.0,1218000000.0,3.9308,3.9495,3.9495,882000000.0,882000000.0,0.1372,0.104,BWA
2021-03-31 00:00:00,11895000000.0,9614000000.0,2281000000.0,550000000.0,1115000000.0,823000000.0,101000000.0,91000000.0,67000000.0,914000000.0,390000000.0,524000000.0,436000000.0,1.85,0.1918,0.0692,0.0768,0.0367,0.0626,1474000000.0,823000000.0,2.3794,2.3914,2.3914,524000000.0,524000000.0,0.1239,0.1062,BWA
2020-12-31 00:00:00,10165000000.0,8255000000.0,1910000000.0,476000000.0,951000000.0,618000000.0,91000000.0,346000000.0,61000000.0,964000000.0,397000000.0,567000000.0,500000000.0,2.21,0.1879,0.0608,0.0948,0.0492,0.0727,1186000000.0,618000000.0,2.6495,2.6619,2.6619,567000000.0,567000000.0,0.1167,0.1165,BWA
2020-09-30 00:00:00,8798000000.0,7115000000.0,1683000000.0,391000000.0,806000000.0,882000000.0,78000000.0,-39000000.0,62000000.0,843000000.0,424000000.0,419000000.0,362000000.0,1.75,0.1913,0.1003,0.0958,0.0411,0.0662,1336000000.0,882000000.0,2.0237,2.0378,2.0378,419000000.0,419000000.0,0.1519,0.1128,BWA
2020-06-30 00:00:00,8756000000.0,7066000000.0,1690000000.0,,832000000.0,874000000.0,,-30000000.0,57000000.0,844000000.0,347000000.0,497000000.0,445000000.0,2.16,0.193,0.0998,0.0964,0.0508,0.0536,1323000000.0,874000000.0,2.4048,2.4199,2.4199,497000000.0,497000000.0,0.1511,0.0991,BWA
2020-03-31 00:00:00,9881000000.0,7852000000.0,2029000000.0,,860000000.0,1237000000.0,,-48000000.0,53000000.0,1189000000.0,426000000.0,763000000.0,715000000.0,3.46,0.2053,0.1252,0.1203,0.0724,0.0763,1681000000.0,1237000000.0,3.6927,3.7125,3.7125,763000000.0,763000000.0,0.1701,0.1246,BWA
2019-12-31 00:00:00,10168000000.0,8067000000.0,2101000000.0,,873000000.0,1303000000.0,,-38000000.0,55000000.0,1265000000.0,468000000.0,797000000.0,746000000.0,3.6,0.2066,0.1281,0.1244,0.0734,0.0527,1742000000.0,1303000000.0,3.854,3.8746,3.8746,797000000.0,797000000.0,0.1713,0.0991,BWA
2019-09-30 00:00:00,10183000000.0,8083000000.0,2100000000.0,,894000000.0,1091000000.0,,-34000000.0,57000000.0,1057000000.0,249000000.0,808000000.0,756000000.0,3.65,0.2062,0.1071,0.1038,0.0742,0.0879,1520000000.0,1091000000.0,3.8986,3.9185,3.9185,808000000.0,808000000.0,0.1493,0.1369,BWA
2019-06-30 00:00:00,10169000000.0,8078000000.0,2091000000.0,,894000000.0,1093000000.0,,-26000000.0,56000000.0,1067000000.0,250000000.0,817000000.0,766000000.0,3.69,0.2056,0.1075,0.1049,0.0753,0.0754,1520000000.0,1093000000.0,3.9302,3.9512,3.9512,817000000.0,817000000.0,0.1495,0.1267,BWA
2019-03-31 00:00:00,10312000000.0,8154000000.0,2158000000.0,,919000000.0,1121000000.0,,5000000.0,57000000.0,1126000000.0,207000000.0,919000000.0,866000000.0,4.16,0.2093,0.1087,0.1092,0.084,0.061,1550000000.0,1121000000.0,4.4031,4.4279,4.4279,919000000.0,919000000.0,0.1503,0.1097,BWA
2018-12-31 00:00:00,10530000000.0,8300000000.0,2230000000.0,,946000000.0,1190000000.0,,6000000.0,59000000.0,1196000000.0,211000000.0,985000000.0,931000000.0,4.46,0.2118,0.113,0.1136,0.0884,0.0551,1621000000.0,1190000000.0,4.7017,4.7311,4.7311,985000000.0,985000000.0,0.1539,0.1069,BWA
2018-09-30 00:00:00,10542100000.0,8291900000.0,2250199700.0,,959900000.0,1131799800.0,,3000000.0,62400000.0,1134800000.0,530100000.0,604700000.0,554900000.0,2.65,0.2134,0.1074,0.1076,0.0526,0.0523,1563799800.0,1131800300.0,2.8878,2.9086,2.9086,604700000.0,604700000.0,0.1483,0.1055,BWA
2018-06-30 00:00:00,10480300000.0,8223500000.0,2256799700.0,,954900000.0,1128399700.0,,-2600000.0,66000000.0,1125800000.0,542500000.0,583300000.0,535800000.0,2.55,0.2153,0.1077,0.1074,0.0511,0.0487,1557299600.0,1128400200.0,2.775,2.7951,2.7951,583300000.0,583300000.0,0.1486,0.1036,BWA
2018-03-31 00:00:00,10176000000.0,7986300000.0,2189699600.0,,933000000.0,1113499600.0,,-4400000.0,69000000.0,1109100000.0,588700000.0,520400000.0,475800000.0,2.25,0.2152,0.1094,0.109,0.0468,0.0556,1533199400.0,1113500100.0,2.4675,2.4836,2.4836,520400000.0,520400000.0,0.1507,0.1135,BWA
2017-12-31 00:00:00,9799000000.0,7684000000.0,2114999600.0,,899000000.0,1071999600.0,,-9000000.0,71000000.0,1063000000.0,580000000.0,483000000.0,440000000.0,2.07,0.2158,0.1094,0.1085,0.0449,0.0633,1479999400.0,1072000100.0,2.2837,2.2956,2.2956,483000000.0,483000000.0,0.151,0.1204,BWA
2017-09-30 00:00:00,9471900000.0,7424500000.0,2047399800.0,,876700000.0,1153499500.0,,-8700000.0,73100000.0,1144800100.0,334500000.0,810300000.0,769300000.0,1.38,0.2162,0.1218,0.1209,0.0812,0.0555,1555699300.0,1153500000.0,3.826,3.8437,3.8437,810300000.0,810300000.0,0.1642,0.1126,BWA
2017-06-30 00:00:00,9269900000.0,7273000000.0,1996899800.0,,861400000.0,1029199600.0,,-16500000.0,77900000.0,1012700100.0,303900000.0,708800000.0,667700000.0,0.89,0.2154,0.111,0.1092,0.072,0.0591,1424299600.0,1029200100.0,3.3393,3.3536,3.3536,708800000.0,708800000.0,0.1536,0.1157,BWA
2017-03-31 00:00:00,9209400000.0,7228700000.0,1980699900.0,,848600000.0,1000499600.0,,-25500000.0,81300000.0,975000100.0,311900000.0,663100000.0,620100000.0,0.65,0.2151,0.1086,0.1059,0.0673,0.0579,1394799700.0,1000500100.0,3.1034,3.1166,3.1166,663100000.0,663100000.0,0.1515,0.1153,BWA
2016-12-31 00:00:00,9071000000.0,7142300000.0,1928699900.0,,818000000.0,973199700.0,,-30500000.0,84600000.0,942700100.0,306000000.0,636700000.0,595000000.0,0.51,0.2126,0.1073,0.1039,0.0656,0.059,1364599800.0,973200200.0,2.9569,2.97,2.97,636700000.0,636700000.0,0.1504,0.1142,BWA
2016-09-30 00:00:00,8935100000.0,7056100000.0,1879000400.0,,778800000.0,833000100.0,,-32700000.0,82900000.0,800300000.0,255700000.0,544600100.0,504600000.0,2.46,0.2103,0.0932,0.0896,0.0565,0.0542,1208100200.0,833000200.0,2.5045,2.5151,2.5151,544600100.0,544600000.0,0.1352,0.1109,BWA
2016-06-30 00:00:00,8604900000.0,6798800000.0,1806100400.0,,717100000.0,919800100.0,,-28600000.0,75500000.0,891200000.0,273800000.0,617400100.0,578700000.0,2.77,0.2099,0.1069,0.1036,0.0673,0.0453,1275400100.0,919800200.0,2.8031,2.8156,2.8156,617400100.0,617400000.0,0.1482,0.1058,BWA
2016-03-31 00:00:00,8307600000.0,6569200000.0,1738400400.0,,682200000.0,892900200.0,,-23700000.0,71700000.0,869200000.0,269800000.0,599400100.0,562400000.0,2.66,0.2093,0.1075,0.1046,0.0677,0.0396,1230400200.0,892900300.0,2.6881,2.7011,2.7011,599400100.0,599400000.0,0.1481,0.1047,BWA
2015-12-31 00:00:00,8023200000.0,6320100000.0,1703100400.0,,662000000.0,888300200.0,,-12900000.0,60400000.0,875400000.0,261500000.0,613900100.0,577200000.0,2.7,0.2123,0.1107,0.1091,0.0719,0.0362,1208500200.0,888300300.0,2.7207,2.7357,2.7357,613900100.0,613900000.0,0.1506,0.1082,BWA
2015-09-30 00:00:00,7891999000.0,6222500000.0,1669499300.0,,653000000.0,951399600.0,,-6500000.0,52800000.0,944899900.0,286500000.0,658400000.0,624300000.0,2.75,0.2115,0.1206,0.1197,0.0791,0.018,1271099600.0,951399800.0,2.9025,2.9193,2.9193,658400000.0,658400000.0,0.1611,0.092,BWA
2015-06-30 00:00:00,8040099000.0,6344300000.0,1695799300.0,,679500000.0,951999600.0,,5000000.0,46800000.0,956999900.0,291500000.0,665500000.0,633500000.0,2.78,0.2109,0.1184,0.119,0.0788,0.0254,1275199500.0,951999800.0,2.925,2.9433,2.9433,665500000.0,665500000.0,0.1586,0.0989,BWA
2015-03-31 00:00:00,8205199000.0,6465600000.0,1739599300.0,,693300000.0,990099700.0,,14500000.0,38200000.0,1004599900.0,296600000.0,708000000.0,675600000.0,2.96,0.212,0.1207,0.1224,0.0823,0.0258,1317499600.0,990099900.0,3.1008,3.1228,3.1228,708000000.0,708000000.0,0.1606,0.096,BWA
2014-12-31 00:00:00,8305099000.0,6548700000.0,1756399300.0,,698900000.0,963699600.0,,16400000.0,36400000.0,980099900.0,292600000.0,687500000.0,655800000.0,2.86,0.2115,0.116,0.118,0.079,0.0288,1294099500.0,963699800.0,3.0033,3.0267,3.0267,687500000.0,687500000.0,0.1558,0.0965,BWA
2014-09-30 00:00:00,8198601000.0,6448900000.0,1749700600.0,,696600000.0,939200400.0,,20100000.0,33800000.0,959300000.0,269800000.0,689500000.0,657300000.0,2.87,0.2134,0.1146,0.117,0.0802,0.0283,1263100300.0,939199900.0,3.007,3.0335,3.0335,689500000.0,689500000.0,0.1541,0.0915,BWA
2014-06-30 00:00:00,7972701000.0,6267900000.0,1704800600.0,,679800000.0,927100400.0,,16500000.0,32900000.0,943600000.0,254200000.0,689400000.0,657500000.0,2.865,0.2138,0.1163,0.1184,0.0825,0.0332,1240800400.0,927099900.0,3.0006,3.0311,3.0311,689400000.0,689400000.0,0.1556,0.0934,BWA
2014-03-31 00:00:00,7669601000.0,6041000000.0,1628600600.0,,654200000.0,889900300.0,,15200000.0,32700000.0,905100000.0,235500000.0,669600000.0,641400000.0,2.785,0.2123,0.116,0.118,0.0836,0.0381,1194500300.0,889899800.0,2.9058,2.9379,2.9379,669600000.0,669600000.0,0.1557,0.0976,BWA
2013-12-31 00:00:00,7436601000.0,5879100000.0,1557500600.0,,639700000.0,855200200.0,,14100000.0,34200000.0,869300000.0,218300000.0,651000000.0,624300000.0,2.705,0.2094,0.115,0.1169,0.0839,0.0405,1154600200.0,855199700.0,2.8141,2.8477,2.8477,651000000.0,651000000.0,0.1553,0.0967,BWA
2013-09-30 00:00:00,7270300000.0,5775200000.0,1495100200.0,,628800000.0,838200200.0,,12200000.0,33300000.0,850400000.0,222200000.0,628200000.0,604100000.0,2.6,0.2056,0.1153,0.117,0.0831,0.059,1132700200.0,838200100.0,2.7081,2.7271,2.7271,628200000.0,628200100.0,0.1558,0.117,BWA
2013-06-30 00:00:00,7159300000.0,5700100000.0,1459200200.0,,622100000.0,775600200.0,,15700000.0,30200000.0,791300000.0,230100000.0,561200000.0,538400000.0,2.3,0.2038,0.1083,0.1105,0.0752,0.0635,1068300200.0,775600100.0,2.4047,2.4309,2.4309,561200000.0,561200100.0,0.1492,0.1213,BWA
2013-03-31 00:00:00,7121800000.0,5676000000.0,1445800300.0,,619600000.0,725700300.0,,13600000.0,34000000.0,739300000.0,232000000.0,507300000.0,484900000.0,2.05,0.203,0.1019,0.1038,0.0681,0.0652,1013600300.0,725700200.0,2.1486,2.2088,2.2088,507300000.0,507300100.0,0.1423,0.1213,BWA
2012-12-31 00:00:00,7183200000.0,5716300000.0,1466900300.0,,629300000.0,752900500.0,,8100000.0,39400000.0,761000000.0,238600000.0,522400000.0,500900000.0,2.08,0.2042,0.1048,0.1059,0.0697,0.0656,1041500500.0,752900400.0,2.1519,2.3187,2.3187,522400000.0,522400100.0,0.145,0.1223,BWA
