Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,186999000000.0,180786000000.0,6213000000.0,4640000000.0,-874000000.0,139000000.0,-1998000000.0,134000000.0,-1028000000.0,65000000.0,-1093000000.0,-1094000000.0,-3.99,0.0332,-0.0047,-0.0055,-0.0059,0.0184,2268000000.0,-874000000.0,-3.875,,-3.8786,,-3.8786,-1093000000.0,,-1093000000.0,0.0121,0.0203,CAH
2022-06-30 00:00:00,181364000000.0,175130000000.0,6234000000.0,4557000000.0,-596000000.0,154000000.0,-1834000000.0,149000000.0,-769000000.0,163000000.0,-932000000.0,-933000000.0,-3.45,0.0344,-0.0033,-0.0042,-0.0051,0.0153,2447000000.0,-596000000.0,-3.3404,,-3.3405,,-3.3405,-932000000.0,,-932000000.0,0.0135,0.0172,CAH
2022-03-31 00:00:00,176847000000.0,170667000000.0,6180000000.0,4531000000.0,-470000000.0,159000000.0,-1608000000.0,159000000.0,-622000000.0,332000000.0,-954000000.0,-955000000.0,-3.55,0.0349,-0.0027,-0.0035,-0.0054,0.0025,2236000000.0,-470000000.0,-3.5375,,-3.5256,,-3.5256,-954000000.0,,-954000000.0,0.0126,0.0045,CAH
2021-12-31 00:00:00,171286000000.0,164898000000.0,6388000000.0,4514000000.0,100000000.0,166000000.0,-1268000000.0,166000000.0,-45000000.0,-601000000.0,556000000.0,555000000.0,1.92,0.0373,0.0006,-0.0003,0.0032,0.0066,2260000000.0,100000000.0,1.9252,,1.9399,,1.9399,556000000.0,,556000000.0,0.0132,0.0087,CAH
2021-09-30 00:00:00,167370000000.0,160743000000.0,6627000000.0,4510000000.0,1511000000.0,175000000.0,-57000000.0,175000000.0,1355000000.0,218000000.0,1137000000.0,1135000000.0,3.89,0.0396,0.009,0.0081,0.0068,0.0067,2370000000.0,1511000000.0,3.8864,,3.9072,,3.9072,1137000000.0,,1137000000.0,0.0142,0.009,CAH
2021-06-30 00:00:00,162467000000.0,155689000000.0,6778000000.0,4533000000.0,472000000.0,180000000.0,-149000000.0,180000000.0,323000000.0,-289000000.0,612000000.0,611000000.0,2.09,0.0417,0.0029,0.002,0.0038,0.0125,1255000000.0,472000000.0,2.0817,,2.096,,2.096,612000000.0,,612000000.0,0.0077,0.015,CAH
2021-03-31 00:00:00,156570000000.0,149677000000.0,6893000000.0,4541000000.0,580000000.0,185000000.0,439000000.0,185000000.0,1019000000.0,-135000000.0,1154000000.0,1151000000.0,3.94,0.044,0.0037,0.0065,0.0074,0.0102,1408000000.0,580000000.0,3.759,,3.7558,,3.7558,1154000000.0,,1154000000.0,0.009,0.0128,CAH
2020-12-31 00:00:00,156452000000.0,149486000000.0,6966000000.0,4586000000.0,669000000.0,200000000.0,388000000.0,200000000.0,1057000000.0,-328000000.0,1385000000.0,1382000000.0,4.73,0.0445,0.0043,0.0068,0.0088,0.0192,1522000000.0,669000000.0,4.5447,,4.5469,,4.5469,1385000000.0,,1385000000.0,0.0097,0.0218,CAH
2020-09-30 00:00:00,154646000000.0,147742000000.0,6904000000.0,4602000000.0,542000000.0,217000000.0,367000000.0,217000000.0,909000000.0,-66000000.0,975000000.0,973000000.0,3.34,0.0446,0.0035,0.0059,0.0063,0.0162,1426000000.0,542000000.0,3.1574,,3.1574,,3.1574,975000000.0,,975000000.0,0.0092,0.0186,CAH
2020-06-30 00:00:00,152922000000.0,146054000000.0,6868000000.0,4572000000.0,-4098000000.0,,326000000.0,238000000.0,-3772000000.0,-79000000.0,-3693000000.0,-3696000000.0,-12.45,0.0449,-0.0268,-0.0247,-0.0242,0.0104,-3185000000.0,-4098000000.0,-12.6041,,-12.6041,,-12.6041,-3693000000.0,,-3693000000.0,-0.0208,0.0128,CAH
2020-03-31 00:00:00,153586000000.0,146635000000.0,6951000000.0,4599000000.0,-4060000000.0,,-289000000.0,255000000.0,-4349000000.0,-193000000.0,-4156000000.0,-4158000000.0,-14.05,0.0453,-0.0264,-0.0283,-0.0271,0.0121,-3131000000.0,-4060000000.0,-14.0157,,-14.0001,,-14.0001,-4156000000.0,,-4156000000.0,-0.0204,0.0145,CAH
2019-12-31 00:00:00,149657000000.0,142827000000.0,6830000000.0,4531000000.0,-4190000000.0,,-267000000.0,270000000.0,-4457000000.0,-246000000.0,-4211000000.0,-4212000000.0,-14.26,0.0456,-0.028,-0.0298,-0.0281,0.0112,-3224000000.0,-4190000000.0,-14.2196,,-14.2089,,-14.2089,-4211000000.0,,-4211000000.0,-0.0215,0.0136,CAH
2019-09-30 00:00:00,147662000000.0,140816000000.0,6846000000.0,4432000000.0,-4020000000.0,,-309000000.0,283000000.0,-4329000000.0,-179000000.0,-4150000000.0,-4152000000.0,-14.07,0.0464,-0.0272,-0.0293,-0.0281,0.0092,-3031000000.0,-4020000000.0,-14.0312,,-14.0225,,-14.0225,-4150000000.0,,-4150000000.0,-0.0205,0.0115,CAH
2019-06-30 00:00:00,145534000000.0,138700000000.0,6834000000.0,4480000000.0,2060000000.0,,-309000000.0,294000000.0,1751000000.0,386000000.0,1365000000.0,1363000000.0,4.53,0.047,0.0142,0.012,0.0094,0.0164,3060000000.0,2060000000.0,4.535,,4.55,,4.55,1365000000.0,,1365000000.0,0.021,0.0187,CAH
2019-03-31 00:00:00,143530000000.0,136634000000.0,6896000000.0,4587000000.0,671000000.0,,-345000000.0,305000000.0,326000000.0,321000000.0,5000000.0,2000000.0,0.12,0.048,0.0047,0.0023,0.0,0.017,1683000000.0,671000000.0,0.1804,,0.1803,,0.1803,5000000.0,,5000000.0,0.0117,0.0193,CAH
2018-12-31 00:00:00,141935000000.0,134890000000.0,7045000000.0,4622000000.0,785000000.0,,-365000000.0,314000000.0,420000000.0,456000000.0,-36000000.0,-39000000.0,-0.06,0.0496,0.0055,0.003,-0.0003,0.0121,1795000000.0,785000000.0,-0.0001,,0.0017,,0.0017,-36000000.0,,-36000000.0,0.0126,0.0144,CAH
