Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,56620000000.0,40159000000.0,16461000000.0,1852000000.0,5594000000.0,7835000000.0,437000000.0,1664000000.0,114000000.0,9215000000.0,1852000000.0,7363000000.0,7000000.0,7371000000.0,13.77,0.2907,0.1469,0.1628,0.1302,0.0851,10137000000.0,8315000000.0,13.7466,13.8399,13.8399,7370000000.0,7370000000.0,0.179,0.1137,CAT
2022-06-30 00:00:00,54021000000.0,38534000000.0,15487000000.0,1803000000.0,5533000000.0,7074000000.0,442000000.0,1631000000.0,82000000.0,8432000000.0,1693000000.0,6739000000.0,19000000.0,6756000000.0,12.5,0.2867,0.1391,0.1561,0.1251,0.0768,9406000000.0,7514000000.0,12.4877,12.5792,12.5792,6758000000.0,6758000000.0,0.1741,0.1055,CAT
2022-03-31 00:00:00,52663000000.0,37325000000.0,15338000000.0,1769000000.0,5472000000.0,6919000000.0,450000000.0,1449000000.0,177000000.0,8206000000.0,1736000000.0,6470000000.0,29000000.0,6496000000.0,11.95,0.2912,0.1397,0.1558,0.1234,0.079,9373000000.0,7355000000.0,11.9164,12.0093,12.0093,6499000000.0,6499000000.0,0.178,0.106,CAT
2021-12-31 00:00:00,50961000000.0,35680000000.0,15281000000.0,1686000000.0,5365000000.0,6878000000.0,466000000.0,1387000000.0,298000000.0,8204000000.0,1742000000.0,6462000000.0,31000000.0,6489000000.0,11.89,0.2999,0.1439,0.161,0.1273,0.1176,9473000000.0,7333000000.0,11.8377,11.9357,11.9357,6493000000.0,6493000000.0,0.1859,0.1412,CAT
2021-09-30 00:00:00,48406000000.0,33392000000.0,15014000000.0,1621000000.0,5159000000.0,6647000000.0,483000000.0,31000000.0,412000000.0,6583000000.0,1480000000.0,5103000000.0,50000000.0,5149000000.0,9.41,0.3102,0.1472,0.136,0.1064,0.1373,9436000000.0,7127000000.0,9.365,9.4431,9.4431,5153000000.0,5153000000.0,0.1949,0.1623,CAT
2021-06-30 00:00:00,45892000000.0,31596000000.0,14296000000.0,1538000000.0,4945000000.0,5968000000.0,506000000.0,-297000000.0,528000000.0,5671000000.0,1299000000.0,4372000000.0,24000000.0,4391000000.0,8.04,0.3115,0.1411,0.1236,0.0957,0.1451,8857000000.0,6474000000.0,7.9853,8.0554,8.0554,4396000000.0,4396000000.0,0.193,0.1711,CAT
2021-03-31 00:00:00,43000000000.0,29828000000.0,13172000000.0,1433000000.0,4760000000.0,4963000000.0,539000000.0,-484000000.0,543000000.0,4479000000.0,1056000000.0,3423000000.0,18000000.0,3436000000.0,6.3,0.3063,0.128,0.1042,0.0799,0.1377,7906000000.0,5502000000.0,6.2672,6.3222,6.3222,3441000000.0,3441000000.0,0.1839,0.1657,CAT
2020-12-31 00:00:00,41748000000.0,29082000000.0,12666000000.0,1415000000.0,4642000000.0,4553000000.0,589000000.0,-558000000.0,514000000.0,3995000000.0,1006000000.0,2989000000.0,14000000.0,2998000000.0,5.5,0.3034,0.1232,0.0957,0.0718,0.1194,7574000000.0,5142000000.0,5.4739,5.5191,5.5191,3003000000.0,3003000000.0,0.1814,0.1516,CAT
2020-09-30 00:00:00,43657000000.0,30415000000.0,13242000000.0,1427000000.0,4709000000.0,5023000000.0,644000000.0,-604000000.0,496000000.0,4419000000.0,1115000000.0,3304000000.0,16000000.0,3316000000.0,6.07,0.3033,0.1298,0.1012,0.076,0.1209,8126000000.0,5667000000.0,6.0505,6.1066,6.1066,3320000000.0,3320000000.0,0.1861,0.1532,CAT
2020-06-30 00:00:00,46534000000.0,32065000000.0,14469000000.0,1514000000.0,4834000000.0,6058000000.0,696000000.0,-497000000.0,463000000.0,5561000000.0,1446000000.0,4115000000.0,28000000.0,4142000000.0,7.53,0.3109,0.1451,0.1195,0.089,0.0944,9265000000.0,6754000000.0,7.4847,7.5549,7.5549,4143000000.0,4143000000.0,0.1991,0.123,CAT
2020-03-31 00:00:00,50969000000.0,34893000000.0,16076000000.0,1614000000.0,4964000000.0,7487000000.0,739000000.0,-426000000.0,431000000.0,7061000000.0,1784000000.0,5277000000.0,26000000.0,5304000000.0,9.54,0.3154,0.1614,0.1385,0.1041,0.1062,10776000000.0,8226000000.0,9.4667,9.5587,9.5587,5303000000.0,5303000000.0,0.2114,0.1358,CAT
2019-12-31 00:00:00,53800000000.0,36630000000.0,17170000000.0,1693000000.0,5162000000.0,8290000000.0,754000000.0,-478000000.0,421000000.0,7812000000.0,1746000000.0,6066000000.0,28000000.0,6093000000.0,10.83,0.3191,0.1681,0.1452,0.1133,0.1003,11621000000.0,9044000000.0,10.7384,10.8512,10.8512,6094000000.0,6094000000.0,0.216,0.1285,CAT
2019-09-30 00:00:00,54998000000.0,37500000000.0,17498000000.0,1773000000.0,5342000000.0,8323000000.0,760000000.0,-509000000.0,408000000.0,7814000000.0,1791000000.0,6023000000.0,23000000.0,6043000000.0,10.63,0.3182,0.1652,0.1421,0.1099,0.0897,11717000000.0,9083000000.0,10.5542,10.6599,10.6599,6046000000.0,6046000000.0,0.213,0.1193,CAT
2019-06-30 00:00:00,55750000000.0,37953000000.0,17797000000.0,1821000000.0,5390000000.0,8438000000.0,756000000.0,-475000000.0,407000000.0,7944000000.0,1688000000.0,6256000000.0,23000000.0,6276000000.0,10.86,0.3192,0.1649,0.1425,0.1126,0.0967,11881000000.0,9194000000.0,10.7732,10.891,10.891,6279000000.0,6279000000.0,0.2131,0.1289,CAT
2019-03-31 00:00:00,55329000000.0,37434000000.0,17895000000.0,1842000000.0,5521000000.0,8392000000.0,746000000.0,-414000000.0,406000000.0,7952000000.0,1613000000.0,6339000000.0,26000000.0,6363000000.0,10.87,0.3234,0.1652,0.1437,0.115,0.089,11864000000.0,9138000000.0,10.7701,10.8994,10.8994,6365000000.0,6365000000.0,0.2144,0.1219,CAT
2018-12-31 00:00:00,54722000000.0,36997000000.0,17725000000.0,1850000000.0,5478000000.0,8293000000.0,722000000.0,-747000000.0,404000000.0,7822000000.0,1698000000.0,6124000000.0,24000000.0,6147000000.0,10.36,0.3239,0.1647,0.1429,0.1123,0.0837,11781000000.0,9015000000.0,10.2569,10.3956,10.3956,6148000000.0,6148000000.0,0.2153,0.1198,CAT
2018-09-30 00:00:00,53276000000.0,35975000000.0,17301000000.0,1882000000.0,5395000000.0,7797000000.0,695000000.0,,474000000.0,7566000000.0,3795000000.0,3771000000.0,29000000.0,3800000000.0,6.38,0.3247,0.1594,0.142,0.0713,0.0604,11281000000.0,8492000000.0,6.2676,6.3663,6.3663,3800000000.0,3800000000.0,0.2117,0.0942,CAT
2018-06-30 00:00:00,51179000000.0,34631000000.0,16548000000.0,1864000000.0,5350000000.0,7171000000.0,673000000.0,-217000000.0,490000000.0,6954000000.0,3850000000.0,3104000000.0,30000000.0,3132000000.0,5.25,0.3233,0.1533,0.1359,0.0612,0.0638,10658000000.0,7844000000.0,5.1544,5.2391,5.2391,3134000000.0,3134000000.0,0.2082,0.0951,CAT
2018-03-31 00:00:00,48499000000.0,33025000000.0,15474000000.0,1860000000.0,5214000000.0,6188000000.0,653000000.0,-261000000.0,509000000.0,5927000000.0,3721000000.0,2206000000.0,26000000.0,2227000000.0,3.75,0.3191,0.1411,0.1222,0.0459,0.0764,9689000000.0,6841000000.0,3.6812,3.7399,3.7399,2232000000.0,2232000000.0,0.1998,0.1051,CAT
2017-12-31 00:00:00,45462000000.0,31260000000.0,14202000000.0,1842000000.0,4999000000.0,4460000000.0,646000000.0,-378000000.0,531000000.0,4082000000.0,3339000000.0,743000000.0,16000000.0,754000000.0,1.3,0.3124,0.1123,0.0898,0.0166,0.0997,7983000000.0,5106000000.0,1.2664,1.2825,1.2825,759000000.0,759000000.0,0.1756,0.1255,CAT
2017-09-30 00:00:00,42140000000.0,29571000000.0,12569000000.0,1768000000.0,4799000000.0,2475000000.0,633000000.0,-852000000.0,482000000.0,1623000000.0,741000000.0,882000000.0,9000000.0,882000000.0,1.48,0.2983,0.0738,0.0385,0.0209,0.1342,6040000000.0,3108000000.0,1.4604,1.4818,1.4818,891000000.0,891000000.0,0.1433,0.1621,CAT
2017-06-30 00:00:00,39887000000.0,28420000000.0,11467000000.0,1760000000.0,4537000000.0,1447000000.0,617000000.0,-964000000.0,490000000.0,483000000.0,367000000.0,116000000.0,-3000000.0,106000000.0,0.17,0.2875,0.0517,0.0121,0.0027,0.1352,5034000000.0,2064000000.0,0.1724,0.1763,0.1763,113000000.0,113000000.0,0.1262,0.1695,CAT
2017-03-31 00:00:00,38898000000.0,28023000000.0,10875000000.0,1770000000.0,4356000000.0,1048000000.0,603000000.0,-985000000.0,499000000.0,63000000.0,190000000.0,-127000000.0,-10000000.0,-146000000.0,-0.25,0.2796,0.0424,0.0016,-0.0038,0.1274,4655000000.0,1651000000.0,-0.2368,-0.2375,-0.2375,-137000000.0,-137000000.0,0.1197,0.172,CAT
2016-12-31 00:00:00,38537000000.0,28044000000.0,10493000000.0,1853000000.0,4383000000.0,1162000000.0,596000000.0,-1023000000.0,505000000.0,139000000.0,192000000.0,-53000000.0,-6000000.0,-67000000.0,-0.12,0.2723,0.0456,0.0036,-0.0017,0.0937,4792000000.0,1758000000.0,-0.101,-0.101,-0.101,-59000000.0,-59000000.0,0.1243,0.1463,CAT
2016-09-30 00:00:00,39993000000.0,29008000000.0,10985000000.0,2001000000.0,4458000000.0,1585000000.0,594000000.0,-345000000.0,511000000.0,1240000000.0,214000000.0,1026000000.0,-10000000.0,1010000000.0,1.73,0.2747,0.0545,0.031,0.0253,0.0851,5208000000.0,2179000000.0,1.7816,1.7933,1.7933,1018000000.0,1018000000.0,0.1302,0.1453,CAT
2016-06-30 00:00:00,41795000000.0,30353000000.0,11442000000.0,2061000000.0,4595000000.0,2029000000.0,589000000.0,-389000000.0,512000000.0,1640000000.0,336000000.0,1304000000.0,-4000000.0,1286000000.0,1.88,0.2738,0.0626,0.0392,0.0308,0.0844,5644000000.0,2618000000.0,2.2465,2.2644,2.2644,1297000000.0,1297000000.0,0.135,0.147,CAT
2016-03-31 00:00:00,43770000000.0,31608000000.0,12162000000.0,2103000000.0,4790000000.0,2577000000.0,589000000.0,-540000000.0,507000000.0,2037000000.0,487000000.0,1550000000.0,0.0,1538000000.0,2.12,0.2779,0.0723,0.0465,0.0351,0.0802,6199000000.0,3166000000.0,2.6219,2.6488,2.6488,1547000000.0,1547000000.0,0.1416,0.1352,CAT
2015-12-31 00:00:00,47011000000.0,33546000000.0,13465000000.0,2119000000.0,4951000000.0,3785000000.0,587000000.0,-346000000.0,507000000.0,3439000000.0,916000000.0,2523000000.0,,2512000000.0,3.5,0.2864,0.093,0.0732,0.0534,0.0893,7418000000.0,4372000000.0,4.196,4.2453,4.2453,2523000000.0,2523000000.0,0.1578,0.1425,CAT
2015-09-30 00:00:00,50225000000.0,36756000000.0,13469000000.0,2370000000.0,6050000000.0,3009000000.0,594000000.0,-314000000.0,507000000.0,2695000000.0,565000000.0,2130000000.0,3000000.0,2120000000.0,4.9,0.2682,0.0717,0.0537,0.0422,0.0844,6670000000.0,3603000000.0,3.565,3.6027,3.6027,2133000000.0,2133000000.0,0.1328,0.1341,CAT
2015-06-30 00:00:00,52812000000.0,38518000000.0,14294000000.0,2390000000.0,6367000000.0,3476000000.0,609000000.0,-183000000.0,508000000.0,3293000000.0,711000000.0,2582000000.0,10000000.0,2578000000.0,5.93,0.2707,0.0773,0.0624,0.0488,0.0908,7192000000.0,4085000000.0,4.2595,4.3173,4.3173,2592000000.0,2592000000.0,0.1362,0.1379,CAT
2015-03-31 00:00:00,54645000000.0,40041000000.0,14604000000.0,2396000000.0,6486000000.0,3618000000.0,614000000.0,-41000000.0,503000000.0,3577000000.0,795000000.0,2782000000.0,9000000.0,2775000000.0,6.35,0.2673,0.0774,0.0655,0.0508,0.0888,7367000000.0,4232000000.0,4.5144,4.586,4.586,2791000000.0,2791000000.0,0.1348,0.136,CAT
2014-12-31 00:00:00,55184000000.0,40718000000.0,14466000000.0,2380000000.0,6529000000.0,3314000000.0,624000000.0,-162000000.0,484000000.0,3152000000.0,692000000.0,2460000000.0,8000000.0,2452000000.0,5.98,0.2621,0.0714,0.0571,0.0444,0.1012,7101000000.0,3938000000.0,3.9244,3.9988,3.9988,2468000000.0,2468000000.0,0.1287,0.146,CAT
2014-09-30 00:00:00,55342000000.0,39809000000.0,15533000000.0,2024000000.0,5592000000.0,5717000000.0,645000000.0,-187000000.0,467000000.0,5530000000.0,1577000000.0,3953000000.0,1000000.0,3941000000.0,6.3,0.2807,0.115,0.0999,0.0712,0.109,9554000000.0,6362000000.0,6.2037,6.325,6.325,3954000000.0,3954000000.0,0.1726,0.1584,CAT
2014-06-30 00:00:00,55216000000.0,39949000000.0,15267000000.0,1960000000.0,5465000000.0,5726000000.0,666000000.0,-316000000.0,455000000.0,5410000000.0,1523000000.0,3887000000.0,-4000000.0,3870000000.0,6.12,0.2765,0.1158,0.098,0.0701,0.1245,9565000000.0,6392000000.0,6.0216,6.1413,6.1413,3883000000.0,3883000000.0,0.1732,0.1763,CAT
2014-03-31 00:00:00,55687000000.0,40525000000.0,15162000000.0,1992000000.0,5449000000.0,5808000000.0,698000000.0,-465000000.0,455000000.0,5343000000.0,1491000000.0,3852000000.0,-6000000.0,3831000000.0,6.0,0.2723,0.1168,0.0959,0.0688,0.1358,9651000000.0,6506000000.0,5.908,6.0262,6.0262,3846000000.0,3846000000.0,0.1733,0.1915,CAT
2013-12-31 00:00:00,55656000000.0,40727000000.0,14929000000.0,2046000000.0,5547000000.0,5628000000.0,727000000.0,-500000000.0,465000000.0,5128000000.0,1319000000.0,3809000000.0,-6000000.0,3789000000.0,5.87,0.2682,0.1142,0.0921,0.0681,0.1184,9442000000.0,6355000000.0,5.7744,5.8943,5.8943,3803000000.0,3803000000.0,0.1696,0.1831,CAT
2013-09-30 00:00:00,57329000000.0,42085000000.0,15244000000.0,2192000000.0,5721000000.0,5214000000.0,750000000.0,-561000000.0,471000000.0,4653000000.0,1157000000.0,3496000000.0,1000000.0,3483000000.0,5.37,0.2659,0.104,0.0812,0.0608,0.1,9550000000.0,5964000000.0,5.2709,5.3829,5.3829,3497000000.0,3497000000.0,0.1666,0.1671,CAT
2013-06-30 00:00:00,60351000000.0,43950000000.0,16401000000.0,2357000000.0,5873000000.0,6409000000.0,769000000.0,-567000000.0,484000000.0,5842000000.0,1600000000.0,4242000000.0,7000000.0,4236000000.0,6.49,0.2718,0.1189,0.0968,0.0702,0.0622,10705000000.0,7178000000.0,6.3588,6.5009,6.5009,4249000000.0,4249000000.0,0.1774,0.1292,CAT
