Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,23847300000.0,19366202000.0,4481098600.0,2853200000.0,1627899400.0,223000000.0,-234000000.0,219700000.0,1393900000.0,351300000.0,1042600100.0,1042600000.0,7.72,0.1879,0.0683,0.0585,0.0437,0.0466,1897199400.0,1627900400.0,7.6081,7.7085,7.7085,1042600100.0,1042600100.0,0.0796,0.0521,CDW
2022-06-30 00:00:00,22931800000.0,18769002000.0,4162798500.0,2614900000.0,1547898900.0,195000000.0,-202600000.0,193500000.0,1345300000.0,333900000.0,1011400100.0,1011400000.0,7.46,0.1815,0.0675,0.0587,0.0441,0.0469,1789798900.0,1547899900.0,7.3485,7.4492,7.4492,1011400100.0,1011400100.0,0.078,0.0524,CDW
2022-03-31 00:00:00,21932400000.0,18055002000.0,3877398300.0,2394900000.0,1482499000.0,172000000.0,-143200000.0,171300000.0,1339300000.0,333100000.0,1006200100.0,1006200000.0,7.35,0.1768,0.0676,0.0611,0.0459,0.0319,1699899000.0,1482500000.0,7.2412,7.3441,7.3441,1006200100.0,1006200100.0,0.0775,0.0374,CDW
2021-12-31 00:00:00,20820800000.0,17252302000.0,3568498300.0,2149500000.0,1418999000.0,151000000.0,-121200000.0,150900000.0,1297800000.0,309200000.0,988600100.0,988600000.0,7.15,0.1714,0.0682,0.0623,0.0475,0.0329,1610199000.0,1419000000.0,7.0363,7.1379,7.1379,988600100.0,988600100.0,0.0773,0.0377,CDW
2021-09-30 00:00:00,20240099000.0,16766300000.0,3473798900.0,2061899900.0,1411897500.0,145000000.0,-106400000.0,144600000.0,1305499900.0,293900000.0,1011600000.0,1011600000.0,7.22,0.1716,0.0698,0.0645,0.05,0.0554,1628497500.0,1411898700.0,7.1143,7.2219,7.2219,1011600000.0,1011600000.0,0.0805,0.0599,CDW
2021-06-30 00:00:00,19696499000.0,16312100000.0,3384399000.0,2041099900.0,1343297400.0,149000000.0,-138100000.0,148400000.0,1205199900.0,267000000.0,938200000.0,938200000.0,6.64,0.1718,0.0682,0.0612,0.0476,0.0532,1644097400.0,1343298600.0,6.5361,6.6341,6.6341,938200000.0,938200000.0,0.0835,0.0581,CDW
2021-03-31 00:00:00,18915799000.0,15667000000.0,3248799400.0,1991999900.0,1256797600.0,154000000.0,-177400000.0,152600000.0,1079399900.0,226200000.0,853200000.0,853200000.0,6.01,0.1718,0.0664,0.0571,0.0451,0.0678,1636197700.0,1256798800.0,5.9122,6.0013,6.0013,853200000.0,853200000.0,0.0865,0.0759,CDW
2020-12-31 00:00:00,18467499000.0,15257400000.0,3210099600.0,2030899900.0,1179198000.0,155000000.0,-176900000.0,154900000.0,1002299900.0,213800000.0,788500000.0,788500000.0,5.54,0.1738,0.0639,0.0543,0.0427,0.0626,1604798100.0,1179199200.0,5.4455,5.5294,5.5294,788500000.0,788500000.0,0.0869,0.0712,CDW
2020-09-30 00:00:00,18048201000.0,14941500000.0,3106701600.0,1975900000.0,1130800000.0,156000000.0,-187500000.0,156100000.0,943300000.0,207500000.0,735800000.0,735800000.0,5.16,0.1721,0.0627,0.0523,0.0408,0.0437,1549400100.0,1130800000.0,5.0679,5.1509,5.1509,735800000.0,735800000.0,0.0858,0.06,CDW
2020-06-30 00:00:00,18199501000.0,15101800000.0,3097701800.0,1964100000.0,1133600300.0,,-179500000.0,158200000.0,954100000.0,209800000.0,744300000.0,744300000.0,5.19,0.1702,0.0623,0.0524,0.0409,0.0459,1488000400.0,1133600300.0,5.1038,5.1928,5.1928,744300000.0,744300000.0,0.0818,0.062,CDW
2020-03-31 00:00:00,18463701000.0,15339400000.0,3124301400.0,1973800000.0,1150500000.0,,-180600000.0,159000000.0,969900000.0,218100000.0,751800000.0,751800000.0,5.21,0.1692,0.0623,0.0525,0.0407,0.0409,1444700000.0,1150500000.0,5.119,5.2142,5.2142,751800000.0,751800000.0,0.0782,0.054,CDW
2019-12-31 00:00:00,18032401000.0,14992500000.0,3039901100.0,1906300000.0,1133599600.0,,-183900000.0,159400000.0,949700000.0,212900000.0,736800000.0,736800000.0,5.07,0.1686,0.0629,0.0527,0.0409,0.0439,1400699600.0,1133599600.0,4.9851,5.0777,5.0777,736800000.0,736800000.0,0.0777,0.057,CDW
2019-09-30 00:00:00,17570300000.0,14614100000.0,2956199700.0,1863499900.0,1092700900.0,,-172400000.0,158200000.0,920300000.0,209800000.0,710500000.0,710500000.0,4.85,0.1682,0.0622,0.0524,0.0404,0.05,1357100900.0,1092700400.0,4.7672,4.8533,4.8533,710500000.0,710500000.0,0.0772,0.0561,CDW
2019-06-30 00:00:00,17035800000.0,14182500000.0,2853299600.0,1806399900.0,1046901100.0,,-149100000.0,152500000.0,897800000.0,205300000.0,692500000.0,692500000.0,4.68,0.1675,0.0615,0.0527,0.0406,0.0523,1308901100.0,1046900600.0,4.5922,4.6749,4.6749,692500000.0,692500000.0,0.0768,0.058,CDW
2019-03-31 00:00:00,16592000000.0,13816900000.0,2775099900.0,1762999900.0,1012101300.0,,-145700000.0,149200000.0,866400000.0,197500000.0,668900000.0,668900000.0,4.47,0.1673,0.061,0.0522,0.0403,0.051,1275401300.0,1012100800.0,4.3906,4.4668,4.4668,668900000.0,668900000.0,0.0769,0.0564,CDW
2018-12-31 00:00:00,16240500000.0,13533600000.0,2706899900.0,1719599900.0,987301300.0,,-146800000.0,148600000.0,840500000.0,197500000.0,643000000.0,643000000.0,4.26,0.1667,0.0608,0.0518,0.0396,0.0505,1252901300.0,987300800.0,4.1862,4.2611,4.2611,643000000.0,643000000.0,0.0771,0.0558,CDW
2018-09-30 00:00:00,15917700000.0,13290900000.0,2626799800.0,1661400000.0,965400000.0,,-147500000.0,148600000.0,817900000.0,139500000.0,678400000.0,678400000.0,4.47,0.165,0.0606,0.0514,0.0426,0.0543,1229800000.0,965400200.0,4.3748,4.4501,4.4501,678400000.0,678400000.0,0.0773,0.0591,CDW
2018-06-30 00:00:00,15477700000.0,12922300000.0,2555399700.0,1620800000.0,934599700.0,,-148200000.0,149800000.0,786400000.0,162400000.0,624000000.0,624000000.0,4.09,0.1651,0.0604,0.0508,0.0403,0.0424,1198899700.0,934599900.0,4.0074,4.0734,4.0734,624000000.0,624000000.0,0.0775,0.0474,CDW
2018-03-31 00:00:00,15183300000.0,12682700000.0,2500599600.0,1600700000.0,899899700.0,,-148000000.0,148500000.0,751900000.0,160000000.0,591900000.0,591900000.0,3.85,0.1647,0.0593,0.0495,0.039,0.0364,1159999800.0,899899900.0,3.7695,3.8354,3.8354,591900000.0,591900000.0,0.0764,0.0415,CDW
2017-12-31 00:00:00,14832900000.0,12382700000.0,2450199700.0,1583700000.0,866499800.0,,-205800000.0,150500000.0,660700000.0,137600000.0,523100000.0,523100000.0,3.38,0.1652,0.0584,0.0445,0.0353,0.047,1127399800.0,866500000.0,3.3066,3.3661,3.3661,523100000.0,523100000.0,0.076,0.0524,CDW
2017-09-30 00:00:00,14264100000.0,11848600000.0,2415500000.0,1572000000.0,843500000.0,,-203200000.0,147300000.0,640300000.0,208000000.0,432300000.0,432300000.0,2.74,0.1693,0.0591,0.0449,0.0303,0.0325,1098100000.0,843500000.0,2.7034,2.7531,2.7531,432300000.0,432300000.0,0.077,0.0381,CDW
2017-06-30 00:00:00,14039100000.0,11651500000.0,2387600000.0,1550600000.0,837000000.0,,-205400000.0,147100000.0,631600000.0,202700000.0,428900000.0,428900000.0,2.68,0.1701,0.0596,0.045,0.0306,0.0422,1090000000.0,837000000.0,2.6391,2.6891,2.6891,428900000.0,428900000.0,0.0776,0.0475,CDW
2017-03-31 00:00:00,13812000000.0,11454700000.0,2357300000.0,1527600000.0,829700000.0,,-205900000.0,148100000.0,623800000.0,218300000.0,405500000.0,405500000.0,2.49,0.1707,0.0601,0.0452,0.0294,0.0343,1085999900.0,829700000.0,2.4578,2.4985,2.4985,405500000.0,405500000.0,0.0786,0.0395,CDW
2016-12-31 00:00:00,13672700000.0,11344400000.0,2328300000.0,1508300000.0,820000000.0,,-146800000.0,146500000.0,673200000.0,248100000.0,425100000.0,425100000.0,2.6,0.1703,0.06,0.0492,0.0311,0.0395,1074500000.0,820000000.0,2.5609,2.5984,2.5984,425100000.0,425100000.0,0.0786,0.0442,CDW
2016-09-30 00:00:00,13907900000.0,11601001000.0,2306899100.0,1505000100.0,801899400.0,,-150600000.0,151000000.0,651300000.0,240800000.0,410500000.0,410500000.0,2.49,0.1659,0.0577,0.0468,0.0295,0.0284,1061099400.0,801899900.0,2.4504,2.481,2.481,410500000.0,410500000.0,0.0763,0.0346,CDW
2016-06-30 00:00:00,13700800000.0,11441001000.0,2259799300.0,1490800100.0,768999500.0,,-69700000.0,151900000.0,699300000.0,263800000.0,435500000.0,435500000.0,2.6,0.1649,0.0561,0.051,0.0318,0.0291,1025599500.0,769000000.0,2.5694,2.594,2.594,435500000.0,435500000.0,0.0749,0.0359,CDW
2016-03-31 00:00:00,13350200000.0,11166401000.0,2183799300.0,1432400100.0,751399400.0,,-67500000.0,152800000.0,683900000.0,257700000.0,426200000.0,426200000.0,2.52,0.1636,0.0563,0.0512,0.0319,0.0327,996799400.0,751399900.0,2.4917,2.5141,2.5141,426200000.0,426200000.0,0.0747,0.0395,CDW
2015-12-31 00:00:00,12988700000.0,10872901000.0,2115799300.0,1373800100.0,741999500.0,,-95000000.0,159500000.0,647000000.0,243900000.0,403100000.0,403100000.0,2.37,0.1629,0.0571,0.0498,0.031,0.0144,975799500.0,742000000.0,2.3464,2.3669,2.3669,403100000.0,403100000.0,0.0751,0.0214,CDW
