Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,180026000000.0,32957000000.0,147496000000.0,13365000000.0,8226000000.0,385000000.0,1197000000.0,8337000000.0,1656000000.0,6681000000.0,6615000000.0,20.94,0.8193,0.0457,0.0463,0.0367,0.0532,11171000000.0,8226000000.0,21.1331,21.3519,21.3519,6681000000.0,6681000000.0,0.0621,0.0602,CI
2022-06-30 00:00:00,179183000000.0,33533000000.0,145928000000.0,13310000000.0,8379000000.0,374000000.0,1196000000.0,6905000000.0,1367000000.0,5538000000.0,5479000000.0,16.77,0.8144,0.0468,0.0385,0.0306,0.0469,11332000000.0,8379000000.0,16.9428,17.0876,17.0876,5538000000.0,5538000000.0,0.0632,0.054,CI
2022-03-31 00:00:00,176929000000.0,33825000000.0,143287000000.0,13050000000.0,8145000000.0,95000000.0,1193000000.0,6818000000.0,1376000000.0,5442000000.0,5387000000.0,16.12,0.8099,0.046,0.0385,0.0304,0.0392,11070000000.0,8145000000.0,16.2832,16.4215,16.4215,5442000000.0,5442000000.0,0.0626,0.0459,CI
2021-12-31 00:00:00,174214000000.0,33562000000.0,140516000000.0,13030000000.0,7935000000.0,-401000000.0,1208000000.0,6782000000.0,1367000000.0,5415000000.0,5365000000.0,15.74,0.8066,0.0455,0.0389,0.0308,0.0347,10858000000.0,7935000000.0,15.8813,16.0225,16.0225,5415000000.0,5415000000.0,0.0623,0.0413,CI
2021-09-30 00:00:00,170170000000.0,33666000000.0,136436000000.0,13334000000.0,7743000000.0,3353000000.0,1252000000.0,10848000000.0,2424000000.0,8424000000.0,8384000000.0,23.8,0.8018,0.0455,0.0637,0.0493,0.0355,10636000000.0,7743000000.0,23.7641,23.9857,23.9857,8424000000.0,8424000000.0,0.0625,0.0424,CI
2021-06-30 00:00:00,166769000000.0,33765000000.0,133004000000.0,13542000000.0,7557000000.0,3036000000.0,1285000000.0,10593000000.0,2406000000.0,8187000000.0,8151000000.0,22.78,0.7975,0.0453,0.0635,0.0489,0.0295,10418000000.0,7557000000.0,22.7281,22.9437,22.9437,8187000000.0,8187000000.0,0.0625,0.0359,CI
2021-03-31 00:00:00,162903000000.0,32393000000.0,130510000000.0,13953000000.0,8049000000.0,2935000000.0,1361000000.0,10984000000.0,2513000000.0,8471000000.0,8438000000.0,23.26,0.8012,0.0494,0.0674,0.0518,0.0521,10873000000.0,8049000000.0,23.1968,23.4118,23.4118,8471000000.0,8471000000.0,0.0667,0.0587,CI
2020-12-31 00:00:00,160401000000.0,32710000000.0,127691000000.0,14072000000.0,8153000000.0,2715000000.0,1438000000.0,10868000000.0,2379000000.0,8489000000.0,8458000000.0,23.11,0.7961,0.0508,0.0678,0.0527,0.0577,10955000000.0,8153000000.0,23.0436,23.259,23.259,8489000000.0,8489000000.0,0.0683,0.0645,CI
2020-09-30 00:00:00,156934000000.0,31752000000.0,125182000000.0,14063000000.0,8369000000.0,-1618000000.0,1492000000.0,6751000000.0,1420000000.0,5331000000.0,5300000000.0,14.26,0.7977,0.0533,0.043,0.0338,0.0495,11385000000.0,8369000000.0,14.3268,14.4973,14.4973,5331000000.0,5331000000.0,0.0725,0.0564,CI
2020-06-30 00:00:00,154535000000.0,31057000000.0,123478000000.0,14175000000.0,8384000000.0,-1674000000.0,1567000000.0,6710000000.0,1423000000.0,5287000000.0,5263000000.0,14.05,0.799,0.0543,0.0434,0.0341,0.0604,11611000000.0,8384000000.0,14.0985,14.2733,14.2733,5287000000.0,5287000000.0,0.0751,0.0674,CI
2020-03-31 00:00:00,154089000000.0,31521000000.0,122568000000.0,14148000000.0,7908000000.0,-1729000000.0,1621000000.0,6179000000.0,1242000000.0,4937000000.0,4917000000.0,13.02,0.7954,0.0513,0.0401,0.0319,0.0458,11355000000.0,7908000000.0,13.0812,13.2133,13.2133,4937000000.0,4937000000.0,0.0737,0.0531,CI
2019-12-31 00:00:00,153566000000.0,30819000000.0,122747000000.0,14053000000.0,8077000000.0,-1507000000.0,1682000000.0,6570000000.0,1450000000.0,5120000000.0,5104000000.0,13.43,0.7993,0.0526,0.0428,0.0332,0.0549,11728000000.0,8077000000.0,13.4802,13.62,13.62,5120000000.0,5120000000.0,0.0764,0.0618,CI
2019-09-30 00:00:00,129621000000.0,30038000000.0,99583000000.0,13576000000.0,7075000000.0,-1538000000.0,1577000000.0,5537000000.0,1254000000.0,4283000000.0,4271000000.0,11.38,0.7683,0.0546,0.0427,0.0329,0.0455,10056000000.0,7075000000.0,11.2875,11.377,11.377,4283000000.0,4283000000.0,0.0776,0.0526,CI
