Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4959000000.0,4958900000.0,1385400000.0,2979300300.0,258400000.0,1114000000.0,3462000000.0,784000000.0,2678300100.0,2640000000.0,7.35,1.0,0.6008,0.6981,0.5324,0.5423,3345800200.0,2979300300.0,7.457,7.4682,7.4682,2678300100.0,2655000000.0,0.6747,0.5531,CME
2022-06-30 00:00:00,4841000000.0,4841000000.0,1381000000.0,2854200300.0,599400000.0,574000000.0,3678000000.0,753200000.0,2925000100.0,2896000000.0,8.06,1.0,0.5896,0.7598,0.5982,0.5486,3226900200.0,2854200300.0,8.1458,8.1585,8.1585,2925000100.0,2905000000.0,0.6666,0.5612,CME
2022-03-31 00:00:00,4783200000.0,4783000000.0,1386700000.0,2779200300.0,533800000.0,328700000.0,3537100000.0,764500000.0,2773100100.0,2752300000.0,7.66,1.0,0.581,0.7395,0.5754,0.526,3158300300.0,2779200300.0,7.7241,7.7364,7.7364,2773100100.0,2756600000.0,0.6603,0.5433,CME
2021-12-31 00:00:00,4689500000.0,4689700000.0,1418200000.0,2645200300.0,503800000.0,297200000.0,3373400000.0,736700000.0,2636900100.0,2624700000.0,7.31,1.0,0.5641,0.7194,0.5597,0.4935,3030600300.0,2645200300.0,7.3465,7.3586,7.3586,2636900100.0,2624400000.0,0.6463,0.5123,CME
2021-09-30 00:00:00,4641000000.0,4640900000.0,1455100000.0,2528500200.0,580800000.0,270900000.0,3109400100.0,672800000.0,2436500100.0,2435699900.0,6.78,1.0,0.5448,0.67,0.5248,0.4793,2939900200.0,2528500200.0,6.7893,6.8006,6.8006,2436500100.0,2436199900.0,0.6335,0.5159,CME
2021-06-30 00:00:00,4611700000.0,4611700000.0,1475000000.0,2439800200.0,110100000.0,166600000.0,2549900100.0,628200000.0,1921700100.0,1920399900.0,5.35,1.0,0.529,0.5529,0.4164,0.4093,2873000200.0,2439800200.0,5.3566,5.3659,5.3659,1921700100.0,1921699900.0,0.623,0.4498,CME
2021-03-31 00:00:00,4614800000.0,4614800000.0,1495700000.0,2402600300.0,82500000.0,166800000.0,2485100100.0,570700000.0,1914400100.0,1913399900.0,5.34,1.0,0.5206,0.5385,0.4146,0.5153,2852600200.0,2402600300.0,5.338,5.3478,5.3478,1914400100.0,1914399900.0,0.6181,0.555,CME
2020-12-31 00:00:00,4883600000.0,4883600000.0,1491200000.0,2637400300.0,84700000.0,166200000.0,2722100100.0,615700000.0,2106400100.0,2105199900.0,5.88,1.0,0.5401,0.5574,0.4311,0.5156,3101800200.0,2637400300.0,5.8753,5.8877,5.8877,2106400100.0,2106399900.0,0.6351,0.5561,CME
2020-09-30 00:00:00,4923500000.0,4923500000.0,1475900000.0,2695400300.0,115800000.0,166500000.0,2811200200.0,660600000.0,2150600000.0,2150700000.0,6.01,1.0,0.5475,0.571,0.4368,0.5242,3155400200.0,2695400300.0,5.9996,6.014,6.014,2150600000.0,2150600000.0,0.6409,0.5636,CME
2020-06-30 00:00:00,5120100000.0,5120100000.0,1470300000.0,2855600300.0,142300000.0,167600000.0,2997900200.0,622500000.0,2375400000.0,2375300000.0,6.64,1.0,0.5577,0.5855,0.4639,0.5997,3318800200.0,2855600300.0,6.6275,6.6452,6.6452,2375400000.0,2375400000.0,0.6482,0.6394,CME
2020-03-31 00:00:00,5210500000.0,5210500000.0,1460000000.0,2916700100.0,122000000.0,170800000.0,3038700200.0,652000000.0,2386700000.0,2385800000.0,6.67,1.0,0.5598,0.5832,0.4579,0.4839,3389000100.0,2916700100.0,6.6602,6.6793,6.6793,2386700000.0,2386700000.0,0.6504,0.5298,CME
2019-12-31 00:00:00,4868000000.0,4868000000.0,1446500000.0,2587800100.0,101800000.0,178000000.0,2689600200.0,573800000.0,2115800000.0,2116500000.0,5.92,1.0,0.5316,0.5525,0.4348,0.4986,3061100100.0,2587800100.0,5.906,5.924,5.924,2115800000.0,2115800000.0,0.6288,0.5491,CME
2019-09-30 00:00:00,4966200000.0,4966200000.0,1458400100.0,2664700000.0,71300000.0,185500000.0,2735999900.0,702200000.0,2033800100.0,2032499900.0,5.71,1.0,0.5366,0.5509,0.4093,0.4487,3113799900.0,2664699700.0,5.6845,5.703,5.703,2033800100.0,2033799900.0,0.627,0.4961,CME
2019-06-30 00:00:00,4593100000.0,4593100000.0,1327700100.0,2529400000.0,45200000.0,187700000.0,2574599900.0,765300000.0,1809300100.0,1807999900.0,5.14,1.0,0.5507,0.5605,0.3936,0.4414,2911199900.0,2529399700.0,5.1165,5.1344,5.1344,1809300100.0,1809299900.0,0.6338,0.4868,CME
2019-03-31 00:00:00,4380000000.0,4380000000.0,1213100100.0,2497700100.0,131600000.0,175700000.0,2629299900.0,768500000.0,1860800100.0,1860299900.0,5.37,1.0,0.5703,0.6003,0.4247,0.488,2808199900.0,2497699800.0,5.3404,5.3608,5.3608,1860800100.0,1860799900.0,0.6411,0.5217,CME
2018-12-31 00:00:00,4309400000.0,4309400000.0,1126100100.0,2607600100.0,170200000.0,157700000.0,2777799900.0,814100000.0,1963700100.0,1962199900.0,5.74,1.0,0.6051,0.6446,0.4553,0.5393,2856299900.0,2607599800.0,5.7127,5.7361,5.7361,1963700100.0,1963699900.0,0.6628,0.5664,CME
2018-09-30 00:00:00,3972799900.0,3972799900.0,992000000.0,2494599900.0,187400000.0,137300000.0,2682000000.0,-1833900000.0,4515900000.0,4515900000.0,13.31,1.0,0.6279,0.6751,1.1367,0.5792,2702999800.0,2494600100.0,13.263,13.3211,13.3211,4515900000.0,4515900000.0,0.6804,0.6018,CME
2018-06-30 00:00:00,3959399900.0,3959399900.0,992100000.0,2512299900.0,215200000.0,121400000.0,2727500000.0,-1685200000.0,4412700000.0,4412700000.0,13.01,1.0,0.6345,0.6889,1.1145,0.5661,2717499800.0,2512300100.0,12.9623,13.0193,13.0193,4412700000.0,4412700000.0,0.6863,0.5848,CME
2018-03-31 00:00:00,3824399900.0,3824399900.0,969700000.0,2450599900.0,157400000.0,117300000.0,2608000000.0,-1654400000.0,4262400000.0,4262400000.0,12.57,1.0,0.6408,0.6819,1.1145,0.5168,2657499800.0,2450600100.0,12.5245,12.5799,12.5799,4262400000.0,4262400000.0,0.6949,0.5378,CME
