Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2021-12-31 00:00:00,46056000000.0,31329000000.0,14727000000.0,2742000000.0,13816000000.0,1126000000.0,2536000000.0,884000000.0,12712000000.0,4633000000.0,8079000000.0,8079000000.0,6.07,0.3198,0.3,0.276,0.1754,0.2893,19626000000.0,13816000000.0,6.0829,,6.1012,,6.1012,8079000000.0,,8079000000.0,0.4261,0.369,COP
2021-09-30 00:00:00,37072000000.0,28229000000.0,8843000000.0,737000000.0,8435000000.0,1110000000.0,1204000000.0,867000000.0,7290000000.0,2610000000.0,4680000000.0,4680000000.0,3.36,0.2385,0.2275,0.1966,0.1262,0.2366,14710000000.0,8435000000.0,3.3537,,3.3656,,3.3656,4680000000.0,,4680000000.0,0.3968,0.3453,COP
2021-06-30 00:00:00,29643000000.0,22483000000.0,7160000000.0,1847000000.0,4328000000.0,1092000000.0,928000000.0,848000000.0,3196000000.0,1345000000.0,1851000000.0,1851000000.0,1.16,0.2415,0.146,0.1078,0.0624,0.1478,10688000000.0,4328000000.0,1.1558,,1.1622,,1.1622,1851000000.0,,1851000000.0,0.3606,0.2993,COP
2021-03-31 00:00:00,24003000000.0,17277000000.0,6726000000.0,3074000000.0,1251000000.0,1077000000.0,212000000.0,830000000.0,137000000.0,99000000.0,38000000.0,20000000.0,-0.15,0.2802,0.0521,0.0057,0.0008,0.0526,7615000000.0,1251000000.0,-0.1314,,-0.1301,,-0.1301,38000000.0,,38000000.0,0.3173,0.199,COP
2020-12-31 00:00:00,18709000000.0,12277000000.0,6432000000.0,4183000000.0,-2154000000.0,1058000000.0,-764000000.0,806000000.0,-3140000000.0,-485000000.0,-2655000000.0,-2701000000.0,-2.5,0.3438,-0.1151,-0.1678,-0.1444,0.075,4242000000.0,-2154000000.0,-2.4628,,-2.4629,,-2.4629,-2655000000.0,,-2655000000.0,0.2267,0.2567,COP
2020-09-30 00:00:00,21347000000.0,8974000000.0,12373000000.0,5738000000.0,253000000.0,1062000000.0,-1021000000.0,800000000.0,-768000000.0,372000000.0,-1140000000.0,-1209000000.0,-1.12,0.5796,0.0119,-0.036,-0.0566,0.1061,5983000000.0,253000000.0,-1.0586,,-1.0504,,-1.0504,-1140000000.0,,-1140000000.0,0.2803,0.2863,COP
2020-06-30 00:00:00,27060000000.0,10080000000.0,16980000000.0,6155000000.0,4250000000.0,,-1013000000.0,784000000.0,3237000000.0,856000000.0,2381000000.0,2297000000.0,2.06,0.6275,0.1571,0.1196,0.0849,0.1999,10159000000.0,4250000000.0,2.1177,,2.1376,,2.1376,2381000000.0,,2381000000.0,0.3754,0.2802,COP
2020-03-31 00:00:00,31424000000.0,11649000000.0,19775000000.0,6552000000.0,6292000000.0,,-1018000000.0,747000000.0,5274000000.0,1574000000.0,3700000000.0,3617000000.0,3.22,0.6293,0.2002,0.1678,0.1151,0.2255,12554000000.0,6292000000.0,3.2714,,3.2977,,3.2977,3700000000.0,,3700000000.0,0.3995,0.3283,COP
2019-12-31 00:00:00,36670000000.0,12585000000.0,24085000000.0,6831000000.0,10694000000.0,,-1170000000.0,778000000.0,9524000000.0,2267000000.0,7257000000.0,7189000000.0,6.43,0.6568,0.2916,0.2597,0.196,0.204,17110000000.0,10694000000.0,6.4591,,6.4954,,6.4954,7257000000.0,,7257000000.0,0.4666,0.3028,COP
2019-09-30 00:00:00,38891000000.0,13739000000.0,25152000000.0,6802000000.0,12021000000.0,,-1111000000.0,770000000.0,10910000000.0,2518000000.0,8392000000.0,8337000000.0,7.39,0.6467,0.3091,0.2805,0.2144,0.2277,18581000000.0,12021000000.0,7.3879,,7.4297,,7.4297,8392000000.0,,8392000000.0,0.4778,0.3061,COP
