Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2115840000.0,470697000.0,1645143000.0,215042000.0,965929100.0,464172100.0,,4505000.0,29716000.0,460293000.0,122312000.0,337981000.0,337981000.0,0.86,0.7775,0.2194,0.2175,0.1597,0.1727,637686000.0,464172000.0,0.8562,0.8593,0.8593,337981000.0,337981000.0,0.3014,0.2264,CSGP
2022-06-30 00:00:00,2058238000.0,444400000.0,1613838000.0,211273000.0,933990100.0,468575100.0,26983000.0,4662000.0,26937000.0,446254000.0,116259000.0,329995000.0,329995000.0,0.84,0.7841,0.2277,0.2168,0.1603,0.1892,630061000.0,468575000.0,0.8368,0.8401,0.8401,329995000.0,329995000.0,0.3061,0.2394,CSGP
2022-03-31 00:00:00,2002263000.0,418117000.0,1584146000.0,208259000.0,898139100.0,459403100.0,31461000.0,-3711000.0,31416000.0,432108000.0,124438000.0,307670000.0,307670000.0,0.79,0.7912,0.2294,0.2158,0.1537,0.2341,630626000.0,459403000.0,0.7804,0.7838,0.7838,307670000.0,307670000.0,0.315,0.2675,CSGP
2021-12-31 00:00:00,1944135000.0,395294000.0,1548841000.0,201022000.0,878718100.0,432337100.0,31621000.0,-12503000.0,,403968000.0,111404000.0,292564000.0,292564000.0,0.75,0.7967,0.2224,0.2078,0.1505,0.1526,615138000.0,432337000.0,0.7423,0.746,0.746,292564000.0,292564000.0,0.3164,0.2494,CSGP
2021-09-30 00:00:00,1881742100.0,368186000.0,1513556100.0,190073000.0,921777000.0,347162100.0,31612000.0,-22181000.0,31235000.0,317038000.0,81585000.0,235453000.0,235453000.0,0.601,0.8043,0.1845,0.1685,0.1251,0.163,538648000.0,347162000.0,0.5938,0.5968,0.5968,235453000.0,235453000.0,0.2862,0.2433,CSGP
2021-06-30 00:00:00,1808043100.0,334333000.0,1473710100.0,177662000.0,889007000.0,334239100.0,31206000.0,-31602000.0,26888000.0,302637000.0,73302000.0,229335000.0,229335000.0,0.59,0.8151,0.1849,0.1674,0.1268,0.158,531474000.0,334239000.0,0.5784,0.5815,0.5815,229335000.0,229335000.0,0.2939,0.2532,CSGP
2021-03-31 00:00:00,1724869100.0,318807000.0,1406062100.0,168090000.0,854033000.0,314547100.0,26925000.0,-28642000.0,17360000.0,285905000.0,57358000.0,228547000.0,228547000.0,0.591,0.8152,0.1824,0.1658,0.1325,0.155,505675000.0,314547000.0,0.5832,0.5865,0.5865,228547000.0,228547000.0,0.2932,0.2565,CSGP
2020-12-31 00:00:00,1659019100.0,308968000.0,1350051100.0,162916000.0,835476000.0,289202100.0,21073000.0,-18222000.0,,270980000.0,43852000.0,227128000.0,227128000.0,0.601,0.8138,0.1743,0.1633,0.1369,0.2639,468320000.0,289202000.0,0.5926,0.5966,0.5966,227128000.0,227128000.0,0.2823,0.293,CSGP
2020-09-30 00:00:00,1589352000.0,305810000.0,1283542000.0,157923000.0,734442000.0,334978000.0,13641000.0,3866000.0,23283000.0,338844000.0,59578000.0,279266000.0,279266000.0,0.752,0.8076,0.2108,0.2132,0.1757,0.2636,503369000.0,334978000.0,0.7454,0.7509,0.7509,279266000.0,279266000.0,0.3167,0.2914,CSGP
2020-06-30 00:00:00,1516540000.0,299117000.0,1217423000.0,149830000.0,669598000.0,352438000.0,,16395000.0,16450000.0,368833000.0,69134000.0,299699000.0,299699000.0,0.819,0.8028,0.2324,0.2432,0.1976,0.2824,505904000.0,352438000.0,0.8122,0.8187,0.8187,299699000.0,299699000.0,0.3336,0.3118,CSGP
2020-03-31 00:00:00,1463141000.0,296995000.0,1166146000.0,139284000.0,643146000.0,345919000.0,,25681000.0,8176000.0,371600000.0,69013000.0,302587000.0,302587000.0,0.832,0.797,0.2364,0.254,0.2068,0.2712,488391000.0,345919000.0,0.8249,0.832,0.832,302587000.0,302587000.0,0.3338,0.3012,CSGP
2019-12-31 00:00:00,1399719000.0,289239000.0,1110480000.0,125602000.0,587336000.0,363547000.0,,27402000.0,10559000.0,390949000.0,75986000.0,314963000.0,314963000.0,0.867,0.7934,0.2597,0.2793,0.225,0.294,499009000.0,363547000.0,0.8599,0.8674,0.8674,314963000.0,314963000.0,0.3565,0.3271,CSGP
2019-09-30 00:00:00,1340564000.0,282491000.0,1058073000.0,114602000.0,544847000.0,368218000.0,,17995000.0,-2547000.0,386213000.0,75668000.0,310545000.0,310545000.0,0.856,0.7893,0.2747,0.2881,0.2317,0.3079,497332000.0,368218100.0,0.8491,0.8569,0.8569,310545000.0,310545000.0,0.371,0.3467,CSGP
2019-06-30 00:00:00,1293281000.0,283391000.0,1009890000.0,108136000.0,525998000.0,344637000.0,,15659000.0,-2534000.0,360296000.0,69611000.0,290685000.0,290685000.0,0.803,0.7809,0.2665,0.2786,0.2248,0.3259,473692000.0,344637100.0,0.7955,0.8031,0.8031,290685000.0,290685000.0,0.3663,0.3477,CSGP
2019-03-31 00:00:00,1246539000.0,278609000.0,967930000.0,105952000.0,515607000.0,313611000.0,,12367000.0,2872000.0,325978000.0,54706000.0,271272000.0,271272000.0,0.751,0.7765,0.2516,0.2615,0.2176,0.3053,443620000.0,313611100.0,0.7431,0.7504,0.7504,271272000.0,271272000.0,0.3559,0.3297,CSGP
2018-12-31 00:00:00,1191832000.0,269933000.0,921899000.0,100937000.0,516517000.0,273564000.0,,10451000.0,2830000.0,284015000.0,45681000.0,238334000.0,238334000.0,0.662,0.7735,0.2295,0.2383,0.2,0.2566,400496000.0,273564100.0,0.6539,0.6609,0.6609,238334000.0,238334000.0,0.336,0.2815,CSGP
2018-09-30 00:00:00,1130252000.0,259986000.0,870265900.0,97153000.0,527471000.0,218664900.0,,4472000.0,2869000.0,223137000.0,24108000.0,199029000.0,199029000.0,0.555,0.77,0.1935,0.1974,0.1761,0.2349,329075900.0,218664900.0,0.5506,0.5568,0.5568,199029000.0,199029000.0,0.2912,0.2584,CSGP
2018-06-30 00:00:00,1072260000.0,243397000.0,828862900.0,92516000.0,507911000.0,205489900.0,,-192000.0,5053000.0,205298000.0,30851000.0,174447000.0,174447000.0,0.497,0.773,0.1916,0.1915,0.1627,0.2154,299068900.0,205489900.0,0.4939,0.4995,0.4995,174447000.0,174447000.0,0.2789,0.2412,CSGP
2018-03-31 00:00:00,1012395000.0,231534000.0,780860900.0,89389000.0,483173000.0,189598900.0,,-4204000.0,7018000.0,185395000.0,32599000.0,152796000.0,152796000.0,0.443,0.7713,0.1873,0.1831,0.1509,0.2135,266682900.0,189598900.0,0.4414,0.4465,0.4465,152796000.0,152796000.0,0.2634,0.2402,CSGP
2017-12-31 00:00:00,965230000.0,220403000.0,744826900.0,88850000.0,464490000.0,173815900.0,,-8758000.0,9014000.0,165058000.0,42363000.0,122695000.0,122695000.0,0.366,0.7717,0.1801,0.171,0.1271,0.2178,239761900.0,173815900.0,0.3657,0.3696,0.3696,122695000.0,122695000.0,0.2484,0.2432,CSGP
2017-09-30 00:00:00,929550000.0,208115000.0,721435000.0,86915000.0,445802000.0,169947000.0,,-8059000.0,10834000.0,161888000.0,53824000.0,108064000.0,108064000.0,0.334,0.7761,0.1828,0.1742,0.1163,0.203,238325000.0,169947000.0,0.3311,0.3343,0.3343,108064000.0,108064000.0,0.2564,0.2318,CSGP
2017-06-30 00:00:00,894728000.0,194854000.0,699874000.0,84736000.0,443085000.0,152030000.0,,-7867000.0,10431000.0,144163000.0,47075000.0,97088000.0,97088000.0,0.301,0.7822,0.1699,0.1611,0.1085,0.2071,223496000.0,152030000.0,0.2984,0.3011,0.3011,97088000.0,97088000.0,0.2498,0.2339,CSGP
2017-03-31 00:00:00,864444000.0,182260000.0,682184000.0,81139000.0,427497000.0,152266000.0,,-8075000.0,10193000.0,144191000.0,53711000.0,90480000.0,90480000.0,0.281,0.7892,0.1761,0.1668,0.1047,0.2264,225396000.0,152266000.0,0.2786,0.281,0.281,90480000.0,90480000.0,0.2607,0.2508,CSGP
2016-12-31 00:00:00,837630000.0,173814000.0,663816000.0,76400000.0,419780000.0,144905000.0,,-8243000.0,10016000.0,136662000.0,51591000.0,85071000.0,85071000.0,0.264,0.7925,0.173,0.1632,0.1016,0.2171,218297000.0,144905000.0,0.2622,0.2645,0.2645,85071000.0,85071000.0,0.2606,0.2395,CSGP
2016-09-30 00:00:00,812328000.0,172928000.0,639400000.0,73259000.0,408330000.0,133538100.0,,-9162000.0,9813000.0,124376000.0,45888000.0,78488000.0,78488000.0,0.244,0.7871,0.1644,0.1531,0.0966,0.2459,209336000.0,133538000.0,0.2431,0.2446,0.2446,78488000.0,78488000.0,0.2577,0.269,CSGP
2016-06-30 00:00:00,788695000.0,184434000.0,604261000.0,70950000.0,413924000.0,93511100.0,,-9329000.0,9678000.0,84182000.0,34257000.0,49925000.0,49925000.0,0.155,0.7662,0.1186,0.1067,0.0633,0.2219,173782000.0,93511000.0,0.1548,0.1557,0.1557,49925000.0,49925000.0,0.2203,0.253,CSGP
2016-03-31 00:00:00,752483000.0,186389000.0,566094000.0,68247000.0,425572000.0,45263100.0,,-9250000.0,9577000.0,36013000.0,16630000.0,19383000.0,19383000.0,0.06,0.7523,0.0602,0.0479,0.0258,0.1739,126798000.0,45263000.0,0.06,0.0605,0.0605,19383000.0,19383000.0,0.1685,0.2099,CSGP
