Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,9217000000.0,3386000000.0,5831000000.0,32000000.0,797000000.0,5152000000.0,83000000.0,-1087000000.0,83000000.0,5096000000.0,1124000000.0,3971000000.0,3966000000.0,4.92,0.6326,0.559,0.5529,0.4303,0.3776,7067000000.0,5152000000.0,5.5194,5.5426,5.5426,3971000000.0,3972000000.0,0.7667,0.5342,CTRA
2022-06-30 00:00:00,7183000000.0,2759000000.0,4424000000.0,26000000.0,653000000.0,3743000000.0,79000000.0,-757000000.0,79000000.0,3664000000.0,826000000.0,2839000000.0,2835000000.0,3.58,0.6159,0.5211,0.5101,0.3947,0.3078,5364000000.0,3743000000.0,4.1776,4.1925,4.1925,2839000000.0,2839000000.0,0.7468,0.4731,CTRA
2022-03-31 00:00:00,4869000000.0,2035000000.0,2834000000.0,21000000.0,495000000.0,2188000000.0,71000000.0,-261000000.0,71000000.0,2117000000.0,478000000.0,1640000000.0,1637000000.0,2.14,0.582,0.4494,0.4348,0.3362,0.3763,3404000000.0,2188000000.0,2.731,2.737,2.737,1640000000.0,1640000000.0,0.6991,0.5541,CTRA
2021-12-31 00:00:00,3570000000.0,1414000000.0,2156000000.0,18000000.0,346000000.0,1564000000.0,62000000.0,-302000000.0,62000000.0,1502000000.0,345000000.0,1158000000.0,1158000000.0,1.72,0.6039,0.4381,0.4207,0.3244,0.265,2406000000.0,1564000000.0,2.2975,2.3022,2.3022,1158000000.0,1158000000.0,0.6739,0.4667,CTRA
2021-09-30 00:00:00,1882154000.0,746573000.0,1135581000.0,13331000.0,154438000.0,489416000.0,49000000.0,37314000.0,48857000.0,439730000.0,90053000.0,351677000.0,350677000.0,0.89,0.6033,0.26,0.2336,0.1863,0.2474,1070776000.0,489416000.0,0.8749,0.8806,0.8806,351677000.0,350677000.0,0.5689,0.5428,CTRA
2021-06-30 00:00:00,1531195000.0,633752000.0,897443000.0,13231000.0,117315000.0,384883000.0,50389000.0,-50132000.0,50246000.0,334751000.0,62035000.0,272716000.0,272716000.0,0.77,0.5861,0.2514,0.2186,0.1781,0.2531,769625000.0,384883000.0,0.6786,0.6831,0.6831,272716000.0,272716000.0,0.5026,0.5915,CTRA
2021-03-31 00:00:00,1539543000.0,637424000.0,902119000.0,15810000.0,116833000.0,384599000.0,51932000.0,-51723000.0,51789000.0,332876000.0,59786000.0,273090000.0,273090000.0,0.77,0.586,0.2498,0.2162,0.1774,0.2038,772714000.0,384599000.0,0.6799,0.6843,0.6843,273090000.0,273090000.0,0.5019,0.5606,CTRA
2020-12-31 00:00:00,1466000000.0,644000000.0,822000000.0,15000000.0,120000000.0,296000000.0,54143000.0,-54000000.0,54000000.0,242000000.0,41000000.0,201000000.0,201000000.0,0.59,0.5607,0.2019,0.1651,0.1371,0.1385,690000000.0,296000000.0,0.5013,0.5038,0.5038,201000000.0,201000000.0,0.4707,0.5307,CTRA
2020-09-30 00:00:00,1470936900.0,652116000.0,818820900.0,15640000.0,117098000.0,355043000.0,57793000.0,-58582000.0,57841000.0,296460900.0,80268000.0,216193000.0,216193000.0,0.62,0.5567,0.2414,0.2015,0.147,0.0597,759170000.0,355043000.0,0.5396,0.5421,0.5421,216193000.0,216193000.0,0.5161,0.498,CTRA
2020-06-30 00:00:00,1609006900.0,649799000.0,959207900.0,16221000.0,112219000.0,492353000.0,,-57833000.0,57006000.0,434519900.0,113008000.0,321512000.0,321512000.0,0.8,0.5961,0.306,0.2701,0.1998,0.1104,907742000.0,492353000.0,0.7951,0.7987,0.7987,321512000.0,321512000.0,0.5642,0.5434,CTRA
