Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,315197000000.0,261092000000.0,54105000000.0,,6357000000.0,2336000000.0,9404000000.0,2343000000.0,4089000000.0,928000000.0,3161000000.0,3153000000.0,2.35,0.1717,0.0202,0.013,0.01,0.0619,19772000000.0,6357000000.0,2.3611,,2.4024,,2.4145,3161000000.0,,3161000000.0,0.0627,0.0702,CVS
2022-06-30 00:00:00,307744000000.0,254400000000.0,53344000000.0,,13349000000.0,2354000000.0,2596000000.0,2379000000.0,10690000000.0,2533000000.0,8157000000.0,8167000000.0,6.15,0.1733,0.0434,0.0347,0.0265,0.0516,19505000000.0,13349000000.0,6.1476,,6.1962,,6.2083,8157000000.0,,8157000000.0,0.0634,0.0602,CVS
2022-03-31 00:00:00,299724000000.0,231024000000.0,68700000000.0,,13106000000.0,2403000000.0,1962000000.0,2432000000.0,10396000000.0,2409000000.0,7987000000.0,7999000000.0,6.03,0.2292,0.0437,0.0347,0.0267,0.054,19312000000.0,13106000000.0,6.0093,,6.0571,,6.0692,7987000000.0,,7987000000.0,0.0644,0.0632,CVS
2021-12-31 00:00:00,291995000000.0,208458000000.0,83537000000.0,,13193000000.0,2469000000.0,1272000000.0,2503000000.0,10420000000.0,2522000000.0,7898000000.0,7910000000.0,5.98,0.2861,0.0452,0.0357,0.0271,0.0539,19429000000.0,13193000000.0,5.9499,,5.9879,,6.0,7898000000.0,,7898000000.0,0.0665,0.0626,CVS
2021-09-30 00:00:00,285083000000.0,187958000000.0,97125000000.0,36197000000.0,13488000000.0,2523000000.0,-1676000000.0,2573000000.0,10075000000.0,2489000000.0,7586000000.0,7577000000.0,5.74,0.3407,0.0473,0.0353,0.0266,0.0533,18497000000.0,13488000000.0,5.7166,,5.7532,,5.749,7586000000.0,,7577000000.0,0.0649,0.0625,CVS
2021-06-30 00:00:00,278323000000.0,167806000000.0,110517000000.0,35421000000.0,13676000000.0,2668000000.0,-3940000000.0,2702000000.0,9736000000.0,2518000000.0,7218000000.0,7203000000.0,5.47,0.3971,0.0491,0.035,0.0259,0.0417,18192000000.0,13676000000.0,5.4495,,5.4823,,5.4781,7218000000.0,,7209000000.0,0.0654,0.0509,CVS
2021-03-31 00:00:00,271048000000.0,164528000000.0,106520000000.0,35190000000.0,14030000000.0,2797000000.0,-4069000000.0,2831000000.0,9961000000.0,2548000000.0,7413000000.0,7395000000.0,5.63,0.393,0.0518,0.0367,0.0273,0.0477,18511000000.0,14030000000.0,5.6188,,5.6474,,5.6432,7413000000.0,,7404000000.0,0.0683,0.057,CVS
2020-12-31 00:00:00,268706000000.0,163981000000.0,104725000000.0,34803000000.0,13911000000.0,2872000000.0,-4141000000.0,2907000000.0,9770000000.0,2569000000.0,7201000000.0,7179000000.0,5.48,0.3897,0.0518,0.0364,0.0267,0.05,18352000000.0,13911000000.0,5.47,-0.01,5.4942,-0.01,5.49,7201000000.0,-9000000.0,7192000000.0,0.0683,0.059,CVS
2020-09-30 00:00:00,266041000000.0,163594000000.0,102447000000.0,34045000000.0,14424000000.0,2941000000.0,-3545000000.0,2963000000.0,10879000000.0,2918000000.0,7961000000.0,7953000000.0,6.08,0.3851,0.0542,0.0409,0.0299,0.0475,18822000000.0,14424000000.0,6.0622,,6.0911,,6.0942,7961000000.0,,7961000000.0,0.0707,0.0561,CVS
2020-06-30 00:00:00,263795000000.0,163091000000.0,100704000000.0,,14103000000.0,,-2897000000.0,2979000000.0,11206000000.0,2935000000.0,8271000000.0,8259000000.0,6.32,0.3818,0.0535,0.0425,0.0313,0.0517,18479000000.0,14103000000.0,6.3068,,6.3349,,6.338,8271000000.0,,8271000000.0,0.0701,0.0606,CVS
2020-03-31 00:00:00,261885000000.0,161819000000.0,100066000000.0,,12755000000.0,,-2918000000.0,2986000000.0,9837000000.0,2621000000.0,7216000000.0,7220000000.0,5.54,0.3821,0.0487,0.0376,0.0276,0.0448,17101000000.0,12755000000.0,5.5174,,5.538,,5.5411,7216000000.0,,7216000000.0,0.0653,0.0542,CVS
2019-12-31 00:00:00,256776000000.0,158719000000.0,98057000000.0,,11987000000.0,,-2990000000.0,3035000000.0,8997000000.0,2366000000.0,6631000000.0,6634000000.0,5.09,0.3819,0.0467,0.035,0.0258,0.0405,16358000000.0,11987000000.0,5.0799,0.0,5.0968,0.0,5.0999,6631000000.0,1000000.0,6631000000.0,0.0637,0.05,CVS
2019-09-30 00:00:00,244311000000.0,157218000000.0,87093000000.0,,9774000000.0,,-3009000000.0,3034000000.0,6765000000.0,2300000000.0,4465000000.0,4468000000.0,3.38,0.3565,0.04,0.0277,0.0183,0.0418,16084000000.0,9774000000.0,3.3613,0.0,3.3597,0.0,3.3656,4465000000.0,1000000.0,4466000000.0,0.0658,0.052,CVS
2019-06-30 00:00:00,226991000000.0,156283000000.0,70708000000.0,,9420000000.0,,-2889000000.0,2961000000.0,6531000000.0,2205000000.0,4326000000.0,4328000000.0,3.57,0.3115,0.0415,0.0288,0.0191,0.0372,15258000000.0,9420000000.0,3.5497,0.0,3.5481,0.0,3.5513,4326000000.0,0.0,4327000000.0,0.0672,0.0479,CVS
2019-03-31 00:00:00,210482000000.0,156189000000.0,54293000000.0,,4715000000.0,,-2840000000.0,2878000000.0,1875000000.0,2042000000.0,-167000000.0,-171000000.0,-0.44,0.2579,0.0224,0.0089,-0.0008,0.0294,14049000000.0,4715000000.0,-0.4534,,-0.4538,,-0.4529,-167000000.0,,-167000000.0,0.0667,0.0402,CVS
2018-12-31 00:00:00,194579000000.0,156447000000.0,38132000000.0,,4021000000.0,,-2615000000.0,2619000000.0,1406000000.0,2002000000.0,-596000000.0,-594000000.0,-0.55,0.196,0.0207,0.0072,-0.0031,0.0351,12888000000.0,4021000000.0,-0.57,,-0.5709,,-0.57,-596000000.0,0.0,-596000000.0,0.0662,0.0456,CVS
2018-09-30 00:00:00,188561000000.0,153565000000.0,34996000000.0,,6326000000.0,,-2213000000.0,2204000000.0,4113000000.0,1000000000.0,3113000000.0,3112000000.0,3.05,0.1856,0.0335,0.0218,0.0165,0.0227,12826000000.0,6326000000.0,3.0194,0.0,3.0529,0.0,3.0423,3113000000.0,0.0,3112000000.0,0.068,0.0331,CVS
2018-06-30 00:00:00,187252000000.0,153127000000.0,34125000000.0,,6251000000.0,,-1975000000.0,1775000000.0,4276000000.0,1268000000.0,3008000000.0,3007000000.0,2.95,0.1822,0.0334,0.0228,0.0161,0.031,12746000000.0,6251000000.0,2.9194,-0.01,2.955,-0.01,2.9423,3008000000.0,-9000000.0,3007000000.0,0.0681,0.0415,CVS
2018-03-31 00:00:00,186015000000.0,153010000000.0,33005000000.0,,9741000000.0,,-1537000000.0,1333000000.0,8204000000.0,1537000000.0,6667000000.0,6668000000.0,6.54,0.1774,0.0524,0.0441,0.0358,0.0262,12426000000.0,9741000000.0,6.5094,,6.5502,,6.5323,6667000000.0,,6668000000.0,0.0668,0.0367,CVS
2017-12-31 00:00:00,184786000000.0,153448000000.0,31338000000.0,,9538000000.0,,-1270000000.0,1062000000.0,8268000000.0,1637000000.0,6631000000.0,6622000000.0,6.48,0.1696,0.0516,0.0447,0.0358,0.033,12198000000.0,9538000000.0,6.45,,6.4931,,6.48,6631000000.0,,6623000000.0,0.066,0.0433,CVS
2017-09-30 00:00:00,182371000000.0,151995000000.0,30376000000.0,,9429000000.0,,-1217000000.0,1006000000.0,8212000000.0,3161000000.0,5051000000.0,5042000000.0,4.85,0.1666,0.0517,0.045,0.0276,0.0451,12049000000.0,9429000000.0,4.83,-0.01,4.8678,-0.01,4.85,5051000000.0,-9000000.0,5043000000.0,0.0661,0.0563,CVS
2017-06-30 00:00:00,180805000000.0,150054000000.0,30751000000.0,,9754000000.0,,-1141000000.0,1014000000.0,8613000000.0,3305000000.0,5308000000.0,5297000000.0,5.03,0.1701,0.0539,0.0476,0.0293,0.053,12370000000.0,9754000000.0,5.0,0.0,5.0459,0.0,5.03,5308000000.0,-9000000.0,5299000000.0,0.0684,0.0641,CVS
2017-03-31 00:00:00,178845000000.0,148005000000.0,30840000000.0,,9994000000.0,,-1716000000.0,1047000000.0,8278000000.0,3143000000.0,5135000000.0,5123000000.0,4.82,0.1724,0.0559,0.0463,0.0286,0.0512,12471000000.0,9994000000.0,4.79,0.0,4.832,0.0,4.82,5135000000.0,-10000000.0,5125000000.0,0.0697,0.0628,CVS
2016-12-31 00:00:00,177546000000.0,146533000000.0,31013000000.0,,10386000000.0,,-1749000000.0,1078000000.0,8637000000.0,3317000000.0,5320000000.0,5317000000.0,4.94,0.1747,0.0585,0.0486,0.0299,0.0446,12861000000.0,10386000000.0,4.91,,4.9572,,4.93,5320000000.0,,5319000000.0,0.0724,0.0571,CVS
2016-09-30 00:00:00,172700000000.0,144148000000.0,28552000000.0,,10116000000.0,,-1780000000.0,1093000000.0,8336000000.0,3223000000.0,5113000000.0,5108000000.0,4.69,0.1653,0.0586,0.0483,0.0296,0.0536,12545000000.0,10116000000.0,4.6515,0.0008,4.7094,0.0008,4.6759,5113000000.0,-2000000.0,5111000000.0,0.0726,0.0679,CVS
2016-06-30 00:00:00,166729000000.0,139008000000.0,27721000000.0,,9623000000.0,,-1680000000.0,1101000000.0,7943000000.0,3135000000.0,4808000000.0,4814000000.0,4.36,0.1663,0.0577,0.0476,0.0289,0.0426,11973000000.0,9623000000.0,4.3215,,4.3859,,4.3359,4808000000.0,9000000.0,4817000000.0,0.0718,0.0576,CVS
2016-03-31 00:00:00,160173000000.0,133065000000.0,27108000000.0,,9528000000.0,,-1017000000.0,987000000.0,8511000000.0,3355000000.0,5156000000.0,5162000000.0,4.63,0.1692,0.0595,0.0531,0.0322,0.0404,11747000000.0,9528000000.0,4.5852,,4.654,,4.6076,5156000000.0,9000000.0,5165000000.0,0.0733,0.0562,CVS
2015-12-31 00:00:00,153290000000.0,126762000000.0,26528000000.0,,9475000000.0,,-859000000.0,838000000.0,8616000000.0,3386000000.0,5230000000.0,5237000000.0,4.67,0.1731,0.0618,0.0562,0.0342,0.0405,11567000000.0,9475000000.0,4.62,,4.686,,4.65,5230000000.0,8000000.0,5239000000.0,0.0755,0.0557,CVS
2015-09-30 00:00:00,149200000000.0,123340000000.0,25860000000.0,,9046000000.0,,-692000000.0,692000000.0,8354000000.0,3302000000.0,5052000000.0,5060000000.0,4.47,0.1733,0.0606,0.056,0.0339,0.0409,11045000000.0,9046000000.0,4.4384,0.0008,4.4878,0.0008,4.4478,5052000000.0,3000000.0,5061000000.0,0.074,0.0554,CVS
2015-06-30 00:00:00,145577000000.0,119910000000.0,25667000000.0,,8961000000.0,,-1105000000.0,584000000.0,7856000000.0,3093000000.0,4763000000.0,4762000000.0,4.18,0.1763,0.0616,0.054,0.0327,0.0407,10905000000.0,8961000000.0,4.1484,,4.1878,,4.1678,4763000000.0,,4762000000.0,0.0749,0.0556,CVS
2015-03-31 00:00:00,143010000000.0,117421000000.0,25589000000.0,,8907000000.0,,-1097000000.0,576000000.0,7810000000.0,3073000000.0,4737000000.0,4736000000.0,4.12,0.1789,0.0623,0.0546,0.0331,0.0405,10851000000.0,8907000000.0,4.086,,4.1256,,4.1056,4737000000.0,,4736000000.0,0.0759,0.0556,CVS
2014-12-31 00:00:00,139367000000.0,114000000000.0,25367000000.0,,8799000000.0,,-1121000000.0,600000000.0,7678000000.0,3033000000.0,4645000000.0,4644000000.0,4.0,0.182,0.0631,0.0551,0.0333,0.0431,10730000000.0,8799000000.0,3.9599,,4.0,,3.98,4645000000.0,,4644000000.0,0.077,0.0584,CVS
2014-09-30 00:00:00,135142000000.0,110070000000.0,25072000000.0,,8695000000.0,,-1125000000.0,604000000.0,7570000000.0,2981000000.0,4589000000.0,4588000000.0,3.91,0.1855,0.0643,0.056,0.0339,0.0312,10595000000.0,8695000000.0,3.8713,-0.01,3.9031,-0.01,3.9019,4589000000.0,-8000000.0,4588000000.0,0.0784,0.0463,CVS
2014-06-30 00:00:00,132053000000.0,107422000000.0,24631000000.0,,8603000000.0,,-573000000.0,573000000.0,8030000000.0,3134000000.0,4896000000.0,4889000000.0,4.12,0.1865,0.0651,0.0608,0.037,0.0325,10487000000.0,8603000000.0,4.0813,,4.1092,,4.1119,4896000000.0,,4889000000.0,0.0794,0.0478,CVS
2014-03-31 00:00:00,128699000000.0,104551000000.0,24148000000.0,,8367000000.0,,-541000000.0,541000000.0,7826000000.0,3051000000.0,4775000000.0,4767000000.0,3.96,0.1876,0.065,0.0608,0.037,0.0335,10212000000.0,8367000000.0,3.93,,3.9558,,3.9624,4775000000.0,,4767000000.0,0.0793,0.0491,CVS
