Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10591000000.0,6767000000.0,3824000000.0,2043000000.0,1373000000.0,2241000000.0,121000000.0,2241000000.0,-966000000.0,-163000000.0,-803000000.0,-1185000000.0,-5.54,0.3611,0.1296,-0.0912,-0.1119,-0.0475,2686000000.0,1373000000.0,-3.79,,-5.5371,,-3.79,-803000000.0,,-803000000.0,0.2536,0.0665,CZR
2022-06-30 00:00:00,10389000000.0,6698000000.0,3691000000.0,2086000000.0,1246000000.0,2251000000.0,62000000.0,2251000000.0,-1344000000.0,-261000000.0,-1083000000.0,-1470000000.0,-6.87,0.3553,0.1199,-0.1294,-0.1415,0.0116,2545000000.0,1246000000.0,-5.11,-1.78,-6.8642,-1.78,-5.11,-1083000000.0,-382000000.0,-1083000000.0,0.245,0.064,CZR
2022-03-31 00:00:00,10070000000.0,6052000000.0,4018000000.0,1987000000.0,1234000000.0,2268000000.0,-376000000.0,2268000000.0,-1331000000.0,-314000000.0,-1017000000.0,-1276000000.0,-5.96,0.399,0.1225,-0.1322,-0.1267,0.0972,2213000000.0,1234000000.0,-4.79,-1.19,-5.9543,-1.19,-4.79,-1017000000.0,-255000000.0,-1047000000.0,0.2198,0.0913,CZR
2021-12-31 00:00:00,9570000000.0,5059000000.0,4511000000.0,1868000000.0,1460000000.0,2279000000.0,-1015000000.0,2295000000.0,-1269000000.0,-283000000.0,-986000000.0,-1019000000.0,-4.81,0.4714,0.1526,-0.1326,-0.1065,0.1184,2174000000.0,1460000000.0,-4.69,-0.14,-4.8152,-0.14,-4.69,-986000000.0,-30000000.0,-1020000000.0,0.2272,0.1295,CZR
2021-09-30 00:00:00,8564000000.0,4046000000.0,4518000000.0,1769000000.0,1288000000.0,2284000000.0,-1677000000.0,2316000000.0,-1191000000.0,-102000000.0,-1089000000.0,-1140000000.0,-4.69,0.5276,0.1504,-0.1391,-0.1331,0.0926,1585000000.0,1288000000.0,-6.42,-0.28,-6.7045,-0.28,-6.42,-1089000000.0,-51000000.0,-1136000000.0,0.1851,0.0733,CZR
2021-06-30 00:00:00,7322000000.0,3134000000.0,4188000000.0,1535000000.0,625000000.0,2178000000.0,-2279000000.0,2222000000.0,-1654000000.0,126000000.0,-1780000000.0,-1833000000.0,-9.69,0.572,0.0854,-0.2259,-0.2503,0.0561,625000000.0,625000000.0,-11.38,-0.31,-11.7106,-0.31,-11.38,-1780000000.0,-54000000.0,-1834000000.0,0.0854,0.0262,CZR
2021-03-31 00:00:00,4947000000.0,2228000000.0,2719000000.0,1184000000.0,-44000000.0,1670000000.0,-1845000000.0,1714000000.0,-1889000000.0,93000000.0,-1982000000.0,-2004000000.0,-11.28,0.5496,-0.0089,-0.3818,-0.4051,-0.076,-44000000.0,-44000000.0,-13.11,,-13.3051,,-13.11,-1982000000.0,,-2006000000.0,-0.0089,-0.1071,CZR
2020-12-31 00:00:00,3628000000.0,1706000000.0,1922000000.0,902000000.0,-383000000.0,1173000000.0,-1223000000.0,1202000000.0,-1606000000.0,132000000.0,-1738000000.0,-1757000000.0,-11.5,0.5298,-0.1056,-0.4427,-0.4843,-0.099,-383000000.0,-383000000.0,-13.35,,-13.523,,-13.35,-1738000000.0,,-1758000000.0,-0.1056,-0.1546,CZR
2020-09-30 00:00:00,2635056000.0,1306785900.0,1328270100.0,574300000.0,-274153900.0,676000000.0,-860834000.0,688692000.0,-1134988000.0,72177000.0,-1207165000.0,-1215165000.0,-9.76,0.5041,-0.104,-0.4307,-0.4612,0.1203,-274153900.0,-274154000.0,-9.707,,-9.7644,,-9.7166,-1207165000.0,,-1214165000.0,-0.104,-0.0569,CZR
2020-06-30 00:00:00,1855056000.0,974785900.0,880270100.0,366300000.0,-18153900.0,,-281834000.0,275692000.0,-299988000.0,-47823000.0,-252165000.0,-252165000.0,-3.19,0.4745,-0.0098,-0.1617,-0.1359,0.1928,-18153900.0,-18154000.0,-3.197,,-3.2045,,-3.1966,-252165000.0,,-252165000.0,-0.0098,0.0561,CZR
