Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,27171000000.0,18788000000.0,8383000000.0,6250700000.0,2126198700.0,178000000.0,-6000000.0,177500000.0,1949000000.0,381000000.0,1567299800.0,1567000000.0,6.94,0.3085,0.0783,0.0717,0.0577,0.0042,2903000000.0,2126198700.0,6.9394,6.9715,6.9715,1567299800.0,1567000000.0,0.1068,0.0448,DLTR
2022-04-30 00:00:00,26745000000.0,18626000000.0,8119000000.0,6090500000.0,2022998500.0,180000000.0,-39000000.0,179900000.0,1843000000.0,353000000.0,1489799800.0,1489000000.0,6.57,0.3036,0.0756,0.0689,0.0557,0.0135,2782000000.0,2022998500.0,6.5703,6.6015,6.6015,1489799800.0,1489000000.0,0.104,0.0529,DLTR
2022-01-31 00:00:00,26321700000.0,18578700000.0,7743000000.0,5926100000.0,1811398400.0,179000000.0,-38000000.0,178900000.0,1631900000.0,304400000.0,1327899800.0,1327500000.0,5.81,0.2942,0.0688,0.062,0.0504,0.0155,2556199900.0,1811398400.0,5.7987,5.8266,5.8266,1327899800.0,1327500000.0,0.0971,0.0544,DLTR
2021-10-31 00:00:00,26008601000.0,18255800000.0,7752801000.0,5835800000.0,1914201200.0,133000000.0,-88200000.0,133600000.0,1780300000.0,404000000.0,1376500000.0,1376300000.0,5.94,0.2981,0.0736,0.0685,0.0529,0.0411,2638600900.0,1914200700.0,5.9148,5.9409,5.9409,1376500000.0,1376300000.0,0.1015,0.0769,DLTR
2021-07-31 00:00:00,25767601000.0,17859400000.0,7908201000.0,5839200000.0,2069201200.0,138000000.0,-138400000.0,138300000.0,1930600000.0,441300000.0,1489700000.0,1489300000.0,6.37,0.3069,0.0803,0.0749,0.0578,0.0444,2774200900.0,2069200700.0,6.3418,6.3705,6.3705,1489700000.0,1489300000.0,0.1077,0.0782,DLTR
2021-04-30 00:00:00,25702201000.0,17741800000.0,7960401000.0,5918500000.0,2041900900.0,140000000.0,-140400000.0,140100000.0,1901500000.0,432700000.0,1468800000.0,1468800000.0,6.24,0.3097,0.0794,0.074,0.0571,0.0558,2740200800.0,2041900400.0,6.2096,6.2372,6.2372,1468800000.0,1468800000.0,0.1066,0.09,DLTR
2021-01-31 00:00:00,25509301000.0,17721000000.0,7788301000.0,5900400000.0,1887900900.0,147000000.0,-148100000.0,147300000.0,1739800000.0,397900000.0,1341900000.0,1341900000.0,5.68,0.3053,0.074,0.0682,0.0526,0.0716,2578500800.0,1887900400.0,5.6549,5.6765,5.6765,1341900000.0,1341900000.0,0.1011,0.1065,DLTR
2020-10-31 00:00:00,25056702000.0,17460699000.0,7596003000.0,5827300000.0,1455701200.0,152000000.0,-153800000.0,152300000.0,1301899900.0,339800000.0,962100000.0,962100000.0,4.06,0.3032,0.0581,0.052,0.0384,0.0651,2456601300.0,1455700700.0,4.0447,4.0621,4.0621,962100000.0,962100000.0,0.098,0.1033,DLTR
2020-07-31 00:00:00,24625902000.0,17249799000.0,7376103000.0,5714500000.0,1348601600.0,,-157100000.0,155600000.0,1191499900.0,303600000.0,887900000.0,887900000.0,3.75,0.2995,0.0548,0.0484,0.0361,0.0593,2340001700.0,1348601100.0,3.7347,3.7492,3.7492,887900000.0,887900000.0,0.095,0.1,DLTR
2020-04-30 00:00:00,24088902000.0,16980499000.0,7108403000.0,5552800000.0,1242601600.0,,-162600000.0,160900000.0,1079999900.0,273300000.0,806700000.0,806700000.0,3.41,0.2951,0.0516,0.0448,0.0335,0.0478,2221701700.0,1242601100.0,3.393,3.406,3.406,806700000.0,806700000.0,0.0922,0.0919,DLTR
2020-01-31 00:00:00,23610802000.0,16570099000.0,7040703000.0,5465500000.0,1262201700.0,,-163500000.0,162100000.0,1098699900.0,271700000.0,827000000.0,827000000.0,3.49,0.2982,0.0535,0.0465,0.035,0.0353,2227501800.0,1262201200.0,3.4705,3.4864,3.4864,827000000.0,827000000.0,0.0943,0.0792,DLTR
2019-10-31 00:00:00,23500700000.0,16508400000.0,6992300000.0,5399900000.0,-1134600700.0,,-170300000.0,169200000.0,-1304900000.0,298100000.0,-1603000000.0,-1603000000.0,-6.72,0.2975,-0.0483,-0.0555,-0.0682,0.0318,2233798600.0,-1134599700.0,-6.7341,-6.7334,-6.7334,-1603000000.0,-1603000000.0,0.0951,0.0736,DLTR
2019-07-31 00:00:00,23293300000.0,16333600000.0,6959700000.0,5337900000.0,-1105201300.0,,-176600000.0,175400000.0,-1281800000.0,295200000.0,-1577000000.0,-1577000000.0,-6.62,0.2988,-0.0474,-0.055,-0.0677,0.0392,2253998000.0,-1105200300.0,-6.6306,-6.6296,-6.6296,-1577000000.0,-1577000000.0,0.0968,0.079,DLTR
