Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,15370000000.0,13661000000.0,1709000000.0,1328000000.0,379000000.0,162000000.0,1159000000.0,77000000.0,1141000000.0,369000000.0,772000000.0,757000000.0,3.07,0.1112,0.0247,0.0742,0.0493,0.093,2050000000.0,379000000.0,3.0955,,3.1422,,3.1422,772000000.0,,772000000.0,0.1334,0.1162,DXC
2022-06-30 00:00:00,15831000000.0,14042000000.0,1789000000.0,1371000000.0,132000000.0,179000000.0,1581000000.0,65000000.0,839000000.0,282000000.0,557000000.0,542000000.0,2.21,0.113,0.0083,0.053,0.0342,0.1107,2147000000.0,132000000.0,2.2345,,2.2795,,2.2795,557000000.0,,557000000.0,0.1356,0.136,DXC
2022-03-31 00:00:00,16265000000.0,13978000000.0,2287000000.0,1405000000.0,146000000.0,204000000.0,1860000000.0,107000000.0,1141000000.0,405000000.0,736000000.0,718000000.0,2.87,0.1406,0.009,0.0702,0.0441,0.0864,2188000000.0,146000000.0,2.8839,,2.9438,,2.9438,736000000.0,,736000000.0,0.1345,0.114,DXC
2021-12-31 00:00:00,16642000000.0,13955000000.0,2687000000.0,1561000000.0,-129000000.0,238000000.0,397000000.0,170000000.0,-451000000.0,156000000.0,-607000000.0,-610000000.0,-2.41,0.1615,-0.0078,-0.0271,-0.0367,0.0543,1962000000.0,-129000000.0,-2.392,,-2.3849,,-2.3849,-607000000.0,,-607000000.0,0.1179,0.0716,DXC
2021-09-30 00:00:00,16841000000.0,13685000000.0,3156000000.0,1738000000.0,-310000000.0,282000000.0,2264000000.0,237000000.0,1361000000.0,967000000.0,394000000.0,390000000.0,1.53,0.1874,-0.0184,0.0808,0.0232,-0.0089,1819000000.0,-310000000.0,1.5205,,1.5446,,1.5446,394000000.0,,394000000.0,0.108,0.0113,DXC
2021-06-30 00:00:00,17368000000.0,13712000000.0,3656000000.0,1910000000.0,-223000000.0,317000000.0,1526000000.0,317000000.0,1303000000.0,968000000.0,335000000.0,334000000.0,1.31,0.2105,-0.0128,0.075,0.0192,-0.0225,1699000000.0,-223000000.0,1.2934,,1.3175,,1.3175,335000000.0,,335000000.0,0.0978,-0.0014,DXC
2021-03-31 00:00:00,17729000000.0,14086000000.0,3643000000.0,2066000000.0,-434000000.0,361000000.0,1088000000.0,361000000.0,654000000.0,800000000.0,-146000000.0,-149000000.0,-0.59,0.2055,-0.0245,0.0369,-0.0084,-0.0128,1557000000.0,-434000000.0,-0.5745,,-0.5744,,-0.5744,-146000000.0,,-146000000.0,0.0878,0.007,DXC
2020-12-31 00:00:00,18159000000.0,14298000000.0,3861000000.0,2131000000.0,-288000000.0,379000000.0,-1827000000.0,379000000.0,-2115000000.0,728000000.0,-2843000000.0,-2846000000.0,-11.24,0.2126,-0.0159,-0.1165,-0.1567,0.008,5599000000.0,-288000000.0,-10.9624,,-10.944,,-10.944,-2843000000.0,,-2843000000.0,0.3083,0.0381,DXC
2020-09-30 00:00:00,18892000000.0,14792000000.0,4100000000.0,2132000000.0,-54000000.0,390000000.0,-3912000000.0,390000000.0,-3966000000.0,-110000000.0,-3856000000.0,-3862000000.0,-15.24,0.217,-0.0029,-0.2099,-0.2044,0.0462,5888000000.0,-54000000.0,-14.9237,,-14.9283,,-14.9283,-3856000000.0,,-3856000000.0,0.3117,0.0718,DXC
2020-06-30 00:00:00,19189000000.0,14908000000.0,4281000000.0,2082000000.0,235000000.0,,-5894000000.0,398000000.0,-5659000000.0,66000000.0,-5725000000.0,-5737000000.0,-22.47,0.2231,0.0122,-0.2949,-0.299,0.1059,9007000000.0,235000000.0,-22.1309,,-22.1355,,-22.1355,-5725000000.0,,-5725000000.0,0.4694,0.1321,DXC
