Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,9847000000.0,2696000000.0,7151000000.0,1327000000.0,3032000000.0,2473000000.0,14007000000.0,-3591000000.0,-753000000.0,-2838000000.0,-3222000000.0,-0.11,0.7262,0.2511,-0.3647,-0.3272,0.1487,2871000000.0,2473000000.0,-4.67,4.8466,0.2307,4.9266,-4.69,-2838000000.0,2866000000.0,-2838000000.0,0.2916,0.1892,EBAY
2022-06-30 00:00:00,10023000000.0,2726000000.0,7297000000.0,1316000000.0,3109000000.0,2567000000.0,11646000000.0,-3103000000.0,-618000000.0,-2485000000.0,-2889000000.0,0.42,0.728,0.2561,-0.3096,-0.2882,0.0931,3035000000.0,2567000000.0,-4.11,4.8166,0.7646,4.8966,-4.12,-2485000000.0,2846000000.0,-2485000000.0,0.3028,0.1386,EBAY
2022-03-31 00:00:00,10278000000.0,2734000000.0,7544000000.0,1322000000.0,3115000000.0,2774000000.0,10320000000.0,-1975000000.0,-320000000.0,-1655000000.0,8376000000.0,17.29,0.734,0.2699,-0.1922,0.8149,0.1736,3265000000.0,2774000000.0,-2.72,20.0566,17.6454,20.3666,-2.72,-1655000000.0,13281000000.0,8785000000.0,0.3177,0.2168,EBAY
2021-12-31 00:00:00,10439000000.0,2650000000.0,7789000000.0,1325000000.0,3203000000.0,2923000000.0,8346000000.0,398000000.0,146000000.0,252000000.0,10358000000.0,20.51,0.7461,0.28,0.0381,0.9922,0.212,3436000000.0,2923000000.0,0.38,20.16,20.8712,20.48,0.39,252000000.0,13356000000.0,10765000000.0,0.3292,0.2545,EBAY
2021-09-30 00:00:00,9996000000.0,2355000000.0,7641000000.0,1257000000.0,3192000000.0,2880000000.0,-1835000000.0,2637000000.0,730000000.0,1907000000.0,12484000000.0,18.49,0.7644,0.2881,0.2638,1.2489,0.2627,3411000000.0,2880000000.0,2.74,15.65,18.7104,15.92,2.79,1907000000.0,10577000000.0,12503000000.0,0.3412,0.3123,EBAY
2021-06-30 00:00:00,9734000000.0,2156000000.0,7578000000.0,1194000000.0,3146000000.0,2880000000.0,79000000.0,2959000000.0,730000000.0,2229000000.0,12884000000.0,19.04,0.7785,0.2959,0.304,1.3236,0.258,3429000000.0,2880000000.0,3.17,15.76,19.2564,16.03,3.22,2229000000.0,10655000000.0,12884000000.0,0.3523,0.3053,EBAY
2021-03-31 00:00:00,9403000000.0,1901000000.0,7502000000.0,1100000000.0,3141000000.0,2912000000.0,591000000.0,3503000000.0,879000000.0,2624000000.0,2896000000.0,4.18,0.7978,0.3097,0.3725,0.308,0.2574,3488000000.0,2912000000.0,3.71,0.59,4.3918,0.63,3.76,2624000000.0,272000000.0,2896000000.0,0.3709,0.3051,EBAY
2020-12-31 00:00:00,8894000000.0,1797000000.0,7097000000.0,1028000000.0,3076000000.0,2636000000.0,709000000.0,3345000000.0,858000000.0,2487000000.0,5667000000.0,7.77,0.798,0.2964,0.3761,0.6372,0.2199,3219000000.0,2636000000.0,3.46,4.43,7.9817,4.48,3.5,2487000000.0,3180000000.0,5667000000.0,0.3619,0.272,EBAY
2020-09-30 00:00:00,7234000000.0,1360000000.0,5874000000.0,879000000.0,2464000000.0,2202000000.0,287000000.0,2489000000.0,457000000.0,2032000000.0,5378000000.0,7.23,0.812,0.3044,0.3441,0.7434,0.2834,2780000000.0,2202000000.0,2.8,4.3855,7.2336,4.4055,2.81,2032000000.0,3346000000.0,5378000000.0,0.3843,0.3417,EBAY
2020-06-30 00:00:00,7059000000.0,1412000000.0,5647000000.0,851000000.0,2510000000.0,1948000000.0,51000000.0,1999000000.0,362000000.0,1637000000.0,5024000000.0,6.65,0.8,0.276,0.2832,0.7117,0.4246,2513000000.0,1948000000.0,2.19,4.4255,6.6531,4.4455,2.19,1637000000.0,3387000000.0,5024000000.0,0.356,0.4783,EBAY
