Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,15104000000.0,9344000000.0,5760000000.0,6551000000.0,2773000000.0,986000000.0,-158000000.0,251000000.0,1940000000.0,326000000.0,1613000000.0,1694000000.0,4.77,0.3814,0.1836,0.1284,0.1122,-0.046,4919000000.0,2773000000.0,4.5385,4.5551,4.5551,1613000000.0,1614000000.0,0.3257,0.2409,ED
2022-06-30 00:00:00,14524000000.0,8883000000.0,5641000000.0,6351000000.0,2734000000.0,981000000.0,-261000000.0,251000000.0,1757000000.0,293000000.0,1463000000.0,1619000000.0,4.57,0.3884,0.1882,0.121,0.1115,-0.0185,4837000000.0,2734000000.0,4.1237,4.1366,4.1366,1463000000.0,1464000000.0,0.333,0.227,ED
2022-03-31 00:00:00,14074000000.0,7147000000.0,6927000000.0,6228000000.0,2765000000.0,968000000.0,-617000000.0,507000000.0,1593000000.0,265000000.0,1327000000.0,1529000000.0,4.33,0.4922,0.1965,0.1132,0.1086,-0.041,4827000000.0,2765000000.0,3.75,3.7613,3.7613,1327000000.0,1328000000.0,0.343,0.2073,ED
2021-12-31 00:00:00,13674000000.0,5467000000.0,8207000000.0,6064000000.0,2826000000.0,956000000.0,-1018000000.0,678000000.0,1384000000.0,190000000.0,1193000000.0,1346000000.0,3.86,0.6002,0.2067,0.1012,0.0984,-0.0668,4837000000.0,2826000000.0,3.4144,3.4242,3.4242,1193000000.0,1194000000.0,0.3537,0.1999,ED
2021-09-30 00:00:00,13196000000.0,4041000000.0,9155000000.0,5904000000.0,2635000000.0,953000000.0,-1289000000.0,666000000.0,1156000000.0,101000000.0,1055000000.0,1165000000.0,3.36,0.6938,0.1997,0.0876,0.0883,-0.0997,4613000000.0,2635000000.0,3.0264,3.0326,3.0326,1055000000.0,1055000000.0,0.3496,0.1926,ED
2021-06-30 00:00:00,12941000000.0,2586000000.0,10355000000.0,5737000000.0,2645000000.0,943000000.0,-1464000000.0,887000000.0,1181000000.0,93000000.0,1088000000.0,1120000000.0,3.31,0.8002,0.2044,0.0913,0.0865,-0.159,4619000000.0,2645000000.0,3.1986,3.2062,3.2062,1088000000.0,1088000000.0,0.3569,0.1863,ED
2021-03-31 00:00:00,12689000000.0,2491000000.0,10198000000.0,5545000000.0,2706000000.0,950000000.0,-1421000000.0,873000000.0,1285000000.0,113000000.0,1172000000.0,1145000000.0,3.4,0.8037,0.2133,0.1013,0.0902,-0.1792,4653000000.0,2706000000.0,3.4608,3.4692,3.4692,1172000000.0,1172000000.0,0.3667,0.1635,ED
2020-12-31 00:00:00,12246000000.0,2283000000.0,9963000000.0,5389000000.0,2654000000.0,951000000.0,-1420000000.0,1019000000.0,1234000000.0,90000000.0,1144000000.0,1101000000.0,3.3,0.8136,0.2167,0.1008,0.0899,-0.165,4574000000.0,2654000000.0,3.4078,3.4169,3.4169,1144000000.0,1144000000.0,0.3735,0.1795,ED
2020-09-30 00:00:00,12237000000.0,2276000000.0,9961000000.0,5389000000.0,2712000000.0,956000000.0,-1067000000.0,1014000000.0,1645000000.0,236000000.0,1409000000.0,1352000000.0,4.06,0.814,0.2216,0.1344,0.1105,-0.1047,4571000000.0,2712000000.0,4.2121,4.2247,4.2247,1409000000.0,1409000000.0,0.3735,0.2077,ED
2020-06-30 00:00:00,12269000000.0,2306000000.0,9963000000.0,5445000000.0,2719000000.0,,-1076000000.0,1050000000.0,1643000000.0,233000000.0,1410000000.0,1332000000.0,4.01,0.812,0.2216,0.1339,0.1086,-0.0767,4518000000.0,2719000000.0,4.225,4.2381,4.2381,1410000000.0,1410000000.0,0.3682,0.2263,ED
