Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2476009000.0,727783000.0,1748226000.0,382166000.0,976693000.0,-655655100.0,9105000.0,1065209000.0,,-645495000.0,-3216000.0,-642279100.0,-642279000.0,-5.4,0.7061,-0.2648,-0.2607,-0.2594,0.2602,492183000.0,-655655100.0,-5.4506,-5.1137,-5.1137,-642279100.0,-642279000.0,0.1988,0.2756,ETSY
2022-06-30 00:00:00,2413969000.0,707042000.0,1706927000.0,347647000.0,951384000.0,382865900.0,10757000.0,41435000.0,,387321000.0,-23398000.0,410719000.0,410719000.0,2.84,0.7071,0.1586,0.1604,0.1701,0.2189,509309000.0,382865900.0,2.7818,3.2188,3.2188,410719000.0,410719000.0,0.211,0.2347,ETSY
2022-03-31 00:00:00,2357734000.0,684590000.0,1673144000.0,307305000.0,941399000.0,399409900.0,,34126000.0,,399913000.0,-35937000.0,435850000.0,435850000.0,3.1,0.7096,0.1694,0.1696,0.1849,0.2235,513011000.0,399409900.0,2.9581,3.4172,3.4172,435850000.0,435850000.0,0.2176,0.2386,ETSY
2021-12-31 00:00:00,2329114000.0,654512000.0,1674602000.0,271535000.0,912305000.0,465731900.0,9885000.0,38645000.0,2137000.0,471654000.0,-21853000.0,493507000.0,493507000.0,3.64,0.719,0.2,0.2025,0.2119,0.2668,566759000.0,465731900.0,3.3644,3.8791,3.8791,493507000.0,493507000.0,0.2433,0.2797,ETSY
2021-09-30 00:00:00,2229330000.0,596326000.0,1633004000.0,240137000.0,883019000.0,484818000.0,17763000.0,23440000.0,13338000.0,480588000.0,100000.0,480488000.0,480488000.0,3.71,0.7325,0.2175,0.2156,0.2155,0.2618,574976000.0,484818100.0,3.3557,3.834,3.834,480488000.0,480488000.0,0.2579,0.2713,ETSY
2021-06-30 00:00:00,2148379000.0,562834000.0,1585545000.0,212524000.0,853775000.0,519246000.0,25599000.0,-32064000.0,23814000.0,487182000.0,4863000.0,482319000.0,482319000.0,3.84,0.738,0.2417,0.2268,0.2245,0.3185,576917000.0,519246100.0,3.4127,3.8761,3.8761,482319000.0,482319000.0,0.2685,0.3254,ETSY
2021-03-31 00:00:00,2048216000.0,525246000.0,1522970000.0,196004000.0,777685000.0,549281000.0,33743000.0,-35537000.0,33037000.0,513744000.0,33254000.0,480490000.0,480490000.0,3.88,0.7436,0.2682,0.2508,0.2346,0.3846,608138000.0,549281100.0,3.4519,3.9135,3.9135,480490000.0,480490000.0,0.2969,0.3895,ETSY
2020-12-31 00:00:00,1725625000.0,464745000.0,1260880000.0,180080000.0,656791000.0,424009000.0,42025000.0,-58300000.0,42025000.0,365709000.0,16463000.0,349246000.0,349246000.0,2.85,0.7307,0.2457,0.2119,0.2024,0.3888,484949000.0,424009100.0,2.5602,2.8804,2.8804,349246000.0,349246000.0,0.281,0.3935,ETSY
2020-09-30 00:00:00,1378268000.0,404789000.0,973479000.0,164624000.0,521143000.0,287711900.0,40520000.0,-52559000.0,40520000.0,235153000.0,3154000.0,231999000.0,231999000.0,1.93,0.7063,0.2087,0.1706,0.1683,0.3676,350076900.0,287712000.0,1.7499,1.9324,1.9324,231999000.0,231999000.0,0.254,0.3728,ETSY
2020-06-30 00:00:00,1124737000.0,353570000.0,771167000.0,151181000.0,436211000.0,183774900.0,,-28926000.0,34982000.0,154849000.0,-190000.0,155039000.0,155039000.0,1.3,0.6856,0.1634,0.1377,0.1378,0.3242,243193900.0,183775000.0,1.2,1.3031,1.3031,155039000.0,155039000.0,0.2162,0.3341,ETSY
