Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19025000000.0,16389000000.0,2636000000.0,2177672800.0,2118193900.0,8000000.0,15000000.0,2141000000.0,542000000.0,1599878900.0,1591000000.0,9.52,0.1386,0.1113,0.1125,0.0836,0.0982,2173000000.0,2118193900.0,9.5609,9.6495,9.6495,1599878900.0,1599000000.0,0.1142,0.1024,EXPD
2022-06-30 00:00:00,18982000000.0,16398000000.0,2584000000.0,1784092800.0,2080908500.0,9000000.0,9000000.0,2099000000.0,554000000.0,1545626900.0,1536000000.0,9.07,0.1361,0.1096,0.1106,0.0809,0.0728,2133000000.0,2080908500.0,9.1217,9.2151,9.2151,1545626900.0,1545000000.0,0.1124,0.0766,EXPD
2022-03-31 00:00:00,17988093000.0,15033633000.0,2954460000.0,1754341800.0,1985571600.0,13837000.0,8000000.0,2005482000.0,525508000.0,1480374900.0,1474372000.0,8.67,0.1642,0.1104,0.1115,0.082,0.0492,2036320000.0,1985571600.0,8.672,8.7732,8.7732,1480374900.0,1479974000.0,0.1132,0.0515,EXPD
2021-12-31 00:00:00,16522913000.0,13212917000.0,3309996100.0,1666528800.0,1909327200.0,10783000.0,8000000.0,1924943000.0,506019000.0,1418844900.0,1415592000.0,8.32,0.2003,0.1156,0.1165,0.0857,0.0504,1959821900.0,1909327200.0,8.2852,8.3884,8.3884,1418844900.0,1418924000.0,0.1186,0.0526,EXPD
2021-09-30 00:00:00,14049651000.0,10658070000.0,3391580600.0,1483012100.0,1567607700.0,12879000.0,8000000.0,1582850000.0,418401000.0,1164359000.0,1161212000.0,6.83,0.2414,0.1116,0.1127,0.0827,0.0477,1619971200.0,1567608300.0,6.7812,6.8733,6.8733,1164359000.0,1164449000.0,0.1153,0.0502,EXPD
2021-06-30 00:00:00,12079364000.0,8554404000.0,3524959500.0,1747570100.0,1329915300.0,14363000.0,8000000.0,1344279000.0,348111000.0,996168000.0,993519000.0,5.88,0.2918,0.1101,0.1113,0.0822,0.0542,1385767300.0,1329915900.0,5.8063,5.8907,5.8907,996168000.0,996168000.0,0.1147,0.0571,EXPD
2021-03-31 00:00:00,10881349000.0,7617258000.0,3264090300.0,1661432100.0,1166896000.0,12882000.0,9000000.0,1179779000.0,316397000.0,863382000.0,861016000.0,5.11,0.3,0.1072,0.1084,0.0791,0.0732,1224182000.0,1166896600.0,5.048,5.1219,5.1219,863382000.0,863382000.0,0.1125,0.0777,EXPD
2020-12-31 00:00:00,9584393000.0,6656702000.0,2927690200.0,1556540100.0,940435900.0,16127000.0,12000000.0,956564000.0,258350000.0,698214000.0,696140000.0,4.14,0.3055,0.0981,0.0998,0.0726,0.0634,997394900.0,940436500.0,4.0856,4.1479,4.1479,698214000.0,698214000.0,0.1041,0.0683,EXPD
2020-09-30 00:00:00,8473587000.0,5728178000.0,2745408900.0,1488933900.0,838965300.0,19188000.0,15000000.0,858154000.0,221717000.0,636437000.0,634846000.0,3.76,0.324,0.099,0.1013,0.0749,0.0746,894079300.0,838965300.0,3.7206,3.7796,3.7796,636437000.0,636437000.0,0.1055,0.08,EXPD
2020-06-30 00:00:00,8199729000.0,5514343000.0,2685386000.0,1478839900.0,793570200.0,24100000.0,13279000.0,817671000.0,212326000.0,605345000.0,603760000.0,3.56,0.3275,0.0968,0.0997,0.0736,0.0763,845219300.0,793570200.0,3.5236,3.5831,3.5831,605345000.0,605345000.0,0.1031,0.0827,EXPD
