Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,5671000000.0,2407000000.0,3265000000.0,393000000.0,1956200000.0,898100200.0,91000000.0,-6000000.0,91400000.0,793000000.0,97000000.0,695900000.0,693000000.0,1.91,0.5757,0.1584,0.1398,0.1222,0.1839,1369000000.0,898100100.0,1.93,-0.0156,1.9387,-0.0156,1.94,695900000.0,-4300000.0,696000000.0,0.2414,0.1964,FTV
2022-06-30 00:00:00,5515000000.0,2351000000.0,3164000000.0,380000000.0,1920900000.0,848500200.0,90000000.0,-1000000.0,90100000.0,749000000.0,92000000.0,658600000.0,654000000.0,1.8,0.5737,0.1539,0.1358,0.1186,0.1778,1301000000.0,848500100.0,1.82,-0.0156,1.8285,-0.0156,1.83,658600000.0,,657000000.0,0.2359,0.1897,FTV
2022-03-31 00:00:00,5371700000.0,2285200000.0,3085499900.0,367800000.0,1892400000.0,827499900.0,94000000.0,-17800000.0,94300000.0,748500000.0,82500000.0,667600000.0,644700000.0,1.8,0.5744,0.154,0.1393,0.12,0.1815,1242999900.0,827499800.0,1.82,,1.8774,,1.84,667600000.0,,664900000.0,0.2314,0.192,FTV
2021-12-31 00:00:00,5253900000.0,2247500000.0,3005399900.0,355000000.0,1839900000.0,812799900.0,103000000.0,-93700000.0,103200000.0,676200000.0,63500000.0,614200000.0,572600000.0,1.62,0.572,0.1547,0.1287,0.109,0.1743,1207599900.0,812799800.0,1.65,-0.02,1.7434,-0.02,1.66,614200000.0,-5800000.0,610100000.0,0.2298,0.1829,FTV
2021-09-30 00:00:00,5203800000.0,2229300000.0,2973499900.0,345400000.0,1835300000.0,795099900.0,115000000.0,995500000.0,114800000.0,1764300000.0,68000000.0,1697900000.0,1606000000.0,4.72,0.5714,0.1528,0.339,0.3086,0.179,1176499900.0,795099900.0,4.65,-0.1044,4.8794,-0.1144,4.84,1697900000.0,-38900000.0,1657700000.0,0.2261,0.1866,FTV
2021-06-30 00:00:00,5063600000.0,2182500000.0,2881099900.0,336600000.0,1814100000.0,730399900.0,134000000.0,959200000.0,126600000.0,1689600000.0,58300000.0,1631300000.0,1663500000.0,4.92,0.569,0.1442,0.3337,0.3285,0.2269,1109199900.0,730399900.0,4.43,0.3056,5.1238,0.2956,4.62,1631300000.0,101200000.0,1732500000.0,0.2191,0.2351,FTV
2021-03-31 00:00:00,4785500000.0,2077100000.0,2708400000.0,326200000.0,1760500000.0,621700000.0,152000000.0,932400000.0,137600000.0,1554100000.0,45000000.0,1509100000.0,1612600000.0,4.77,0.566,0.1299,0.3248,0.337,0.2796,1004300000.0,621700000.0,4.08,0.5156,4.9762,0.5056,4.26,1509100000.0,172500000.0,1681600000.0,0.2099,0.2906,FTV
2020-12-31 00:00:00,4634400000.0,2025900000.0,2608500000.0,320800000.0,1748200000.0,539500000.0,168000000.0,968200000.0,148500000.0,1507700000.0,55500000.0,1452200000.0,1544300000.0,4.57,0.5629,0.1164,0.3253,0.3332,0.2948,923500000.0,539500000.0,3.91,0.48,4.7751,0.47,4.09,1452200000.0,161100000.0,1613300000.0,0.1993,0.31,FTV
2020-09-30 00:00:00,4572800000.0,2019300000.0,2553500000.0,314200000.0,1743800000.0,495500000.0,179000000.0,-158800000.0,153600000.0,336700000.0,61400000.0,275300000.0,521500000.0,1.54,0.5584,0.1084,0.0736,0.114,0.3441,820900000.0,495500000.0,0.61,0.93,1.7517,0.93,0.61,275300000.0,315200000.0,590500000.0,0.1795,0.3559,FTV
2020-06-30 00:00:00,5273000000.0,2443400000.0,2829600000.0,354100000.0,1875500000.0,600000000.0,,-127500000.0,163700000.0,472500000.0,75900000.0,396600000.0,502800000.0,1.48,0.5366,0.1138,0.0896,0.0954,0.276,947100000.0,600000000.0,0.97,0.52,1.6991,0.52,0.98,396600000.0,175200000.0,571800000.0,0.1796,0.2895,FTV
