Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,75262000000.0,54271000000.0,20991000000.0,2728000000.0,12580000000.0,5358000000.0,1592000000.0,6432000000.0,1616000000.0,-4291000000.0,579000000.0,-4870000000.0,-5900000000.0,-5.53,0.2789,0.0712,-0.057,-0.0784,0.0349,7301000000.0,5358000000.0,-4.71,-0.84,-5.2629,-0.84,-4.71,-4870000000.0,-920000000.0,-4870000000.0,0.097,0.0511,GE
2022-06-30 00:00:00,74768000000.0,53318000000.0,21450000000.0,2669000000.0,12291000000.0,5994000000.0,1595000000.0,6223000000.0,1688000000.0,-3652000000.0,560000000.0,-4212000000.0,-775000000.0,-4.32,0.2869,0.0802,-0.0488,-0.0104,0.0466,8354000000.0,5994000000.0,-4.03,-0.22,-4.0385,-0.21,-4.03,-4212000000.0,-233000000.0,-4221000000.0,0.1117,0.0638,GE
2022-03-31 00:00:00,74376000000.0,53710000000.0,20666000000.0,2577000000.0,12434000000.0,5176000000.0,1668000000.0,4910000000.0,1782000000.0,-4445000000.0,-223000000.0,-4222000000.0,-1114000000.0,-4.66,0.2779,0.0696,-0.0598,-0.015,0.0475,8127000000.0,5176000000.0,-4.01,-0.54,-4.3716,-0.53,-4.01,-4222000000.0,-587000000.0,-4795000000.0,0.1093,0.0637,GE
2021-12-31 00:00:00,74411000000.0,53825000000.0,20586000000.0,2497000000.0,11677000000.0,5960000000.0,1715000000.0,3614000000.0,1876000000.0,-3682000000.0,-285000000.0,-3397000000.0,-2912000000.0,-6.31,0.2767,0.0801,-0.0495,-0.0391,0.0288,8518000000.0,5960000000.0,-3.25,-2.91,-6.0027,-2.91,-3.25,-3396000000.0,-3195000000.0,-6864000000.0,0.1145,0.0448,GE
2021-09-30 00:00:00,74925000000.0,55257000000.0,19668000000.0,2428000000.0,11628000000.0,5353000000.0,2039000000.0,-1284000000.0,1870000000.0,2365000000.0,-220000000.0,2585000000.0,3182000000.0,-0.52,0.2625,0.0714,0.0316,0.0425,0.0461,7955000000.0,5353000000.0,2.09,-2.5,-0.1031,-2.5,2.09,2586000000.0,-2695000000.0,-720000000.0,0.1062,0.0605,GE
2021-06-30 00:00:00,74862000000.0,55966000000.0,18896000000.0,2396000000.0,12289000000.0,4211000000.0,2360000000.0,-4048000000.0,1934000000.0,161000000.0,-705000000.0,866000000.0,-2809000000.0,-2.64,0.2524,0.0563,0.0022,-0.0375,0.0327,7661000000.0,4211000000.0,0.51,-3.09,-2.2727,-3.1,0.51,867000000.0,-3355000000.0,-2488000000.0,0.1023,0.047,GE
2021-03-31 00:00:00,73414000000.0,55981000000.0,17433000000.0,2403000000.0,12559000000.0,1594000000.0,2868000000.0,-1694000000.0,2007000000.0,-100000000.0,-399000000.0,299000000.0,-3800000000.0,-3.6,0.2375,0.0217,-0.0014,-0.0518,0.0072,5032000000.0,1594000000.0,-0.12,-3.46,-3.1874,-3.47,-0.12,300000000.0,-3784000000.0,-3485000000.0,0.0685,0.0251,GE
2020-12-31 00:00:00,75833000000.0,57871000000.0,17962000000.0,2565000000.0,12751000000.0,1769000000.0,3239000000.0,4200000000.0,2068000000.0,5970000000.0,-487000000.0,6457000000.0,5230000000.0,4.64,0.2369,0.0233,0.0787,0.069,0.0269,5233000000.0,1769000000.0,5.46,-0.83,5.0695,-0.83,5.46,6457000000.0,-911000000.0,5546000000.0,0.069,0.0471,GE
2020-09-30 00:00:00,76069000000.0,56005000000.0,20064000000.0,,12984000000.0,1154000000.0,3452000000.0,2606000000.0,1302000000.0,3759000000.0,-37000000.0,3796000000.0,3325000000.0,2.88,0.2638,0.0152,0.0494,0.0437,0.0633,3206000000.0,1154000000.0,3.02,-0.1537,3.3166,-0.1537,10.46,3795000000.0,-167000000.0,3628000000.0,0.0421,0.0873,GE
2020-06-30 00:00:00,80900000000.0,59292000000.0,21608000000.0,,13136000000.0,2401000000.0,,1729000000.0,2055000000.0,4130000000.0,487000000.0,3643000000.0,-4950000000.0,-4.64,0.2671,0.0297,0.0511,-0.0612,0.0644,4791000000.0,2401000000.0,2.86,-7.52,-4.1905,-7.52,2.86,3642000000.0,-8202000000.0,-4560000000.0,0.0592,0.0883,GE
