Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,27019000000.0,6372000000.0,20647000000.0,5483000000.0,5303000000.0,6003000000.0,947000000.0,5166000000.0,947000000.0,4542000000.0,1233000000.0,3309000000.0,3334000000.0,2.65,0.7642,0.2222,0.1681,0.1234,0.3334,11979000000.0,6003000000.0,2.6226,2.6348,2.6348,3309000000.0,3309000000.0,0.4434,0.3594,GILD
2022-06-30 00:00:00,27467000000.0,6200000000.0,21267000000.0,5451000000.0,5280000000.0,7008000000.0,968000000.0,4612000000.0,968000000.0,5548000000.0,1439000000.0,4109000000.0,4137000000.0,3.28,0.7743,0.2551,0.202,0.1506,0.3428,12607000000.0,7008000000.0,3.2554,3.2706,3.2706,4109000000.0,4109000000.0,0.459,0.3677,GILD
2022-03-31 00:00:00,27469000000.0,6148000000.0,21321000000.0,5441000000.0,5274000000.0,7225000000.0,982000000.0,4182000000.0,982000000.0,5862000000.0,1371000000.0,4491000000.0,4515000000.0,3.58,0.7762,0.263,0.2134,0.1644,0.3623,12533000000.0,7225000000.0,3.5586,3.5757,3.5757,4491000000.0,4491000000.0,0.4563,0.3864,GILD
2021-12-31 00:00:00,27324000000.0,6085000000.0,21239000000.0,5320000000.0,5246000000.0,9918000000.0,1001000000.0,973000000.0,1001000000.0,8278000000.0,2077000000.0,6201000000.0,6225000000.0,4.94,0.7773,0.363,0.303,0.2278,0.3954,12486000000.0,9918000000.0,4.9136,4.9371,4.9371,6201000000.0,6201000000.0,0.457,0.4166,GILD
2021-09-30 00:00:00,27503000000.0,5372000000.0,22131000000.0,4872000000.0,5326000000.0,11629000000.0,1030000000.0,-1774000000.0,1030000000.0,9333000000.0,1964000000.0,7369000000.0,7394000000.0,5.88,0.8047,0.4228,0.3393,0.2688,0.3451,13566000000.0,11629000000.0,5.8632,5.8757,5.8757,7369000000.0,7369000000.0,0.4933,0.3671,GILD
2021-06-30 00:00:00,26638000000.0,5290000000.0,21348000000.0,4883000000.0,5242000000.0,9788000000.0,1016000000.0,-3068000000.0,1016000000.0,6720000000.0,1584000000.0,5136000000.0,5162000000.0,4.12,0.8014,0.3674,0.2523,0.1938,0.318,11562000000.0,9788000000.0,4.094,4.0981,4.0981,5136000000.0,5136000000.0,0.434,0.3413,GILD
2021-03-31 00:00:00,25564000000.0,4964000000.0,20600000000.0,5090000000.0,5130000000.0,4559000000.0,1000000000.0,-2629000000.0,1000000000.0,1930000000.0,1657000000.0,273000000.0,301000000.0,0.25,0.8058,0.1783,0.0755,0.0118,0.3402,6163000000.0,4559000000.0,0.2239,0.2232,0.2232,273000000.0,273000000.0,0.2411,0.3654,GILD
2020-12-31 00:00:00,24689000000.0,4572000000.0,20117000000.0,5039000000.0,5151000000.0,4071000000.0,984000000.0,-2402000000.0,984000000.0,1669000000.0,1580000000.0,89000000.0,123000000.0,0.1,0.8148,0.1649,0.0676,0.005,0.3045,5551000000.0,4071000000.0,0.0704,0.0709,0.0709,89000000.0,89000000.0,0.2248,0.3308,GILD
2020-09-30 00:00:00,23147000000.0,4857000000.0,18290000000.0,4434000000.0,4625000000.0,2513000000.0,960000000.0,-757000000.0,960000000.0,1756000000.0,522000000.0,1234000000.0,1268000000.0,0.99,0.7902,0.1086,0.0759,0.0548,0.3525,3916000000.0,2513000000.0,0.9449,0.9688,0.9688,1234000000.0,1234000000.0,0.1692,0.3816,GILD
2020-06-30 00:00:00,22174000000.0,4751000000.0,17423000000.0,4306000000.0,4571000000.0,-961000000.0,,391000000.0,974000000.0,-570000000.0,-283000000.0,-287000000.0,-257000000.0,-0.22,0.7857,-0.0433,-0.0257,-0.0116,0.3838,434000000.0,-961000000.0,-0.2569,-0.2344,-0.2344,-287000000.0,-287000000.0,0.0196,0.4161,GILD
