Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14416000000.0,9751000000.0,4665000000.0,1046000000.0,1857000000.0,1835000000.0,289000000.0,48000000.0,12000000.0,2347000000.0,469000000.0,1860000000.0,1839000000.0,2.14,0.3236,0.1273,0.1628,0.1276,0.0842,3247000000.0,1835000000.0,2.2328,2.1814,2.1814,1860000000.0,1878000000.0,0.2252,0.2096,GLW
2022-06-30 00:00:00,14555000000.0,9625000000.0,4930000000.0,1019000000.0,1882000000.0,2095000000.0,288000000.0,-86000000.0,12000000.0,2567000000.0,544000000.0,2018000000.0,2002000000.0,2.33,0.3387,0.1439,0.1764,0.1375,0.0996,3527000000.0,2095000000.0,2.4119,2.364,2.364,2018000000.0,2023000000.0,0.2423,0.2205,GLW
2022-03-31 00:00:00,14454000000.0,9406000000.0,5048000000.0,1021000000.0,1861000000.0,2180000000.0,294000000.0,-30000000.0,87000000.0,2338000000.0,445000000.0,1888000000.0,1085000000.0,1.25,0.3492,0.1508,0.1618,0.0751,0.1044,3625000000.0,2180000000.0,2.2676,2.2091,2.2091,1888000000.0,1893000000.0,0.2508,0.223,GLW
2021-12-31 00:00:00,14074000000.0,9105000000.0,4969000000.0,995000000.0,1827000000.0,2112000000.0,300000000.0,275000000.0,161000000.0,2402000000.0,491000000.0,1906000000.0,1103000000.0,1.32,0.3531,0.1501,0.1707,0.0784,0.1273,3563000000.0,2112000000.0,2.2582,2.3019,2.3019,1906000000.0,1911000000.0,0.2532,0.2424,GLW
2021-09-30 00:00:00,13753000000.0,8794000000.0,4959000000.0,947000000.0,1822000000.0,2105000000.0,302000000.0,162000000.0,233000000.0,2156000000.0,480000000.0,1689000000.0,819000000.0,1.06,0.3606,0.1531,0.1568,0.0596,0.1286,3585000000.0,2105000000.0,2.0511,2.1014,2.1014,1689000000.0,1676000000.0,0.2607,0.23,GLW
2021-06-30 00:00:00,13142000000.0,8457000000.0,4685000000.0,927000000.0,1816000000.0,1810000000.0,300000000.0,316000000.0,300000000.0,2126000000.0,394000000.0,1732000000.0,875000000.0,1.11,0.3565,0.1377,0.1618,0.0666,0.1329,3327000000.0,1810000000.0,2.088,2.2125,2.2125,1732000000.0,1732000000.0,0.2532,0.2188,GLW
2021-03-31 00:00:00,12202000000.0,8076000000.0,4126000000.0,1115000000.0,1752000000.0,1132000000.0,289000000.0,424000000.0,289000000.0,1556000000.0,349000000.0,1207000000.0,1133000000.0,1.4,0.3381,0.0928,0.1275,0.0929,0.1287,2632000000.0,1132000000.0,1.4566,1.5811,1.5811,1207000000.0,1207000000.0,0.2157,0.2176,GLW
2020-12-31 00:00:00,11303000000.0,7772000000.0,3531000000.0,1154000000.0,1747000000.0,509000000.0,276000000.0,114000000.0,276000000.0,623000000.0,111000000.0,512000000.0,414000000.0,0.49,0.3124,0.045,0.0551,0.0366,0.0743,2029000000.0,509000000.0,0.6633,0.6728,0.6728,512000000.0,512000000.0,0.1795,0.1929,GLW
2020-09-30 00:00:00,10770000000.0,7598000000.0,3172000000.0,1200000000.0,1677000000.0,180000000.0,261000000.0,130000000.0,261000000.0,310000000.0,18000000.0,292000000.0,217000000.0,0.2,0.2945,0.0167,0.0288,0.0201,0.1026,1700000000.0,180000000.0,0.2865,0.39,0.39,292000000.0,292000000.0,0.1578,0.2251,GLW
2020-06-30 00:00:00,10703000000.0,7515000000.0,3188000000.0,1224000000.0,1566000000.0,288000000.0,,-20000000.0,246000000.0,268000000.0,66000000.0,202000000.0,103000000.0,0.12,0.2979,0.0269,0.025,0.0096,0.1021,1810000000.0,288000000.0,0.1819,0.263,0.263,202000000.0,202000000.0,0.1691,0.2527,GLW
