Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,147211000000.0,128235000000.0,18976000000.0,9752000000.0,9224000000.0,946000000.0,2537000000.0,289000000.0,11245000000.0,1778000000.0,8166000000.0,1918000000.0,8627000000.0,5.89,0.1289,0.0627,0.0764,0.0586,0.0536,20670000000.0,9224000000.0,6.4586,,6.5098,,6.5098,9467000000.0,,9467000000.0,0.1404,0.117,GM
2022-06-30 00:00:00,132101000000.0,115201000000.0,16900000000.0,9423000000.0,7477000000.0,917000000.0,2997000000.0,205000000.0,9686000000.0,1085000000.0,7300000000.0,,7724000000.0,5.26,0.1279,0.0566,0.0733,0.0585,0.0691,19230000000.0,7477000000.0,5.853,,5.9072,,5.9072,8601000000.0,,8601000000.0,0.1456,0.0907,GM
2022-03-31 00:00:00,130509000000.0,113011000000.0,17498000000.0,9255000000.0,8243000000.0,926000000.0,3201000000.0,375000000.0,11304000000.0,1566000000.0,8437000000.0,1916000000.0,8848000000.0,6.04,0.1341,0.0632,0.0866,0.0678,0.0816,20170000000.0,8243000000.0,6.6253,,6.6962,,6.6962,9738000000.0,,9738000000.0,0.1545,0.1228,GM
2021-12-31 00:00:00,127004000000.0,109126000000.0,17878000000.0,8554000000.0,9324000000.0,950000000.0,3254000000.0,575000000.0,12716000000.0,2771000000.0,8644000000.0,2430000000.0,9837000000.0,6.75,0.1408,0.0734,0.1001,0.0775,0.0588,21375000000.0,9324000000.0,6.7745,,6.8539,,6.8539,9945000000.0,,9945000000.0,0.1683,0.1196,GM
2021-09-30 00:00:00,130938000000.0,112161000000.0,18777000000.0,8206000000.0,10571000000.0,998000000.0,2472000000.0,806000000.0,13112000000.0,2942000000.0,10170000000.0,1362000000.0,10942000000.0,7.55,0.1434,0.0807,0.1001,0.0836,0.1331,22765000000.0,10571000000.0,7.5156,,7.5917,,7.5917,10976000000.0,,10976000000.0,0.1739,0.1151,GM
2021-06-30 00:00:00,139639000000.0,118603000000.0,21036000000.0,7686000000.0,13350000000.0,1095000000.0,2129000000.0,1095000000.0,15479000000.0,3677000000.0,11802000000.0,,12572000000.0,8.73,0.1506,0.0956,0.1109,0.09,0.0514,25625000000.0,13350000000.0,8.6814,,8.7543,,8.7543,12608000000.0,,12608000000.0,0.1835,0.1887,GM
2021-03-31 00:00:00,122250000000.0,106125000000.0,16125000000.0,6871000000.0,9254000000.0,1155000000.0,1583000000.0,1155000000.0,10837000000.0,2594000000.0,8243000000.0,1893000000.0,8976000000.0,6.25,0.1319,0.0757,0.0886,0.0734,0.0337,21776000000.0,9254000000.0,6.2436,,6.2944,,6.2944,9049000000.0,,9049000000.0,0.1781,0.1339,GM
2020-12-31 00:00:00,122485000000.0,108813000000.0,13672000000.0,7038000000.0,6634000000.0,1098000000.0,787000000.0,1098000000.0,7421000000.0,1774000000.0,5647000000.0,1942000000.0,6247000000.0,4.36,0.1116,0.0542,0.0606,0.051,0.0779,19449000000.0,6634000000.0,4.3835,,4.4111,,4.4111,6321000000.0,,6321000000.0,0.1588,0.1361,GM
2020-09-30 00:00:00,115793000000.0,105290000000.0,10503000000.0,7190000000.0,3313000000.0,1023000000.0,266000000.0,1023000000.0,3579000000.0,969000000.0,2610000000.0,,3214000000.0,2.25,0.0907,0.0286,0.0309,0.0278,-0.0318,16334000000.0,3313000000.0,2.3117,,2.3183,,2.3183,3332000000.0,,3332000000.0,0.1411,0.1162,GM
2020-06-30 00:00:00,115786000000.0,107023000000.0,8763000000.0,7570000000.0,1193000000.0,,63000000.0,902000000.0,1256000000.0,353000000.0,903000000.0,,1522000000.0,1.07,0.0757,0.0103,0.0108,0.0131,0.0039,14361000000.0,1193000000.0,1.1221,,1.1307,,1.1307,1625000000.0,,1625000000.0,0.124,0.0758,GM
2020-03-31 00:00:00,135068000000.0,121812000000.0,13256000000.0,8362000000.0,4894000000.0,,181000000.0,794000000.0,5075000000.0,989000000.0,4086000000.0,2651000000.0,4709000000.0,3.31,0.0981,0.0362,0.0376,0.0349,0.0504,18204000000.0,4894000000.0,3.3379,,3.3677,,3.3677,4808000000.0,,4808000000.0,0.1348,0.1234,GM
2019-12-31 00:00:00,137237000000.0,123265000000.0,13972000000.0,8491000000.0,5481000000.0,,687000000.0,782000000.0,6168000000.0,769000000.0,5399000000.0,3431000000.0,6581000000.0,4.64,0.1018,0.0399,0.0449,0.048,0.0315,19599000000.0,5481000000.0,4.633,,4.6819,,4.6819,6667000000.0,,6667000000.0,0.1428,0.1095,GM
2019-09-30 00:00:00,144810000000.0,129259000000.0,15551000000.0,8687000000.0,6864000000.0,,456000000.0,767000000.0,7320000000.0,321000000.0,6999000000.0,,8805000000.0,6.22,0.1074,0.0474,0.0505,0.0608,0.0491,21342000000.0,6864000000.0,6.1674,,6.2892,,6.2544,8928000000.0,,8928000000.0,0.1474,0.1214,GM
2019-06-30 00:00:00,145128000000.0,129695000000.0,15433000000.0,9263000000.0,6170000000.0,,1198000000.0,722000000.0,7368000000.0,150000000.0,7218000000.0,,8995000000.0,6.37,0.1063,0.0425,0.0508,0.062,0.0208,20652000000.0,6170000000.0,6.3148,,6.4627,,6.4061,9147000000.0,,9147000000.0,0.1423,0.1013,GM
2019-03-31 00:00:00,145828000000.0,131291000000.0,14537000000.0,9377000000.0,5160000000.0,,2166000000.0,686000000.0,7326000000.0,145000000.0,7181000000.0,4154000000.0,8989000000.0,6.37,0.0997,0.0354,0.0502,0.0616,0.0122,19364000000.0,5160000000.0,6.3037,,6.4484,,6.3938,9110000000.0,,9110000000.0,0.1328,0.101,GM
2018-12-31 00:00:00,147049000000.0,132954000000.0,14095000000.0,9650000000.0,4445000000.0,,1941000000.0,655000000.0,6386000000.0,474000000.0,5912000000.0,4295000000.0,7916000000.0,5.6,0.0959,0.0302,0.0434,0.0538,0.0042,18114000000.0,4445000000.0,5.58,,5.6732,,5.66,8075000000.0,,8005000000.0,0.1232,0.1037,GM
2018-09-30 00:00:00,146365000000.0,130938000000.0,15427000000.0,9606000000.0,5821000000.0,,2038000000.0,615000000.0,7859000000.0,8981000000.0,-1122000000.0,,759000000.0,0.53,0.1054,0.0398,0.0537,0.0052,0.001,19021000000.0,5821000000.0,0.97,,0.7725,,0.98,1103000000.0,,756000000.0,0.13,0.1101,GM
2018-06-30 00:00:00,144197000000.0,129085000000.0,15112000000.0,9325000000.0,5787000000.0,,1872000000.0,605000000.0,7659000000.0,11197000000.0,-3538000000.0,,-4727000000.0,-3.3,0.1048,0.0401,0.0531,-0.0328,-0.0171,18821000000.0,5787000000.0,-0.7,,-3.083,,-0.71,-1313000000.0,,-4756000000.0,0.1305,0.1063,GM
2018-03-31 00:00:00,144421000000.0,128228000000.0,16193000000.0,9586000000.0,6607000000.0,,1134000000.0,578000000.0,7741000000.0,11212000000.0,-3471000000.0,4502000000.0,-5442000000.0,-3.87,0.1121,0.0457,0.0536,-0.0377,-0.0294,19706000000.0,6607000000.0,-0.76,2.82,-3.6501,2.88,-0.77,-1246000000.0,-4213000000.0,-5459000000.0,0.1364,0.109,GM
2017-12-31 00:00:00,145588000000.0,127357000000.0,18231000000.0,9570000000.0,8661000000.0,,1070000000.0,575000000.0,9731000000.0,11533000000.0,-1802000000.0,4414000000.0,-3880000000.0,-2.87,0.1252,0.0595,0.0668,-0.0267,-0.025,20922000000.0,8661000000.0,0.22,2.82,-2.6498,2.88,0.23,330000000.0,-4212000000.0,-3882000000.0,0.1437,0.119,GM
