Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,280618000000.0,123849000000.0,156769000000.0,37941000000.0,41756000000.0,78567000000.0,384000000.0,2093000000.0,1893000000.0,78583000000.0,11593000000.0,66990000000.0,66990000000.0,4.96,0.5587,0.28,0.28,0.2387,0.2229,92238000000.0,78567000000.0,4.719,,5.0874,,5.0874,66990000000.0,,66990000000.0,0.3287,0.3308,GOOG
2022-06-30 00:00:00,277220000000.0,120312000000.0,156908000000.0,35362000000.0,40002000000.0,82463000000.0,360000000.0,-1489000000.0,1665000000.0,85414000000.0,13398000000.0,72016000000.0,72016000000.0,5.37,0.566,0.2975,0.3081,0.2598,0.2351,95968000000.0,82463000000.0,5.0356,,5.4411,,5.4411,72016000000.0,,72016000000.0,0.3462,0.3427,GOOG
2022-03-31 00:00:00,269791000000.0,116435000000.0,153356000000.0,33196000000.0,38332000000.0,82371000000.0,353000000.0,815000000.0,1568000000.0,88385000000.0,13846000000.0,74539000000.0,74539000000.0,5.5445,0.5684,0.3053,0.3276,0.2763,0.2557,95298000000.0,82371000000.0,5.1799,,5.6072,,5.6072,74539000000.0,,74539000000.0,0.3532,0.3613,GOOG
2021-12-31 00:00:00,257372000000.0,110939000000.0,146433000000.0,31562000000.0,36422000000.0,78714000000.0,346000000.0,4365000000.0,1499000000.0,90734000000.0,14701000000.0,76033000000.0,76033000000.0,5.646,0.569,0.3058,0.3525,0.2954,0.2604,90890000000.0,78714000000.0,5.2574,,5.6941,,5.6941,76033000000.0,,76033000000.0,0.3531,0.3561,GOOG
2021-09-30 00:00:00,239148000000.0,104031000000.0,135117000000.0,29876000000.0,32823000000.0,72480000000.0,282000000.0,8227000000.0,1507000000.0,85021000000.0,14403000000.0,70618000000.0,70618000000.0,5.243,0.565,0.3031,0.3555,0.2953,0.2746,85145000000.0,72480000000.0,4.8608,,5.26,,5.26,70618000000.0,,70618000000.0,0.356,0.3738,GOOG
2021-06-30 00:00:00,220265000000.0,97527000000.0,122738000000.0,29038000000.0,31038000000.0,62662000000.0,253000000.0,12654000000.0,1580000000.0,75316000000.0,12387000000.0,62929000000.0,62929000000.0,4.6705,0.5572,0.2845,0.3419,0.2857,0.2658,75563000000.0,62662000000.0,4.3176,,4.6655,,4.6655,62929000000.0,,62929000000.0,0.3431,0.3671,GOOG
2021-03-31 00:00:00,196682000000.0,89853000000.0,106829000000.0,28238000000.0,28907000000.0,49684000000.0,190000000.0,11924000000.0,1624000000.0,61608000000.0,10245000000.0,51363000000.0,51363000000.0,3.7965,0.5432,0.2526,0.3132,0.2611,0.258,63026000000.0,49684000000.0,3.5149,,3.7913,,3.7913,51363000000.0,,51363000000.0,0.3204,0.371,GOOG
2020-12-31 00:00:00,182527000000.0,84732000000.0,97795000000.0,27573000000.0,28998000000.0,41224000000.0,135000000.0,6858000000.0,1865000000.0,48082000000.0,7813000000.0,40269000000.0,40269000000.0,2.963,0.5358,0.2259,0.2634,0.2206,0.2347,54921000000.0,41224000000.0,2.746,,2.9575,,2.9575,40269000000.0,,40269000000.0,0.3009,0.3568,GOOG
2020-09-30 00:00:00,171704000000.0,79672000000.0,92032000000.0,27773000000.0,29420000000.0,34839000000.0,99000000.0,5258000000.0,2100000000.0,40097000000.0,4384000000.0,35713000000.0,35713000000.0,2.6105,0.536,0.2029,0.2335,0.208,0.0962,48224000000.0,34839000000.0,2.4239,,2.6095,,2.6095,35713000000.0,,35713000000.0,0.2809,0.3312,GOOG
2020-06-30 00:00:00,166030000000.0,76123000000.0,89907000000.0,27471000000.0,29633000000.0,32803000000.0,,2563000000.0,,35366000000.0,3832000000.0,31534000000.0,31534000000.0,2.293,0.5415,0.1976,0.213,0.1899,0.0823,45630000000.0,32803000000.0,2.1301,,2.2919,,2.2919,31534000000.0,,31534000000.0,0.2748,0.3333,GOOG
2020-03-31 00:00:00,166677000000.0,74866000000.0,91811000000.0,26809000000.0,29402000000.0,35600000000.0,,3636000000.0,,39236000000.0,4714000000.0,34522000000.0,34522000000.0,2.499,0.5508,0.2136,0.2354,0.2071,0.0694,47876000000.0,35600000000.0,2.322,,2.4982,,2.4982,34522000000.0,,34522000000.0,0.2872,0.3238,GOOG
