Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8916000000.0,3818000000.0,5098000000.0,3510092900.0,553496800.0,386000000.0,941000000.0,28000000.0,167000000.0,156000000.0,9763100.0,92166000.0,70000000.0,0.22,0.5718,0.0621,0.0187,0.0079,0.1886,3749000000.0,553496700.0,0.3347,0.3392,0.3392,101929000.0,102000000.0,0.4205,0.2566,GPN
2022-06-30 00:00:00,8833000000.0,3831000000.0,5002000000.0,3378335900.0,567147800.0,326000000.0,979000000.0,14000000.0,219000000.0,192000000.0,26476100.0,80750000.0,77000000.0,0.18,0.5663,0.0642,0.0248,0.0087,0.2572,3718000000.0,567147700.0,0.2892,0.2957,0.2957,107226000.0,107000000.0,0.4209,0.3248,GPN
2022-03-31 00:00:00,8689437000.0,3805310000.0,4884127000.0,3353725900.0,1459564100.0,305000000.0,169899000.0,91556000.0,1132457000.0,199808000.0,931991100.0,107099000.0,1013590000.0,3.49,0.5621,0.168,0.1303,0.1166,0.2587,3553526100.0,1459564000.0,3.5809,3.5911,3.5911,1039090000.0,1038813000.0,0.4089,0.3235,GPN
2021-12-31 00:00:00,8523444000.0,3773556000.0,4749888000.0,3320078900.0,1358876100.0,293000000.0,51992000.0,172697000.0,1044809000.0,168483000.0,875511100.0,112353000.0,965271000.0,3.28,0.5573,0.1594,0.1226,0.1132,0.2684,3396408000.0,1358876000.0,3.3639,3.3755,3.3755,987864000.0,987223000.0,0.3985,0.3263,GPN
2021-09-30 00:00:00,8259637000.0,3727751200.0,4531886000.0,3171087900.0,1289880800.0,289000000.0,-169806000.0,254770000.0,982992000.0,149464000.0,833627000.0,121877000.0,939914000.0,3.17,0.5487,0.1562,0.119,0.1138,0.2832,3121695700.0,1289881000.0,3.2272,3.2399,3.2399,955504000.0,955041000.0,0.3779,0.3386,GPN
2021-06-30 00:00:00,7975452000.0,3684672200.0,4290780000.0,3110562900.0,1180216700.0,289000000.0,-283799000.0,331746000.0,896418000.0,142298000.0,754120000.0,126151000.0,863885000.0,2.9,0.538,0.148,0.1124,0.1083,0.2528,2925831700.0,1180216900.0,2.9491,2.9613,2.9613,880271000.0,880271000.0,0.3669,0.3089,GPN
2021-03-31 00:00:00,7509967000.0,3642102200.0,3867865000.0,2942631900.0,925232700.0,291000000.0,-288766000.0,334045000.0,636467000.0,82326000.0,554141000.0,98761000.0,637626000.0,2.13,0.515,0.1232,0.0847,0.0849,0.2742,2647886700.0,925232900.0,2.1795,2.1885,2.1885,652902000.0,652902000.0,0.3526,0.3298,GPN
2020-12-31 00:00:00,7423558000.0,3650727200.0,3772831100.0,2878877900.0,893952900.0,307000000.0,-299997000.0,343548000.0,593956000.0,77153000.0,516803000.0,88297000.0,584520000.0,1.95,0.5082,0.1204,0.08,0.0787,0.253,2586540000.0,893953100.0,2.0136,2.0223,2.0223,605100000.0,605100000.0,0.3484,0.3117,GPN
2020-09-30 00:00:00,7481125000.0,3767109000.0,3714016300.0,2875882000.0,838134300.0,313000000.0,-296175000.0,342522000.0,541959000.0,81598000.0,460361000.0,74222000.0,504647000.0,1.68,0.4965,0.112,0.0724,0.0675,0.1538,2522559600.0,838134100.0,1.578,1.5873,1.5873,534583000.0,534583000.0,0.3372,0.2121,GPN
2020-06-30 00:00:00,6669251000.0,3293908000.0,3375343400.0,2653591000.0,721752400.0,,-328111000.0,355707000.0,393641000.0,22141000.0,371500000.0,,378720000.0,1.48,0.5061,0.1082,0.059,0.0568,0.2581,2179018700.0,721752200.0,1.4073,1.4152,1.4152,410084000.0,410084000.0,0.3267,0.3155,GPN
