Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14785000000.0,9189000000.0,5596000000.0,3508000000.0,2088000000.0,92000000.0,26000000.0,92000000.0,2022000000.0,505000000.0,1517000000.0,1444000000.0,28.13,0.3785,0.1412,0.1368,0.0977,0.0635,2295000000.0,2088000000.0,29.5413,29.7149,29.7149,1517000000.0,1515000000.0,0.1552,0.0802,GWW
2022-06-30 00:00:00,14215000000.0,8888000000.0,5327000000.0,3404000000.0,1923000000.0,89000000.0,23000000.0,89000000.0,1857000000.0,467000000.0,1390000000.0,1315000000.0,25.49,0.3747,0.1353,0.1306,0.0925,0.0499,2123000000.0,1923000000.0,26.9377,27.0952,27.0952,1390000000.0,1388000000.0,0.1493,0.068,GWW
2022-03-31 00:00:00,13585000000.0,8575000000.0,5010000000.0,3287000000.0,1723000000.0,89000000.0,3000000.0,89000000.0,1659000000.0,415000000.0,1244000000.0,1169000000.0,22.57,0.3688,0.1268,0.1221,0.0861,0.056,1917000000.0,1723000000.0,23.9835,24.1229,24.1229,1244000000.0,1242000000.0,0.1411,0.0726,GWW
2021-12-31 00:00:00,13022000000.0,8302000000.0,4720000000.0,3173000000.0,1547000000.0,87000000.0,-18000000.0,87000000.0,1485000000.0,371000000.0,1114000000.0,1041000000.0,19.96,0.3625,0.1188,0.114,0.0799,0.0546,1732000000.0,1547000000.0,21.3411,21.4644,21.4644,1114000000.0,1112000000.0,0.133,0.072,GWW
2021-09-30 00:00:00,12604000000.0,8110000000.0,4494000000.0,3089000000.0,1405000000.0,86000000.0,-40000000.0,86000000.0,1343000000.0,345000000.0,998000000.0,928000000.0,17.66,0.3566,0.1115,0.1066,0.0736,0.0661,1410000000.0,1405000000.0,18.9918,19.0853,19.0853,998000000.0,998000000.0,0.1119,0.0841,GWW
2021-06-30 00:00:00,12250000000.0,7932000000.0,4318000000.0,2971000000.0,1347000000.0,87000000.0,-64000000.0,87000000.0,1283000000.0,344000000.0,939000000.0,871000000.0,16.39,0.3525,0.11,0.1047,0.0711,0.0802,1349000000.0,1347000000.0,17.6952,17.7803,17.7803,939000000.0,939000000.0,0.1101,0.0988,GWW
2021-03-31 00:00:00,11880000000.0,7670000000.0,4210000000.0,2992000000.0,1218000000.0,93000000.0,-70000000.0,93000000.0,1148000000.0,323000000.0,825000000.0,760000000.0,14.19,0.3544,0.1025,0.0966,0.064,0.0832,1221000000.0,1218000000.0,15.4688,15.5363,15.5363,825000000.0,825000000.0,0.1028,0.0987,GWW
2020-12-31 00:00:00,11797000000.0,7559000000.0,4238000000.0,3219000000.0,1019000000.0,93000000.0,-72000000.0,93000000.0,947000000.0,192000000.0,755000000.0,695000000.0,12.88,0.3592,0.0864,0.0803,0.0589,0.0802,1201000000.0,1019000000.0,14.0596,14.1121,14.1121,755000000.0,755000000.0,0.1018,0.0952,GWW
2020-09-30 00:00:00,11703000000.0,7410000000.0,4293000000.0,3368000000.0,925000000.0,91000000.0,-67000000.0,91000000.0,858000000.0,171000000.0,687000000.0,630000000.0,11.63,0.3668,0.079,0.0733,0.0538,0.0745,1297000000.0,925000000.0,12.8108,12.8419,12.8419,687000000.0,687000000.0,0.1108,0.0905,GWW
2020-06-30 00:00:00,11632000000.0,7314000000.0,4318000000.0,3435000000.0,883000000.0,,-65000000.0,88000000.0,818000000.0,143000000.0,675000000.0,623000000.0,11.47,0.3712,0.0759,0.0703,0.0536,0.0754,1271000000.0,883000000.0,12.5466,12.576,12.576,675000000.0,675000000.0,0.1093,0.0918,GWW
