Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,18992000000.0,16108000000.0,2884000000.0,237000000.0,2281000000.0,504000000.0,-102000000.0,95000000.0,1686000000.0,-71000000.0,1757000000.0,1740000000.0,1.93,0.1519,0.1201,0.0888,0.0916,0.0554,3216000000.0,2281000000.0,1.9509,,1.9542,,1.9542,1757000000.0,,1757000000.0,0.1693,0.0927,HAL
2022-06-30 00:00:00,17495000000.0,15012000000.0,2483000000.0,224000000.0,1881000000.0,511000000.0,-56000000.0,79000000.0,1297000000.0,-151000000.0,1448000000.0,1432000000.0,1.59,0.1419,0.1075,0.0741,0.0819,0.056,2818000000.0,1881000000.0,1.6161,,1.6181,,1.6181,1448000000.0,,1448000000.0,0.1611,0.0929,HAL
2022-03-31 00:00:00,16128000000.0,13945000000.0,2183000000.0,208000000.0,1941000000.0,520000000.0,-153000000.0,175000000.0,1361000000.0,-200000000.0,1561000000.0,1550000000.0,1.73,0.1354,0.1203,0.0844,0.0961,0.0638,2863000000.0,1941000000.0,1.7458,,1.7471,,1.7471,1561000000.0,,1561000000.0,0.1775,0.1028,HAL
2021-12-31 00:00:00,15295000000.0,13279000000.0,2016000000.0,204000000.0,1800000000.0,529000000.0,-312000000.0,281000000.0,1252000000.0,-216000000.0,1468000000.0,1457000000.0,1.63,0.1318,0.1177,0.0819,0.0953,0.0895,2716000000.0,1800000000.0,1.6458,,1.6458,,1.6458,1468000000.0,,1468000000.0,0.1776,0.1249,HAL
2021-09-30 00:00:00,14255000000.0,12454000000.0,1801000000.0,189000000.0,1154000000.0,535000000.0,-432000000.0,385000000.0,594000000.0,180000000.0,414000000.0,398000000.0,0.44,0.1263,0.081,0.0417,0.0279,0.0981,2068000000.0,1154000000.0,0.4743,,0.4743,,0.4743,414000000.0,,414000000.0,0.1451,0.131,HAL
2021-06-30 00:00:00,13370000000.0,11757000000.0,1613000000.0,184000000.0,850000000.0,537000000.0,-573000000.0,492000000.0,277000000.0,122000000.0,155000000.0,145000000.0,0.16,0.1206,0.0636,0.0207,0.0108,0.0951,1758000000.0,850000000.0,0.1843,,0.1843,,0.1843,155000000.0,,155000000.0,0.1315,0.1249,HAL
2021-03-31 00:00:00,12859000000.0,11452000000.0,1407000000.0,176000000.0,-1495000000.0,534000000.0,-606000000.0,496000000.0,-2101000000.0,-345000000.0,-1756000000.0,-1758000000.0,-2.01,0.1094,-0.1163,-0.1634,-0.1367,0.1178,-559000000.0,-1495000000.0,-1.9909,,-1.9909,,-1.9909,-1756000000.0,,-1756000000.0,-0.0435,0.1446,HAL
2020-12-31 00:00:00,14445000000.0,12900000000.0,1545000000.0,182000000.0,-2436000000.0,543000000.0,-784000000.0,505000000.0,-3220000000.0,-278000000.0,-2942000000.0,-2945000000.0,-3.36,0.107,-0.1686,-0.2229,-0.2039,0.0996,-1378000000.0,-2436000000.0,-3.3393,,-3.3393,,-3.3393,-2942000000.0,,-2942000000.0,-0.0954,0.1302,HAL
2020-09-30 00:00:00,16399000000.0,14643000000.0,1756000000.0,197000000.0,-3992000000.0,554000000.0,-825000000.0,521000000.0,-4817000000.0,-448000000.0,-4369000000.0,-4363000000.0,-4.97,0.1071,-0.2434,-0.2937,-0.2661,0.1101,-2791000000.0,-3992000000.0,-4.9846,,-4.9847,,-4.9847,-4369000000.0,,-4369000000.0,-0.1702,0.147,HAL
2020-06-30 00:00:00,18974000000.0,16945000000.0,2029000000.0,209000000.0,-3598000000.0,,-846000000.0,540000000.0,-4444000000.0,-390000000.0,-4054000000.0,-4051000000.0,-4.61,0.1069,-0.1896,-0.2342,-0.2135,0.1078,-2210000000.0,-3598000000.0,-4.6252,,-4.6253,,-4.6253,-4054000000.0,,-4054000000.0,-0.1165,0.1508,HAL
