Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10781000000.0,6572000000.0,4209000000.0,179000000.0,5297000000.0,3730000000.0,488000000.0,9000000.0,490000000.0,3240000000.0,1019000000.0,2221000000.0,1864000000.0,6.01,0.3904,0.346,0.3005,0.1729,0.1093,5406000000.0,3730000000.0,7.1605,,7.1933,,7.1933,2221000000.0,,2221000000.0,0.5014,0.3331,HES
2022-06-30 00:00:00,9647000000.0,5868000000.0,3779000000.0,157000000.0,3812000000.0,3170000000.0,489000000.0,-231000000.0,490000000.0,2680000000.0,880000000.0,1800000000.0,1464000000.0,4.71,0.3917,0.3286,0.2778,0.1518,0.0839,4889000000.0,3170000000.0,5.7957,,5.8237,,5.8237,1800000000.0,,1800000000.0,0.5068,0.2972,HES
2022-03-31 00:00:00,8127000000.0,5290000000.0,3945000000.0,172000000.0,3216000000.0,2220000000.0,487000000.0,-204000000.0,487000000.0,1733000000.0,674000000.0,1059000000.0,724000000.0,2.32,0.4854,0.2732,0.2132,0.0891,0.0844,3799000000.0,2220000000.0,3.4128,,3.4314,,3.4314,1059000000.0,,1059000000.0,0.4675,0.2637,HES
2021-12-31 00:00:00,7641000000.0,5105000000.0,4889000000.0,162000000.0,2964000000.0,1971000000.0,478000000.0,-281000000.0,481000000.0,1490000000.0,600000000.0,890000000.0,559000000.0,1.8,0.6398,0.258,0.195,0.0732,0.2055,3569000000.0,1971000000.0,2.8775,,2.8954,,2.8954,890000000.0,,890000000.0,0.4671,0.3782,HES
2021-09-30 00:00:00,6757000000.0,4799000000.0,5480000000.0,177000000.0,2513000000.0,1445000000.0,489000000.0,-362000000.0,478000000.0,967000000.0,460000000.0,507000000.0,197000000.0,0.63,0.811,0.2139,0.1431,0.0292,0.2625,3080000000.0,1445000000.0,1.6618,,1.6725,,1.6725,507000000.0,,507000000.0,0.4558,0.3666,HES
2021-06-30 00:00:00,6110000000.0,4664000000.0,6110000000.0,212000000.0,3084000000.0,932000000.0,482000000.0,-471000000.0,471000000.0,461000000.0,322000000.0,139000000.0,-161000000.0,-0.54,1.0,0.1525,0.0755,-0.0264,0.2025,2717000000.0,932000000.0,0.4648,,0.472,,0.472,139000000.0,,139000000.0,0.4447,0.327,HES
2021-03-31 00:00:00,5354000000.0,4456000000.0,5354000000.0,195000000.0,2774000000.0,526000000.0,482000000.0,-472000000.0,472000000.0,54000000.0,191000000.0,-137000000.0,-408000000.0,-1.35,1.0,0.0982,0.0101,-0.0762,0.0388,2435000000.0,526000000.0,-0.4398,,-0.4326,,-0.4326,-137000000.0,,-137000000.0,0.4548,0.2762,HES
2020-12-31 00:00:00,4804000000.0,4652000000.0,4804000000.0,351000000.0,2685000000.0,-2382000000.0,472000000.0,-468000000.0,468000000.0,-2850000000.0,-11000000.0,-2839000000.0,-3093000000.0,-10.17,1.0,-0.4958,-0.5933,-0.6438,-0.0772,-308000000.0,-2382000000.0,-9.3143,,-9.3143,,-9.3143,-2839000000.0,,-2839000000.0,-0.0641,0.2775,HES
2020-09-30 00:00:00,5086000000.0,5017000000.0,5086000000.0,397000000.0,3035000000.0,-2514000000.0,438000000.0,-445000000.0,445000000.0,-2959000000.0,36000000.0,-2995000000.0,-3218000000.0,-10.58,1.0,-0.4943,-0.5818,-0.6327,-0.2957,-340000000.0,-2514000000.0,-9.856,,-9.8579,,-9.8579,-2995000000.0,,-2995000000.0,-0.0669,0.2228,HES
2020-06-30 00:00:00,5425000000.0,4097000000.0,5425000000.0,376000000.0,3269000000.0,-2414000000.0,,-417000000.0,417000000.0,-2831000000.0,147000000.0,-2978000000.0,-3187000000.0,-10.46,1.0,-0.445,-0.5218,-0.5875,-0.2728,-214000000.0,-2414000000.0,-9.8048,,-9.8067,,-9.8067,-2978000000.0,,-2978000000.0,-0.0394,0.2654,HES
