Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,22162000000.0,12775000000.0,9387000000.0,1788000000.0,2663000000.0,12000000.0,225000000.0,2426000000.0,471000000.0,1955000000.0,1934000000.0,5.74,0.4236,0.1202,0.1095,0.0873,0.1789,3203000000.0,2663000000.0,5.7829,,5.8678,,5.8678,1955000000.0,,1955000000.0,0.1445,0.1863,HIG
2022-06-30 00:00:00,22268000000.0,12787000000.0,9481000000.0,1740000000.0,2808000000.0,-3000000.0,233000000.0,2578000000.0,480000000.0,2098000000.0,2077000000.0,6.08,0.4258,0.1261,0.1158,0.0933,0.1678,3369000000.0,2808000000.0,6.1184,,6.21,,6.21,2098000000.0,,2098000000.0,0.1513,0.1751,HIG
2022-03-31 00:00:00,22484000000.0,12497000000.0,9987000000.0,1704000000.0,3370000000.0,-62000000.0,239000000.0,3136000000.0,575000000.0,2561000000.0,2540000000.0,7.3,0.4442,0.1499,0.1395,0.113,0.1611,3997000000.0,3370000000.0,7.3107,,7.4187,,7.4187,2561000000.0,,2561000000.0,0.1778,0.1674,HIG
2021-12-31 00:00:00,22390000000.0,12729000000.0,9661000000.0,1680000000.0,3131000000.0,-135000000.0,234000000.0,2896000000.0,531000000.0,2365000000.0,2344000000.0,6.67,0.4315,0.1398,0.1293,0.1047,0.1769,3740000000.0,3131000000.0,6.6789,,6.7746,,6.7746,2365000000.0,,2365000000.0,0.167,0.1828,HIG
2021-09-30 00:00:00,21902000000.0,12636000000.0,9266000000.0,1671000000.0,2893000000.0,-211000000.0,229000000.0,2648000000.0,475000000.0,2173000000.0,2152000000.0,6.04,0.4231,0.1321,0.1209,0.0983,0.1816,2234000000.0,2893000000.0,6.0715,,6.1469,,6.1469,2173000000.0,,2173000000.0,0.102,0.1874,HIG
2021-06-30 00:00:00,21387000000.0,12178000000.0,9209000000.0,1673000000.0,2941000000.0,-344000000.0,229000000.0,2597000000.0,447000000.0,2150000000.0,2129000000.0,5.94,0.4306,0.1375,0.1214,0.0995,0.1913,3559000000.0,2941000000.0,5.9703,,6.0332,,6.0332,2150000000.0,,2150000000.0,0.1664,0.1964,HIG
2021-03-31 00:00:00,20866000000.0,12239000000.0,8627000000.0,1685000000.0,2423000000.0,-344000000.0,229000000.0,2079000000.0,366000000.0,1713000000.0,1692000000.0,4.69,0.4134,0.1161,0.0996,0.0811,0.2021,3491000000.0,2423000000.0,4.7484,,4.7814,,4.7814,1713000000.0,,1713000000.0,0.1673,0.2076,HIG
2020-12-31 00:00:00,20523000000.0,11805000000.0,8718000000.0,1706000000.0,2460000000.0,-340000000.0,236000000.0,2120000000.0,383000000.0,1737000000.0,1716000000.0,4.77,0.4248,0.1199,0.1033,0.0836,0.1831,3062000000.0,2460000000.0,4.8169,,4.8478,,4.8478,1737000000.0,,1737000000.0,0.1492,0.1886,HIG
2020-09-30 00:00:00,20556000000.0,11664000000.0,8892000000.0,1725000000.0,2566000000.0,-422000000.0,244000000.0,2144000000.0,396000000.0,1748000000.0,1727000000.0,4.79,0.4326,0.1248,0.1043,0.084,0.1746,4407000000.0,2566000000.0,4.8351,,4.8669,,4.8669,1748000000.0,,1748000000.0,0.2144,0.1799,HIG
2020-06-30 00:00:00,20732000000.0,11616000000.0,9116000000.0,1741000000.0,2699000000.0,-434000000.0,253000000.0,2265000000.0,441000000.0,1824000000.0,1798000000.0,4.98,0.4397,0.1302,0.1093,0.0867,0.1756,3247000000.0,2699000000.0,5.026,,5.0663,,5.0663,1824000000.0,,1824000000.0,0.1566,0.181,HIG
2020-03-31 00:00:00,20756000000.0,11703000000.0,9053000000.0,1704000000.0,2569000000.0,-440000000.0,259000000.0,2129000000.0,401000000.0,1728000000.0,1707000000.0,4.71,0.4362,0.1238,0.1026,0.0822,0.1638,3041000000.0,2569000000.0,4.7424,,4.7887,,4.7887,1728000000.0,,1728000000.0,0.1465,0.169,HIG
2019-12-31 00:00:00,20740000000.0,11472000000.0,9268000000.0,1622000000.0,3000000000.0,-440000000.0,259000000.0,2560000000.0,475000000.0,2085000000.0,2064000000.0,5.7,0.4469,0.1446,0.1234,0.0995,0.1632,3438000000.0,3000000000.0,5.7138,,5.7772,,5.7772,2085000000.0,,2085000000.0,0.1658,0.1682,HIG
2019-09-30 00:00:00,20012000000.0,11479000000.0,8533000000.0,1534000000.0,2405000000.0,-354000000.0,264000000.0,2051000000.0,318000000.0,1733000000.0,1711000000.0,4.73,0.4264,0.1202,0.1025,0.0855,0.1659,2811000000.0,2405000000.0,4.7304,,4.8026,,4.7897,1733000000.0,322000000.0,1733000000.0,0.1405,0.1722,HIG
