Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,60533000000.0,27979000000.0,32554000000.0,6588000000.0,18745000000.0,7221000000.0,869000000.0,-6510000000.0,1207000000.0,712000000.0,-662000000.0,1374000000.0,1262000000.0,1.42,0.5378,0.1193,0.0118,0.0208,0.1288,12267000000.0,7221000000.0,1.49,-0.12,1.4363,-0.12,1.57,1375000000.0,-114000000.0,1261000000.0,0.2026,0.1489,IBM
2022-06-30 00:00:00,59677000000.0,27447000000.0,32230000000.0,6583000000.0,18660000000.0,6987000000.0,1061000000.0,-962000000.0,1202000000.0,6026000000.0,401000000.0,5625000000.0,5588000000.0,6.22,0.5401,0.1171,0.101,0.0936,0.1418,12554000000.0,6987000000.0,6.2,-0.04,6.2185,-0.04,6.26,5626000000.0,-39000000.0,5587000000.0,0.2104,0.1647,IBM
2022-03-31 00:00:00,58360000000.0,26567000000.0,31793000000.0,6551000000.0,18654000000.0,6588000000.0,1113000000.0,-1372000000.0,1186000000.0,5216000000.0,245000000.0,4971000000.0,5521000000.0,6.16,0.5448,0.1129,0.0894,0.0946,0.1645,12589000000.0,6588000000.0,5.49,0.61,6.1548,0.61,5.55,4971000000.0,549000000.0,5520000000.0,0.2157,0.1907,IBM
2021-12-31 00:00:00,57350000000.0,25865000000.0,31485000000.0,6488000000.0,18745000000.0,6252000000.0,1089000000.0,-1416000000.0,1155000000.0,4837000000.0,124000000.0,4713000000.0,5743000000.0,6.41,0.549,0.109,0.0843,0.1001,0.1939,12669000000.0,6252000000.0,5.21,1.14,6.4084,1.15,5.26,4712000000.0,1030000000.0,5742000000.0,0.2209,0.2231,IBM
2021-09-30 00:00:00,42581000000.0,14782000000.0,27799000000.0,6403000000.0,18554000000.0,2842000000.0,1160000000.0,-1648000000.0,1167000000.0,1192000000.0,-754000000.0,1946000000.0,4766000000.0,5.33,0.6528,0.0667,0.028,0.1119,0.3329,9577000000.0,2842000000.0,2.17,1.38,5.3175,1.39,2.17,1946000000.0,2821000000.0,4767000000.0,0.2249,0.3784,IBM
2021-06-30 00:00:00,46890000000.0,17767000000.0,29123000000.0,6312000000.0,18895000000.0,3916000000.0,1190000000.0,-1709000000.0,1200000000.0,2206000000.0,-402000000.0,2608000000.0,5334000000.0,5.97,0.6211,0.0835,0.047,0.1138,0.3316,10650000000.0,3916000000.0,2.9,1.28,5.974,1.29,2.93,2607000000.0,2727000000.0,5334000000.0,0.2271,0.3771,IBM
2021-03-31 00:00:00,50795000000.0,20826000000.0,29969000000.0,6253000000.0,19294000000.0,4422000000.0,1254000000.0,-1558000000.0,1242000000.0,2865000000.0,-294000000.0,3159000000.0,5370000000.0,6.02,0.59,0.0871,0.0564,0.1057,0.3235,11155000000.0,4422000000.0,3.52,0.71,6.0238,0.72,3.55,3159000000.0,2211000000.0,5370000000.0,0.2196,0.3669,IBM
2020-12-31 00:00:00,55179000000.0,24314000000.0,30865000000.0,6262000000.0,20561000000.0,4042000000.0,1328000000.0,-1470000000.0,1288000000.0,2572000000.0,-1360000000.0,3932000000.0,5590000000.0,6.27,0.5594,0.0733,0.0466,0.1013,0.2857,10737000000.0,4042000000.0,4.38,0.1,6.2783,0.1,4.42,3932000000.0,1658000000.0,5590000000.0,0.1946,0.3298,IBM
2020-09-30 00:00:00,55597000000.0,24401000000.0,31196000000.0,6239000000.0,19403000000.0,5554000000.0,1329000000.0,-1176000000.0,1326000000.0,4382000000.0,-1236000000.0,5618000000.0,7904000000.0,8.89,0.5611,0.0999,0.0788,0.1422,0.2429,12200000000.0,5554000000.0,6.26,-0.0089,8.8927,0.0011,6.3,5617000000.0,2286000000.0,7903000000.0,0.2194,0.284,IBM
2020-06-30 00:00:00,56065000000.0,24963000000.0,31102000000.0,6277000000.0,19780000000.0,5045000000.0,,-969000000.0,1435000000.0,4077000000.0,-1515000000.0,5592000000.0,7878000000.0,8.88,0.5547,0.09,0.0727,0.1405,0.2315,11677000000.0,5045000000.0,6.24,-0.0089,8.8761,0.0011,6.29,5592000000.0,2286000000.0,7878000000.0,0.2083,0.2697,IBM
2020-03-31 00:00:00,57103000000.0,25689000000.0,31414000000.0,6102000000.0,19988000000.0,5324000000.0,,-49000000.0,1460000000.0,5274000000.0,-1455000000.0,6729000000.0,9015000000.0,10.17,0.5501,0.0932,0.0924,0.1579,0.2209,11571000000.0,5324000000.0,7.53,-0.0089,10.1644,0.0011,7.58,6729000000.0,2286000000.0,9015000000.0,0.2026,0.2537,IBM
