Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3339846000.0,1380273000.0,1959573000.0,256708000.0,847695000.0,871429000.0,36588000.0,15459000.0,999000.0,838640000.0,168987000.0,669653000.0,669653000.0,7.87,0.5867,0.2609,0.2511,0.2005,0.1261,968045000.0,871429200.0,7.8636,7.9653,7.9653,669653000.0,669653000.0,0.2898,0.1727,IDXX
2022-06-30 00:00:00,3308606000.0,1372520000.0,1936086000.0,249122000.0,840442000.0,852563000.0,32724000.0,5241000.0,768000.0,823407000.0,159514000.0,663893000.0,663950000.0,7.75,0.5852,0.2577,0.2489,0.2007,0.1245,957317000.0,852563200.0,7.7374,7.8497,7.8497,663893000.0,663893000.0,0.2893,0.1738,IDXX
2022-03-31 00:00:00,3274202000.0,1357059000.0,1917143000.0,163598000.0,821055000.0,932750000.0,32020000.0,-7362000.0,8047000.0,904055000.0,169535000.0,734520000.0,734553000.0,8.56,0.5855,0.2849,0.2761,0.2243,0.1824,1040540000.0,932750200.0,8.5202,8.6516,8.6516,734520000.0,734520000.0,0.3178,0.227,IDXX
2021-12-31 00:00:00,3215360000.0,1323952000.0,1891408000.0,161009000.0,796395000.0,932027800.0,32608000.0,-16430000.0,15488000.0,902654000.0,157810000.0,744844000.0,744845000.0,8.68,0.5882,0.2899,0.2807,0.2317,0.197,1040600000.0,932028000.0,8.6037,8.7422,8.7422,744844000.0,744844000.0,0.3236,0.2342,IDXX
2021-09-30 00:00:00,3135207900.0,1291112000.0,1844095900.0,154480000.0,770100900.0,917931800.0,32959000.0,-24996000.0,23147000.0,888207000.0,131176000.0,757031000.0,756864000.0,8.83,0.5882,0.2928,0.2833,0.2414,0.2113,1020976900.0,917931900.0,8.7236,8.8675,8.8675,757031000.0,757031000.0,0.3256,0.2438,IDXX
2021-06-30 00:00:00,3046575900.0,1254378000.0,1792197900.0,151570000.0,776801900.0,863825800.0,33935000.0,-30615000.0,31135000.0,833211000.0,105037000.0,728174000.0,727848000.0,8.51,0.5883,0.2835,0.2735,0.2389,0.2279,963471900.0,863825900.0,8.3866,8.5247,8.5247,728174000.0,728174000.0,0.3162,0.2529,IDXX
2021-03-31 00:00:00,2858025900.0,1175794000.0,1682231900.0,145518000.0,738892900.0,797820800.0,35817000.0,-32519000.0,33017000.0,765302000.0,90738000.0,674564000.0,674206000.0,7.89,0.5886,0.2792,0.2678,0.2359,0.2316,895671900.0,797820900.0,7.773,7.9003,7.9003,674564000.0,674564000.0,0.3134,0.2605,IDXX
2020-12-31 00:00:00,2706654900.0,1135615000.0,1571039900.0,141249000.0,735266900.0,694523900.0,35925000.0,-32539000.0,33125000.0,661985000.0,79854000.0,582131000.0,581776000.0,6.81,0.5804,0.2566,0.2446,0.2149,0.1996,790521900.0,694524000.0,6.7127,6.8212,6.8212,582131000.0,582131000.0,0.2921,0.2394,IDXX
2020-09-30 00:00:00,2591162900.0,1098476000.0,1492686900.0,137632000.0,729995000.0,625059900.0,35490000.0,-32005000.0,32690000.0,593055000.0,95338000.0,497717000.0,497482000.0,5.82,0.5761,0.2412,0.2289,0.192,0.1717,719085900.0,625059900.0,5.7399,5.8302,5.8302,497717000.0,497717000.0,0.2775,0.2256,IDXX
2020-06-30 00:00:00,2474676900.0,1059646000.0,1415030900.0,134375000.0,687650000.0,593005900.0,,-31107000.0,31670000.0,561899000.0,101665000.0,460234000.0,460100000.0,5.37,0.5718,0.2396,0.2271,0.1859,0.148,684826900.0,593005900.0,5.2935,5.3778,5.3778,460234000.0,460234000.0,0.2767,0.2116,IDXX
2020-03-31 00:00:00,2457187900.0,1063646000.0,1393541900.0,134989000.0,694520000.0,564032900.0,,-29834000.0,30361000.0,534199000.0,97260000.0,436939000.0,436866000.0,5.08,0.5671,0.2295,0.2174,0.1778,0.1136,653892900.0,564032900.0,5.0037,5.0857,5.0857,436939000.0,436939000.0,0.2661,0.1842,IDXX
2019-12-31 00:00:00,2406907900.0,1041359000.0,1365548900.0,133193000.0,679510000.0,552846000.0,,-30628000.0,31055000.0,522218000.0,94426000.0,427792000.0,427720000.0,4.96,0.5673,0.2297,0.217,0.1777,0.1233,640857000.0,552846000.0,4.8868,4.9678,4.9678,427792000.0,427792000.0,0.2663,0.1908,IDXX
2019-09-30 00:00:00,2350848000.0,1016087000.0,1334761000.0,128171000.0,654028000.0,552562000.0,,-31805000.0,32222000.0,520757000.0,97832000.0,422925000.0,422862000.0,4.9,0.5678,0.235,0.2215,0.1799,0.1224,638588000.0,552562000.0,4.8248,4.9047,4.9047,422925000.0,422925000.0,0.2716,0.1869,IDXX
2019-06-30 00:00:00,2290993000.0,995539000.0,1295454000.0,123103000.0,642241000.0,530110000.0,,-33112000.0,33585000.0,496998000.0,89697000.0,407301000.0,407276000.0,4.71,0.5655,0.2314,0.2169,0.1778,0.1229,614568000.0,530110000.0,4.6371,4.7164,4.7164,407301000.0,407301000.0,0.2683,0.1824,IDXX
2019-03-31 00:00:00,2251642000.0,981602000.0,1270040000.0,120354000.0,638257000.0,511429000.0,,-33244000.0,33856000.0,478185000.0,87905000.0,390280000.0,390261000.0,4.5,0.5641,0.2271,0.2124,0.1733,0.1196,595158000.0,511429000.0,4.4291,4.5075,4.5075,390280000.0,390280000.0,0.2643,0.1775,IDXX
2018-12-31 00:00:00,2213242000.0,971700000.0,1241542000.0,117863000.0,632344000.0,491334900.0,,-33593000.0,34744000.0,457742000.0,80695000.0,377047000.0,377031000.0,4.33,0.561,0.222,0.2068,0.1704,0.1242,574512900.0,491334900.0,4.2619,4.3406,4.3406,377047000.0,377047000.0,0.2596,0.1808,IDXX
2018-09-30 00:00:00,2169977000.0,956322000.0,1213655000.0,116534000.0,623325000.0,473796000.0,,-33413000.0,35901000.0,440383000.0,110723000.0,329660000.0,329650000.0,3.78,0.5593,0.2183,0.2029,0.1519,0.1291,557890000.0,473796000.0,3.7182,3.7879,3.7879,329660000.0,329660000.0,0.2571,0.1777,IDXX
2018-06-30 00:00:00,2116505000.0,934491000.0,1182014000.0,114927000.0,610228000.0,456859000.0,,-33466000.0,37212000.0,423393000.0,116433000.0,306960000.0,306910000.0,3.52,0.5585,0.2159,0.2,0.145,0.141,540802000.0,456859000.0,3.4544,3.519,3.519,306960000.0,306960000.0,0.2555,0.1822,IDXX
2018-03-31 00:00:00,2044693000.0,902403000.0,1142290000.0,112415000.0,596046000.0,433829000.0,,-33160000.0,37910000.0,400669000.0,116982000.0,283687000.0,283576000.0,3.24,0.5587,0.2122,0.196,0.1387,0.1479,517466000.0,433829000.0,3.178,3.2404,3.2404,283687000.0,283687000.0,0.2531,0.1843,IDXX
2017-12-31 00:00:00,1969058000.0,871676000.0,1097382000.0,109182000.0,575172000.0,413028000.0,,-31971000.0,37225000.0,381057000.0,117788000.0,263269000.0,263144000.0,3.0,0.5573,0.2098,0.1935,0.1336,0.1506,496168000.0,413028000.0,2.9394,2.9995,2.9995,263269000.0,263269000.0,0.252,0.1896,IDXX
2017-09-30 00:00:00,1905933000.0,840399000.0,1065534000.0,105791000.0,560698000.0,399045000.0,,-30547000.0,35263000.0,368498000.0,91148000.0,277350000.0,277256000.0,3.15,0.5591,0.2094,0.1933,0.1455,0.1487,481749000.0,399044900.0,3.0849,3.1463,3.1463,277350000.0,277350000.0,0.2528,0.1852,IDXX
2017-06-30 00:00:00,1862265000.0,824003000.0,1038262000.0,103878000.0,547293000.0,387091000.0,,-29118000.0,33285000.0,357973000.0,94685000.0,263288000.0,263200000.0,2.97,0.5575,0.2079,0.1922,0.1413,0.1488,468835000.0,387090900.0,2.9143,2.9688,2.9688,263288000.0,263288000.0,0.2518,0.1839,IDXX
2017-03-31 00:00:00,1819894000.0,813804000.0,1006090000.0,102292000.0,535109000.0,368689000.0,,-28415000.0,32334000.0,340274000.0,95187000.0,245087000.0,245045000.0,2.75,0.5528,0.2026,0.187,0.1346,0.152,449511000.0,368688900.0,2.704,2.7465,2.7465,245087000.0,245087000.0,0.247,0.1886,IDXX
2016-12-31 00:00:00,1775423000.0,799987000.0,975436000.0,101122000.0,524075000.0,350239000.0,,-28393000.0,32049000.0,321846000.0,99792000.0,222054000.0,222045000.0,2.48,0.5494,0.1973,0.1813,0.1251,0.1544,429300000.0,350238900.0,2.4433,2.4746,2.4746,222054000.0,222054000.0,0.2418,0.1909,IDXX
2016-09-30 00:00:00,1732112000.0,779607000.0,952505000.0,101200000.0,517980000.0,333325000.0,,-28821000.0,32220000.0,304504000.0,90431000.0,214073000.0,214025000.0,2.38,0.5499,0.1924,0.1758,0.1236,0.1456,409496000.0,333325000.0,2.3503,2.3781,2.3781,214073000.0,214073000.0,0.2364,0.1833,IDXX
