Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,21114000000.0,15134000000.0,5980000000.0,3061000000.0,1853000000.0,385000000.0,-620000000.0,342000000.0,1233000000.0,-389000000.0,1622000000.0,315000000.0,1929000000.0,5.29,0.2832,0.0878,0.0584,0.0914,0.0344,2919000000.0,1853000000.0,5.27,,5.2926,,5.31,1937000000.0,,1929000000.0,0.1382,0.072,IP
2022-06-30 00:00:00,20626000000.0,14727000000.0,5899000000.0,2961000000.0,1853000000.0,352000000.0,-536000000.0,301000000.0,1317000000.0,245000000.0,1072000000.0,346000000.0,1842000000.0,4.85,0.286,0.0898,0.0639,0.0893,0.0555,2976000000.0,1853000000.0,3.73,,4.8569,,3.76,1418000000.0,,1842000000.0,0.1443,0.0839,IP
2022-03-31 00:00:00,20007000000.0,14323000000.0,5684000000.0,2957000000.0,1637000000.0,386000000.0,-582000000.0,313000000.0,1055000000.0,195000000.0,860000000.0,357000000.0,1763000000.0,4.56,0.2841,0.0818,0.0527,0.0881,0.0783,2799000000.0,1637000000.0,3.13,,4.5754,,3.16,1217000000.0,,1765000000.0,0.1399,0.1053,IP
2021-12-31 00:00:00,19363000000.0,13832000000.0,5531000000.0,2829000000.0,1605000000.0,433000000.0,-606000000.0,337000000.0,999000000.0,188000000.0,811000000.0,313000000.0,1752000000.0,4.49,0.2856,0.0829,0.0516,0.0905,0.0817,2815000000.0,1605000000.0,2.86,1.61,4.5044,1.62,2.88,1124000000.0,630000000.0,1754000000.0,0.1454,0.1048,IP
2021-09-30 00:00:00,16501000000.0,11798000000.0,4703000000.0,2464000000.0,1283000000.0,491000000.0,-526000000.0,362000000.0,757000000.0,158000000.0,599000000.0,311000000.0,1798000000.0,4.6,0.285,0.0778,0.0459,0.109,0.1436,2548000000.0,1283000000.0,2.3055,1.56,4.6093,1.58,2.3335,910000000.0,615000000.0,1800000000.0,0.1544,0.1644,IP
2021-06-30 00:00:00,16710000000.0,11916000000.0,4794000000.0,2493000000.0,1305000000.0,522000000.0,-663000000.0,392000000.0,642000000.0,149000000.0,493000000.0,189000000.0,1138000000.0,2.9,0.2869,0.0781,0.0384,0.0681,0.142,2572000000.0,1305000000.0,1.7225,1.34,2.9061,1.36,1.7425,682000000.0,551000000.0,1140000000.0,0.1539,0.1677,IP
2021-03-31 00:00:00,16806000000.0,11941000000.0,4865000000.0,2452000000.0,1377000000.0,561000000.0,-726000000.0,422000000.0,651000000.0,170000000.0,481000000.0,157000000.0,972000000.0,2.47,0.2895,0.0819,0.0387,0.0578,0.1416,2650000000.0,1377000000.0,1.6192,1.01,2.4742,1.03,1.6292,638000000.0,419000000.0,972000000.0,0.1577,0.1741,IP
2020-12-31 00:00:00,17565000000.0,12339000000.0,5226000000.0,2640000000.0,1495000000.0,600000000.0,-1166000000.0,446000000.0,329000000.0,176000000.0,153000000.0,77000000.0,482000000.0,1.22,0.2975,0.0851,0.0187,0.0274,0.1321,2782000000.0,1495000000.0,0.5801,,1.2266,,0.5901,230000000.0,,482000000.0,0.1584,0.1744,IP
2020-09-30 00:00:00,16780000000.0,11781000000.0,4999000000.0,2588000000.0,1347000000.0,583000000.0,-1103000000.0,466000000.0,244000000.0,317000000.0,-73000000.0,42000000.0,494000000.0,1.25,0.2979,0.0803,0.0145,0.0294,0.1304,2645000000.0,1347000000.0,-0.0551,,1.2831,,-0.0331,-31000000.0,,495000000.0,0.1576,0.1908,IP
2020-06-30 00:00:00,17225000000.0,12012000000.0,5213000000.0,2633000000.0,1509000000.0,,-1095000000.0,477000000.0,414000000.0,404000000.0,10000000.0,97000000.0,634000000.0,1.61,0.3026,0.0876,0.024,0.0368,0.1266,2814000000.0,1509000000.0,0.2928,,1.629,,0.3128,107000000.0,,633000000.0,0.1634,0.1944,IP
