Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1984030000.0,1150240000.0,833790000.0,127595000.0,224450000.0,481747000.0,3711000.0,-3535000.0,178000.0,478213000.0,110861000.0,367351000.0,367352000.0,5.02,0.4203,0.2428,0.241,0.1852,0.173,660807000.0,481747000.0,5.0182,5.0315,5.0315,367351000.0,367352000.0,0.3331,0.2696,JKHY
2022-06-30 00:00:00,1942884000.0,1128615000.0,814269000.0,121356000.0,218296000.0,474619000.0,2383000.0,-2352000.0,33000.0,472268000.0,109351000.0,362916000.0,362917000.0,4.94,0.4191,0.2443,0.2431,0.1868,0.1612,652242000.0,474619000.0,4.9387,4.9494,4.9494,362916000.0,362917000.0,0.3357,0.2597,JKHY
2022-03-31 00:00:00,1910500000.0,1116718100.0,793782000.0,116210000.0,210430000.0,467141900.0,2005000.0,-1984000.0,636000.0,465158000.0,105805000.0,359353000.0,359353000.0,4.88,0.4155,0.2445,0.2435,0.1881,0.166,643786900.0,467141900.0,4.873,4.8812,4.8812,359353000.0,359353000.0,0.337,0.2603,JKHY
2021-12-31 00:00:00,1866016000.0,1102149100.0,763867000.0,112880000.0,204231000.0,446755900.0,1604000.0,-1562000.0,923000.0,445194000.0,99139000.0,346055000.0,346055000.0,4.67,0.4094,0.2394,0.2386,0.1855,0.1551,623140900.0,446755900.0,4.6596,4.6658,4.6658,346055000.0,346055000.0,0.3339,0.2495,JKHY
2021-09-30 00:00:00,1794481000.0,1077106100.0,717375000.0,109744000.0,192905000.0,414725900.0,1274000.0,-1186000.0,1034000.0,413540000.0,91173000.0,322367000.0,322367000.0,4.31,0.3998,0.2311,0.2305,0.1796,0.1601,590903900.0,414725900.0,4.3051,4.3102,4.3102,322367000.0,322367000.0,0.3293,0.2531,JKHY
2021-06-30 00:00:00,1758225000.0,1063399100.0,694826000.0,109047000.0,187060000.0,398718900.0,1143000.0,-994000.0,1144000.0,397725000.0,86256000.0,311469000.0,311469000.0,4.12,0.3952,0.2268,0.2262,0.1771,0.1766,574466900.0,398718900.0,4.1169,4.1229,4.1229,311469000.0,311469000.0,0.3267,0.2628,JKHY
2021-03-31 00:00:00,1718474000.0,1043315900.0,675158000.0,110134000.0,185803000.0,379221000.0,735000.0,-505000.0,735000.0,378716000.0,82764000.0,295952000.0,295952000.0,3.88,0.3929,0.2207,0.2204,0.1722,0.2038,555059000.0,379221000.0,3.8783,3.886,3.886,295952000.0,295952000.0,0.323,0.2912,JKHY
2020-12-31 00:00:00,1714104000.0,1034116900.0,679987000.0,111047000.0,188984000.0,379956000.0,610000.0,-207000.0,610000.0,379749000.0,81351000.0,298398000.0,298398000.0,3.89,0.3967,0.2217,0.2215,0.1741,0.1988,555340000.0,379956000.0,3.8922,3.9015,3.9015,298398000.0,298398000.0,0.324,0.2856,JKHY
2020-09-30 00:00:00,1710862000.0,1025601900.0,685260000.0,111454000.0,193778000.0,380028000.0,649000.0,48000.0,649000.0,380076000.0,81562000.0,298514000.0,298514000.0,3.89,0.4005,0.2221,0.2222,0.1745,0.2036,553488000.0,380028000.0,3.8856,3.8947,3.8947,298514000.0,298514000.0,0.3235,0.2934,JKHY
2020-06-30 00:00:00,1697067000.0,1008463900.0,688603000.0,109988000.0,197988000.0,380627000.0,,449000.0,688000.0,381076000.0,84408000.0,296668000.0,296668000.0,3.86,0.4058,0.2243,0.2245,0.1748,0.2028,552432000.0,380627000.0,3.8561,3.8635,3.8635,296668000.0,296668000.0,0.3255,0.3008,JKHY
