Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,96103000000.0,31282000000.0,64821000000.0,15629000000.0,25407000000.0,22360000000.0,1125000000.0,1055000000.0,249000000.0,22360000000.0,3203000000.0,19157000000.0,19157000000.0,7.18,0.6745,0.2369,0.2327,0.1993,0.1884,30847000000.0,22768000000.0,7.1789,7.285,7.285,19157000000.0,19157000000.0,0.321,0.2245,JNJ
2022-06-30 00:00:00,95633000000.0,30745000000.0,64888000000.0,15409000000.0,25318000000.0,20387000000.0,852000000.0,4568000000.0,112000000.0,20387000000.0,2021000000.0,18366000000.0,18366000000.0,6.87,0.6785,0.2157,0.2132,0.192,0.2125,31352000000.0,20627000000.0,6.8747,6.9815,6.9815,18366000000.0,18366000000.0,0.3278,0.2466,JNJ
2022-03-31 00:00:00,94908000000.0,30436000000.0,64472000000.0,15058000000.0,25165000000.0,21209000000.0,635000000.0,5271000000.0,60000000.0,21209000000.0,1379000000.0,19830000000.0,19830000000.0,7.42,0.6793,0.2255,0.2235,0.2089,0.2117,31991000000.0,21399000000.0,7.4202,7.5356,7.5356,19830000000.0,19830000000.0,0.3371,0.2457,JNJ
2021-12-31 00:00:00,93786000000.0,29969000000.0,63817000000.0,14751000000.0,24659000000.0,22776000000.0,494000000.0,5449000000.0,53000000.0,22776000000.0,1898000000.0,20878000000.0,20878000000.0,7.81,0.6805,0.2454,0.2429,0.2226,0.2183,33133000000.0,23012000000.0,7.8078,7.932,7.932,20878000000.0,20878000000.0,0.3533,0.2496,JNJ
2021-09-30 00:00:00,91449000000.0,29638000000.0,61811000000.0,14034000000.0,23962000000.0,19587000000.0,423000000.0,8301000000.0,53000000.0,19587000000.0,1707000000.0,17880000000.0,17880000000.0,6.69,0.6759,0.2171,0.2142,0.1955,0.2551,30192000000.0,19850000000.0,6.6871,6.7933,6.7933,17880000000.0,17880000000.0,0.3302,0.2845,JNJ
2021-06-30 00:00:00,89190000000.0,29436000000.0,59754000000.0,13444000000.0,23393000000.0,20139000000.0,234000000.0,6619000000.0,52000000.0,20139000000.0,2372000000.0,17767000000.0,17767000000.0,6.65,0.67,0.229,0.2258,0.1992,0.2628,27916000000.0,20425000000.0,6.6476,6.7504,6.7504,17767000000.0,17767000000.0,0.313,0.2928,JNJ
2021-03-31 00:00:00,84214000000.0,28428000000.0,55786000000.0,12757000000.0,22313000000.0,17417000000.0,239000000.0,6390000000.0,59000000.0,17417000000.0,2302000000.0,15115000000.0,15115000000.0,5.66,0.6624,0.2104,0.2068,0.1795,0.2582,25093000000.0,17715000000.0,5.658,5.7428,5.7428,15115000000.0,15115000000.0,0.298,0.288,JNJ
2020-12-31 00:00:00,82584000000.0,28427000000.0,54157000000.0,12159000000.0,22084000000.0,16497000000.0,201000000.0,3924000000.0,111000000.0,16497000000.0,1783000000.0,14714000000.0,14714000000.0,5.51,0.6558,0.2035,0.1998,0.1782,0.2482,24040000000.0,16809000000.0,5.5094,5.5887,5.5887,14714000000.0,14714000000.0,0.2911,0.285,JNJ
2020-09-30 00:00:00,80856000000.0,27747000000.0,53109000000.0,11359000000.0,21666000000.0,19068000000.0,199000000.0,-803000000.0,179000000.0,19068000000.0,2082000000.0,16986000000.0,16986000000.0,6.36,0.6568,0.2405,0.2358,0.2101,0.2297,26553000000.0,19446000000.0,6.3653,6.4557,6.4557,16986000000.0,16986000000.0,0.3284,0.267,JNJ
2020-06-30 00:00:00,80503000000.0,27642000000.0,52861000000.0,11118000000.0,21609000000.0,16314000000.0,203000000.0,,,16314000000.0,1129000000.0,15185000000.0,15185000000.0,6.84,0.6566,0.2084,0.2027,0.1886,0.2208,23789000000.0,16773000000.0,5.6905,5.7709,5.7709,15185000000.0,15185000000.0,0.2955,0.2576,JNJ
2020-03-31 00:00:00,82729000000.0,28003000000.0,54726000000.0,11077000000.0,22162000000.0,19415000000.0,241000000.0,,,19415000000.0,2249000000.0,17166000000.0,17166000000.0,7.56,0.6615,0.2415,0.2347,0.2075,0.2755,26976000000.0,19981000000.0,6.4133,6.5076,6.5076,17166000000.0,17166000000.0,0.3261,0.2808,JNJ
2019-12-31 00:00:00,82059000000.0,27556000000.0,54503000000.0,11355000000.0,22178000000.0,17328000000.0,318000000.0,,,17328000000.0,2209000000.0,15119000000.0,15119000000.0,6.78,0.6642,0.2194,0.2112,0.1842,0.2825,25012000000.0,18003000000.0,5.6324,5.7159,5.7159,15119000000.0,15119000000.0,0.3048,0.2854,JNJ
2019-09-30 00:00:00,81706000000.0,27383000000.0,54323000000.0,11347000000.0,22130000000.0,16232000000.0,483000000.0,,,16232000000.0,2081000000.0,14151000000.0,14151000000.0,6.4,0.6649,0.2104,0.1987,0.1732,0.3074,24115000000.0,17187000000.0,5.241,5.3243,5.3243,14151000000.0,14151000000.0,0.2951,0.2847,JNJ
2019-06-30 00:00:00,81325000000.0,27105000000.0,54220000000.0,11256000000.0,22299000000.0,19008000000.0,678000000.0,,,19008000000.0,2676000000.0,16332000000.0,16332000000.0,6.03,0.6667,0.2489,0.2337,0.2008,0.2918,27176000000.0,20244000000.0,6.0267,6.1253,6.1253,16332000000.0,16332000000.0,0.3342,0.2706,JNJ
2019-03-31 00:00:00,81593000000.0,27092000000.0,54501000000.0,11229000000.0,22496000000.0,16940000000.0,848000000.0,,,16940000000.0,2261000000.0,14679000000.0,14679000000.0,5.4,0.668,0.2253,0.2076,0.1799,0.2685,25328000000.0,18384000000.0,5.3966,5.4855,5.4855,14679000000.0,14679000000.0,0.3104,0.2713,JNJ
2018-12-31 00:00:00,81581000000.0,27091000000.0,54490000000.0,10775000000.0,22540000000.0,17999000000.0,1005000000.0,,,17999000000.0,2702000000.0,15297000000.0,15297000000.0,5.61,0.6679,0.2404,0.2206,0.1875,0.2664,26544000000.0,19615000000.0,5.606,5.7046,5.7046,15297000000.0,15297000000.0,0.3254,0.2721,JNJ
2018-09-30 00:00:00,81382000000.0,27389000000.0,53993000000.0,11194000000.0,22594000000.0,17437000000.0,1029000000.0,,,17437000000.0,15895000000.0,1542000000.0,1542000000.0,0.5,0.6635,0.233,0.2143,0.0189,0.2515,26029000000.0,18966000000.0,0.5911,0.5938,0.5938,1542000000.0,1542000000.0,0.3198,0.2711,JNJ
2018-06-30 00:00:00,80684000000.0,27725000000.0,52959000000.0,11271000000.0,22474000000.0,17804000000.0,1015000000.0,,,17804000000.0,16432000000.0,1372000000.0,1372000000.0,0.43,0.6564,0.2382,0.2207,0.017,0.2611,26261000000.0,19218000000.0,0.5237,0.5297,0.5297,1372000000.0,1372000000.0,0.3255,0.2734,JNJ
2018-03-31 00:00:00,78693000000.0,26644000000.0,52049000000.0,10928000000.0,22020000000.0,17579000000.0,989000000.0,,,17579000000.0,16334000000.0,1245000000.0,1245000000.0,0.38,0.6614,0.2408,0.2234,0.0158,0.2566,25422000000.0,18946000000.0,0.4667,0.4773,0.4773,1245000000.0,1245000000.0,0.3231,0.2764,JNJ
2017-12-31 00:00:00,76450000000.0,25439000000.0,51011000000.0,10594000000.0,21520000000.0,17673000000.0,934000000.0,,,17673000000.0,16373000000.0,1300000000.0,1300000000.0,0.39,0.6672,0.2484,0.2312,0.017,0.2565,24634000000.0,18992000000.0,0.4736,0.483,0.483,1300000000.0,1300000000.0,0.3222,0.2754,JNJ
2017-09-30 00:00:00,74361000000.0,23818000000.0,50543000000.0,9639000000.0,20906000000.0,19437000000.0,844000000.0,,,19437000000.0,3610000000.0,15827000000.0,15827000000.0,5.76,0.6797,0.2781,0.2614,0.2128,0.2635,25509000000.0,20681000000.0,5.7532,5.8637,5.8637,15827000000.0,15827000000.0,0.343,0.2905,JNJ
2017-06-30 00:00:00,72531000000.0,22379000000.0,50152000000.0,9232000000.0,20255000000.0,19928000000.0,807000000.0,,,19928000000.0,3593000000.0,16335000000.0,16335000000.0,5.92,0.6915,0.2917,0.2748,0.2252,0.2527,25183000000.0,21158000000.0,5.912,6.0255,6.0255,16335000000.0,16335000000.0,0.3472,0.2854,JNJ
2017-03-31 00:00:00,72174000000.0,21869000000.0,50305000000.0,9200000000.0,20142000000.0,20084000000.0,770000000.0,,,20084000000.0,3579000000.0,16505000000.0,16505000000.0,5.95,0.697,0.2946,0.2783,0.2287,0.2441,25035000000.0,21260000000.0,5.9465,6.0597,6.0597,16505000000.0,16505000000.0,0.3469,0.2701,JNJ
2016-12-31 00:00:00,71890000000.0,21789000000.0,50101000000.0,9143000000.0,20067000000.0,19803000000.0,726000000.0,,,19803000000.0,3263000000.0,16540000000.0,16540000000.0,5.88,0.6969,0.2907,0.2755,0.2301,0.2338,24651000000.0,20897000000.0,5.9307,6.0424,6.0424,16540000000.0,16540000000.0,0.3429,0.2611,JNJ
2016-09-30 00:00:00,71595000000.0,21824000000.0,49771000000.0,9319000000.0,20527000000.0,19237000000.0,702000000.0,,,19237000000.0,3296000000.0,15941000000.0,15941000000.0,5.65,0.6952,0.283,0.2687,0.2227,0.2293,23992000000.0,20260000000.0,5.7009,5.8011,5.8011,15941000000.0,15941000000.0,0.3351,0.2402,JNJ
2016-06-30 00:00:00,70877000000.0,21562000000.0,49315000000.0,9295000000.0,20836000000.0,18078000000.0,633000000.0,,,18078000000.0,3051000000.0,15027000000.0,15027000000.0,5.32,0.6958,0.2676,0.2551,0.212,0.2453,22720000000.0,18967000000.0,5.3634,5.4502,5.4502,15027000000.0,15027000000.0,0.3206,0.2537,JNJ
2016-03-31 00:00:00,70182000000.0,21583000000.0,48599000000.0,9160000000.0,21044000000.0,18915000000.0,574000000.0,,,18915000000.0,3369000000.0,15546000000.0,15546000000.0,5.5,0.6925,0.2804,0.2695,0.2215,0.2665,23423000000.0,19681000000.0,5.5389,5.6233,5.6233,15546000000.0,15546000000.0,0.3337,0.2691,JNJ
2015-12-31 00:00:00,70074000000.0,21536000000.0,48538000000.0,9046000000.0,21203000000.0,19196000000.0,552000000.0,,,19196000000.0,3787000000.0,15409000000.0,15409000000.0,5.49,0.6927,0.2836,0.2739,0.2199,0.2793,23622000000.0,19876000000.0,5.478,5.5593,5.5593,15409000000.0,15409000000.0,0.3371,0.2793,JNJ
2015-09-30 00:00:00,70517000000.0,21716000000.0,48801000000.0,8817000000.0,21134000000.0,18141000000.0,531000000.0,,,18141000000.0,3426000000.0,14715000000.0,14715000000.0,5.23,0.692,0.2661,0.2573,0.2087,0.2448,22468000000.0,18764000000.0,5.223,5.3025,5.3025,14715000000.0,14715000000.0,0.3186,0.2707,JNJ
2015-06-30 00:00:00,71882000000.0,21891000000.0,49991000000.0,8686000000.0,21521000000.0,20829000000.0,538000000.0,,,20829000000.0,4723000000.0,16106000000.0,16106000000.0,5.69,0.6955,0.2983,0.2898,0.2241,0.2685,25159000000.0,21445000000.0,5.6848,5.7769,5.7769,16106000000.0,16106000000.0,0.35,0.2449,JNJ
2015-03-31 00:00:00,73590000000.0,22573000000.0,51017000000.0,8562000000.0,21618000000.0,20714000000.0,535000000.0,,,20714000000.0,4798000000.0,15916000000.0,15916000000.0,5.59,0.6933,0.2897,0.2815,0.2163,0.2546,25094000000.0,21317000000.0,5.5839,5.6785,5.6785,15916000000.0,15916000000.0,0.341,0.24,JNJ
2014-12-31 00:00:00,74331000000.0,22746000000.0,51585000000.0,8494000000.0,21954000000.0,20563000000.0,533000000.0,,,20563000000.0,4240000000.0,16323000000.0,16323000000.0,5.7,0.694,0.2847,0.2766,0.2196,0.264,25058000000.0,21163000000.0,5.6995,5.7982,5.7982,16323000000.0,16323000000.0,0.3371,0.2517,JNJ
2014-09-30 00:00:00,74432000000.0,22848000000.0,51584000000.0,8270000000.0,22049000000.0,20610000000.0,528000000.0,,,20610000000.0,3289000000.0,17321000000.0,17321000000.0,6.04,0.693,0.2849,0.2769,0.2327,0.2599,25212000000.0,21206000000.0,6.0317,6.1381,6.1381,17321000000.0,17321000000.0,0.3387,0.2451,JNJ
2014-06-30 00:00:00,73540000000.0,22793000000.0,50747000000.0,8289000000.0,21895000000.0,17467000000.0,503000000.0,,,17467000000.0,1913000000.0,15554000000.0,15554000000.0,5.42,0.6901,0.2453,0.2375,0.2115,0.2273,22081000000.0,18038000000.0,5.4087,5.5087,5.5087,15554000000.0,15554000000.0,0.3003,0.2657,JNJ
2014-03-31 00:00:00,71922000000.0,22243000000.0,49679000000.0,8230000000.0,21790000000.0,16634000000.0,493000000.0,,,16634000000.0,1573000000.0,15061000000.0,15061000000.0,5.24,0.6907,0.2391,0.2313,0.2094,0.2198,21279000000.0,17198000000.0,5.2285,5.3423,5.3423,15061000000.0,15061000000.0,0.2959,0.265,JNJ
2013-12-31 00:00:00,71312000000.0,22342000000.0,48970000000.0,8183000000.0,21830000000.0,15471000000.0,482000000.0,,,15471000000.0,1640000000.0,13831000000.0,13831000000.0,4.82,0.6867,0.2247,0.2169,0.194,0.2002,20131000000.0,16027000000.0,4.8074,4.9234,4.9234,13831000000.0,13831000000.0,0.2823,0.2442,JNJ
2013-09-30 00:00:00,70515000000.0,22390000000.0,48125000000.0,8103000000.0,21574000000.0,15821000000.0,455000000.0,,,15821000000.0,2942000000.0,12879000000.0,12879000000.0,4.5,0.6825,0.2319,0.2244,0.1826,0.2004,20388000000.0,16350000000.0,4.4761,4.5996,4.5996,12879000000.0,12879000000.0,0.2891,0.2361,JNJ
2013-06-30 00:00:00,69992000000.0,22643000000.0,47349000000.0,7984000000.0,21488000000.0,15749000000.0,485000000.0,,,15749000000.0,3223000000.0,12526000000.0,12865000000.0,4.51,0.6765,0.233,0.225,0.1838,0.1923,20372000000.0,16305000000.0,4.374,4.495,4.495,12526000000.0,12526000000.0,0.2911,0.2241,JNJ
2013-03-31 00:00:00,68590000000.0,22297000000.0,46293000000.0,7804000000.0,21077000000.0,12991000000.0,510000000.0,,,12991000000.0,2890000000.0,10101000000.0,10440000000.0,3.68,0.6749,0.1978,0.1894,0.1522,0.1912,17498000000.0,13569000000.0,3.5523,3.6433,3.6433,10101000000.0,10101000000.0,0.2551,0.2169,JNJ
2012-12-31 00:00:00,67224000000.0,21658000000.0,45566000000.0,7665000000.0,20869000000.0,13775000000.0,532000000.0,,,13775000000.0,3261000000.0,10514000000.0,10853000000.0,3.87,0.6778,0.2138,0.2049,0.1614,0.2078,18037000000.0,14371000000.0,3.7382,3.8186,3.8186,10514000000.0,10514000000.0,0.2683,0.229,JNJ
