Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,29240000000.0,7132000000.0,22109000000.0,7154000000.0,6389200000.0,7208102000.0,329000000.0,1837000000.0,44000000.0,6551000000.0,517000000.0,6033200000.0,6034000000.0,6.66,0.7561,0.2465,0.224,0.2064,0.2058,10157000000.0,7208102000.0,6.6492,,6.6818,,6.6775,6033200000.0,,6034000000.0,0.3474,0.262,LLY
2022-06-30 00:00:00,29071000000.0,6984000000.0,22088000000.0,7060000000.0,6353000000.0,7412802000.0,331000000.0,1839000000.0,31000000.0,6230000000.0,538000000.0,5691600000.0,5692000000.0,6.27,0.7598,0.255,0.2143,0.1958,0.1976,10287000000.0,7412802000.0,6.2618,,6.2944,,6.2901,5691600000.0,,5692000000.0,0.3539,0.2445,LLY
2022-03-31 00:00:00,29323100000.0,7506200000.0,21816900000.0,6933000000.0,6413600000.0,7606102000.0,337000000.0,1267500000.0,26000000.0,6732900000.0,603700000.0,6129300000.0,6129200000.0,6.75,0.744,0.2594,0.2296,0.209,0.2281,10060700000.0,7606102000.0,6.7339,,6.7686,,6.7643,6129300000.0,,6129200000.0,0.3431,0.275,LLY
2021-12-31 00:00:00,28318700000.0,7312800000.0,21005900000.0,6995100000.0,6431700000.0,6357102000.0,340000000.0,1691600000.0,25000000.0,6155300000.0,573800000.0,5581700000.0,5581500000.0,6.14,0.7418,0.2245,0.2174,0.1971,0.2101,8560300000.0,6357102000.0,6.1199,,6.1542,,6.1499,5581700000.0,,5581500000.0,0.3023,0.2564,LLY
2021-09-30 00:00:00,27758701000.0,6982600000.0,20776101000.0,6874100000.0,6393600000.0,6432001000.0,348000000.0,1535600000.0,24000000.0,6784400000.0,812100000.0,5972400000.0,5972300000.0,6.56,0.7485,0.2317,0.2444,0.2152,0.1962,8075901000.0,6432000000.0,6.5476,,6.5796,,6.5756,5972400000.0,,5972300000.0,0.2909,0.2493,LLY
2021-06-30 00:00:00,26726301000.0,6878000000.0,19848301000.0,6630500000.0,6384700000.0,5829101000.0,354000000.0,1147500000.0,23000000.0,6976600000.0,905900000.0,6070700000.0,6070700000.0,6.67,0.7427,0.2181,0.261,0.2271,0.2082,7274601000.0,5829100000.0,6.6547,,6.6873,,6.6833,6070700000.0,,6070700000.0,0.2722,0.2655,LLY
2021-03-31 00:00:00,25485601000.0,6146800000.0,19338801000.0,6365700000.0,6147600000.0,5622501000.0,355000000.0,1403900000.0,25000000.0,7026400000.0,933900000.0,6092500000.0,6092500000.0,6.69,0.7588,0.2206,0.2757,0.2391,0.2505,7023101000.0,5622500000.0,6.6778,,6.7115,,6.7075,6092500000.0,,6092500000.0,0.2756,0.3066,LLY
2020-12-31 00:00:00,24539801000.0,5483300000.0,19056501000.0,6085700000.0,6121200000.0,6058001000.0,360000000.0,1171900000.0,33000000.0,7229900000.0,1036200000.0,6193700000.0,6193700000.0,6.8,0.7766,0.2469,0.2946,0.2524,0.2083,7381901000.0,6058000000.0,6.79,,6.8239,,6.8199,6193700000.0,,6193700000.0,0.3008,0.2649,LLY
2020-09-30 00:00:00,23213800000.0,5046100000.0,18167699000.0,5829100000.0,6265400000.0,5466101000.0,367000000.0,957800000.0,40000000.0,6423900000.0,851300000.0,5572600000.0,5572601000.0,6.12,0.7826,0.2355,0.2767,0.2401,0.2321,6763201000.0,5466100000.0,6.0536,,6.2845,,6.0921,5572600000.0,,5572601000.0,0.2913,0.2864,LLY
2020-06-30 00:00:00,22949800000.0,4894700000.0,18055099000.0,5744600000.0,6108600000.0,5618501000.0,,774000000.0,81600000.0,6392500000.0,774400000.0,5618100000.0,5618101000.0,6.16,0.7867,0.2448,0.2785,0.2448,0.2275,6845201000.0,5618500000.0,6.0977,,6.3245,,6.1301,5618100000.0,,5618101000.0,0.2983,0.2768,LLY
2020-03-31 00:00:00,23087100000.0,4797600000.0,18289499000.0,5756600000.0,6246300000.0,5920001000.0,,294700000.0,,6214700000.0,681400000.0,5533300000.0,5533301000.0,6.05,0.7922,0.2564,0.2692,0.2397,0.1654,7069701000.0,5920000000.0,5.9876,,6.2095,,6.0137,5533300000.0,,5533301000.0,0.3062,0.2126,LLY
2019-12-31 00:00:00,22319500000.0,4721200000.0,17598299000.0,5595000000.0,6213800000.0,4974301600.0,,291600000.0,,5265900000.0,628000000.0,4637900000.0,8318401000.0,8.78,0.7885,0.2229,0.2359,0.3727,0.1704,6206902000.0,4974300600.0,4.96,3.99,8.9344,4.0,4.98,4637900000.0,,8318401000.0,0.2781,0.2167,LLY
2019-09-30 00:00:00,21843101000.0,4568500000.0,17274600000.0,5405400000.0,6209300000.0,4474301300.0,,60100000.0,,4534400100.0,270800000.0,4263600000.0,7947700000.0,8.24,0.7908,0.2048,0.2076,0.3639,0.1474,5711702000.0,4474300800.0,4.47,,8.2509,,4.49,4263600000.0,,7947700000.0,0.2615,0.1978,LLY
2019-06-30 00:00:00,21673401000.0,4546400000.0,17127000000.0,5305400000.0,6254200000.0,4386601300.0,,83100000.0,,4469700100.0,366400000.0,4103300000.0,7843300000.0,7.99,0.7902,0.2024,0.2062,0.3619,0.1765,5751502000.0,4386600800.0,4.17,,8.0054,,4.19,4103300000.0,,7843300000.0,0.2654,0.2276,LLY
2019-03-31 00:00:00,21621701000.0,4655800000.0,16965900000.0,5174200000.0,6153500000.0,2883401400.0,,162100000.0,,3045500100.0,501000000.0,2544500000.0,6256200000.0,6.3,0.7847,0.1334,0.1409,0.2893,0.1952,4426102100.0,2883400900.0,2.51,3.77,6.3117,3.78,2.53,2544500000.0,3711700000.0,6256200000.0,0.2047,0.2497,LLY
2018-12-31 00:00:00,21493301000.0,4681700000.0,16811600000.0,5051200000.0,5975100000.0,3534500800.0,,145600000.0,,3680100100.0,529500000.0,3150600000.0,3232000000.0,3.13,0.7822,0.1644,0.1712,0.1504,0.2007,5143501100.0,3534500300.0,3.05,0.08,3.1447,0.07,3.07,3150600000.0,81400000.0,3232000000.0,0.2393,0.257,LLY
2018-09-30 00:00:00,19118901000.0,3493600200.0,15625301000.0,4885200000.0,5387300000.0,2912901200.0,,227100000.0,,3140000100.0,2650000000.0,490000000.0,450100000.0,0.45,0.8173,0.1524,0.1642,0.0235,0.2385,4588301200.0,2912900700.0,0.5052,,0.4638,,0.502,490000000.0,,450100000.0,0.24,0.3044,LLY
2018-06-30 00:00:00,19470001000.0,3927000200.0,15543001000.0,4944300000.0,5508600000.0,2111601400.0,,278900000.0,,2390500100.0,2438500000.0,-48000000.0,-143800000.0,-0.14,0.7983,0.1085,0.1228,-0.0074,0.2232,3744401400.0,2111600900.0,-0.0387,,-0.1353,,-0.0406,-48000000.0,,-143800000.0,0.1923,0.2865,LLY
2018-03-31 00:00:00,19709301000.0,4264400200.0,15444901000.0,4945400000.0,5753400000.0,3316601300.0,,292700000.0,,3609300100.0,2417700000.0,1191600000.0,1124100000.0,1.06,0.7836,0.1683,0.1831,0.057,0.2318,4919801300.0,3316600800.0,1.1349,,1.0725,,1.1349,1191600000.0,,1124100000.0,0.2496,0.2898,LLY
2017-12-31 00:00:00,19973801000.0,4447700200.0,15526101000.0,5096200000.0,5982400000.0,2003301200.0,,301500000.0,,2304800100.0,2391200000.0,-86400000.0,-204100000.0,-0.2,0.7773,0.1003,0.1154,-0.0102,0.2272,3570601200.0,2003300700.0,-0.08,,-0.194,,-0.08,-86400000.0,,-204100000.0,0.1788,0.2811,LLY
2017-09-30 00:00:00,22471100000.0,6027100000.0,16443999000.0,5387400000.0,6742700000.0,2403299200.0,,402000000.0,,2805300100.0,580700000.0,2224600200.0,2224600200.0,2.11,0.7318,0.107,0.1248,0.099,0.2185,3903299100.0,2403299200.0,2.1003,,2.107,,2.107,2224600200.0,,2224600200.0,0.1737,0.2616,LLY
2017-06-30 00:00:00,22004800000.0,5841700000.0,16163099000.0,5283800000.0,6729600000.0,2805099000.0,,379300000.0,,3184400100.0,737400000.0,2447000200.0,2447000200.0,2.31,0.7345,0.1275,0.1447,0.1112,0.2138,4324998900.0,2805099000.0,2.3076,,2.3152,,2.3152,2447000200.0,,2447000200.0,0.1965,0.2572,LLY
2017-03-31 00:00:00,21585300000.0,5735000000.0,15850299000.0,5347600000.0,6621800000.0,2528298800.0,,340100000.0,,2868400100.0,681700000.0,2186700200.0,2186700200.0,2.07,0.7343,0.1171,0.1329,0.1013,0.2053,4026298900.0,2528298800.0,2.0593,,2.0666,,2.0666,2186700200.0,,2186700200.0,0.1865,0.2506,LLY
2016-12-31 00:00:00,21222100000.0,5710100000.0,15511999000.0,5310300000.0,6528000000.0,3261199200.0,,112800000.0,,3374000100.0,636400000.0,2737600200.0,2737600200.0,2.58,0.7309,0.1537,0.159,0.129,0.1832,4757799000.0,3261199200.0,2.5782,,2.5867,,2.5867,2737600200.0,,2737600200.0,0.2242,0.2286,LLY
