Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,17956000000.0,9753000000.0,8203000000.0,1655000000.0,869163000.0,5707429000.0,186000000.0,-32000000.0,25000000.0,5505000000.0,653000000.0,4851421000.0,4852000000.0,34.87,0.4568,0.3179,0.3066,0.2702,0.1829,6010000000.0,5707429000.0,34.8676,35.0117,35.0117,4851421000.0,4852000000.0,0.3347,0.2135,LRCX
2022-06-30 00:00:00,17181000000.0,9343000000.0,7838000000.0,1604000000.0,885543000.0,5381822000.0,185000000.0,-17000000.0,15000000.0,5193000000.0,588000000.0,4605286000.0,4606000000.0,32.75,0.4562,0.3132,0.3023,0.2681,0.1487,5684000000.0,5381822000.0,32.7479,32.9186,32.9186,4605286000.0,4606000000.0,0.3308,0.1805,LRCX
2022-03-31 00:00:00,16709179000.0,9042979000.0,7666200000.0,1574749000.0,893066000.0,5218396000.0,191000000.0,49834000.0,13000000.0,5142761000.0,602104000.0,4541009000.0,4541657000.0,32.03,0.4588,0.3123,0.3078,0.2718,0.2135,5523324000.0,5218396000.0,31.9489,32.1548,32.1548,4541009000.0,4541657000.0,0.3306,0.245,LRCX
2021-12-31 00:00:00,16506833000.0,8870502000.0,7636331000.0,1548869000.0,879361000.0,5221607000.0,196000000.0,24514000.0,15000000.0,5167749000.0,577971000.0,4590352000.0,4590778000.0,32.24,0.4626,0.3163,0.3131,0.2781,0.2442,5528085000.0,5221607000.0,32.0605,32.3234,32.3234,4590352000.0,4590778000.0,0.3349,0.2726,LRCX
2021-09-30 00:00:00,15748070000.0,8476944000.0,7271126000.0,1520041000.0,862127000.0,4893192000.0,202000000.0,-69427000.0,18000000.0,4791532000.0,527525000.0,4264751000.0,4265007000.0,29.84,0.4617,0.3107,0.3043,0.2708,0.1893,5203198000.0,4893192000.0,29.5756,29.8705,29.8705,4264751000.0,4265007000.0,0.3304,0.2161,LRCX
2021-06-30 00:00:00,14626150000.0,7820845000.0,6805305000.0,1493408000.0,829875000.0,4482023000.0,209000000.0,-111219000.0,20000000.0,4370804000.0,462346000.0,3908458000.0,3908458000.0,27.24,0.4653,0.3064,0.2988,0.2672,0.2215,4789174000.0,4482023000.0,26.8955,27.2159,27.2159,3908458000.0,3908458000.0,0.3274,0.2453,LRCX
2021-03-31 00:00:00,13272835000.0,7102398000.0,6170437000.0,1450469000.0,798150000.0,3921818400.0,206000000.0,-111606000.0,25000000.0,3810212000.0,349738000.0,3460473900.0,3460473900.0,24.01,0.4649,0.2955,0.2871,0.2607,0.2012,4217044400.0,3921818200.0,23.6615,24.0199,24.0199,3460473900.0,3460473900.0,0.3177,0.2234,LRCX
2020-12-31 00:00:00,11928806000.0,6371493000.0,5557313000.0,1377263000.0,759426000.0,3420624400.0,196000000.0,-140905000.0,40000000.0,3279719000.0,315585000.0,2964133900.0,2964133900.0,20.46,0.4659,0.2868,0.2749,0.2485,0.1748,3705006400.0,3420624200.0,20.1338,20.4683,20.4683,2964133900.0,2964133900.0,0.3106,0.1963,LRCX
2020-09-30 00:00:00,11056070000.0,5922908000.0,5133162000.0,1320952000.0,714799000.0,3097411400.0,186000000.0,-124888000.0,60000000.0,2972523000.0,363108000.0,2609414900.0,2609414900.0,17.99,0.4643,0.2802,0.2689,0.236,0.188,3372509400.0,3097411200.0,17.6044,17.9982,17.9982,2609414900.0,2609414900.0,0.305,0.2085,LRCX
2020-06-30 00:00:00,10044736000.0,5436043000.0,4608693100.0,1252412000.0,682479000.0,2673802500.0,,-98824000.0,,2574978000.0,323225000.0,2251752900.0,2251752900.0,15.54,0.4588,0.2662,0.2564,0.2242,0.1915,2942327500.0,2673802300.0,15.1033,15.5493,15.5493,2251752900.0,2251752900.0,0.2929,0.2117,LRCX
