Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1670640000.0,696023000.0,974617000.0,233012000.0,268746000.0,468465000.0,-2330000.0,10136000.0,466135000.0,74882000.0,391253000.0,391253000.0,8.41,0.5834,0.2804,0.279,0.2342,0.0952,505699000.0,468465000.0,8.1053,8.4057,8.4057,391253000.0,391253000.0,0.3027,0.1333,MPWR
2022-06-30 00:00:00,1498744000.0,628718000.0,870026000.0,215217000.0,255320000.0,393725000.0,-1542000.0,9399000.0,392183000.0,56497000.0,335686000.0,335686000.0,7.25,0.5805,0.2627,0.2617,0.224,0.1894,439531000.0,393725000.0,6.9707,7.2466,7.2466,335686000.0,335686000.0,0.2933,0.2393,MPWR
2022-03-31 00:00:00,1331057000.0,567777000.0,763280000.0,202839000.0,241890000.0,312465000.0,6581000.0,8955000.0,319046000.0,42870000.0,276176000.0,276176000.0,5.99,0.5734,0.2347,0.2397,0.2075,0.1864,348765000.0,312465000.0,5.751,5.9943,5.9943,276176000.0,276176000.0,0.262,0.2632,MPWR
2021-12-31 00:00:00,1207798000.0,522339000.0,685459000.0,190627000.0,226190000.0,262417000.0,9802000.0,6963000.0,272219000.0,30196000.0,242023000.0,242023000.0,5.28,0.5675,0.2173,0.2254,0.2004,0.1849,291227000.0,262417000.0,5.0538,5.2785,5.2785,242023000.0,242023000.0,0.2411,0.265,MPWR
2021-09-30 00:00:00,1104337000.0,483878000.0,620459100.0,178365000.0,210102000.0,223807000.0,10891000.0,6130000.0,234698000.0,22460000.0,212238000.0,212238000.0,4.65,0.5618,0.2027,0.2125,0.1922,0.2564,249218000.0,223807000.0,4.4468,4.6511,4.6511,212238000.0,212238000.0,0.2257,0.3364,MPWR
2021-06-30 00:00:00,1040237000.0,463049000.0,577188100.0,166614000.0,197314000.0,206655000.0,12592000.0,5833000.0,219247000.0,20213000.0,199034000.0,199034000.0,4.39,0.5549,0.1987,0.2108,0.1913,0.2324,225636000.0,206655000.0,4.1931,4.3907,4.3907,199034000.0,199034000.0,0.2169,0.3183,MPWR
2021-03-31 00:00:00,933129000.0,417563000.0,515566100.0,153534000.0,180959000.0,173982000.0,14761000.0,5937000.0,188743000.0,14711000.0,174032000.0,174032000.0,3.86,0.5525,0.1865,0.2023,0.1865,0.2452,188148000.0,173982000.0,3.682,3.8596,3.8596,174032000.0,174032000.0,0.2016,0.3145,MPWR
2020-12-31 00:00:00,844452000.0,378498000.0,465954100.0,137598000.0,161670000.0,158882000.0,10460000.0,6348000.0,169342000.0,4967000.0,164375000.0,164375000.0,3.66,0.5518,0.1881,0.2005,0.1947,0.2513,176455000.0,158882000.0,3.4963,3.6658,3.6658,164375000.0,164375000.0,0.209,0.3171,MPWR
2020-09-30 00:00:00,778147000.0,349131000.0,429016000.0,122358000.0,149789000.0,149614000.0,8711000.0,6842000.0,158325000.0,4399000.0,153926000.0,153926000.0,3.46,0.5513,0.1923,0.2035,0.1978,0.2523,165972000.0,149614000.0,3.294,3.4607,3.4607,153926000.0,153926000.0,0.2133,0.3202,MPWR
2020-06-30 00:00:00,687538000.0,308404000.0,379134000.0,112383000.0,140978000.0,119667000.0,8474000.0,5370000.0,128141000.0,253000.0,127888000.0,127888000.0,2.9,0.5514,0.1741,0.1864,0.186,0.3044,136930000.0,119667000.0,2.7549,2.9069,2.9069,127888000.0,127888000.0,0.1992,0.3551,MPWR
2020-03-31 00:00:00,652336000.0,292570000.0,359766000.0,108255000.0,135153000.0,111831000.0,5503000.0,3697000.0,117334000.0,-1080000.0,118414000.0,118414000.0,2.71,0.5515,0.1714,0.1799,0.1815,0.2902,130752000.0,111831000.0,2.5657,2.7133,2.7133,118414000.0,118414000.0,0.2004,0.3509,MPWR
2019-12-31 00:00:00,627921000.0,281596000.0,346325000.0,107757000.0,133542000.0,102562000.0,10558000.0,732000.0,113120000.0,4281000.0,108839000.0,108839000.0,2.52,0.5515,0.1633,0.1802,0.1733,0.2067,114352000.0,102562000.0,2.3784,2.5214,2.5214,108839000.0,108839000.0,0.1821,0.3445,MPWR
2019-09-30 00:00:00,614679000.0,275699000.0,338980000.0,103480000.0,128675000.0,104944000.0,7435000.0,,112379000.0,8339000.0,104040000.0,104040000.0,2.42,0.5515,0.1707,0.1828,0.1693,0.1962,119884000.0,104944000.0,2.2928,2.4263,2.4263,104040000.0,104040000.0,0.195,0.3301,MPWR
2019-06-30 00:00:00,605841000.0,271001000.0,334840000.0,101368000.0,123535000.0,108405000.0,7892000.0,,116297000.0,10217000.0,106080000.0,106080000.0,2.49,0.5527,0.1789,0.192,0.1751,0.16,120574000.0,108405000.0,2.3552,2.4897,2.4897,106080000.0,106080000.0,0.199,0.3015,MPWR
2019-03-31 00:00:00,594595000.0,265416000.0,329179000.0,97304000.0,117038000.0,113168000.0,7895000.0,,121063000.0,11470000.0,109593000.0,109593000.0,2.58,0.5536,0.1903,0.2036,0.1843,0.1546,125272000.0,113168000.0,2.4454,2.5828,2.5828,109593000.0,109593000.0,0.2107,0.2758,MPWR
2018-12-31 00:00:00,582382000.0,259714000.0,322668000.0,93455000.0,113803000.0,113488000.0,4994000.0,,118482000.0,13214000.0,105268000.0,105268000.0,2.49,0.554,0.1949,0.2034,0.1808,0.2042,127407000.0,113488000.0,2.3602,2.4917,2.4917,105268000.0,105268000.0,0.2188,0.2429,MPWR
2018-09-30 00:00:00,558316000.0,249079000.0,309237000.0,92451000.0,109468000.0,105464000.0,7033000.0,,112497000.0,22797000.0,89700000.0,89700000.0,2.13,0.5539,0.1889,0.2015,0.1607,0.1585,117604000.0,105464000.0,2.0175,2.1302,2.1302,89700000.0,89700000.0,0.2106,0.2637,MPWR
2018-06-30 00:00:00,527280000.0,236205000.0,291075000.0,88263000.0,105171000.0,95803000.0,5574000.0,,101377000.0,19603000.0,81774000.0,81774000.0,1.95,0.552,0.1817,0.1923,0.1551,0.1337,108686000.0,95803000.0,1.8545,1.9553,1.9553,81774000.0,81774000.0,0.2061,0.2442,MPWR
2018-03-31 00:00:00,499717000.0,224781000.0,274936000.0,85074000.0,102483000.0,85891000.0,4579000.0,,90470000.0,17888000.0,72582000.0,72582000.0,1.74,0.5502,0.1719,0.181,0.1452,0.117,100142000.0,85891000.0,1.6553,1.7455,1.7455,72582000.0,72582000.0,0.2004,0.2566,MPWR
2017-12-31 00:00:00,470929000.0,212646000.0,258283000.0,82359000.0,97257000.0,77424000.0,5520000.0,,82944000.0,17741000.0,65203000.0,65203000.0,1.57,0.5485,0.1644,0.1761,0.1385,0.1445,92970000.0,77424000.0,1.4963,1.5769,1.5769,65203000.0,65203000.0,0.1974,0.2842,MPWR
2017-09-30 00:00:00,445117000.0,201482000.0,243635000.0,78602000.0,94536000.0,69915000.0,4770000.0,,74685000.0,4978000.0,69707000.0,69707000.0,1.69,0.5474,0.1571,0.1678,0.1566,0.1758,86776000.0,69915000.0,1.6167,1.6945,1.6945,69707000.0,69707000.0,0.195,0.2504,MPWR
2017-06-30 00:00:00,422634000.0,191930000.0,230704000.0,77632000.0,91678000.0,61084000.0,4295000.0,,65379000.0,4941000.0,60438000.0,60438000.0,1.47,0.5459,0.1445,0.1547,0.143,0.1697,77352000.0,61084000.0,1.4161,1.4783,1.4783,60438000.0,60438000.0,0.183,0.2619,MPWR
2017-03-31 00:00:00,404515000.0,184310000.0,220205000.0,75216000.0,87336000.0,57641000.0,3655000.0,,61296000.0,4674000.0,56622000.0,56622000.0,1.39,0.5444,0.1425,0.1515,0.14,0.1622,73137000.0,57641000.0,1.3385,1.3923,1.3923,56622000.0,56622000.0,0.1808,0.2492,MPWR
2016-12-31 00:00:00,388665000.0,177792000.0,210873000.0,73643000.0,83012000.0,54447000.0,2817000.0,,57264000.0,4544000.0,52720000.0,52720000.0,1.3,0.5426,0.1401,0.1473,0.1356,0.1818,68883000.0,54447000.0,1.2578,1.3038,1.3038,52720000.0,52720000.0,0.1772,0.2773,MPWR
2016-09-30 00:00:00,371966000.0,170688000.0,201278000.0,72403000.0,79804000.0,48696000.0,2470000.0,,51166000.0,4911000.0,46255000.0,46255000.0,1.15,0.5411,0.1309,0.1376,0.1244,0.1742,63625000.0,48696000.0,1.11,1.1517,1.1517,46255000.0,46255000.0,0.1711,0.2719,MPWR
2016-06-30 00:00:00,356704000.0,163911000.0,192793000.0,69203000.0,76129000.0,47005000.0,1684000.0,,48689000.0,5606000.0,43083000.0,43083000.0,1.08,0.5405,0.1318,0.1365,0.1208,0.1753,61395000.0,47005000.0,1.0422,1.0805,1.0805,43083000.0,43083000.0,0.1721,0.253,MPWR
2016-03-31 00:00:00,344041000.0,158045000.0,185996000.0,67070000.0,72562000.0,45589000.0,1322000.0,,46911000.0,7127000.0,39784000.0,39784000.0,1.0,0.5406,0.1325,0.1364,0.1156,0.1936,59705000.0,45589000.0,0.9677,1.0028,1.0028,39784000.0,39784000.0,0.1735,0.241,MPWR
2015-12-31 00:00:00,333067000.0,152898000.0,180169000.0,65787000.0,72312000.0,41070000.0,1421000.0,,42491000.0,7319000.0,35172000.0,35172000.0,0.89,0.5409,0.1233,0.1276,0.1056,0.1623,55316000.0,41070000.0,0.8607,0.8911,0.8911,35172000.0,35172000.0,0.1661,0.2094,MPWR
2015-09-30 00:00:00,321851000.0,147640000.0,174211000.0,63993000.0,70991000.0,38443000.0,1276000.0,,39719000.0,5797000.0,33922000.0,33922000.0,0.86,0.5413,0.1194,0.1234,0.1054,0.1732,52403000.0,38443000.0,0.8359,0.8634,0.8634,33922000.0,33922000.0,0.1628,0.2049,MPWR
2015-06-30 00:00:00,308992000.0,141758000.0,167234000.0,61400000.0,69275000.0,35579000.0,1484000.0,,37063000.0,3121000.0,33942000.0,33942000.0,0.87,0.5412,0.1151,0.1199,0.1098,0.1608,49604000.0,35579000.0,0.8431,0.8698,0.8698,33942000.0,33942000.0,0.1605,0.1938,MPWR
2015-03-31 00:00:00,296012000.0,135808000.0,160204000.0,59025000.0,68164000.0,32072000.0,1544000.0,,33616000.0,1176000.0,32440000.0,32440000.0,0.84,0.5412,0.1083,0.1136,0.1096,0.2302,45807000.0,32072000.0,0.8107,0.8356,0.8356,32440000.0,32440000.0,0.1547,0.2629,MPWR
2014-12-31 00:00:00,282535000.0,129917000.0,152618000.0,58590000.0,66755000.0,35300000.0,1092000.0,,36392000.0,897000.0,35495000.0,35495000.0,0.92,0.5402,0.1249,0.1288,0.1256,0.2287,48667000.0,35300000.0,0.892,0.9175,0.9175,35495000.0,35495000.0,0.1723,0.2624,MPWR
2014-09-30 00:00:00,270392000.0,124439000.0,145953000.0,56139000.0,63650000.0,34175000.0,630000.0,,34805000.0,669000.0,34136000.0,34136000.0,0.89,0.5398,0.1264,0.1287,0.1262,0.2813,47383000.0,34175000.0,0.8653,0.889,0.889,34136000.0,34136000.0,0.1752,0.3108,MPWR
2014-06-30 00:00:00,257404000.0,118620000.0,138784000.0,54103000.0,60535000.0,32385000.0,369000.0,,32754000.0,2429000.0,30325000.0,30325000.0,0.8,0.5392,0.1258,0.1272,0.1178,0.2534,45507000.0,32385000.0,0.7728,0.7952,0.7952,30325000.0,30325000.0,0.1768,0.2955,MPWR
2014-03-31 00:00:00,246682000.0,114069000.0,132613000.0,53213000.0,57475000.0,30695000.0,292000.0,,30987000.0,1570000.0,29417000.0,29417000.0,0.78,0.5376,0.1244,0.1256,0.1193,0.1995,43744000.0,30695000.0,0.7548,0.7779,0.7779,29417000.0,29417000.0,0.1773,0.2674,MPWR
2013-12-31 00:00:00,238091000.0,110190000.0,127901000.0,49733000.0,54624000.0,23915000.0,92000.0,,24007000.0,1109000.0,22898000.0,22898000.0,0.62,0.5372,0.1004,0.1008,0.0962,0.189,36518000.0,23915000.0,0.5929,0.6124,0.6124,22898000.0,22898000.0,0.1534,0.2549,MPWR
2013-09-30 00:00:00,222745000.0,103585000.0,119160000.0,50487000.0,54872000.0,16855000.0,139000.0,,16994000.0,1348000.0,15646000.0,15646000.0,0.43,0.535,0.0757,0.0763,0.0702,0.1075,28670000.0,16855000.0,0.4046,0.4179,0.4179,15646000.0,15646000.0,0.1287,0.1872,MPWR
2013-06-30 00:00:00,213906000.0,100027000.0,113879000.0,49811000.0,52936000.0,14519000.0,354000.0,,14873000.0,716000.0,14157000.0,14157000.0,0.4,0.5324,0.0679,0.0695,0.0662,0.0756,25440000.0,14519000.0,0.3771,0.3909,0.3909,14157000.0,14157000.0,0.1189,0.1629,MPWR
2013-03-31 00:00:00,214799000.0,100676000.0,114123000.0,49801000.0,51310000.0,16386000.0,495000.0,,16881000.0,1621000.0,15260000.0,15260000.0,0.44,0.5313,0.0763,0.0786,0.071,0.027,26527000.0,16386000.0,0.4167,0.433,0.433,15260000.0,15260000.0,0.1235,0.1182,MPWR
2012-12-31 00:00:00,213813000.0,100665000.0,113148000.0,48796000.0,50018000.0,17279000.0,611000.0,,17890000.0,2134000.0,15756000.0,15756000.0,0.46,0.5292,0.0808,0.0837,0.0737,0.0181,26825000.0,17279000.0,0.4347,0.4519,0.4519,15756000.0,15756000.0,0.1255,0.1165,MPWR
