Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,35208000000.0,28007000000.0,7201000000.0,3764000000.0,3437000000.0,519000000.0,3811000000.0,519000000.0,6729000000.0,1203000000.0,5526000000.0,5526000000.0,35.04,0.2045,0.0976,0.1911,0.157,0.0186,4728000000.0,3437000000.0,35.1173,35.2761,35.2761,5526000000.0,5526000000.0,0.1343,0.0594,NOC
2022-06-30 00:00:00,34957000000.0,27640000000.0,7317000000.0,3681000000.0,3636000000.0,529000000.0,3807000000.0,529000000.0,6914000000.0,1240000000.0,5674000000.0,5674000000.0,35.78,0.2093,0.104,0.1978,0.1623,0.0132,4914000000.0,3636000000.0,35.8527,36.0097,36.0097,5674000000.0,5674000000.0,0.1406,0.0549,NOC
2022-03-31 00:00:00,35307000000.0,27906000000.0,7401000000.0,3675000000.0,3726000000.0,534000000.0,3738000000.0,534000000.0,7066000000.0,1301000000.0,5765000000.0,5765000000.0,36.16,0.2096,0.1055,0.2001,0.1633,0.0503,4974000000.0,3726000000.0,36.2097,36.3632,36.3632,5765000000.0,5765000000.0,0.1409,0.0891,NOC
2021-12-31 00:00:00,35667000000.0,28399000000.0,7268000000.0,3597000000.0,5651000000.0,556000000.0,3552000000.0,556000000.0,8938000000.0,1933000000.0,7005000000.0,7005000000.0,43.49,0.2038,0.1584,0.2506,0.1964,0.0627,6890000000.0,5651000000.0,43.5365,43.6994,43.6994,7005000000.0,7005000000.0,0.1932,0.1,NOC
2021-09-30 00:00:00,37240000000.0,29433000000.0,7807000000.0,3726000000.0,6061000000.0,583000000.0,-31000000.0,583000000.0,5898000000.0,1273000000.0,4625000000.0,4625000000.0,28.47,0.2096,0.1628,0.1584,0.1242,0.0736,7314000000.0,6061000000.0,28.4457,28.5267,28.5267,4625000000.0,4625000000.0,0.1964,0.1001,NOC
2021-06-30 00:00:00,37603000000.0,29890000000.0,7713000000.0,3690000000.0,6003000000.0,605000000.0,-213000000.0,605000000.0,5790000000.0,1242000000.0,4548000000.0,4548000000.0,27.73,0.2051,0.1596,0.154,0.1209,0.0763,7259000000.0,6003000000.0,27.7121,27.7859,27.7859,4548000000.0,4548000000.0,0.193,0.1043,NOC
2021-03-31 00:00:00,37336000000.0,29840000000.0,7496000000.0,3523000000.0,5953000000.0,623000000.0,-262000000.0,623000000.0,5691000000.0,1175000000.0,4516000000.0,4516000000.0,27.3,0.2008,0.1594,0.1524,0.121,0.1094,7217000000.0,5953000000.0,27.2982,27.3665,27.3665,4516000000.0,4516000000.0,0.1933,0.1401,NOC
2020-12-31 00:00:00,36799000000.0,29321000000.0,7478000000.0,3413000000.0,4065000000.0,593000000.0,-337000000.0,593000000.0,3728000000.0,539000000.0,3189000000.0,3189000000.0,19.02,0.2032,0.1105,0.1013,0.0867,0.084,5332000000.0,4065000000.0,19.0275,19.0844,19.0844,3189000000.0,3189000000.0,0.1449,0.117,NOC
2020-09-30 00:00:00,35308000000.0,27814000000.0,7494000000.0,3445000000.0,4049000000.0,563000000.0,-1195000000.0,563000000.0,2854000000.0,404000000.0,2450000000.0,2450000000.0,14.62,0.2122,0.1147,0.0808,0.0694,0.1096,5312000000.0,4049000000.0,14.6758,14.7194,14.7194,2450000000.0,2450000000.0,0.1504,0.1463,NOC
2020-06-30 00:00:00,34700000000.0,27319000000.0,7381000000.0,3366000000.0,4015000000.0,,-1273000000.0,532000000.0,2742000000.0,345000000.0,2397000000.0,2397000000.0,14.25,0.2127,0.1157,0.079,0.0691,0.106,5279000000.0,4015000000.0,14.2737,14.3255,14.3255,2397000000.0,2397000000.0,0.1521,0.1426,NOC
2020-03-31 00:00:00,34272000000.0,26987000000.0,7285000000.0,3318000000.0,3967000000.0,,-1400000000.0,515000000.0,2567000000.0,314000000.0,2253000000.0,2253000000.0,13.31,0.2126,0.1158,0.0749,0.0657,0.0865,5227000000.0,3967000000.0,13.3223,13.3776,13.3776,2253000000.0,2253000000.0,0.1525,0.123,NOC
2019-12-31 00:00:00,33841000000.0,26582000000.0,7259000000.0,3290000000.0,3969000000.0,,-1421000000.0,528000000.0,2548000000.0,300000000.0,2248000000.0,2248000000.0,13.24,0.2145,0.1173,0.0753,0.0664,0.0896,5234000000.0,3969000000.0,13.2236,13.2782,13.2782,2248000000.0,2248000000.0,0.1547,0.127,NOC
2019-09-30 00:00:00,33276000000.0,26436000000.0,6840000000.0,3064000000.0,3776000000.0,,-256000000.0,540000000.0,3520000000.0,507000000.0,3013000000.0,3013000000.0,17.74,0.2056,0.1135,0.1058,0.0905,0.0888,4966000000.0,3776000000.0,17.6967,17.771,17.771,3013000000.0,3013000000.0,0.1492,0.1265,NOC
2019-06-30 00:00:00,32886000000.0,25784000000.0,7102000000.0,3105000000.0,3997000000.0,,-168000000.0,550000000.0,3829000000.0,505000000.0,3324000000.0,3324000000.0,18.79,0.216,0.1215,0.1164,0.1011,0.0791,5122000000.0,3997000000.0,19.3178,19.3989,19.3989,3324000000.0,3324000000.0,0.1558,0.1181,NOC
2019-03-31 00:00:00,31549000000.0,24621000000.0,6928000000.0,3060000000.0,3868000000.0,,-91000000.0,557000000.0,3777000000.0,525000000.0,3252000000.0,3252000000.0,17.67,0.2196,0.1226,0.1197,0.1031,0.061,4848000000.0,3868000000.0,18.7603,18.8467,18.8467,3252000000.0,3252000000.0,0.1537,0.0999,NOC
