Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12360000000.0,7660000000.0,4700000000.0,2566000000.0,4757000000.0,680000000.0,57000000.0,680000000.0,4077000000.0,837000000.0,3240000000.0,3239000000.0,13.58,0.3803,0.3849,0.3299,0.2621,0.2311,5910000000.0,4757000000.0,13.5849,13.6396,13.6396,3240000000.0,3239000000.0,0.4782,0.3532,NSC
2022-06-30 00:00:00,11869000000.0,7293000000.0,4576000000.0,2440000000.0,4621000000.0,667000000.0,61000000.0,667000000.0,3970000000.0,935000000.0,3035000000.0,3033000000.0,12.54,0.3855,0.3893,0.3345,0.2555,0.226,5777000000.0,4621000000.0,12.5469,12.6012,12.6012,3035000000.0,3033000000.0,0.4867,0.3513,NSC
2022-03-31 00:00:00,11418000000.0,6000000000.0,5418000000.0,2450000000.0,4517000000.0,658000000.0,-79000000.0,658000000.0,3924000000.0,889000000.0,3035000000.0,3034000000.0,12.38,0.4745,0.3956,0.3437,0.2657,0.2451,5691000000.0,4517000000.0,12.3745,12.4316,12.4316,3035000000.0,3034000000.0,0.4984,0.3708,NSC
2021-12-31 00:00:00,11142000000.0,4885000000.0,6257000000.0,2442000000.0,4447000000.0,646000000.0,-229000000.0,646000000.0,3878000000.0,873000000.0,3005000000.0,3003000000.0,12.11,0.5616,0.3991,0.3481,0.2695,0.2642,5617000000.0,4447000000.0,12.1121,12.1709,12.1709,3005000000.0,3004000000.0,0.5041,0.3819,NSC
2021-09-30 00:00:00,10863000000.0,3871000000.0,6992000000.0,2431000000.0,4302000000.0,641000000.0,-373000000.0,641000000.0,3760000000.0,844000000.0,2916000000.0,2914000000.0,11.63,0.6437,0.396,0.3461,0.2683,0.2664,5467000000.0,4302000000.0,11.6196,11.6777,11.6777,2916000000.0,2915000000.0,0.5033,0.3851,NSC
2021-06-30 00:00:00,10517000000.0,2945000000.0,7572000000.0,2400000000.0,4006000000.0,632000000.0,-508000000.0,632000000.0,3498000000.0,766000000.0,2732000000.0,2729000000.0,10.8,0.72,0.3809,0.3326,0.2595,0.2597,5172000000.0,4006000000.0,10.7854,10.8429,10.8429,2732000000.0,2732000000.0,0.4918,0.3781,NSC
2021-03-31 00:00:00,9803000000.0,2838000000.0,6965000000.0,2362000000.0,3449000000.0,627000000.0,-489000000.0,627000000.0,2960000000.0,655000000.0,2305000000.0,2302000000.0,9.05,0.7105,0.3518,0.3019,0.2348,0.2567,4603000000.0,3449000000.0,9.0365,9.0872,9.0872,2305000000.0,2305000000.0,0.4696,0.3771,NSC
2020-12-31 00:00:00,9789000000.0,2875000000.0,6914000000.0,2373000000.0,3002000000.0,625000000.0,-472000000.0,625000000.0,2530000000.0,517000000.0,2013000000.0,2010000000.0,7.86,0.7063,0.3067,0.2585,0.2053,0.2529,4156000000.0,3002000000.0,7.8449,7.891,7.891,2013000000.0,2013000000.0,0.4246,0.3715,NSC
2020-09-30 00:00:00,9906000000.0,2973000000.0,6933000000.0,2416000000.0,2980000000.0,617000000.0,-489000000.0,617000000.0,2491000000.0,483000000.0,2008000000.0,2004000000.0,7.77,0.6999,0.3008,0.2515,0.2023,0.2493,4132000000.0,2980000000.0,7.7682,7.8206,7.8206,2008000000.0,2008000000.0,0.4171,0.3697,NSC
2020-06-30 00:00:00,10241000000.0,3055000000.0,7186000000.0,2520000000.0,3136000000.0,,-501000000.0,612000000.0,2635000000.0,539000000.0,2096000000.0,2093000000.0,8.04,0.7017,0.3062,0.2573,0.2044,0.2289,4282000000.0,3136000000.0,8.0322,8.0924,8.0924,2096000000.0,2096000000.0,0.4181,0.3611,NSC
2020-03-31 00:00:00,11081000000.0,3312000000.0,7769000000.0,2646000000.0,3591000000.0,,-525000000.0,609000000.0,3066000000.0,640000000.0,2426000000.0,2421000000.0,9.21,0.7011,0.3241,0.2767,0.2185,0.2194,4739000000.0,3591000000.0,9.2082,9.2842,9.2842,2426000000.0,2426000000.0,0.4277,0.3579,NSC
2019-12-31 00:00:00,11296000000.0,3418000000.0,7878000000.0,2751000000.0,3989000000.0,,-498000000.0,604000000.0,3491000000.0,769000000.0,2722000000.0,2717000000.0,10.25,0.6974,0.3531,0.309,0.2405,0.1992,5128000000.0,3989000000.0,10.2485,10.338,10.338,2722000000.0,2722000000.0,0.454,0.3445,NSC
2019-09-30 00:00:00,11502000000.0,3385000000.0,8117000000.0,2878000000.0,4105000000.0,,-512000000.0,600000000.0,3593000000.0,835000000.0,2758000000.0,2752000000.0,10.27,0.7057,0.3569,0.3124,0.2393,0.1837,5241000000.0,4105000000.0,10.2598,10.349,10.349,2758000000.0,2758000000.0,0.4557,0.3338,NSC
2019-06-30 00:00:00,11608000000.0,3434000000.0,8174000000.0,2921000000.0,4129000000.0,,-496000000.0,592000000.0,3633000000.0,830000000.0,2803000000.0,2796000000.0,10.3,0.7042,0.3557,0.313,0.2409,0.1833,5254000000.0,4129000000.0,10.2974,10.3904,10.3904,2803000000.0,2803000000.0,0.4526,0.3318,NSC
