Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6987000000.0,356500000.0,6909200000.0,4823700000.0,2085499700.0,2087000000.0,498800000.0,1586700100.0,1532000000.0,7.34,0.9889,0.0,0.2987,0.2193,-0.0551,7.5993,7.6234,7.6234,1586700100.0,1574000000.0,0.0,0.0404,NTRS
2022-06-30 00:00:00,6869000000.0,75100000.0,6788200000.0,4709100000.0,2079099600.0,2080000000.0,491500000.0,1587600100.0,1534000000.0,7.34,0.9882,0.0,0.3028,0.2233,0.1508,7.6033,7.6303,7.6303,1587600100.0,1575000000.0,0.0,0.2416,NTRS
2022-03-31 00:00:00,6677800000.0,16500000.0,6599800000.0,4574800000.0,2024999400.0,2025500000.0,465500000.0,1559500100.0,1509400000.0,7.21,0.9883,0.0,0.3033,0.226,0.221,7.4666,7.4956,7.4956,1559500100.0,1550100000.0,0.0,0.3047,NTRS
2021-12-31 00:00:00,6550000000.0,23800000.0,6464500000.0,4454400000.0,2010099500.0,2010400000.0,464800000.0,1545300100.0,1494600000.0,7.15,0.9869,0.0,0.3069,0.2282,0.1284,7.3974,7.4266,7.4266,1545300100.0,1539200000.0,0.0,0.207,NTRS
2021-09-30 00:00:00,6358100000.0,40400000.0,6319400000.0,4445500000.0,1873899700.0,1873799900.0,494100000.0,1379800000.0,1323600000.0,6.37,0.9939,0.0,0.2947,0.2082,0.0435,6.6032,6.6281,6.6281,1379800000.0,1377100100.0,0.0,0.1243,NTRS
2021-06-30 00:00:00,6233000000.0,62300000.0,6170700000.0,4425000000.0,1745699800.0,1745699900.0,467100000.0,1278600000.0,1224900000.0,5.89,0.99,0.0,0.2801,0.1965,-0.0439,6.1204,6.1419,6.1419,1278600000.0,1278600100.0,0.0,0.037,NTRS
2021-03-31 00:00:00,6185500000.0,89000000.0,6096500000.0,4434100000.0,1662400000.0,1662399900.0,438600000.0,1223800000.0,1170000000.0,5.63,0.9856,0.0,0.2688,0.1892,0.6656,5.8624,5.8811,5.8811,1223800000.0,1223800100.0,0.0,0.7518,NTRS
2020-12-31 00:00:00,6301100000.0,200300000.0,6100800000.0,4473200000.0,1627600100.0,1627599900.0,418300000.0,1209300000.0,1141000000.0,5.48,0.9682,0.0,0.2583,0.1811,0.2121,5.7858,5.805,5.805,1209300000.0,1209300100.0,0.0,0.301,NTRS
2020-09-30 00:00:00,6464000000.0,337400000.0,6126600000.0,4396000000.0,1730600500.0,1730600000.0,391100000.0,1339499900.0,1261400000.0,6.06,0.9478,0.0,0.2677,0.1951,0.2199,6.3815,6.4068,6.4068,1339499900.0,1339499900.0,0.0,0.3182,NTRS
2020-06-30 00:00:00,6693100000.0,513700000.0,6179400000.0,4330100000.0,1849300500.0,1849300000.0,419700000.0,1429599900.0,1350300000.0,6.44,0.9232,0.0,0.2763,0.2017,0.3114,6.7658,6.7958,6.7958,1429599900.0,1429599900.0,0.0,0.4052,NTRS
