Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-10-31 00:00:00,28566000000.0,12043000000.0,16523000000.0,6854000000.0,2378000000.0,5938000000.0,,-180000000.0,259000000.0,5758000000.0,-198000000.0,5956000000.0,5956000000.0,,0.5784,0.2079,0.2016,0.2085,0.169,,5938000000.0,2.3528,2.3816,2.3816,5956000000.0,5956000000.0,0.0,0.225,NVDA
2022-07-31 00:00:00,29738000000.0,11761000000.0,17977000000.0,6312000000.0,2304000000.0,8008000000.0,256000000.0,-225000000.0,256000000.0,7783000000.0,43000000.0,7740000000.0,7740000000.0,3.1,0.6045,0.2693,0.2617,0.2603,0.2106,9327000000.0,8008000000.0,3.0515,3.0937,3.0937,7740000000.0,7740000000.0,0.3136,0.254,NVDA
2022-04-30 00:00:00,29541000000.0,10264000000.0,19277000000.0,5733000000.0,2238000000.0,9953000000.0,251000000.0,-251000000.0,251000000.0,9702000000.0,244000000.0,9458000000.0,9458000000.0,3.79,0.6526,0.3369,0.3284,0.3202,0.2683,11180000000.0,9953000000.0,3.7284,3.7831,3.7831,9458000000.0,9458000000.0,0.3785,0.3035,NVDA
2022-01-31 00:00:00,26914000000.0,9439000000.0,17475000000.0,5268000000.0,2166000000.0,10041000000.0,236000000.0,-100000000.0,236000000.0,9941000000.0,189000000.0,9752000000.0,9752000000.0,3.91,0.6493,0.3731,0.3694,0.3623,0.3021,11215000000.0,10041000000.0,3.8469,3.9071,3.9071,9752000000.0,9752000000.0,0.4167,0.3384,NVDA
2021-10-31 00:00:00,24274000000.0,8642000000.0,15632000000.0,4946000000.0,2108000000.0,8578000000.0,228000000.0,-31000000.0,227000000.0,8547000000.0,340000000.0,8207000000.0,8207000000.0,3.2975,0.644,0.3534,0.3521,0.3381,0.2948,9731000000.0,8578000000.0,3.2435,3.2977,3.2977,8207000000.0,8207000000.0,0.4009,0.3354,NVDA
2021-07-31 00:00:00,21897000000.0,7936000000.0,13961000000.0,4590000000.0,2066000000.0,7305000000.0,219000000.0,-48000000.0,218000000.0,7257000000.0,178000000.0,7079000000.0,7079000000.0,2.8475,0.6376,0.3336,0.3314,0.3233,0.3044,8459000000.0,7305000000.0,2.8029,2.8522,2.8522,7079000000.0,7079000000.0,0.3863,0.3609,NVDA
2021-04-30 00:00:00,19256000000.0,7235000000.0,12021000000.0,4342000000.0,2167000000.0,5512000000.0,213000000.0,-40000000.0,212000000.0,5472000000.0,145000000.0,5327000000.0,5327000000.0,2.15,0.6243,0.2862,0.2842,0.2766,0.2865,6784000000.0,5512000000.0,2.1137,2.1523,2.1523,5327000000.0,5327000000.0,0.3523,0.3525,NVDA
2021-01-31 00:00:00,16675000000.0,6279000000.0,10396000000.0,3924000000.0,1940000000.0,4532000000.0,185000000.0,-123000000.0,184000000.0,4409000000.0,77000000.0,4332000000.0,4332000000.0,1.7525,0.6234,0.2718,0.2644,0.2598,0.2815,5630000000.0,4532000000.0,1.726,1.756,1.756,4332000000.0,4332000000.0,0.3376,0.3491,NVDA
2020-10-31 00:00:00,14777000000.0,5523000000.0,9254000000.0,3518000000.0,1721000000.0,4015000000.0,144000000.0,-61000000.0,145000000.0,3954000000.0,128000000.0,3826000000.0,3826000000.0,1.5525,0.6262,0.2717,0.2676,0.2589,0.2863,4931000000.0,4015000000.0,1.5307,1.5554,1.5554,3826000000.0,3826000000.0,0.3337,0.3533,NVDA
2020-07-31 00:00:00,13065000000.0,4855000000.0,8210000000.0,3183000000.0,1483000000.0,3544000000.0,,21000000.0,105000000.0,3565000000.0,176000000.0,3389000000.0,3389000000.0,1.38,0.6284,0.2713,0.2729,0.2594,0.3797,4253000000.0,3544000000.0,1.3642,1.3833,1.3833,3389000000.0,3389000000.0,0.3255,0.4272,NVDA
2020-04-30 00:00:00,11778000000.0,4302000000.0,7476000000.0,2890000000.0,1122000000.0,3464000000.0,,98000000.0,64000000.0,3562000000.0,243000000.0,3319000000.0,3319000000.0,1.355,0.6347,0.2941,0.3024,0.2818,0.3765,3861000000.0,3464000000.0,1.3398,1.3575,1.3575,3319000000.0,3319000000.0,0.3278,0.4203,NVDA
2020-01-31 00:00:00,10918000000.0,4150000000.0,6768000000.0,2829000000.0,1093000000.0,2846000000.0,,124000000.0,52000000.0,2970000000.0,174000000.0,2796000000.0,2796000000.0,1.145,0.6199,0.2607,0.272,0.2561,0.3913,3227000000.0,2846000000.0,1.1311,1.1464,1.1464,2796000000.0,2796000000.0,0.2956,0.4361,NVDA
