Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14057000000.0,6795000000.0,7263000000.0,4314133000.0,2948155400.0,150000000.0,14000000.0,3000000.0,2796000000.0,633000000.0,2163051100.0,2163000000.0,32.76,0.5167,0.2097,0.1989,0.1539,0.1791,3296000000.0,2948155900.0,32.753,33.0546,33.0546,2163051100.0,2163000000.0,0.2345,0.2131,ORLY
2022-06-30 00:00:00,13738000000.0,6592000000.0,7146000000.0,4247365000.0,2898560400.0,142000000.0,12000000.0,2000000.0,2755000000.0,619000000.0,2136265100.0,2137000000.0,31.66,0.5202,0.211,0.2005,0.1556,0.1784,3235000000.0,2898560900.0,31.6538,31.9469,31.9469,2136265100.0,2137000000.0,0.2355,0.2101,ORLY
2022-03-31 00:00:00,13532601000.0,6445223000.0,7087378000.0,4191992000.0,2895593400.0,143000000.0,-30249000.0,38657000.0,2759334000.0,613883000.0,2144956100.0,2145451000.0,31.29,0.5237,0.214,0.2039,0.1585,0.1896,3226880000.0,2895593900.0,31.2054,31.499,31.499,2144956100.0,2145451000.0,0.2385,0.2222,ORLY
2021-12-31 00:00:00,13327500000.0,6307327000.0,7020173000.0,4103140000.0,2917168400.0,146000000.0,-69527000.0,75163000.0,2782161000.0,617101000.0,2164685100.0,2165060000.0,31.25,0.5267,0.2189,0.2088,0.1625,0.2081,3246812000.0,2917168900.0,31.0969,31.3873,31.3873,2164685100.0,2165060000.0,0.2436,0.2407,ORLY
2021-09-30 00:00:00,12865274000.0,6106962000.0,6757312000.0,3982351000.0,2775560500.0,149000000.0,-102870000.0,113512000.0,2638090000.0,599085000.0,2038657100.0,2039005100.0,29.06,0.5252,0.2157,0.2051,0.1585,0.2037,3099490500.0,2775560000.0,28.8522,29.1148,29.1148,2038657100.0,2039005100.0,0.2409,0.2373,ORLY
2021-06-30 00:00:00,12592912000.0,5973132000.0,6619780000.0,3873806000.0,2745974300.0,156000000.0,-142477000.0,155180000.0,2603496000.0,596239000.0,2007257100.0,2007257100.0,28.12,0.5257,0.2181,0.2067,0.1594,0.2035,3072288500.0,2745973800.0,27.8529,28.1052,28.1052,2007257100.0,2007257100.0,0.244,0.2375,ORLY
2021-03-31 00:00:00,12218906000.0,5788324000.0,6430582000.0,3743701000.0,2686881300.0,160000000.0,-144308000.0,159246000.0,2542572000.0,589099000.0,1953473100.0,1953473100.0,26.87,0.5263,0.2199,0.2081,0.1599,0.2338,3011925500.0,2686880800.0,26.6254,26.8605,26.8605,1953473100.0,1953473100.0,0.2465,0.2675,ORLY
2020-12-31 00:00:00,11604494000.0,5518801000.0,6085693000.0,3666356000.0,2419337300.0,161000000.0,-152931000.0,161126000.0,2266405000.0,514103000.0,1752302100.0,1752302100.0,23.74,0.5244,0.2085,0.1953,0.151,0.2057,2738552500.0,2419336800.0,23.5327,23.7384,23.7384,1752302100.0,1752302100.0,0.236,0.2444,ORLY
2020-09-30 00:00:00,11258695000.0,5320557000.0,5938138000.0,3611571100.0,2326567300.0,158000000.0,-150778000.0,158065000.0,2175789000.0,491516000.0,1684273000.0,1684273000.0,22.58,0.5274,0.2066,0.1933,0.1496,0.1839,2632888400.0,2326567600.0,22.3826,22.5857,22.5857,1684273000.0,1684273000.0,0.2339,0.2281,ORLY
2020-06-30 00:00:00,10717585000.0,5037385000.0,5680200000.0,3542283100.0,2137917400.0,,-146641000.0,152255000.0,1991276000.0,442962000.0,1548314000.0,1548314000.0,20.59,0.53,0.1995,0.1858,0.1445,0.1728,2432571500.0,2137917700.0,20.3974,20.5896,20.5896,1548314000.0,1548314000.0,0.227,0.2258,ORLY
