Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,80372000000.0,37412000000.0,42960000000.0,33060000000.0,13259000000.0,,-392000000.0,1798000000.0,13398000000.0,2231000000.0,9784000000.0,11094000000.0,8.0,0.5345,0.165,0.1667,0.138,0.0769,16943000000.0,13259000000.0,7.0393,7.0784,7.0784,9784000000.0,11167000000.0,0.2108,0.1335,PEP
2022-08-31 00:00:00,83649000000.0,39234000000.0,44415000000.0,,,1724000000.0,-1212000000.0,,11787000000.0,2003000000.0,,9714000000.0,6.99,0.531,0.0,0.1409,0.1161,0.1349,16382000000.0,,,,,,9784000000.0,0.1958,0.1349,PEP
2022-06-30 00:00:00,81862000000.0,38372000000.0,43490000000.0,32401000000.0,13065000000.0,1765000000.0,-1432000000.0,1840000000.0,11633000000.0,2330000000.0,9303000000.0,9236000000.0,6.64,0.5313,0.1596,0.1421,0.1128,0.0819,16265000000.0,13065000000.0,6.6901,6.7275,6.7275,9303000000.0,9303000000.0,0.1987,0.1363,PEP
2022-03-31 00:00:00,81824000000.0,38302000000.0,43522000000.0,32660000000.0,14117000000.0,1770000000.0,-1008000000.0,1845000000.0,12839000000.0,2739000000.0,10229000000.0,10031000000.0,7.22,0.5319,0.1725,0.1569,0.1226,0.1086,17274000000.0,14117000000.0,7.358,7.3976,7.3976,10229000000.0,10100000000.0,0.2111,0.1637,PEP
2021-12-31 00:00:00,84841000000.0,39749000000.0,45092000000.0,33046000000.0,11162000000.0,1811000000.0,-1017000000.0,1863000000.0,10692000000.0,2493000000.0,7679000000.0,8128000000.0,5.86,0.5315,0.1316,0.126,0.0958,0.1434,15252000000.0,11162000000.0,5.5283,5.5565,5.5565,7679000000.0,8199000000.0,0.1798,0.196,PEP
2021-09-30 00:00:00,74413000000.0,34290000000.0,40123000000.0,28327000000.0,11426000000.0,,-181000000.0,1070000000.0,11278000000.0,2697000000.0,8197000000.0,8520000000.0,6.15,0.5392,0.1535,0.1516,0.1145,0.0881,14649000000.0,11426000000.0,5.9026,5.9343,5.9343,8197000000.0,8581000000.0,0.1969,0.1469,PEP
2021-08-31 00:00:00,76679000000.0,35322000000.0,41357000000.0,29894000000.0,,1126000000.0,-536000000.0,,10590000000.0,2393000000.0,,8141000000.0,5.88,0.5394,0.0,0.1381,0.1062,0.1451,14841000000.0,,,,,,8197000000.0,0.1935,0.1451,PEP
2021-06-30 00:00:00,74583000000.0,34133000000.0,40450000000.0,29172000000.0,11278000000.0,1257000000.0,-900000000.0,1102000000.0,10378000000.0,2117000000.0,8261000000.0,8208000000.0,5.92,0.5423,0.1512,0.1391,0.1101,0.0964,14615000000.0,11278000000.0,5.9475,5.9782,5.9782,8261000000.0,8261000000.0,0.196,0.1541,PEP
2021-03-31 00:00:00,73457000000.0,33408000000.0,40049000000.0,28831000000.0,10468000000.0,1373000000.0,-533000000.0,1096000000.0,10197000000.0,2001000000.0,7547000000.0,8141000000.0,5.87,0.5452,0.1425,0.1388,0.1108,0.1214,14390000000.0,10468000000.0,5.4288,5.4572,5.4572,7547000000.0,8196000000.0,0.1959,0.1782,PEP
2020-12-31 00:00:00,74582000000.0,33825000000.0,40757000000.0,29532000000.0,10080000000.0,1263000000.0,-546000000.0,1128000000.0,10191000000.0,2060000000.0,7175000000.0,8073000000.0,5.81,0.5465,0.1352,0.1366,0.1082,0.1587,14327000000.0,10080000000.0,5.1544,5.1805,5.1805,7175000000.0,8131000000.0,0.1921,0.2148,PEP
