Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,99879000000.0,37531000000.0,62348000000.0,13727000000.0,13136000000.0,33554000000.0,1241000000.0,5957000000.0,128000000.0,33325000000.0,3347000000.0,29978000000.0,29767000000.0,5.2,0.6242,0.3359,0.3337,0.298,0.2736,40791000000.0,33554000000.0,5.23,-0.0332,5.3153,-0.0332,5.34,29979000000.0,-182000000.0,29979000000.0,0.4084,0.306,PFE
2022-06-30 00:00:00,101335000000.0,41465000000.0,59870000000.0,14478000000.0,12500000000.0,30758000000.0,1255000000.0,6044000000.0,68000000.0,32160000000.0,2660000000.0,29504000000.0,29284000000.0,5.11,0.5908,0.3035,0.3174,0.289,0.2806,38238000000.0,30758000000.0,5.15,-0.0318,5.232,-0.0318,5.25,29505000000.0,-174000000.0,29501000000.0,0.3773,0.3104,PFE
2022-03-31 00:00:00,92492000000.0,39395000000.0,53097000000.0,13902000000.0,12375000000.0,24145000000.0,1278000000.0,6366000000.0,51000000.0,27662000000.0,2213000000.0,25453000000.0,24975000000.0,4.37,0.5741,0.261,0.2991,0.27,0.3436,31030000000.0,24145000000.0,4.44,-0.0818,4.4584,-0.0818,4.53,25453000000.0,-444000000.0,25213000000.0,0.3355,0.3739,PFE
2021-12-31 00:00:00,81347000000.0,32754000000.0,48593000000.0,13595000000.0,12559000000.0,19433000000.0,1292000000.0,6778000000.0,41000000.0,24304000000.0,1849000000.0,22459000000.0,21979000000.0,3.86,0.5974,0.2389,0.2988,0.2702,0.3672,25696000000.0,19433000000.0,3.93,-0.08,3.9323,-0.08,4.0,22459000000.0,-434000000.0,22220000000.0,0.3159,0.4005,PFE
2021-09-30 00:00:00,68936000000.0,24787000000.0,44149000000.0,11023000000.0,12194000000.0,17145000000.0,1324000000.0,5068000000.0,44000000.0,21075000000.0,1536000000.0,19543000000.0,19432000000.0,3.38,0.6404,0.2487,0.3057,0.2819,0.4318,22950000000.0,17145000000.0,3.43,-0.0121,3.4812,-0.0021,3.47,19543000000.0,-53000000.0,19499000000.0,0.3329,0.4684,PFE
2021-06-30 00:00:00,55119000000.0,15871000000.0,39248000000.0,9876000000.0,12097000000.0,13446000000.0,1415000000.0,363000000.0,53000000.0,13809000000.0,1520000000.0,12289000000.0,12755000000.0,2.35,0.7121,0.2439,0.2505,0.2314,0.3836,18277000000.0,13446000000.0,2.16,0.0902,2.2924,0.1002,2.18,12289000000.0,520000000.0,12809000000.0,0.3316,0.4273,PFE
2021-03-31 00:00:00,46084000000.0,10701000000.0,35383000000.0,9715000000.0,11833000000.0,9912000000.0,1471000000.0,-25000000.0,,9886000000.0,819000000.0,9067000000.0,10681000000.0,1.97,0.7678,0.2151,0.2145,0.2318,0.2924,14634000000.0,9912000000.0,1.6,0.2902,1.9236,0.3002,1.61,9068000000.0,1649000000.0,10717000000.0,0.3176,0.343,PFE
2020-12-31 00:00:00,41651000000.0,8484000000.0,33167000000.0,9393000000.0,11597000000.0,8250000000.0,1525000000.0,-1213000000.0,74000000.0,7036000000.0,370000000.0,6666000000.0,9159000000.0,1.72,0.7963,0.1981,0.1689,0.2199,0.2732,12931000000.0,8250000000.0,1.18,0.45,1.6553,0.46,1.19,6666000000.0,2529000000.0,9195000000.0,0.3105,0.3458,PFE
2020-09-30 00:00:00,32067000000.0,6216000000.0,25851000000.0,8607000000.0,10474000000.0,2619000000.0,1593000000.0,-4047000000.0,111000000.0,-1432000000.0,-1548000000.0,116000000.0,7729000000.0,1.55,0.8062,0.0817,-0.0447,0.241,0.3303,7321000000.0,2619000000.0,0.02,1.3593,1.4003,1.3693,0.02,117000000.0,7648000000.0,7765000000.0,0.2283,0.3913,PFE
2020-06-30 00:00:00,34470000000.0,6811000000.0,27659000000.0,8590000000.0,11076000000.0,3129000000.0,,5599000000.0,,8725000000.0,1846000000.0,6879000000.0,13940000000.0,2.54,0.8024,0.0908,0.2531,0.4044,0.3758,8176000000.0,3129000000.0,1.22,1.26,2.5203,1.27,1.24,6880000000.0,7092000000.0,13972000000.0,0.2372,0.4342,PFE
