Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,80461000000.0,42638000000.0,37823000000.0,20094000000.0,17729000000.0,453000000.0,572000000.0,82000000.0,17957000000.0,3327000000.0,14630000000.0,14287000000.0,5.77,0.4701,0.2203,0.2232,0.1776,0.1644,20461000000.0,17729000000.0,5.7965,,6.0994,,6.0994,14630000000.0,,14630000000.0,0.2543,0.2007,PG
2022-06-30 00:00:00,80187000000.0,42157000000.0,38030000000.0,20193000000.0,17813000000.0,439000000.0,421000000.0,51000000.0,17995000000.0,3202000000.0,14793000000.0,14461000000.0,5.81,0.4743,0.2221,0.2244,0.1803,0.1706,20471000000.0,17813000000.0,5.826,,6.1374,,6.1374,14793000000.0,,14793000000.0,0.2553,0.2086,PG
2022-03-31 00:00:00,79618000000.0,41146000000.0,38472000000.0,20693000000.0,17755000000.0,441000000.0,420000000.0,147000000.0,17909000000.0,3266000000.0,14643000000.0,14314000000.0,5.76,0.4832,0.223,0.2249,0.1798,0.1765,20522000000.0,17755000000.0,5.7468,,6.056,,6.056,14643000000.0,,14643000000.0,0.2578,0.2152,PG
2021-12-31 00:00:00,78346000000.0,39742000000.0,38604000000.0,21064000000.0,17516000000.0,438000000.0,363000000.0,244000000.0,17715000000.0,3190000000.0,14525000000.0,14231000000.0,5.73,0.4927,0.2236,0.2261,0.1816,0.1913,20274000000.0,17516000000.0,5.6704,,5.9746,,5.9746,14525000000.0,,14525000000.0,0.2588,0.2294,PG
2021-09-30 00:00:00,77138000000.0,38331000000.0,38807000000.0,21055000000.0,17728000000.0,475000000.0,-253000000.0,377000000.0,17353000000.0,3183000000.0,14170000000.0,13866000000.0,5.6,0.5031,0.2298,0.225,0.1798,0.199,20527000000.0,17728000000.0,5.4893,,5.7869,,5.7869,14170000000.0,,14170000000.0,0.2661,0.2369,PG
2021-06-30 00:00:00,76118000000.0,37108000000.0,39010000000.0,21024000000.0,17986000000.0,502000000.0,-371000000.0,502000000.0,17615000000.0,3263000000.0,14352000000.0,14035000000.0,5.68,0.5125,0.2363,0.2314,0.1844,0.2053,20721000000.0,17986000000.0,5.5179,,5.8204,,5.8204,14352000000.0,,14352000000.0,0.2722,0.2413,PG
2021-03-31 00:00:00,74870000000.0,36259000000.0,38611000000.0,20684000000.0,17927000000.0,542000000.0,-415000000.0,542000000.0,17512000000.0,3282000000.0,14230000000.0,13933000000.0,5.62,0.5157,0.2394,0.2339,0.1861,0.2186,20766000000.0,17927000000.0,5.4507,,5.7487,,5.7487,14230000000.0,,14230000000.0,0.2774,0.2545,PG
2020-12-31 00:00:00,73975000000.0,36053000000.0,37922000000.0,20327000000.0,17595000000.0,536000000.0,-462000000.0,536000000.0,17133000000.0,3195000000.0,13938000000.0,13582000000.0,5.47,0.5126,0.2379,0.2316,0.1836,0.2201,20550000000.0,17595000000.0,5.3279,,5.6217,,5.6217,13938000000.0,,13938000000.0,0.2778,0.2573,PG
2020-09-30 00:00:00,72470000000.0,35669000000.0,36801000000.0,20104000000.0,16697000000.0,493000000.0,91000000.0,493000000.0,16788000000.0,2994000000.0,13794000000.0,13447000000.0,5.41,0.5078,0.2304,0.2317,0.1856,0.2094,19658000000.0,16697000000.0,5.2648,,5.5567,,5.5567,13794000000.0,,13794000000.0,0.2713,0.248,PG
2020-06-30 00:00:00,70950000000.0,35250000000.0,35700000000.0,19994000000.0,15706000000.0,,128000000.0,465000000.0,15834000000.0,2731000000.0,13103000000.0,12764000000.0,5.13,0.5032,0.2214,0.2232,0.1799,0.2024,18719000000.0,15706000000.0,4.99,,5.2684,,5.2684,13103000000.0,,13103000000.0,0.2638,0.2453,PG
2020-03-31 00:00:00,70346000000.0,35246000000.0,35100000000.0,19722000000.0,7033000000.0,,275000000.0,419000000.0,7308000000.0,2228000000.0,5080000000.0,4725000000.0,1.91,0.499,0.1,0.1039,0.0672,0.1979,10052000000.0,7033000000.0,1.9747,,2.0483,,2.0483,5080000000.0,,5080000000.0,0.1429,0.2381,PG
2019-12-31 00:00:00,69594000000.0,34957000000.0,34637000000.0,19483000000.0,6809000000.0,,279000000.0,450000000.0,7088000000.0,2189000000.0,4899000000.0,4553000000.0,1.83,0.4977,0.0978,0.1018,0.0654,0.1917,9740000000.0,6809000000.0,1.8956,,1.9605,,1.9605,4899000000.0,,4899000000.0,0.14,0.2328,PG
