Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,15416174000.0,10884676000.0,4531498000.0,1374610000.0,3131661200.0,0.0,-29000000.0,0.0,3131661000.0,733310000.0,2398351000.0,2382257900.0,9.89,0.2939,0.2031,0.2031,0.1545,0.0057,3200525200.0,3131660700.0,9.8825,9.9273,9.9273,2398351000.0,2398351000.0,0.2076,0.0128,PHM
2022-06-30 00:00:00,14951408000.0,10660835000.0,4290573000.0,1345004000.0,2940786200.0,0.0,-8000000.0,0.0,2940786000.0,694814000.0,2245972000.0,2229772900.0,9.02,0.287,0.1967,0.1967,0.1491,0.0413,3008725100.0,2940785700.0,9.0162,9.0508,9.0508,2245972000.0,2245972000.0,0.2012,0.0482,PHM
2022-03-31 00:00:00,14384706000.0,10401077000.0,3983628800.0,1266034000.0,2715685900.0,0.0,-6000000.0,0.0,2715686000.0,618750000.0,2096936000.0,2080600900.0,8.19,0.2769,0.1888,0.1888,0.1446,0.0688,2784677800.0,2715685400.0,8.1867,8.2107,8.2107,2096936000.0,2096936000.0,0.1936,0.075,PHM
2021-12-31 00:00:00,13926882000.0,10144460000.0,3782421900.0,1208698000.0,2571314000.0,0.0,-66469000.0,1000000.0,2509845000.0,563525000.0,1946320000.0,1929984900.0,7.49,0.2716,0.1846,0.1802,0.1386,0.07,2641266900.0,2571313500.0,7.4879,7.5065,7.5065,1946320000.0,1946320000.0,0.1897,0.0752,PHM
2021-09-30 00:00:00,12760689000.0,9363862000.0,3396826800.0,1144136000.0,2239143800.0,0.0,-58469000.0,2000000.0,2177675900.0,456511000.0,1721165000.0,1708908000.0,6.5,0.2662,0.1755,0.1707,0.1339,0.0786,2309711700.0,2239144200.0,6.5226,6.5418,6.5418,1721165000.0,1721165000.0,0.181,0.0836,PHM
2021-06-30 00:00:00,12236596000.0,9025520000.0,3211075800.0,1094887000.0,2102908900.0,0.0,-56469000.0,3000000.0,2041440900.0,379427000.0,1662014000.0,1650212000.0,6.21,0.2624,0.1719,0.1668,0.1349,0.1108,2172858900.0,2102909300.0,6.234,6.2512,6.2512,1662014000.0,1662014000.0,0.1776,0.1151,PHM
2021-03-31 00:00:00,11470893000.0,8513047000.0,2957846000.0,1019459000.0,1920445200.0,3000000.0,-45469000.0,4000000.0,1858976900.0,351742000.0,1507235000.0,1496591000.0,5.59,0.2579,0.1674,0.1621,0.1305,0.1485,1988519200.0,1920445600.0,5.614,5.6299,5.6299,1507235000.0,1507235000.0,0.1734,0.1531,PHM
2020-12-31 00:00:00,11036082000.0,8257930000.0,2778151900.0,1011442000.0,1728692900.0,4000000.0,34000000.0,7000000.0,1728693900.0,321855000.0,1406839000.0,1394385000.0,5.2,0.2517,0.1566,0.1566,0.1263,0.1564,1814963900.0,1728693300.0,5.2219,5.2386,5.2386,1406839000.0,1406839000.0,0.1645,0.1617,PHM
2020-09-30 00:00:00,10860632000.0,8190028000.0,2670603600.0,993329000.0,1645822300.0,4000000.0,20000000.0,10000000.0,1640896000.0,336369000.0,1304527000.0,1292913000.0,4.81,0.2459,0.1515,0.1511,0.119,0.1563,1728245300.0,1645822800.0,4.8234,4.837,4.837,1304527000.0,1304527000.0,0.1591,0.162,PHM
2020-06-30 00:00:00,10616040000.0,8063464000.0,2552575500.0,992697000.0,1527801300.0,,21276000.0,9210000.0,1522875000.0,361642000.0,1161233000.0,1150297000.0,4.26,0.2404,0.1439,0.1435,0.1084,0.1425,1607031300.0,1527801800.0,4.2733,4.2858,4.2858,1161233000.0,1161233000.0,0.1514,0.1487,PHM
