Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8542700000.0,6392500000.0,2150199900.0,604000000.0,1488300200.0,,-119500000.0,135200000.0,1368799900.0,334000000.0,1034799900.0,1028400000.0,11.03,0.2517,0.1742,0.1602,0.1204,0.0769,1936600200.0,1488300500.0,11.0709,11.1221,11.1221,1034799900.0,1034800000.0,0.2267,0.1716,PKG
2022-06-30 00:00:00,8416900000.0,6274400000.0,2142500000.0,603300000.0,1480800200.0,,-125500000.0,142600000.0,1355299900.0,332300000.0,1022999900.0,1016600000.0,10.86,0.2545,0.1759,0.161,0.1208,0.064,1920900200.0,1480800500.0,10.9017,10.9519,10.9519,1022999900.0,1023000000.0,0.2282,0.1567,PKG
2022-03-31 00:00:00,8059500000.0,6057000000.0,2002500000.0,592900000.0,1359600200.0,149000000.0,-130200000.0,148700000.0,1229399900.0,300600000.0,928799900.0,922400000.0,9.82,0.2485,0.1687,0.1525,0.1144,0.0623,1790200200.0,1359600500.0,9.8649,9.9071,9.9071,928799900.0,928800000.0,0.2221,0.1523,PKG
2021-12-31 00:00:00,7730300000.0,5857300000.0,1873000000.0,576800000.0,1241400100.0,153000000.0,-132700000.0,152400000.0,1108699900.0,267600000.0,841099900.0,834700000.0,8.86,0.2423,0.1606,0.1434,0.108,0.0643,1663300100.0,1241400400.0,8.9004,8.9383,8.9383,841099900.0,841100000.0,0.2152,0.1415,PKG
2021-09-30 00:00:00,7401400000.0,5705000000.0,1696400200.0,566100000.0,1074899600.0,97000000.0,-81400000.0,96700000.0,993500000.0,245500000.0,748000000.0,745400000.0,7.87,0.2292,0.1452,0.1342,0.1007,0.0599,1489599600.0,1074899900.0,7.9068,7.9368,7.9368,748000000.0,748000000.0,0.2013,0.1317,PKG
2021-06-30 00:00:00,7095000000.0,5563900000.0,1531100100.0,548700000.0,931599600.0,97000000.0,-86300000.0,97200000.0,845300000.0,208900000.0,636400000.0,632800000.0,6.7,0.2158,0.1313,0.1191,0.0892,0.0712,1341099600.0,931599900.0,6.7315,6.7549,6.7549,636400000.0,636400000.0,0.189,0.1394,PKG
2021-03-31 00:00:00,6756700000.0,5348600000.0,1408100000.0,538700000.0,753099600.0,97000000.0,-90900000.0,97400000.0,662200000.0,176400000.0,485800000.0,482200000.0,5.12,0.2084,0.1115,0.098,0.0714,0.0825,1221399600.0,753099900.0,5.1408,5.1575,5.1575,485800000.0,485800000.0,0.1808,0.1462,PKG
2020-12-31 00:00:00,6658200000.0,5288800000.0,1369400000.0,539600000.0,723899700.0,93000000.0,-91200000.0,93500000.0,632700000.0,171700000.0,461000000.0,457400000.0,4.87,0.2057,0.1087,0.095,0.0687,0.0925,1191599700.0,723900000.0,4.8835,4.8991,4.8991,461000000.0,461000000.0,0.179,0.1551,PKG
2020-09-30 00:00:00,6664000000.0,5244500000.0,1419499800.0,546300000.0,769799500.0,,-130000000.0,129800000.0,639800000.0,166100000.0,473700000.0,467500000.0,5.01,0.213,0.1155,0.096,0.0702,0.1064,1251699500.0,769799800.0,5.0224,5.0408,5.0408,473700000.0,473700000.0,0.1878,0.1637,PKG
2020-06-30 00:00:00,6721000000.0,5235500000.0,1485499800.0,556100000.0,823099500.0,,-129700000.0,127000000.0,693400000.0,179000000.0,514400000.0,509200000.0,5.44,0.221,0.1225,0.1032,0.0758,0.1131,1303999500.0,823099800.0,5.4571,5.479,5.479,514400000.0,514400000.0,0.194,0.1685,PKG
2020-03-31 00:00:00,6939300000.0,5351700000.0,1587599900.0,563500000.0,987399500.0,,-129600000.0,124300000.0,857800000.0,206500000.0,651300000.0,646100000.0,6.89,0.2288,0.1423,0.1236,0.0931,0.1183,1402199500.0,987399800.0,6.9161,6.9398,6.9398,651300000.0,651300000.0,0.2021,0.1741,PKG
2019-12-31 00:00:00,6964300000.0,5320300000.0,1643999800.0,557600000.0,1053699400.0,,-136700000.0,128800000.0,917000000.0,220600000.0,696400000.0,691200000.0,7.37,0.2361,0.1513,0.1317,0.0992,0.1166,1464599400.0,1053699700.0,7.4006,7.4243,7.4243,696400000.0,696400000.0,0.2103,0.1734,PKG
2019-09-30 00:00:00,6990900000.0,5304800000.0,1686100300.0,550200000.0,1105300000.0,,-96200000.0,89700000.0,1009100000.0,244300000.0,764800000.0,761600000.0,8.1,0.2412,0.1581,0.1443,0.1089,0.1166,1499800000.0,1105300000.0,8.131,8.1522,8.1522,764800000.0,764800000.0,0.2145,0.1751,PKG
2019-06-30 00:00:00,7050100000.0,5332200000.0,1717900500.0,547500000.0,1141000200.0,,-97100000.0,92000000.0,1043900000.0,252200000.0,791700000.0,788500000.0,8.39,0.2437,0.1618,0.1481,0.1118,0.1048,1538900200.0,1141000200.0,8.4232,8.4434,8.4434,791700000.0,791700000.0,0.2183,0.1681,PKG
2019-03-31 00:00:00,7057700000.0,5347100000.0,1710600500.0,541500000.0,1130200200.0,,-97000000.0,93400000.0,1033200000.0,248500000.0,784700000.0,780100000.0,8.32,0.2424,0.1601,0.1464,0.1105,0.0982,1536300200.0,1130200200.0,8.3529,8.373,8.373,784700000.0,784700000.0,0.2177,0.172,PKG
2018-12-31 00:00:00,7014600000.0,5369300000.0,1645300600.0,536400000.0,1067700200.0,,-97200000.0,95100000.0,970500000.0,232500000.0,738000000.0,732300000.0,7.82,0.2346,0.1522,0.1384,0.1044,0.0898,1487200200.0,1067700200.0,7.8593,7.8762,7.8762,738000000.0,738000000.0,0.212,0.1682,PKG
2018-09-30 00:00:00,6952300000.0,5361100000.0,1591199900.0,539700000.0,1033399900.0,,-103400000.0,100600000.0,929999900.0,127700000.0,802300000.0,797500000.0,8.5,0.2289,0.1486,0.1338,0.1147,0.0861,1465199900.0,1033400000.0,8.5502,8.5709,8.5709,802300000.0,802300000.0,0.2108,0.1593,PKG
2018-06-30 00:00:00,6782500000.0,5237500000.0,1544999800.0,535100000.0,977499800.0,,-104700000.0,102400000.0,872799900.0,138100000.0,734700000.0,728800000.0,7.78,0.2278,0.1441,0.1287,0.1075,0.0797,1405299800.0,977499900.0,7.8342,7.851,7.851,734700000.0,734700000.0,0.2072,0.148,PKG
2018-03-31 00:00:00,6599000000.0,5110300000.0,1488699800.0,527000000.0,941999900.0,,-105900000.0,104100000.0,836099900.0,144800000.0,691300000.0,685600000.0,7.32,0.2256,0.1427,0.1267,0.1039,0.0782,1359299900.0,942000000.0,7.3748,7.3906,7.3906,691300000.0,691300000.0,0.206,0.1356,PKG
2017-12-31 00:00:00,6444900000.0,4974100000.0,1470799800.0,519900000.0,932499900.0,,-103900000.0,102600000.0,828599900.0,160000000.0,668600000.0,663000000.0,7.09,0.2282,0.1447,0.1286,0.1029,0.0822,1333899900.0,932500000.0,7.1355,7.1508,7.1508,668600000.0,668600000.0,0.207,0.1328,PKG
2017-09-30 00:00:00,6237200000.0,4810200000.0,1427000200.0,509500000.0,876000800.0,,-102800000.0,102800000.0,773200000.0,262800000.0,510400000.0,506100000.0,5.41,0.2288,0.1404,0.124,0.0811,0.0784,1261400800.0,876000400.0,5.4477,5.462,5.462,510400000.0,510400000.0,0.2022,0.1277,PKG
2017-06-30 00:00:00,6081100000.0,4721600000.0,1359500200.0,496800000.0,839800800.0,,-100500000.0,100500000.0,739300000.0,248700000.0,490600000.0,486300000.0,5.2,0.2236,0.1381,0.1216,0.08,0.0867,1215700800.0,839800400.0,5.2394,5.2532,5.2532,490600000.0,490600000.0,0.1999,0.1342,PKG
2017-03-31 00:00:00,5914500000.0,4599200000.0,1315300200.0,482000000.0,805900700.0,,-97500000.0,97500000.0,708400000.0,245100000.0,463300000.0,459000000.0,4.91,0.2224,0.1363,0.1198,0.0776,0.085,1175600700.0,805900300.0,4.9517,4.9636,4.9636,463300000.0,463300000.0,0.1988,0.1319,PKG
2016-12-31 00:00:00,5779000000.0,4502900000.0,1276100200.0,468500000.0,783300700.0,,-94800000.0,94800000.0,688500000.0,238900000.0,449600000.0,445200000.0,4.75,0.2208,0.1355,0.1191,0.077,0.0922,1149100700.0,783300300.0,4.7982,4.8086,4.8086,449600000.0,449600000.0,0.1988,0.1396,PKG
2016-09-30 00:00:00,5693300000.0,4459700000.0,1233600200.0,451400000.0,763299900.0,,-89900000.0,89900000.0,673400000.0,230300000.0,443100000.0,438600000.0,4.65,0.2167,0.1341,0.1183,0.077,0.0903,1123999900.0,763299700.0,4.7011,4.7075,4.7075,443100000.0,443100000.0,0.1974,0.144,PKG
2016-06-30 00:00:00,5680100000.0,4447700000.0,1232400200.0,447200000.0,776300000.0,,-88200000.0,88200000.0,688100000.0,236500000.0,451600000.0,446700000.0,4.7,0.217,0.1367,0.1211,0.0786,0.0964,1136700000.0,776299800.0,4.7495,4.7546,4.7546,451600000.0,451600000.0,0.2001,0.1479,PKG
2016-03-31 00:00:00,5717000000.0,4487000000.0,1230000300.0,448300000.0,773700100.0,,-87900000.0,87900000.0,685800000.0,236100000.0,449700000.0,444600000.0,4.63,0.2151,0.1353,0.12,0.0778,0.0946,1133300100.0,773699900.0,4.6838,4.6887,4.6887,449700000.0,449700000.0,0.1982,0.1489,PKG
2015-12-31 00:00:00,5741700000.0,4533700000.0,1208000300.0,451300000.0,750000200.0,,-85500000.0,85500000.0,664500000.0,227700000.0,436800000.0,431600000.0,4.46,0.2104,0.1306,0.1157,0.0752,0.0793,1114300200.0,750000000.0,4.5172,4.5218,4.5218,436800000.0,436800000.0,0.1941,0.1339,PKG
