Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,61548000000.0,46606000000.0,16534000000.0,15149000000.0,325000000.0,-112000000.0,1534000000.0,,325000000.0,-36000000.0,361000000.0,-25000000.0,293000000.0,0.72,0.2686,0.0053,0.0053,0.0048,0.1481,1564000000.0,325000000.0,0.9367,,0.9678,,0.9678,336000000.0,,301000000.0,0.0254,0.1481,PRU
2022-06-30 00:00:00,62709000000.0,45152000000.0,19149000000.0,15521000000.0,2568000000.0,-73000000.0,1495000000.0,,2568000000.0,371000000.0,2197000000.0,-6000000.0,2089000000.0,5.4,0.3054,0.041,0.041,0.0333,0.1635,3975000000.0,2568000000.0,5.7644,,5.8271,,5.8271,2191000000.0,,2138000000.0,0.0634,0.1635,PRU
2022-03-31 00:00:00,67197000000.0,44604000000.0,22593000000.0,15681000000.0,5852000000.0,-43000000.0,1465000000.0,,5852000000.0,969000000.0,4883000000.0,63000000.0,4818000000.0,12.33,0.3362,0.0871,0.0871,0.0717,0.1951,7104000000.0,5852000000.0,12.8314,,12.9366,,12.9366,4946000000.0,,4899000000.0,0.1057,0.1951,PRU
2021-12-31 00:00:00,70934000000.0,44814000000.0,26120000000.0,15679000000.0,9381000000.0,-55000000.0,1477000000.0,,9381000000.0,1674000000.0,7707000000.0,87000000.0,7684000000.0,19.45,0.3682,0.1322,0.1322,0.1083,0.1383,10645000000.0,9381000000.0,19.9795,,20.129,,20.129,7794000000.0,,7754000000.0,0.1501,0.1383,PRU
2021-09-30 00:00:00,70539000000.0,45995000000.0,24544000000.0,15651000000.0,8893000000.0,-1501000000.0,1501000000.0,,8893000000.0,1416000000.0,7477000000.0,97000000.0,7311000000.0,18.39,0.3479,0.1261,0.1261,0.1036,0.0279,8989000000.0,8893000000.0,19.2273,,19.3284,,19.3284,7574000000.0,,7550000000.0,0.1274,0.0279,PRU
2021-06-30 00:00:00,64323000000.0,40092000000.0,24231000000.0,15697000000.0,8534000000.0,-1533000000.0,1533000000.0,1462000000.0,8534000000.0,1107000000.0,7427000000.0,89000000.0,7292000000.0,18.25,0.3767,0.1327,0.1327,0.1134,-0.0629,8653000000.0,8534000000.0,18.9763,,19.0631,,19.0631,7516000000.0,,7516000000.0,0.1345,-0.0629,PRU
2021-03-31 00:00:00,60521000000.0,41383000000.0,19138000000.0,15709000000.0,3429000000.0,-1559000000.0,1559000000.0,-2668000000.0,3429000000.0,613000000.0,2816000000.0,112000000.0,2725000000.0,6.73,0.3162,0.0567,0.0567,0.045,-0.1602,3587000000.0,3429000000.0,7.3423,,7.3866,,7.3866,2928000000.0,,2928000000.0,0.0593,-0.1602,PRU
2020-12-31 00:00:00,57033000000.0,41222000000.0,15811000000.0,16134000000.0,-323000000.0,-1570000000.0,1570000000.0,-5524000000.0,-323000000.0,-81000000.0,-242000000.0,96000000.0,-374000000.0,-0.99,0.2772,-0.0057,-0.0057,-0.0066,0.1467,134000000.0,-323000000.0,-0.3689,,-0.3689,,-0.3689,-146000000.0,,-146000000.0,0.0023,0.1467,PRU
2020-09-30 00:00:00,60227000000.0,43678000000.0,16549000000.0,16428000000.0,121000000.0,-1569000000.0,1569000000.0,-4753000000.0,121000000.0,228000000.0,-107000000.0,77000000.0,-65000000.0,-0.24,0.2748,0.002,0.002,-0.0011,0.28,677000000.0,121000000.0,-0.1811,,-0.1303,,-0.1303,-30000000.0,,-30000000.0,0.0112,0.28,PRU
2020-06-30 00:00:00,59907000000.0,43156000000.0,16751000000.0,16352000000.0,399000000.0,,,,399000000.0,610000000.0,-211000000.0,99000000.0,-134000000.0,-0.49,0.2796,0.0067,0.0067,-0.0022,0.4136,1331000000.0,399000000.0,-0.4877,,-0.4162,,-0.4162,-112000000.0,,-112000000.0,0.0222,0.4136,PRU
