Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1206429000.0,338957000.0,867472000.0,76665000.0,470146000.0,-146371000.0,146227000.0,113178000.0,323775000.0,,323775000.0,68597000.0,455461000.0,2.65,0.719,0.3897,0.2684,0.3775,0.0194,768379000.0,470146000.0,2.6792,,2.6861,,2.6861,460633000.0,,460633000.0,0.6369,0.5629,REG
2022-06-30 00:00:00,1209815000.0,330701000.0,879114000.0,74181000.0,489220000.0,-144977000.0,145859000.0,132739000.0,344243000.0,,344243000.0,71631000.0,485289000.0,2.83,0.7267,0.4044,0.2845,0.4011,-0.0619,781322000.0,489220000.0,2.8579,,2.8656,,2.8656,490634000.0,,490634000.0,0.6458,0.5471,REG
2022-03-31 00:00:00,1194891000.0,328264000.0,866627000.0,75723000.0,479764000.0,-136759000.0,144972000.0,140146000.0,343005000.0,,343005000.0,48224000.0,475983000.0,2.78,0.7253,0.4015,0.2871,0.3983,0.0338,766231000.0,479764000.0,2.8122,,2.8197,,2.8197,481479000.0,,481479000.0,0.6413,0.5548,REG
2021-12-31 00:00:00,1166161000.0,326682000.0,839479000.0,78218000.0,452179000.0,-132977000.0,145170000.0,,319202000.0,,319202000.0,47086000.0,361411000.0,2.11,0.7199,0.3878,0.2737,0.3099,0.0769,738577000.0,452179000.0,2.1458,,2.1516,,2.1516,366288000.0,,366288000.0,0.6333,0.5654,REG
2021-09-30 00:00:00,1127696900.0,323721000.0,803975900.0,78775000.0,401222900.0,-92365000.0,146814000.0,41435000.0,308858000.0,,308858000.0,38155000.0,332039000.0,1.95,0.7129,0.3558,0.2739,0.2944,0.357,693024900.0,401223000.0,1.9792,,1.983,,1.983,336521000.0,,336521000.0,0.6145,0.5613,REG
2021-06-30 00:00:00,1063265900.0,321757000.0,741508900.0,80568000.0,327217900.0,-114289000.0,151615000.0,42164000.0,212929000.0,,212929000.0,32028000.0,227321000.0,1.33,0.6974,0.3077,0.2003,0.2138,0.4343,628247900.0,327218000.0,1.3608,,1.3627,,1.3627,230983000.0,,230983000.0,0.5909,0.5709,REG
2021-03-31 00:00:00,1007219900.0,316569000.0,690650900.0,82583000.0,262200900.0,-116586000.0,156178000.0,60388000.0,145615000.0,,145615000.0,34417000.0,150877000.0,0.88,0.6857,0.2603,0.1446,0.1498,0.3549,570979900.0,262201000.0,0.907,,0.908,,0.908,153725000.0,,153725000.0,0.5669,0.5091,REG
2020-12-31 00:00:00,1016174900.0,313077000.0,703097900.0,75001000.0,137426900.0,-124279000.0,156678000.0,,13148000.0,,13148000.0,34169000.0,44889000.0,0.26,0.6919,0.1352,0.0129,0.0442,0.2967,583937900.0,137427000.0,0.2793,,0.2796,,0.2796,47317000.0,,47317000.0,0.5746,0.4912,REG
2020-09-30 00:00:00,1046447900.0,312155000.0,734293000.0,72751000.0,170256000.0,-191536000.0,156691000.0,49577000.0,-21280000.0,,-21280000.0,39641000.0,46693000.0,0.27,0.7017,0.1627,-0.0203,0.0446,0.276,619873900.0,170256000.0,0.2916,,0.2915,,0.2915,49232000.0,,49232000.0,0.5924,0.5031,REG
2020-06-30 00:00:00,1085779900.0,310168000.0,775612000.0,69874000.0,206793000.0,-172690000.0,154150000.0,46782000.0,34103000.0,,34103000.0,31242000.0,90970000.0,0.54,0.7143,0.1905,0.0314,0.0838,0.1036,660442900.0,206793000.0,0.5583,,0.5589,,0.5589,93866000.0,,93866000.0,0.6083,0.506,REG
