Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,32250300000.0,10317300000.0,21933000000.0,2032000000.0,4617700400.0,498000000.0,-385800000.0,482800000.0,4231900000.0,948600000.0,3283299900.0,3281600000.0,2.82,0.6801,0.1432,0.1312,0.1018,0.1297,6088200000.0,4617700400.0,2.8347,,,3283299900.0,3283300000.0,0.1888,0.1868,SBUX
2022-06-30 00:00:00,31982800000.0,10097500000.0,21885300000.0,1995199900.0,4904501400.0,500000000.0,473600000.0,478200000.0,5378100000.0,1208800000.0,4169300000.0,4167600000.0,3.55,0.6843,0.1533,0.1682,0.1303,0.1469,6451401000.0,4904500400.0,3.5599,3.5797,3.5797,4169300000.0,4169300000.0,0.2017,0.2025,SBUX
2022-03-31 00:00:00,31329200000.0,9689900000.0,21639300000.0,2003399900.0,5097701400.0,493000000.0,499500000.0,468500000.0,5597200000.0,1187400000.0,4409800000.0,4408100000.0,3.73,0.6907,0.1627,0.1787,0.1407,0.1543,6626601000.0,5097700400.0,3.7391,3.7625,3.7625,4409800000.0,4409800000.0,0.2115,0.2083,SBUX
2021-12-31 00:00:00,30361600000.0,9216500000.0,21145100000.0,1986299900.0,5136401100.0,487000000.0,474600000.0,464400000.0,5611000000.0,1216800000.0,4394200000.0,4393000000.0,3.71,0.6964,0.1692,0.1848,0.1447,0.174,6658501000.0,5136400100.0,3.7106,3.7351,3.7351,4394200000.0,4394200000.0,0.2193,0.2255,SBUX
2021-09-30 00:00:00,29060600000.0,8738700000.0,20321900000.0,1932599900.0,4872100600.0,494000000.0,484800000.0,469800000.0,5356900000.0,1156600000.0,4200300000.0,4199300000.0,3.55,0.6993,0.1677,0.1843,0.1445,0.1713,6396201000.0,4872099600.0,3.543,3.5668,3.5668,4200300000.0,4200300000.0,0.2201,0.2219,SBUX
2021-06-30 00:00:00,27117000000.0,8224300000.0,18892700000.0,1870399900.0,3948198500.0,499000000.0,-396300000.0,474200000.0,3551899900.0,723400000.0,2828500000.0,2827599900.0,2.39,0.6967,0.1456,0.131,0.1043,0.1707,5473598900.0,3948198000.0,2.3999,2.4105,2.4105,2828500000.0,2828500000.0,0.2019,0.2198,SBUX
2021-03-31 00:00:00,23842600000.0,7502300000.0,16340300000.0,1775399900.0,1755598600.0,504000000.0,-427000000.0,481600000.0,1328599900.0,332400000.0,996200000.0,995799900.0,0.84,0.6853,0.0736,0.0557,0.0418,0.1036,3284799000.0,1755598100.0,0.8466,0.8508,0.8508,996200000.0,996200000.0,0.1378,0.1612,SBUX
2020-12-31 00:00:00,23170300000.0,7507600000.0,15662700000.0,1717499900.0,1255398900.0,496000000.0,-426500000.0,465800000.0,828899900.0,167300000.0,661600000.0,664799900.0,0.56,0.676,0.0542,0.0358,0.0287,0.0079,2777799400.0,1255398400.0,0.5652,0.568,0.568,661600000.0,661600000.0,0.1199,0.0689,SBUX
2020-09-30 00:00:00,23518000000.0,7694900000.0,15823100000.0,1679599900.0,1561699400.0,457000000.0,-397300000.0,437000000.0,1164399900.0,239700000.0,924700000.0,928299900.0,0.77,0.6728,0.0664,0.0495,0.0395,0.0049,3064899400.0,1561698900.0,0.7825,0.7885,0.7885,924700000.0,924700000.0,0.1303,0.0679,SBUX
2020-06-30 00:00:00,24061899000.0,7857600000.0,16204299000.0,1698899900.0,2086499500.0,,-360700000.0,407600000.0,1725800000.0,391599900.0,1334200100.0,1338300000.0,1.11,0.6734,0.0867,0.0717,0.0556,-0.0187,3576199500.0,2086501500.0,1.0967,1.1126,1.1126,1334200100.0,1334200100.0,0.1486,0.0505,SBUX
