Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,5218000000.0,1004424000.0,4213264000.0,133623000.0,2490878900.0,-190008000.0,753857900.0,563760900.0,,1718000000.0,79999000.0,1689606000.0,2005000000.0,5.99,0.8074,0.4774,0.3292,0.3842,0.7075,3787425100.0,2490878900.0,6.8659,,6.8659,,6.8659,2253367000.0,,2236000000.0,0.7258,0.8055,SPG
2022-06-30 00:00:00,5199000000.0,999380000.0,4199076000.0,144281000.0,2451006900.0,-162008000.0,765751900.0,690479900.0,,1798000000.0,139005000.0,1719688000.0,2045000000.0,6.41,0.8077,0.4714,0.3458,0.3933,0.6918,3751582000.0,2451006900.0,7.3354,,7.3354,,7.3354,2410167900.0,,2393000000.0,0.7216,0.7969,SPG
2022-03-31 00:00:00,5173146000.0,984737000.0,4188023000.0,141676000.0,2428968900.0,-139396000.0,778854900.0,848951900.0,,1772327000.0,161662000.0,1697605000.0,2139257000.0,6.78,0.8096,0.4695,0.3426,0.4135,0.6507,3747167900.0,2428968900.0,7.7496,,7.7496,,7.7496,2546556900.0,,2538869000.0,0.7243,0.7599,SPG
2021-12-31 00:00:00,5117097000.0,971064000.0,4145725000.0,144642000.0,2413190000.0,-266515000.0,795711900.0,782836900.0,,1834820000.0,157199000.0,1785870100.0,2137117000.0,6.84,0.8102,0.4716,0.3586,0.4176,0.6404,3739085000.0,2413190000.0,7.8174,,7.8174,,7.8174,2568707000.0,,2569329000.0,0.7307,0.743,SPG
2021-09-30 00:00:00,4922525000.0,916292000.0,4005787200.0,151437000.0,2283707100.0,-598836000.0,800061000.0,832109000.0,,1587546900.0,106796000.0,1475594000.0,1910600000.0,6.17,0.8138,0.4639,0.3225,0.3881,0.6565,3606297100.0,2283707100.0,7.0586,,7.0586,,7.0586,2307702900.0,,2308055000.0,0.7326,0.7528,SPG
2021-06-30 00:00:00,4686199000.0,891425000.0,3794774100.0,123660000.0,2075407000.0,-830973000.0,802147000.0,495580000.0,,1244433800.0,42313000.0,1202120900.0,1480526000.0,4.58,0.8098,0.4429,0.2656,0.3159,0.6505,3417505000.0,2075407000.0,5.2404,,5.2404,,5.2404,1697700900.0,,1697701000.0,0.7293,0.7234,SPG
2021-03-31 00:00:00,4494094000.0,863542000.0,3630552100.0,116826000.0,1921552000.0,-827436000.0,798789000.0,183512000.0,,1094115800.0,-4752000.0,1098867900.0,1117482000.0,3.53,0.8078,0.4276,0.2435,0.2487,0.4693,3268098000.0,1921552000.0,4.0422,,4.0422,,4.0422,1282379900.0,,1282380000.0,0.7272,0.5476,SPG
2020-12-31 00:00:00,4607503000.0,887154000.0,3720349100.0,121185000.0,1971808900.0,-918992000.0,784400000.0,219870000.0,,1052816800.0,-4637000.0,1057453800.0,1109227000.0,3.6,0.8075,0.428,0.2285,0.2407,0.4072,3326799900.0,1971808900.0,4.1373,,4.1373,,4.1373,1277323800.0,,1277324000.0,0.722,0.505,SPG
2020-09-30 00:00:00,4964690000.0,931123000.0,4033566900.0,126722000.0,2291593400.0,-906179000.0,776359000.0,173277000.0,,1385414700.0,3679000.0,1381735800.0,1347938100.0,4.4,0.8125,0.4616,0.2791,0.2715,0.3509,3648174900.0,2291593700.0,5.0743,,5.0743,,5.0743,1555012800.0,,1555013000.0,0.7348,0.4817,SPG
2020-06-30 00:00:00,5320570000.0,972350000.0,4348220000.0,153570000.0,2592871500.0,-903270000.0,776883000.0,332586000.0,,1689601800.0,7097000.0,1682504900.0,1746266100.0,5.69,0.8172,0.4873,0.3176,0.3282,0.363,3952971000.0,2592871800.0,6.5691,,6.5691,,6.5691,2015090900.0,,2015091000.0,0.743,0.514,SPG
2020-03-31 00:00:00,5655715000.0,1014312000.0,4641403000.0,179364000.0,2822634500.0,-917153000.0,778247000.0,405332000.0,,1905481800.0,14169000.0,1891312900.0,1987377100.0,6.46,0.8207,0.4991,0.3369,0.3514,0.5032,4217153000.0,2822634800.0,7.4724,,7.4724,,7.4724,2296645000.0,,2296645000.0,0.7456,0.6563,SPG
2019-12-31 00:00:00,5755189000.0,1021644000.0,4733545000.0,185204000.0,2912786500.0,-903894000.0,789353000.0,444349000.0,,2008892800.0,30054000.0,1978838900.0,2098247100.0,6.81,0.8225,0.5061,0.3491,0.3646,0.5106,4306958000.0,2912786800.0,7.8688,,7.8688,,7.8688,2423188000.0,,2423188000.0,0.7484,0.6616,SPG
2019-09-30 00:00:00,5728600000.0,1016644000.0,4711956000.0,190747000.0,2904493900.0,-963453000.0,803878000.0,758657000.0,240490000.0,1941041100.0,33732000.0,1907309200.0,2300848800.0,7.45,0.8225,0.507,0.3388,0.4016,0.562,4299706000.0,2904494100.0,8.6387,,8.6387,,8.6387,2665966500.0,,2665966100.0,0.7506,0.6717,SPG
2019-06-30 00:00:00,5716067000.0,1014867000.0,4701200000.0,194992000.0,2922034900.0,-968146000.0,800965000.0,763218000.0,,1953889100.0,37653000.0,1916236200.0,2312861800.0,7.48,0.8225,0.5112,0.3418,0.4046,0.5483,4309492000.0,2922035100.0,8.669,,8.669,,8.669,2679454500.0,,2679454100.0,0.7539,0.6651,SPG
2019-03-31 00:00:00,5703940000.0,1007575000.0,4696365000.0,196617000.0,2969386900.0,-954336000.0,809164000.0,764495000.0,,2015051100.0,40780000.0,1974271100.0,2364541800.0,7.65,0.8234,0.5206,0.3533,0.4145,0.5438,4324409000.0,2969387100.0,8.8569,,8.8569,,8.8569,2738766300.0,,2738766100.0,0.7581,0.6565,SPG
2018-12-31 00:00:00,5645288000.0,1007964000.0,4637324000.0,197784000.0,2926298900.0,-831135000.0,815923000.0,764077000.0,,2095164100.0,36898000.0,2058266100.0,2436720800.0,7.87,0.8215,0.5184,0.3711,0.4316,0.5584,4276075000.0,2926299100.0,9.1154,,9.1154,,9.1154,2822343300.0,,2822343100.0,0.7575,0.6644,SPG
2018-09-30 00:00:00,5599649000.0,999052000.0,4600597000.0,197990000.0,2902211600.0,-682042000.0,816570000.0,461639000.0,,2220169300.0,32838000.0,2187331100.0,2295041100.0,7.41,0.8216,0.5183,0.3965,0.4099,0.5027,4256899000.0,2902211300.0,8.5429,,8.5429,,8.5429,2648970000.0,,2648970000.0,0.7602,0.6475,SPG
2018-06-30 00:00:00,5599266000.0,993196000.0,4606070000.0,198150000.0,2869436500.0,-676153000.0,816133000.0,443341000.0,,2193283200.0,37231000.0,2156052100.0,2252557100.0,7.26,0.8226,0.5125,0.3917,0.4023,0.5167,4225247000.0,2869436200.0,8.373,,8.373,,8.373,2599392900.0,,2599393000.0,0.7546,0.6467,SPG
2018-03-31 00:00:00,5575755000.0,999091000.0,4576664000.0,200316000.0,2827602500.0,-810024000.0,816683000.0,424858000.0,,2017578200.0,33084000.0,1984494200.0,2087543100.0,6.72,0.8208,0.5071,0.3618,0.3744,0.5228,4183877000.0,2827602200.0,7.7485,,7.7485,,7.7485,2409352000.0,,2409352000.0,0.7504,0.6549,SPG
2017-12-31 00:00:00,5527336000.0,980080000.0,4547256000.0,202837000.0,2802340500.0,-938011000.0,809393000.0,403917000.0,,1864329200.0,23343000.0,1840986200.0,1944625100.0,6.25,0.8227,0.507,0.3373,0.3518,0.5213,4159692000.0,2802340200.0,7.2064,,7.2064,,7.2064,2244903000.0,,2244903000.0,0.7526,0.6502,SPG
2017-09-30 00:00:00,5536915000.0,977398000.0,4559517000.0,207374000.0,2753388300.0,-1074322000.0,813916000.0,379651000.0,,1679066000.0,18032000.0,1661034100.0,1767939900.0,5.67,0.8235,0.4973,0.3032,0.3193,0.5149,4121623000.0,2753388000.0,6.7607,,6.5358,,6.5358,2040685000.0,,2040685100.0,0.7444,0.6428,SPG
2017-06-30 00:00:00,5490445000.0,976290000.0,4514155000.0,209203000.0,2739511400.0,-1090151000.0,829745000.0,396476000.0,,1649360100.0,9846000.0,1639514100.0,1758900900.0,5.63,0.8222,0.499,0.3004,0.3204,0.5017,4100419000.0,2739511100.0,6.7252,,6.5003,,6.5003,2035990000.0,,2035990100.0,0.7468,0.6353,SPG
2017-03-31 00:00:00,5444277000.0,968907000.0,4475370000.0,207930000.0,2712598400.0,-973343000.0,836566000.0,393658000.0,,1739255100.0,10971000.0,1728284100.0,1832299900.0,5.85,0.822,0.4982,0.3195,0.3366,0.4939,4058494000.0,2712598100.0,6.7663,,6.7663,,6.7663,2121942000.0,,2121942100.0,0.7455,0.6315,SPG
2016-12-31 00:00:00,5435229000.0,971147000.0,4464082000.0,207883000.0,2720828400.0,-994331000.0,857554000.0,437887000.0,,1726497100.0,29678000.0,1696819100.0,1835558900.0,5.87,0.8213,0.5006,0.3176,0.3377,0.4803,4048774000.0,2720828100.0,6.8269,,6.8269,,6.8269,2134706000.0,,2134706100.0,0.7449,0.6205,SPG
2016-09-30 00:00:00,5389884000.0,972310000.0,4417574000.0,200322000.0,2730058000.0,-999895000.0,878942000.0,651142000.0,,1730163000.0,35356000.0,1694807000.0,1833424100.0,5.88,0.8196,0.5065,0.321,0.3402,0.4792,4020629000.0,2730058100.0,5.6205,,6.8643,,5.8454,2139021900.0,,2139022000.0,0.746,0.6194,SPG
