Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,9444000000.0,4514000000.0,4930000000.0,1794000100.0,3146900300.0,354000000.0,-15000000.0,356700000.0,595000000.0,448000000.0,145000000.0,105000000.0,-0.16,0.522,0.3332,0.063,0.0111,0.1837,3604000000.0,3146900200.0,0.2896,0.5214,0.5214,145000000.0,145000000.0,0.3816,0.3001,STZ
2022-05-31 00:00:00,9159000000.0,4342000000.0,4818000000.0,1783200100.0,3073000300.0,356000000.0,19000000.0,358200000.0,1746000000.0,447000000.0,1297600000.0,1258000000.0,6.15,0.526,0.3355,0.1906,0.1374,0.1799,3486000000.0,3073000200.0,6.5129,6.7519,6.7519,1297600000.0,1298000000.0,0.3806,0.3,STZ
2022-02-28 00:00:00,8821500000.0,4178200000.0,4644300000.0,1722900100.0,2331700300.0,355000000.0,-1035900000.0,356400000.0,310200000.0,308500000.0,1000000.0,-40100000.0,-0.43,0.5265,0.2643,0.0352,-0.0045,0.1907,2674800000.0,2331700200.0,0.0053,0.0052,0.0052,1000000.0,1700000.0,0.3032,0.3067,STZ
2021-11-30 00:00:00,8671500000.0,4109500000.0,4563000300.0,1714700000.0,2213500600.0,359000000.0,-1055900000.0,360300000.0,297499900.0,311200000.0,-14000100.0,-52200000.0,-0.28,0.5262,0.2553,0.0343,-0.006,0.2186,2587600400.0,2213500600.0,-0.4243,0.0182,0.0182,-14000100.0,-13699900.0,0.2984,0.3329,STZ
2021-08-31 00:00:00,8788600000.0,4188400000.0,4601200300.0,1793000000.0,2156700600.0,367000000.0,-358400000.0,368000000.0,1186099900.0,388800000.0,797199900.0,757700000.0,4.19,0.5235,0.2454,0.135,0.0862,0.2218,2495200500.0,2156700600.0,3.2273,4.1289,4.1289,797199900.0,797300100.0,0.2839,0.3286,STZ
2021-05-31 00:00:00,8678000000.0,4081000000.0,4597000300.0,1690100000.0,2256200500.0,371000000.0,-555900000.0,372400000.0,1700299900.0,393200000.0,1307099900.0,1267800000.0,6.86,0.5297,0.26,0.1959,0.1461,0.2309,2593300500.0,2256200500.0,5.561,6.7651,6.7651,1307099900.0,1307100100.0,0.2988,0.3268,STZ
2021-02-28 00:00:00,8614900000.0,4148900000.0,4466000300.0,1665100000.0,2791100600.0,384000000.0,-248200000.0,385700000.0,2542899900.0,511100000.0,2031799900.0,1998000000.0,10.66,0.5184,0.324,0.2952,0.2319,0.2276,3120500600.0,2791100600.0,9.2951,10.4992,10.4992,2031799900.0,2031800100.0,0.3622,0.3258,STZ
2020-11-30 00:00:00,8564800000.0,4142700200.0,4422099900.0,1586600000.0,2776899600.0,395000000.0,-230400200.0,395300000.0,2546500000.0,496300000.0,2050199900.0,2013500000.0,10.52,0.5163,0.3242,0.2973,0.2351,0.2578,3095899500.0,2776899700.0,9.7696,10.6048,10.6048,2050199900.0,2050200000.0,0.3615,0.3314,STZ
2020-08-31 00:00:00,8126100000.0,3984700200.0,4141399900.0,1528800000.0,2260999600.0,,-1475500200.0,402700000.0,785500000.0,-339200000.0,1124699900.0,1093000000.0,5.74,0.5096,0.2782,0.0967,0.1345,0.2404,2593699500.0,2260999700.0,5.5423,5.8519,5.8519,1124699900.0,1124700000.0,0.3192,0.3171,STZ
2020-05-31 00:00:00,8209700000.0,4098200200.0,4111499900.0,1569100000.0,2141799600.0,,-2732700200.0,414100000.0,-590900000.0,-676800000.0,85899900.0,55700000.0,0.29,0.5008,0.2609,-0.072,0.0068,0.2382,2485499500.0,2141799700.0,0.4554,0.4553,0.4553,85899900.0,85900000.0,0.3028,0.3221,STZ
2020-02-29 00:00:00,8343500000.0,4191600200.0,4151899900.0,1621800000.0,2154499500.0,,-3099700200.0,428700000.0,-945200000.0,-966600000.0,21399900.0,-11800000.0,-0.07,0.4976,0.2582,-0.1133,-0.0014,0.2197,2513799300.0,2154499600.0,0.1117,0.1116,0.1116,21399900.0,21400000.0,0.3013,0.3058,STZ
2019-11-30 00:00:00,8237800000.0,4142200100.0,4095599800.0,1679900000.0,2074700300.0,,-1978600000.0,447800000.0,96100000.0,-765700000.0,861800000.0,829300000.0,4.4,0.4972,0.2519,0.0117,0.1007,0.1907,2548000100.0,2074700300.0,3.4803,4.5385,4.5385,861800000.0,861800000.0,0.3093,0.2851,STZ
2019-08-31 00:00:00,8211000000.0,4132900100.0,4078099800.0,1687100000.0,2364000200.0,,-1628100000.0,417500000.0,735900000.0,-71500000.0,807400000.0,772000000.0,4.12,0.4967,0.2879,0.0896,0.094,0.1807,2842800000.0,2364000200.0,3.2311,4.2717,4.2717,807400000.0,807400000.0,0.3462,0.2834,STZ
2019-05-31 00:00:00,8166100000.0,4105700100.0,4060399800.0,1650900000.0,2409500200.0,,411000000.0,393900000.0,2820500000.0,344800000.0,2475700000.0,2446700000.0,13.0,0.4972,0.2951,0.3454,0.2996,0.1879,2888400000.0,2409500200.0,11.1807,13.0134,13.0134,2475700000.0,2475700000.0,0.3537,0.286,STZ
2019-02-28 00:00:00,8116000000.0,4035700100.0,4080299800.0,1668100000.0,2412200200.0,,1732800000.0,367100000.0,4145000000.0,685900000.0,3459100000.0,3435900000.0,18.23,0.5027,0.2972,0.5107,0.4233,0.1765,2888700100.0,2412200200.0,15.8055,18.1513,18.1513,3459100000.0,3459100000.0,0.3559,0.2768,STZ
2018-11-30 00:00:00,8080800000.0,4048800200.0,4031999800.0,1573300000.0,2458699900.0,,740600000.0,335500000.0,3199300000.0,75800000.0,3123500000.0,3106899900.0,16.5,0.499,0.3043,0.3959,0.3845,0.1876,2901099900.0,2458699900.0,14.1592,16.2952,16.2952,3123500000.0,3123500000.0,0.359,0.3016,STZ
2018-08-31 00:00:00,7910100000.0,3937800200.0,3972299800.0,1580500000.0,2391799900.0,,1107100000.0,344100000.0,3498900000.0,191100000.0,3307800000.0,3296599900.0,17.42,0.5022,0.3024,0.4423,0.4168,0.1636,2837099900.0,2391799900.0,14.9395,17.1921,17.1921,3307800000.0,3307800000.0,0.3587,0.274,STZ
2018-05-31 00:00:00,7698900000.0,3826100200.0,3872799800.0,1528700000.0,2344099800.0,,423500000.0,337400000.0,2767600000.0,107000000.0,2660600000.0,2648699900.0,13.89,0.503,0.3045,0.3595,0.344,0.1365,2765199800.0,2344099800.0,11.9315,13.7279,13.7279,2660600000.0,2660600000.0,0.3592,0.2668,STZ
2018-02-28 00:00:00,7580300000.0,3767800200.0,3812499800.0,1532700000.0,2279799800.0,,58200000.0,332000000.0,2338000000.0,22700000.0,2315300000.0,2303399900.0,12.05,0.5029,0.3008,0.3084,0.3039,0.1161,2774999800.0,2279799800.0,10.3324,11.886,11.886,2315300000.0,2315300000.0,0.3661,0.2548,STZ
